,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,[],2016-12-20 13:44,"*SEA DOO*BOMBARDIER*GTi*READY TO GO TO THE LAKE!*RUNS GREAT! - $1250 (REDUCED! ADULT OWNED*JUST MINUTES N.OF LAGRANGE*) SEA DOO BOMBARDIER GTI INTERSTATE 85 NORTH make / manufacturer: SEA DOO model name / number: BOMBARDIER GTI year manufactured: 1997 *LOW HOUR* ""CHARITY DONATED"" *SEA DOO* *BOMBARDIER* *GTi* *750cid* *RUNS LIKE A CHAMP!* *CALL JULIE @ [four seven  zero] 3 four 3  - 4 six 2 five",,5923950155,,12,,SEA DOO,https://maps.google.com/?q=loc%3A+INTERSTATE+%38%35+NORTH+JUST+N%2EOF+LAGRANGE+AL+US,BOMBARDIER GTI,$1250,power, (JUST OVER THE GEORGIA LINE! i-85),*SEA DOO*BOMBARDIER*GTi*READY TO GO TO THE LAKE!*RUNS GREAT!,https://auburn.craigslist.org/boa/5923950155.html,
1,good,"['34.176100', '-86.829800']",2016-12-20 12:39,Older 1436 flat bottom and trailer. Boat has full front deck and new transom. This would be a great Christmas present for that teenager in the family just starting to fish.,,5912361937,34.176100,14,-86.829800,1436 Flat Bottom,"https://maps.google.com/maps/preview/@34.176100,-86.829800,16z",,$500,power,,1436 Flat Bottom and Trailer,https://auburn.craigslist.org/boa/5912361937.html,
2,,"['30.516900', '-86.482200']",2016-12-20 09:01,"Mercruiser 135hp, bimini top, trolling motor, GPS, includes matching trailer, ski tow and more call or text 85zero-5eight6-1four56",,5916639934,30.516900,18,-86.482200,Tahoe,"https://maps.google.com/maps/preview/@30.516900,-86.482200,16z",Q4i,$19970,power,,2013 Tahoe Q4,https://auburn.craigslist.org/boa/5916639934.html,2013
3,new,"['33.396479', '-84.748964']",2016-12-20 06:53,"Looking for a boat that can provide so much enjoyment for the entire family? Looking to tube, wake-board, knee board, ski, fish or just relaxing on the lake, this boat has it all. As the original owner, this boat is brand new it has only 22 running hours on it and only been on fresh water lakes. I am going to include a lot of additional equipment with the boat to include but not limited to knee boards, tow behind tubes, anchors etc...... I know that this boat want disappoint any family. Hurricane Boats have an excellent reputation and this boat is no exception. Please feel free to email me with additional questions or information. Serious inquires only please. See Description Below: Hurricane Fun Deck 226 Year: 2015 Length: 22' Engine/Fuel Type: Single / Gas/Petrol Hull Material: Fiberglass Yamaha 150 4-Stroke (22hours) Magic Tilt Galvanize Tandem Trailer Specs Hull Shape: Modified Vee Dimensions LOA: 22 ft 2 in Beam: 7 ft 7 in Minimum Draft: 0 ft 10 in Dry Weight: 2300 lbs Max Load Capacity: 2415 lbs Engines Total Power: 150 HP Engine 1: Engine Brand: Yamaha Year Built: 2015 Engine Model: 150 Engine Type: Outboard 4S Engine/Fuel Type: Gas/Petrol Engine Power: 150 HP Tanks Fuel Tanks: (27 Gallons) Accommodations Seating Capacity: 13 Electronics Radio Cockpit speakers CD player Lowrance Deep Gauge / Fish Finder Outside Equipment/Extras Swimming ladder Cockpit table Bilge pump; automatic Stainless Rub Rail Upgrade SS Cup Holders Dual Battery and Switch Changing Room Covers Bimini Top Boat Cover Entertainment Stereo; Sony CDXM-20 Player / MP3 Blue Tooth / SAT/ Detachable Face input & 4 speakers Exterior Ladder; stern telescoping Lighting; LED docking lights Ski tow bar; fixed Helm Dash; instrument panel featuring fog resistant gauges; speedometer; fuel; voltmeter; tachometer; horn & 12V outlet Hour Meter Helm Seat; single bucket Steering; cable Trim gauge with engine package Windscreen; quick release Tilt Wheel",22,5889411264,33.396479,22,-84.748964,Hurricane,"https://maps.google.com/maps/preview/@33.396479,-84.748964,16z",FD 226,$39000,power, (Newnan),Hurricane FD 226 2015,https://auburn.craigslist.org/boa/5889411264.html,2015
4,,,2016-12-19 12:56,Classic Closed bow boat. Solid fiberglass with no weak spots. The aluminum bumper trim is all original and in perfect shape. Hull is perfect. $250 Call show contact info,,5916893272,,1,,,,,$240,human, (Opelika),CLASSIC Closed Bow Boat - solid - bumper trim perfect & all original,https://auburn.craigslist.org/boa/5916893272.html,
5,,"['32.745703', '-85.777817']",2016-12-19 12:17,2008 SunChaser Classic Cruise 8524 Cruise Sunchaser's 8524 Cruise is a pontoon that offers space and comfort for all of your family and friends to have fun on the water. 22ft Bimini top Mercury 115 4stroke w/ only 203 hours Seating capacity:14 Tandem axle Tennessee trailer included Rear boarding ladder Docking lights Stereo Mark 770-7I5-638O,,5908222527,32.745703,22,-85.777817,,"https://maps.google.com/maps/preview/@32.745703,-85.777817,16z",,$15999,power, (Lake Martin),2008 Smokercraft Sunchaser 115 Mercury w/ trailer,https://auburn.craigslist.org/boa/5908222527.html,
6,,"['32.745703', '-85.776443']",2016-12-19 12:17,"1997 Harris 240 Classic 24ft Mercrusier 3.0 Upholstery has been redone Hard top Trailer not included but available for purchase Sale price of: $9,000 Mark 77O-7I5-638O Cell show contact info Office",,5902614112,32.745703,24,-85.776443,,"https://maps.google.com/maps/preview/@32.745703,-85.776443,16z",,$9000,power, (Lake Martin),1997 HARRIS 240 CLASSIC NEW UPHOLSTERY,https://auburn.craigslist.org/boa/5902614112.html,
7,,"['32.742815', '-85.777817']",2016-12-19 12:17,"One owner 1995 Sea Ray 220 Signature serious 727 fresh water hours                                                                                                      Amazing Condition Great sounding aftermarket stereo system ( new speakers, tweeter, amps, sub under helm) Always kept on covered boat lift when not in use Dual batteries with selector switch Bimini top Bow filler cushion **Price does not include a trailer but one can be added if needed. If you feel like this could be the right boat for you please call for more information or to schedule a showing. Thanks for your interest! Sale price of: $12,999 Mark 77O-7I5-638O Cell show contact info Office",,5917480376,32.742815,22,-85.777817,,"https://maps.google.com/maps/preview/@32.742815,-85.777817,16z",,$12999,power, (Lake Martin),Super Clean all origional 1995 Sea Ray 220 Signature Series,https://auburn.craigslist.org/boa/5917480376.html,
8,good,,2016-12-19 09:30,21 ft Robalo center console. With twin Suzuki 85 2stroke engines. Comes with cover and Bimini top. One of engines needs a water pump impeller. Email for pictures.,,5925371325,,21,,,,,$8000,power, (Auburn),21ft Robalo Center Console,https://auburn.craigslist.org/boa/5925371325.html,
9,excellent,,2016-12-18 21:30,"For sale: 95 Cobalt 252 It has: -454 Mag MPI fuel injected motor -Captains call/ Silent choice exhaust -Bravo 1 out drive -Snap in carpet -Bimini Top -Snap on cover -New Stereo System -Electric engine hatch -Aluminum I beam trailer Interior pictures available upon request. Boat is in excellent shape for its age and is water ready! Price is $17,500 Call or text show contact info for more information. Mastercraft, Axis, Malibu, Wake Setter, Sea Ray, Open bow, bow rider, closed bow, cuddy cabin, bigblock, aft cabin, outboard, inboard, Starr, Port, Bryant, Chris craft, fast, deck boat, pontoon, Harris, Bennington, tri-toon, Baja, Yamaha, sea-doo.",480,5898247850,,26,,Cobalt,,252,$17500,power, (Fayetteville),Cobalt 252 454 Captains Call Immaculate!,https://auburn.craigslist.org/boa/5898247850.html,1995
