,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['33.768000', '-87.184100']",2016-12-20 18:17,"I have a 2004 Procraft 185pro with a 150hp Mercury XR6. It now has a new Minn Kota trolling motor and hot foot. Two Lowrance units and one has built in GPS. It also has a new livewell pump on the port side. Everything works on the boat as it should. The boat runs 60-64 with two people and tournament loaded. Has had ethanol free gas put in it every single time it's been fueled since I've owned it and supposedly the 1 owner before me as well. $11,500 or I'll throw in a new Helix 7 with si, di, sonar, GPS, Ram mount, and transducer for $12000. Text or call (2zero5)-4nine2-seven9one7",,5927516884,33.768000,19,-87.184100,Procraft,"https://maps.google.com/maps/preview/@33.768000,-87.184100,16z",185pro,$11500,power,,2004 Procraft 185pro,https://bham.craigslist.org/boa/5927516884.html,2004
1,excellent,,2016-12-20 16:09,2002 Nissan 9.8 HP 2 STROKE short shaft pull start. This motor is flawless. It has 122 lbs of compression on each cylinder. This motor would go great on a small flat bottom. $1200 call or text show contact info if interested. Also might be interested in trading for deer rifles or shotguns.,,5927380852,,15,,Nissan,,9.8 HP/ 2 STROKE,$1200,power, (Cullman),2002 NISSAN 9.8 HP 2 STROKE,https://bham.craigslist.org/boa/5927380852.html,2002
2,like new,,2016-12-20 16:03,"2013 WELDBILT 16 feet long and 52 inches wide in the bottom. 2001 model Nissan 25 HP long shaft electric start that's like new. The boat sits on a galvanized masteryde trailer. This boat has all the options- -Large hummingbird depth finder with down imaging, sonar and GPS mounted on a heavy duty ram mount -Large aerated livewell that also has a water fill up pump. You flip one switch to fill it up and another to run the aerater. Comes with locking lid -huge storage compartments built in the front and back decks of the boat. All storage compartments are lit with LED lighting. -the foot control trolling motor is a 55 lb thrust min kota edge that has the foot pedal recessed in the deck just like a large bass boat. -minn Kota on board 2 bank 10 amp battery charger -2 huge deep cycle battery's (one is in the back of the boat and one is located in the front of the boat for even weight distribution (one battery is a blue top Optima) -LED lighting throughout the entire boat -aircraft aluminum custom made jack plate -6 inch light bar mounted on the front of the boat and wired to a switch in the back so it can be operated while driving -snake eye running lights built in the frame of the boat and wired to the switch panel in the back for easy operation while driving -6 gallon gas tank built in the back deck of the boat -large switch panel to control the electronics throughout the entire boat -bilge pump - the floor of the boat is diamond plate aluminum but has new marine grade carpet on it. I had the carpet put down for noise reduction. It could be easily removed for duck hunting -the boat has 3 pedestals (one on the front deck, one on the back and one in the bottom of the boat -the entire boat and motor is camo and is like new -comes with a stainless steel high performance prop. I paid almost $300 for the stainless steel prop. It's a ballistic brand 13p Loaded down with gear and 2 grown men this boat runs 28 mph. This boat is the ultimate fishing and hunting rig. $7600 Call or text show contact info if interested",,5890811347,,16,,Weldbilt/ Nissan,,1652MV/ Nissan 25 HP,$7600,power, (Cullman),2013 1652MV WELDBILT with a NISSAN 25 HP ES,https://bham.craigslist.org/boa/5890811347.html,2013
3,like new,,2016-12-20 16:02,2001 Nissan 25 HP long shaft and electric start. This motor is like new and has a brand new timber camo paint job from backwoods landing. Comes with ballistic 13P high performance stainless prop. It will run 28 mph on a heavy duty 1652 welded boat with 2 men and loaded down with gear. I have pictures of what it looked like before it was painted. All this motor needs is a boat to go on. $2000 call or text show contact info if interested,,5890871117,,20,,Nissan,,25 HP,$2000,power, (Cullman),2001 NISSAN 25 HP 2 STROKE LS and ES,https://bham.craigslist.org/boa/5890871117.html,2001
4,excellent,,2016-12-20 16:01,"14 ft v-bottom boat with 2 seats, carpeted floors, jack plate and large storage compartment in the front for gear and batteries. This boat does not leak. New trailer lights. Comes with spare tire. If you need a motor for this boat, I have several for sale. $600 Call or text show contact info if interested",,5912616236,,14,,,,,$600,power, (Cullman),14 ft boat,https://bham.craigslist.org/boa/5912616236.html,
5,,"['33.909300', '-87.540300']",2016-12-20 15:48,"Dagger nomad 8.5 whitewater kayak in really good shape, been in the water 4 times. 600 obo",,5927352668,33.909300,8,-87.540300,,"https://maps.google.com/maps/preview/@33.909300,-87.540300,16z",,$600,human,,Dagger nomad 8.5,https://bham.craigslist.org/boa/5927352668.html,
6,excellent,,2016-12-20 14:23,"Up for sale is a USED but EXCELLENT condition Sea-Doo RX with trailer! This 135HP PWC is the most powerful CARBURETED personal watercraft SeaDoo ever made!   They went to fuel-injected, super-charged, etc.  but this one is easy to work on when needed, and super reliable!  Starts right up, and runs like a champ...  Fast & fun!  Runs 60+ MPH with two people on it!!! Less than engine 150 hours on it total!... New battery put in this summer...    It's ready to go... Really don't want to sell it, but wife's medical bills are piling up and I've got to do something...  my loss could be your gain...  if you're looking for a PWC/jet ski, this one beats them all for the price, I promise you! Appraises around $2,500 with trailer, and I'm asking for a good bit less than that to move quickly, before I change my mind!",140,5900795931,,9,,SeaDoo,,RX,$1700,power," (Hoover, AL)",2001 Sea-Doo RX w/trailer! SeaDoo  (Price Dropped!!!),https://bham.craigslist.org/boa/5900795931.html,2001
7,,,2016-12-20 12:56,save thousands on this ski has new galvanized trailer double....it has only 9 hours on it..its a svho turbo charged.. and will fly...big 3 seater....cost 15000 new with trailer...i will send pics if you ask me...i tried to post them but cant....its blue and gray the tailer is galvanized...make a great christmas gift....call for info show contact info ...,9,5891111185,,12,,,,,$11500,power, (bessemer),2014 yamaha wave runner new 9 hours..,https://bham.craigslist.org/boa/5891111185.html,2014
8,,"['33.445900', '-86.750200']",2016-12-20 12:56,New waverunner with trailer and cover. Less than 20 hours. First service done. Sold lake house and now selling toys.,,5927076458,33.445900,11,-86.750200,,"https://maps.google.com/maps/preview/@33.445900,-86.750200,16z",,$9500,power, (Mountain Brook),2016 Yamaha VX Deluxe,https://bham.craigslist.org/boa/5927076458.html,
9,,,2016-12-20 12:51,"15 ft. G3 aluminum boat  with a Yamaha 4 stroke motor with minn kota edge trolling motor 45lb. thrust,  poling platform, with a aluminum Magic Tilt trailer with torsion axle.  $3500 for more information call show contact info",,5913583457,,15,,,,,$3500,human, (Luverne),G3 Aluminum boat,https://bham.craigslist.org/boa/5913583457.html,
