,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['31.439100', '-85.643600']",2016-12-20 18:13,"15' peterson fiberglass bass boat. 4 new seats, fish finder, new carpet, new waterpump, anchor mates, 50 hp mercury runs great, great gas milage, tilt and trim, 37# motorguide trolling motor, nice trailor good tires and spare. boat cover.",,5909070759,31.439100,15,-85.643600,peterson,"https://maps.google.com/maps/preview/@31.439100,-85.643600,16z",,$2500,power," (ozark,al)",GREAT CHRISTMAS GIFT,https://dothan.craigslist.org/boa/5909070759.html,
1,,"['30.403231', '-86.505833']",2016-12-20 17:21,Give us a call for your welding needs. From today to the end of the month we are offering 10 percent off ALL orders AND a free T-shirt when you spend over $750! Anything from adding a rod holder to boat to building you an entire tower for your boat. Pontoon repairs at a fair price! Anything you can think of just give us a call. T-tops Bay towers rod holders repair work ladders swim platforms etc. Check out our facebook page----------> https://www.facebook.com/GrasshopperWelding/# 850 621-six9six5,,5911128558,30.403231,22,-86.505833,,"https://maps.google.com/maps/preview/@30.403231,-86.505833,16z",,$1,power, (Destin),Marine Welding in Destin,https://dothan.craigslist.org/boa/5911128558.html,
2,new,"['34.744800', '-86.670400']",2016-12-20 14:40,"In Stock Now ! Shearwater Bay boats .22'6"" length, 8'2'' Beam ,Draft 12"" , 80 Gallon Fuel Capacity , Yamaha VF 200 SHO W/ Tempest SS Prop ,Hydraulic Steering , Aluminum Tandem Axle Trailer with Brakes , Spare Tire , Swim Platform with Ladder ,Fiberglass Hard Top With Rod Holders , Ocean LED under water Lights , Fusion Stereo with 4 JL Audio MX Speakers ,Courtesy Lights in All Compartments, 3 Bank 30 amp charger and 2 bank 12 amp charger , 13 Gallon Fresh Water Washdown . 3 Live wells ,45 Gallon Release Well ,25 Gallon Rear Bait Well and 18 Gallon Leaning Post Live Well . Self Bailing Cockpit , 2/ 10' Rod Lockers . Limited Lifetime Warranty, 100% Composite , Double Hull Construction , Kevlar Laminate Coating. Call Jamie at show contact info also in stock Shearwater X 22",,5898306031,34.744800,23,-86.670400,Shearwater,"https://maps.google.com/maps/preview/@34.744800,-86.670400,16z",,,power,,2017 Bay Boat,https://dothan.craigslist.org/boa/5898306031.html,2017
3,,,2016-12-20 12:51,"15 ft. G3 aluminum boat with a Yamaha 4 stroke with minn kota edge trolling motor 45 lb. thrust, with poling platform, has a aluminum  magic tilt trailer with torsion axle.  $3500 for more information call show contact info",,5913607075,,15,,,,,$3500,human, (Luverne),G3 Aluminum Boat,https://dothan.craigslist.org/boa/5913607075.html,
4,excellent,"['30.420600', '-86.628600']",2016-12-20 11:11,"I can promise you this boat is in better shape than most 5 year old boat. The 2010 Yam 250 4S is awesome and very fuel efficient. The boat has been covered and babied since new, one owner. Cushions and bimini in great shape. Some of the optionson tis boat; Trim Tabs, swim platform, bimini, stereo, VHF radio, Garmin 498 GPS/FF, full boat cover, engine cover, wash down and aluminium trailer. It will run for ever and you will get out onto the water with the family, nothing better than that., Priced at $23,995 OR MAKE AN OFFER, We Offer Financing!!!! Call, text or email me - ASK FOR CHARLIE",,5926919856,30.420600,21,-86.628600,AQUA-SPORT,"https://maps.google.com/maps/preview/@30.420600,-86.628600,16z",,,power,,MINT '99 AQUASPORT 215 DC W/'10 YAM 250 - This Boat Is A Must See,https://dothan.craigslist.org/bod/5926919856.html,
5,,,2016-12-20 08:34,"2004 Xpress 1548 DB duck boat edition 2004 Suzuki 25 Four Stroke, Electric start 2014 galvanized trailer with brand new LED lights Boat is ready to hit the water. Would make a great boat for the delta for fishing or any kind of hunting It is equipped with: - Led interior lights - Running lights (bow, and stern) - Gun box and front storage - Non skid floor and interior - Battery and Gas tank Motor was just serviced, Oil change, New oil filter, New water pump. This boat needs nothing and is water ready. This boat is very well built and can handle anything. Call or text for more info show contact info CASH ONLY NO TRADES",,5926672639,,15,,,,,$4500,power, (Bayminette),1548 Xpress DB W/25 Suzuki,https://dothan.craigslist.org/boa/5926672639.html,
6,,,2016-12-20 06:08,"I have a 1436 Waco jon boat for sale. It has a 20hp mercury 2 stroke electric start (motor needs work, cranks easy and idles good), 2 seats a front deck, bilge pump and lights. $1200.00 Call or txt me at show contact info",,5926569828,,14,,,,,$1200,power, (Brantley),Jon Boat,https://dothan.craigslist.org/boa/5926569828.html,
7,,,2016-12-19 18:07,2007 Larson 206 Senza 5.0 EFI mercruiser motor Aphla one outdrive (single prop) Bow/cockpit covers Aluminum trailer with electric brakes plus surge brakes Bimini top that attaches to wake board tower Swim platform that covers the prop,,5926144227,,22,,,,,$15575,power, (bainbridge),2007 Larson 206 Senza,https://dothan.craigslist.org/boa/5926144227.html,
8,good,,2016-12-19 18:04,"2000 Sylvan Deck Boat 19 ft with trailer $10,000 OBO - Seats redone this summer - 120 Nissan (only non-ethanol fuel used) - New Radio - New Battery - New Lower Unit - Tires 6 months old - All seat bases, backs etc. are made from plastic/composite type material not wood so no worry for rot Boat runs great and is a good boat for family use. Seats 8-10 comfortably. Does have some damage/wear on the metal sheeting but for its age it's in awesome condition!! Make an offer. May be willing to trade for a nice toy hauler (plus cash).",,5926153137,,19,,Sylvan,,,$10000,power, (Dothan),2000 Sylvan Deck Boat 19 Ft,https://dothan.craigslist.org/boa/5926153137.html,2000
9,,[],2016-12-19 14:47,Very nice hardly ever used all weld boat with 50hp Mercury 2 STROKE!!! Immaculate boat and trailer. First 10k takes it. 3three44seven06three13,,5925819329,,16,,Tracker,https://maps.google.com/?q=loc%3A+%32%30%31+jessica+dr+enterprise+AL+US,Pro Guide V16sc,$9999,power, (Enterprise),2010 Pro Guide v16,https://dothan.craigslist.org/boa/5925819329.html,2010
10,,"['28.364800', '-82.675700']",2016-12-19 11:48,2014 yamaha vx runs good 4 stroke engine water ready call me at show contact info need pictures i can send it to you,,5925600734,28.364800,10,-82.675700,,"https://maps.google.com/maps/preview/@28.364800,-82.675700,16z",,$7200,power, (hudson fl),2014 yamaha vx two with trailer,https://dothan.craigslist.org/boa/5925600734.html,
11,fair,"['30.566222', '-84.098231']",2016-12-19 10:09,"1998 Bayliner 19 Capri. 18'8"" long with Single axle trailer. 2nd Owner, Capri Ski-Fishing Boat. Boat in good condition, gas MERCRUISER 190HP Inboard-outboard, 4 cylinder OMC with 100 hours, stored well, chip off the skeg of the motor from running into an Oyster bar (steers fine). Features Audiovox Marine detachable front panel STEREO MS-301, Anchor, Garmin GPS48 fish/depth finder, Swim Ladder, fog horn, fire extinguisher, fishing pole and beverage holders installed. Located in Tallahassee, FL. Sits 6 big people comfortably. Cushions are okay condition, cleanish and smell kinda good. The boat is in fair to good shape. I never used the biminy/canopy and just kept it stored in the roof of the barn. When I took it out to sell the boat. There was two abandoned bird nests in it and it was pretty ruined in some spots. The lights, bilge pump switches do not work but the blower does.  The trim down button catches some times, the cabin lock is corroded, the stereo doesnt work.  there are some things to tinker with.",100,5925433835,30.566222,19,-84.098231,Bayliner Capri 19,"https://maps.google.com/maps/preview/@30.566222,-84.098231,16z",Bayliner Capri 19,$2500,power, (Tallahassee),'98 Bayliner 19 Capri with free trailer,https://dothan.craigslist.org/boa/5925433835.html,1998
12,,,2016-12-18 16:37,"1999 CHAPARRAL SUNESTA 252 IT HAS A MERCRUISER 5.7 WITH BRAVO 3  INBOARD/OUTBOARD ENGINE AND A TRAILER. THE OPTIONS INCLUDE: BIMINI TOP, BOAT COVER,DUAL PROPELLERS, DOCKING LIGHTS, REAR BOARDING LADDER, SKI TOW HOOK, FRESHWATER SINK, PORTA-POTTI, COMPASS AND AM/FM CD STEREO IT CAN HOLD 14 PEOPLE WITH ROOM TO SPARE RUNS GREAT WITH NO PROBLEMS. WE NO LONGER NEED ONE THIS SIZE. $14,200 obo You can call or text show contact info Request Information",,5897441364,,25,,Chaparral,,Sunesta 252,$14200,power, (Slapout),Large deck boat,https://dothan.craigslist.org/boa/5897441364.html,1999
13,,,2016-12-18 15:51,"Houseboat - Floating Home - Great Fishing-Beautiful Sunsets-Lake Seminole - 55' by 15.5' plus 4' dock to tie up your fishing boat. $59,000 Fully furnished 2 bedrooms, 1 and ½ baths, shower, flat stove top, oven, refrigerator, wet bar, under counter refrigerator/freezer, sleeper sofa, recliner, dining table, three wall mounted TVs, ceiling fans inside and out on screened porch. Central Heat and Air, plus 12,000 BTU window A/C. Sleeps 6. Energy efficient -- Reflective rubberized roof coating along with mirrored film on windows and doors. Screened porch has an extended 4' dock with rails & boat bumpers. Relax at the beautiful ""Cove"" a gated Houseboat Community located at Trails End Marina and Resort, Donalsonville, GA. Enjoy the Club House, swim in the pool or play pool. Free use of a washer and dryer. Abundant wildlife and waterways to discover both in GA and FL along the Chattahoochee River with great fishing. Only a ten-minute boat ride south on the Chattahoochee River to Lake Seminole. Lake Seminole is a very popular fishing lake. Bass Pro holds tournaments on Lake Seminole. The houseboat is located just off the Chattahoochee River in a protected cove. (The Cove is about 1 hour North West of Tallahassee, FL. or 30 minutes due west of Bainbridge, GA.) We have great fishing for perch, bluegill, sunfish, large mouth bass, hybrid bass, striped bass, catfish, etc. right in front of our houseboat. Lake Seminole is a reservoir located in the southwest corner of Georgia along its border with Florida, maintained by the U.S. Army Corps of Engineers. The Chattahoochee and Flint rivers join in the lake, before flowing from the Jim Woodruff Lock and Dam, which impounds the lake, as the Apalachicola River. The lake contains 37,500 acres of water, and has a shoreline of 376 mi. Appreciate your interest in our houseboat. Please call if you have any questions or for an appointment.",,5921458491,,55,,Harbor Homes,,Savannah,$59000,human," (3371 Ga Hwy 253S Donalsonville, GA)",Undiscovered Paradise - Houseboat - Great Fishing - Lake Seminole,https://dothan.craigslist.org/boa/5921458491.html,2008
14,like new,,2016-12-18 15:07,"For sale a G3 aluminum boat 12 ft long and 36 in wide at bottom with a 15-16 in transom for short shaft outboards.  Heavy duty galvanized trailer w lights and spare tire wheel and carrier. All as new.  No creases, dents or leaks. This is a quality rig with no issues ready to launch.",0,5924599073,,12,,G3/ Yamaha Corp,,1236,$1495,power," (Enterprise, Al)",boat for sale,https://dothan.craigslist.org/boa/5924599073.html,
