,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['34.237200', '-83.894000']",2016-12-20 13:41,Two Bimini top: front and back with Full Eisenglass Enclosure Trailer Excellent Condition Very Low Hours Lake Ready show contact info,,5927150832,34.237200,23,-83.894000,Monterey,"https://maps.google.com/maps/preview/@34.237200,-83.894000,16z",230 Explorer,$9950,power, (Buford),1998 MONTEREY 230 EXP Deck boat / 350 MAG/BRAVO DUO PROP OUTDRIVE,https://gadsden.craigslist.org/boa/5927150832.html,1998
1,good,"['34.176100', '-86.829800']",2016-12-20 12:39,Older 1436 flat bottom and trailer. Boat has full front deck and new transom. This would be a great Christmas present for that teenager in the family just starting to fish.,,5907794316,34.176100,14,-86.829800,1436 Flat Bottom,"https://maps.google.com/maps/preview/@34.176100,-86.829800,16z",,$500,power,,Great Christmas Present 1436 Flat Bottom,https://gadsden.craigslist.org/boa/5907794316.html,
2,good,,2016-12-20 12:38,"2004 Chaparral Sunesta 254 Beam: 8 ' 6"" * LOA: 26 foot * Weight: 4350 lbs * Draft: 18"" * Fuel Cap: 55 Gallons * Deadrise: 17 Deg * Capacity: 15 People 350 MAG MPI engine (300 HP) 502 Hours Bravo III Drive with stainless duo prop MTI tandem axle trailer w/ aluminum wheels Enclosed head Mahogany tilt steering wheel Snap in/out carpet Bow and cockpit covers Huge bimini top Transom tilt switch New batteries with switch Stereo remote at the bow, helm and transom (transom remote needs to be replaced) Galley w/ sink in the cockpit Removable table with sun pad cushion. Stainless cup holders Bow and transom showers 20 gallon fresh water tank",502,5926971004,,26,,Chaparral,,Sunesta 254,$28600,power, (Gadsden),2004 Chaparral Sunesta 254,https://gadsden.craigslist.org/boa/5926971004.html,2004
3,,"['34.498900', '-85.844600']",2016-12-20 09:21,"16x48 alumacraft with a 20hp Honda beavertail . Motor was rebuilt , new carb. Shaft.prop,battery. show contact info",,5893602452,34.498900,16,-85.844600,,"https://maps.google.com/maps/preview/@34.498900,-85.844600,16z",,$4200,power, (Rainsville),duck boat,https://gadsden.craigslist.org/boa/5893602452.html,
4,,,2016-12-19 21:49,"2000 CHAMPION 191  WITH 2005  YAMAHA 200 HPDI WITH ONLY 260 HOURS!! LOWRANCE HDS 7 GEN 3 AT CONSOLE MOTOR GUIDE TROLLING MOTOR ON BOARD CHARGER HOT FOOT BLINKER TRIM RANGER, SKEETER, TRITON, STRATOS, PHOENIX, BASS BOAT",260,5899204083,,19,,Champion,,,$14900,power, (Hoover),*** CHAMPION 191  **,https://gadsden.craigslist.org/boa/5899204083.html,2000
5,,,2016-12-19 17:58,22 foot pontoon boat 50 HP Johnson new carpet comes with traiLor new tries has new blklnl top never installed runs good call only Tex wil to be l go to trash thinks show contact info,,5926146547,,22,,Cruser,,,$4800,power, (marietta),Pontoon,https://gadsden.craigslist.org/boa/5926146547.html,
6,excellent,"['33.973700', '-87.004300']",2016-12-19 09:10,"with a 90 H.P. Mercury Four Stroke motor,24 hours,ski pole,lots of seating  and storage,Bimini Top,Stereo,full cover, 23 ft. , includes trailer.",24,5887285376,33.973700,24,-87.004300,Harris,"https://maps.google.com/maps/preview/@33.973700,-87.004300,16z",220 Cruiser Flote Boat,$21900,power,,2014 Harris 220 Cruiser,https://gadsden.craigslist.org/boa/5887285376.html,2014
7,excellent,"['33.973700', '-87.004300']",2016-12-19 09:09,"Bee Line Pro  V,150 H.P. Mercury Optimax motor with 116 hrs.,Pro Series Power Pole,two Hummingbird 988ci HD SI GPS units,full factory cover, trailer with disc brakes.Please call.",116,5888693587,33.973700,19,-87.004300,Phoenix,"https://maps.google.com/maps/preview/@33.973700,-87.004300,16z",286 Pro Vee XT Beeline,$18500,power,,2010 Phoenix 286 XT,https://gadsden.craigslist.org/boa/5888693587.html,2010
8,excellent,"['33.973700', '-87.004300']",2016-12-19 09:08,"Moomba Mobius Gravity Games,325 Vortec, with 78.7 hours,wake plate,board rack,tower speakers,full cover. Must see. Call.",,5888694980,33.973700,23,-87.004300,Moomba,"https://maps.google.com/maps/preview/@33.973700,-87.004300,16z",XLV Gravity,$35000,power,,2008 Moomba Mobius XLV,https://gadsden.craigslist.org/boa/5888694980.html,2008
9,excellent,,2016-12-19 09:00,this is the best boat I have ever owned it runs like it's bran new It has never seen the shop.since I have owned it and doubt it ever will it is a really smooth and good running boat it has a brand new minikoto 50lb thrust trolling motor and fishing seats and 110 evenruide power trim all lights work in trailer and boat there is absolutely nothing wrong with it at all only reason I want to sale it is I want to buy me a new bass boat I would trade for something of same value if.you are interested just give me a call show contact info can water demo,,5925328929,,18,,stratos,,,$3500,power, (rainsville al),Stratos fish/ski,https://gadsden.craigslist.org/boa/5925328929.html,
