,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 15:50,"Johnson 9.9 hp long shaft 2 stroke Excellent condition Clean These were made as 15 hp but detuned with 9.9 carb and can be made back to 15 hp very easy. Strong, reliable, heavy duty, but light weight tough outboards Mark on the cowling is camera flash 845obo 887-6066",,5921338218,,4,,,,,$845,power, (Mat-su),Johnson 9.9 hp long shaft,https://anchorage.craigslist.org/boa/5921338218.html,
1,new,"['61.190100', '-149.936100']",2016-12-20 14:10,"2015 Mercury 9.9 big foot, long shaft, electric start. this motor is brand new just out of the box never been in the water!Lists for 2500 new  will take 2200 or best reasonable. I'm short on my mortgage  help me out and get a good deal!  Call Larry at show contact info price reduced to 2000",0,5899650252,61.190100,24,-149.936100,,"https://maps.google.com/maps/preview/@61.190100,-149.936100,16z",,$2000,power, (Anchorage),2015 Mercury 9.9 Big Foot,https://anchorage.craigslist.org/boa/5899650252.html,
2,,"['61.546300', '-149.590100']",2016-12-20 10:11,9' boat with oars and outriggers $275.00 Call Dave 841-7521,,5901778776,61.546300,9,-149.590100,,"https://maps.google.com/maps/preview/@61.546300,-149.590100,16z",,,human,,Row boat,https://anchorage.craigslist.org/boa/5901778776.html,
3,,"['61.154900', '-149.886600']",2016-12-20 09:17,"New in the box TRAC pot puller!  Bought this baby new and never pulled it out of the box, I bought it to mount on my boat so I could go get some fresh Alaskan shrimp.  My plans have change and would like to sell this beautiful piece of equipment to someone who will use it.  It has never been opened it is easy to mount, light and portable, it has a swivel pulley, overload protection and uses TRAC power connection.  Please contact me if your interested thanks for checking out my add.",,5927011580,61.154900,3,-149.886600,trac,"https://maps.google.com/maps/preview/@61.154900,-149.886600,16z",,$399,power, (Midtown),New TRAC Pot Puller,https://anchorage.craigslist.org/boa/5927011580.html,
4,good,"['61.546300', '-149.590100']",2016-12-20 07:24,I am looking for your old canoe one you don't use any more just sitting around give me a call or text (BUT NO FIBERGLASS),,5917024969,61.546300,0,-149.590100,,"https://maps.google.com/maps/preview/@61.546300,-149.590100,16z",,$1,human,,Old canoe,https://anchorage.craigslist.org/boa/5917024969.html,
5,,"['55.121500', '-131.579000']",2016-12-20 07:24,"40ft farrel (snowball) combination boat gillnet ready w/levelwind and twister drive. can be set up as troller,crabber/shrimper dive vessel. large spacious cabin with Dickenson stove and bus heater of engine for heat. standard electronics ie standard GPS/plotter color sounder vhf 36 mile radar. there are 8 hatches with capacity of 15-18k lbs. engine is a 3208T cat on a TD 2-1 gear. there is ample roon in engine room for a hotel set and RSW",4105,5926842862,55.121500,40,-131.579000,farrel,"https://maps.google.com/maps/preview/@55.121500,-131.579000,16z",,$65000,power,,40FT farrel,https://anchorage.craigslist.org/boa/5926842862.html,
6,new,,2016-12-20 06:19,"$14 dollars the foot linear. We build a support structure inside for snow loads. Humidity bag and air vent all included. Veteran Life long Alaskan. Licensed and insured. We are mobile, park it and get it wrapped. Open river boat special $150 Shrink Wrap of Alaska, Anchorage is a full service company specialized in the design and installation of environmental containment systems for blasting, painting, lead and asbestos abatement, and control of interior work areas for uninterrupted work progress. These environmental containment systems, along with our patented materials, are also used to weatherize construction projects, protect ships, package and preserve products, parts, pallets and for the protection and preparation of equipment for shipping or storage. Heat shrink wrap cover will protect any shaped object or structure from the elements on a temporary or long term basis. http://shrinkwrapofalaskaanchorage.com/ Please Call or Email show contact info",,5886791254,,100,,11111,,111111,$14,human, (Anchorage /Valley),"Shrink Wrap of Alaska, Anchorage",https://anchorage.craigslist.org/boa/5886791254.html,
7,excellent,,2016-12-20 05:51,"1984 Dana 20' Speedboat w/Tandem trailer and boat cover. 475"" BBC roller engine, Berkely JE pump w/new Stainless AA impeller, power trim (roosters), severe duty driveshaft and joints, New Hardin marine gauges, new control cables, bellows (steering, throttle, trim), new seat bases and marine upholstery. Keel guard, teak swim platform, hull hatch cover, full length 4x6 stringers, Through transom jacketed headers, Crower valve train w/stainless roller rockers, severe duty solid roller lifters w/HIPPO oiling, billet solid roller cam w/thrust button, cam gear thrust bearing, 3/8"" push rods, stud girdles, forged h-beam rods, duro shield competition main/rod bearings, SRP forged 10.2:1 pistons, ARP fasteners on mains/rods and heads,  Milodon HP/HV oil pump, 10 qt offshore oil sump, billet MSD distributor w/bronze gear. Edelbrock aluminum heads, intake, timing cover, Holley 750 marine carb and 120GPH fuel pump. If you're in the market for a very nice, fast, solid old school day cruiser check this one out. Will show in heated shop. Rob 907.three15.fifty3.sixty5",14,5926708244,,20,,Dana,,,$12500,power, (Wasilla),Dana 20' Speedboat,https://anchorage.craigslist.org/boa/5926708244.html,1984
8,,"['61.592300', '-149.395900']",2016-12-19 23:45,"Must sell for sacrifice! Price in April $20k buy it in the office season for a substantial savings. 28' Suncruiser, 50 hp Yamaha 4-stroke outboard, power trim. New composite seating with two tone vinyl apholstery, storage under seating. Swivel captains chair, shade roof over main Cabin front sun deck. If not sold by Friday 11/23 we will keep her, don't want to sell, need payroll. 982-7848",,5926507277,61.592300,28,-149.395900,,"https://maps.google.com/maps/preview/@61.592300,-149.395900,16z",,$16500,power, (Wasilla),Pontoon boat/party barge,https://anchorage.craigslist.org/boa/5926507277.html,
9,,,2016-12-19 23:34,"I have 2 acres of level land all in trees ; 600 feet off of a borough maintained road on a dirt road , 1 mile from pavement , in funny river near soldotna . would sell for $16000 cash or trade for a boat ,24 feet or longer ; capable of cruising the inside passage ; or ; would trade for land near larson creek ; near talkeetna . contact midnightsonatyahoodotcom",,5926504442,,24,,,,,$16000,power, (soldotna),"land to trade for boat, or land near larson creek",https://anchorage.craigslist.org/boa/5926504442.html,
