,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['33.412500', '-111.831900']",2016-12-20 18:27,I have a Bayliner Capri that needs some new flooring. Everything else is done. $1700 show contact info PICTURES AVAILABLE UPON REQUEST,,5927600896,33.412500,17,-111.831900,,"https://maps.google.com/maps/preview/@33.412500,-111.831900,16z",,,power,,Bayliner 85 HP. Runs excellent.,https://phoenix.craigslist.org/evl/boa/5927600896.html,
1,new,"['38.684500', '-121.225600']",2016-12-20 18:23,These light bars are brand new. For more info please visit our website www.diywake.com or call show contact info SHIPPING IF FREE!!!,,5927554623,38.684500,1,-121.225600,,"https://maps.google.com/maps/preview/@38.684500,-121.225600,16z",,$246,power,,Wakeboard Tower Bullet Three Light Bar,https://phoenix.craigslist.org/evl/boa/5927554623.html,
2,like new,"['33.576100', '-112.234400']",2016-12-20 17:51,This is a kids kayak rated to 150 pounds. Its only been used once and is in great shape. It also has a fishing gear rack/holder attachment wich I made when I first got it. Has both Paddles. If interested text me at show contact info,,5927565709,33.576100,7,-112.234400,,"https://maps.google.com/maps/preview/@33.576100,-112.234400,16z",,$60,human,,Kids Kayak,https://phoenix.craigslist.org/wvl/boa/5927565709.html,
3,new,[],2016-12-20 17:35,"2015 Marker One M25 w/ 10K Rebate! -Mercury 300 Hp Verado -Stainless steel Ski Tow -Transom Ladder -Snap In Carpet -Rockford Fosgate Stereo W/ transom Speakers & Remote -Mercury smart view Gauges -Large Bimini Top -Stainless Steel Docking Lights -Arm Rests -Integrated Ice Chest And Trash Can. -Trades Welcome! Financing available O.A.C. -Come see the all new Marker One Platform Series boats by Cobalt Action WaterSports 1320 W. Broadway Rd. Mesa, AZ 85202 480-844-5180 AWSBOATS.com",0,5927549800,,25,,Marker One,https://maps.google.com/?q=loc%3A+%31%33%32%30+W%2E+Broadway+Rd%2E+Mesa+AZ+US,M25,,power,,2015 Marker One M25 By Cobalt Boats w/ $10K Rebate!,https://phoenix.craigslist.org/evl/bod/5927549800.html,
4,good,"['33.551852', '-112.150947']",2016-12-20 17:10,Up for sale is my 1993 kachina lazer 21 foot open bow Very fast reliable and fun boat Has the higher horse power mag 454 with the strong bravo 1 out drive The boat was sitting for a few years and i brought it back to life but it cost me over $4000 to restore where it is now -full tune up on the engine and out drive with mercruiser parts and fluids -proper ac delco plugs -carb rebuilt and tuned by carb specs -all new interior from kachina themselves -new 23p and 26p prop 60+mph -new car tires on the trailer with chrome rims ect Great boat that is very fast and very efficient seats 10 people comfortable has a kicking stereo and hauls butt price is firm @ $6500 most boats like this go for over 10k open to trades for jetski sailboat sail catamaran larger powerboat or cuddy cabin let me know maybe even a jet boat and cash call or text show contact info For more info,150,5927474707,33.551852,21,-112.150947,Kachina,"https://maps.google.com/maps/preview/@33.551852,-112.150947,16z",Lazer laser,$6500,power, (43rd ave & northern),1993 kachina lazer open bow powerboat 454 mag bravo 1,https://phoenix.craigslist.org/wvl/boa/5927474707.html,1993
5,excellent,[],2016-12-20 16:54,"Super Clean 2005 MacGregor with a 50 HP four stroke Suzuki outboard in excellent condition New sails, new vhf radio, new Sony stereo with remote, two new batteries and fuel tanks. Has a bimini, a full custom cover and newer tires on the trailer. The 26M has a roomy interior and is very easy to launch and sail. Please no brokers or scammers. Will only consider a local cash sale. If the add is posted the boat is still available.",,5927506766,,26,,MacGregor,https://maps.google.com/?q=loc%3A+Union+Hills+at+Westbrook+Pky+Peoria+AZ+US,26M,$17000,sail, (Peoria),2005 MacGregor 26M Sailboat,https://phoenix.craigslist.org/wvl/boa/5927506766.html,2005
6,excellent,"['33.398400', '-111.651300']",2016-12-20 16:50,"1993 Bayliner 2755 Ciera for sale. She is powered by a 7.4 Mercruiser with a Bravo outdrive. This vessel has been meticulously maintained, is in great mechanical condition and professionally maintained for the last 8 years at the local marina. She has clean topside upholstery and the interior is also very clean. Bimini top and Isinglass enclosure for the cockpit. She sleeps 4 comfortably. - Fresh bottom paint 2 years ago by Hales Marine Service. - New shift and throttle cables. - New toilet. - New shower pump. - Fresh engine oil change. - New fuel fill hose. - Outdrive service just completed. - Three blade stainless steel propeller. - Flat panel television. - Alpine stereo with 4 speakers. - 6 cubic foot refrigerator. - Carry on air conditioner for those hot summer days. - Hot and cold water transom shower. Included in the purchase is a Honda EU2000i generator for when you are away from the dock and require power. Vessel has been wet slipped for the past two years and was removed from the lake last month and is currently in storage as the owners have relocated. She rides on a Loadmaster aluminum I-beam tandem axel trailer with surge brakes and fresh water cleanouts. The trailer just received four new tires last month from Fletchers. The beautiful vessel is being offered for $19,900.00 Call or text Bob show contact info",,5910039642,33.398400,28,-111.651300,Bayliner,"https://maps.google.com/maps/preview/@33.398400,-111.651300,16z",Ciera,$19900,power,,1993 Bayliner Ciera 2755,https://phoenix.craigslist.org/evl/boa/5910039642.html,1993
7,,"['33.414822', '-111.880817']",2016-12-20 16:49,"Mesa RV and Boat Storage We've got about an acre - on a great location - spots open now! Month - Month Storage show contact info Please call Mon-Friday 8:30am-5:30pm Visit: www.MesaRVBoatStorage.com for information Watercraft, Boats, Jet Skis on Trailers, Motor Homes: $50 per month - Less than 24 feet total length $55 per month - 24 - 30 ft total length $65 per month - 30 - 40 ft total length Prices shown include taxes. Credit cards also accepted for 3% additional fee.",,5927466222,33.414822,18,-111.880817,,"https://maps.google.com/maps/preview/@33.414822,-111.880817,16z",,$50,power, (West Mesa),Boat - JetSki - Watercraft Storage,https://phoenix.craigslist.org/evl/boa/5927466222.html,
8,excellent,"['33.635800', '-110.974900']",2016-12-20 16:46,"2005 Myacht house boat. 48' x 15'.      Aluminum pontoons are in great shape. Has twin 60hp big foot four stroke outboards . Boat runs great with no issue. Generator runs good as well. Two bedrooms one bath and hide a bed sleeps 6 comfortably Nice kitchen with open floor plan that makes it roomy. New flooring. Large upper deck for plenty of seating or lounging. Upper helm and lower . Top canvas and cushions are being redone.has two 30 amp service cords for all the electric you you'll ever need .This boat is the perfect size for cruising as larger ones can be a bit of a challenge. Call or text.   Asking $ 79,900",,5927470515,33.635800,48,-110.974900,Myacht,"https://maps.google.com/maps/preview/@33.635800,-110.974900,16z",,$79900,power, (Roosevelt lake marina),House boat  2005 Myacht  Price just reduced,https://phoenix.craigslist.org/wvl/boa/5927470515.html,2005
9,good,[],2016-12-20 16:11,"2001 Calabria Pro V -Mercruiser 350 5.7l -Gravity Fill ballast -Perfect Pass -Wakeboard Tower W/ Speakers and board racks -Tower Mounted mirror -Table W/ Base -Custom Stereo W/ Subwoofers and control knobs -Depth Finder -Tandem Axle trailer -Action WaterSports 1320 W. Broadway Rd. Mesa, AZ 85202 480-844-5180 AWSBOATS.com",,5927458068,,23,,Calabria,https://maps.google.com/?q=loc%3A+%31%33%32%30+W%2E+Broadway+Rd%2E+Mesa+AZ+US,Pro V,$21900,power, (Mesa),2001 Calabria Pro V 23ft Loaded @ A Great Price!,https://phoenix.craigslist.org/evl/bod/5927458068.html,2001
