,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['34.561474', '-111.852180']",2016-12-20 12:25,"9'6"" kayak in great cond.Includes 3pc paddle and Stearns angler life vest.Super stable on the water thanks to it's hull design so it's great for the beginner or someone wanting to fish some of the harder places to get to.New it would be $330,asking $180.Might trade for the right thing,2nd amend plinker,tablet/laptop or Xbox 360.Lowballers don't waste your time.Reply with ph# with offer.Merry Christmas",,5914470887,34.561474,10,-111.852180,,"https://maps.google.com/maps/preview/@34.561474,-111.852180,16z",,$180,human, (Camp Verde),Payette 116 Kayak,https://prescott.craigslist.org/boa/5914470887.html,
1,,"['34.601900', '-112.326400']",2016-12-20 10:05,Jet boat jet Avator runs amazing very fast lots of fun Lake ready call tony 928 two three seven seven three nine seven,,5926910272,34.601900,18,-112.326400,Sundance,"https://maps.google.com/maps/preview/@34.601900,-112.326400,16z",,$3500,sail, (Preskett Valley),78 Sundance jet boat  460 big block,https://prescott.craigslist.org/boa/5926910272.html,
2,good,,2016-12-20 09:45,"This is a 7-foot long whitewater kayak playboat in good condition. It has scratches from normal use (see pics), but is a solid whitewater boat. Includes back and knee braces and foam foot braces. I used it on the Verde River and San Juan a few times, but have another boat, so don't need it any longer. I'm asking $250 for just the boat, but if you want the Harmony Horizon Line whitewater carbon fiber paddle (I paid $70 for it) with offset blades and Cascade helmet, I can sell everything for $300, firm.",,5922013189,,7,,WaveSport,,EZ,$250,human, (Prescott Valley),WaveSport EZ Whitewater Kayak,https://prescott.craigslist.org/boa/5922013189.html,
3,good,,2016-12-20 05:01,Eventide 6 horse. $200/obo I don't need help selling I will delete ad when it's sold Steve 928sevenone3527three,,5914391420,,6,,Evenrude,,,$200,power, (Dewey),6hp evenrude,https://prescott.craigslist.org/boa/5914391420.html,
4,good,,2016-12-20 05:01,Eventide 6 horse. $200/ obo Steve show contact info,,5914412523,,6,,Evenrude,,,$2,power, (Dewey),6hp evenrude,https://prescott.craigslist.org/boa/5914412523.html,
5,,[],2016-12-19 14:23,"12' boat and trailer. 2 Minnkoto trolling motors, 1 28 and 1 30 lb thrust, 3.5 hp  Nissan outboard, life preservers, anchor,oars. Trailer had new wiring, lights. New tires. Asking: $1450 call or text Mike: show contact info",,5919623302,,35,,,https://maps.google.com/?q=loc%3A+%32%34%33%34%35+N+Cleveland+St+paulden+AZ+US,,$1450,power, (paulden),12 ' STARCRAFT FISHING BOAT,https://prescott.craigslist.org/boa/5919623302.html,
6,,"['34.818500', '-112.958400']",2016-12-19 12:36,"Feather-Lite v-hull; no leaks, 3 h.p. engine and elec. trolling motor; good tags. show contact info thanks.",,5918942573,34.818500,12,-112.958400,,"https://maps.google.com/maps/preview/@34.818500,-112.958400,16z",,$535,power, (prescott),"12' alum. boat, 2 motors, x-tras",https://prescott.craigslist.org/boa/5918942573.html,
7,excellent,"['34.601900', '-112.326400']",2016-12-19 08:04,"1992 24' Larson for sale. Has Chevy 350 4-bolt main engine with less than 20 hours. Sleeps 4. Cabin has enclosed head, sink, refrigerator, stove, stereo. Stainless steel dual counter-turn prop., trim tabs, 8 ft. beam. Comes with dual axle Roadrunner trailer. Excellent boat camping set-up and plenty of power for playing. Currently winterized but I will start the motor for serious buyers. Asking $11,495 OBO. Call for details. Ron- show contact info or show contact info I live in PV.",20,5925333916,34.601900,24,-112.326400,Larson,"https://maps.google.com/maps/preview/@34.601900,-112.326400,16z",,$11495,power, (Prescott Valley),1992 24' Larson,https://prescott.craigslist.org/boa/5925333916.html,1992
8,excellent,[],2016-12-19 00:58,"Okay, here's the deal. My wife and I have fallen onto some difficult financial times and are forced to either liquidate assets or make those assets generate income. We have decided to sell week long vacation packages on our 2001 75'x16' Sunstar houseboat accompanied by our 4 Honda Aquatrax F12X jet skies. This is not a time share, I say sell because I am offering a full vacation service of which I am personally present for and attending to the needs of each trip. This is much more than simply renting equipment or buying into a time share and I think that you will find it less expensive as well. Available 2017 weeks are as follows; Dec 28th, 2016-Jan 4th 2017 Jan 25th - Feb 1st Feb 22nd - Mar 1st Mar 22nd - 29th Apr 19th - 26th May 17th - 24th Jun 14th - 21st Jul 12th - 19th Aug 9th - 16th Sept 6th - 13th Oct 4th - 11th Nov 1st - 8th Nov 29th - Dec 6th For $6,000.00 (+ fuel and grocery costs) you will get 1 full week (Wed-Wed) aboard Too Much Fun (2001 Sunstar 75'x16' houseboat) as well as usage of 4 2005 Honda Auquatrax F12X jet skis and the services of an experienced captain, mechanic and avid Lake Powell boater. Included in your vacation package if you so desire is personal instruction in boating and water-sports. Boat comes completely stocked with everything you will need to make your vacation great. The boat has 4 state rooms and 2 bathrooms. The couch pulls out into a bed and there are stow-able pads for sleeping on the decks. The boat sleeps 10 in beds and parties of 15-18 are doable but do start to get cramped. All you would need to bring is your clothes and grocery's. For an additional $1,000.00 (+ grocery costs) we will even include a cook/maid. You send us a menu and we will do your shopping, stocking, cooking and cleaning for you. Two week vacations are possible if you so desire but will increase the package price as well as your fuel and grocery expense. Call to discuss extended vacation packages. Fuel costs are completely dependent on how far up the lake you want to go, how much you want to run the generator and how much jet skiing you do. We generally budget for $1,500.00 for 1 week. Likewise, grocery's are dependent on your party size and menu. We normally budget for $1,200.00 for 1 week and a party size of about 15 to 18. If jet skis and a cook/maid are not desirable options to your party, I will do one week on the just the houseboat for $5,000.00 (+ fuel and grocery costs) Deposit: A $1000.00 deposit will be due at time of booking which will be applied to the vacation package price. Deposits are payable via cash, cashiers check, wire transfer, money order or personal check. Payment in full: Vacation package balance to be paid in full 45 days prior to departure. If full payment is not received at least 45 days prior to departure date, your reservation will be considered canceled and your entire deposit will be forfeited. Balance is payable via cash, cashiers check or wire transfer. *Note, all reservations made within 45 days of departure date require full payment at time of booking. Damage Deposit: $2,500.00 refundable damage deposit will be due upon and in the same methods of payment as the vacation package balance. The damage deposit is not insurance. It's sole purpose is to cover damages caused by you or your party. Damages in excess of $2,500.00 will remain the responsibility of the purchaser of this vacation package. Cancellations: Cancellations made 60 days or more in advance of the departure date will receive a refund of any monies paid less a $100.00 cancellation fee. Cancellations made 45 - 59 days in advance of the departure date will receive a refund of any monies paid less a $500.00 cancellation fee. Cancellations made within 44 days of departure date will receive a refund of any monies paid less a $1,000.00 deposit/cancellation fee. Pets: House broken dogs are allowed and will be charged an additional $100.00 pet cleaning fee per dog. I want your trip to be one of comfort, relaxation and simply one that lasting memories are made from. I can only imagine the thoughts going through your head as you ponder whether or not to book a Lake Powell vacation from some stranger on Craigslist. Wanting you to feel completely comfortable, here's a little bit about me. My name is Brian and I have been married for 16 years. I have been a resident of Prescott Arizona since 1981 and have strong ties to this community. I have been boating on Lake Powell since 1985 and have been involved in houseboats for the last 10 years. I am a born again Christian and regular attender of Heights Church in Prescott, Arizona. I served in the army for a brief stent straight out of high school and am a 16 year veteran and current Lieutenant of the Yavapai County Sheriffs Office. Believe me, I have allot to loose by conducting bad business. I will be happy to provide references upon request. Please view the attached pictures and feel free to ask any and all questions prior to booking. You are more than welcome to call or text me on my cell phone, show contact info Thank you for looking and have a blessed day.",,5925101476,,75,,Sunstar / Honda,https://maps.google.com/?q=loc%3A+%31%30%30+lakeshore+dr%2E+page+AZ+US,75'x16 / Auquatrax F12X,$6000,power," (G Dock, Wahweap Marina)",Selling individual weeks on my Lake Powell houseboat and jet skis,https://prescott.craigslist.org/boa/5925101476.html,2001
9,fair,"['34.365500', '-112.129600']",2016-12-18 13:13,"305 cubic inch chevy, 230hp, stainless steel prop.  2 beds, galley, bathroom.  Travel cover, full enclosure and sun shade.",123,5911467090,34.365500,21,-112.129600,Bayliner,"https://maps.google.com/maps/preview/@34.365500,-112.129600,16z",Ciera 2155,$9500,power, (Mayer),21' Bayliner Ciera 2155,https://prescott.craigslist.org/boa/5911467090.html,1988
