,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-18 12:03,"Runs great very fast , trades tent trailer,utillity trailer quad , stand-up ski aluminum boat&trl, or whatcha got or700 cash Six2 three9869453 send pic",,5924437627,,19,,,,,,power,,HX seadoo,https://showlow.craigslist.org/boa/5924437627.html,
1,excellent,"['34.299800', '-110.000000']",2016-12-14 08:40,12 Ft. Mirror Craft fishing boat in excellent condition. Trailer has newer paint and tires and spare tire. New seats. Fish finder and pole holders. Also includes 3 trolling motors (34-50lb thrust) and 2 batteries.,,5918962581,34.299800,12,-110.000000,,"https://maps.google.com/maps/preview/@34.299800,-110.000000,16z",,$1500,power, (Show Low AZ),12 Ft Fishing Boat,https://showlow.craigslist.org/boa/5918962581.html,
2,excellent,"['34.107700', '-109.294000']",2016-12-11 07:43,"1993, precision blend in excellent condition, low hours, mechanic maintained. On a 76 sea ray 1 that is half redecked, has decent trailer so can be pulled. Health problems and can't finish. The motor, controls, and fuel system are ready to run. $2000 OBO",,5914735140,34.107700,18,-109.294000,Sea ray,"https://maps.google.com/maps/preview/@34.107700,-109.294000,16z",,$2000,power, (Eagar),Yamaha 115 outboard,https://showlow.craigslist.org/boa/5914735140.html,1976
3,excellent,"['34.299800', '-110.000000']",2016-12-08 17:29,Cheetah Ski Boat Details: 17 1/2 Feet Factory 455 Olds 410 Horse Power Engine with 10 hours on re-built engine Stainless Steel Impeller Berkeley Pump Tall Tunnel Ram with two 750 Edlebrooks 2 Aluminum gas tanks 15 Gal on each side Color Tangerine Fleck Like new Coast trailer  with baby moon hubcaps This boat has been well cared for and maintained. Garage kept and in very good condition. Will consider offers.,10,5868789124,34.299800,176,-110.000000,Cheetah,"https://maps.google.com/maps/preview/@34.299800,-110.000000,16z",,$6400,power, (Show Low Az Sierra Pines),1973 Cheetah Jet Ski Boat and Trailer,https://showlow.craigslist.org/boa/5868789124.html,1973
4,,"['34.299800', '-110.000000']",2016-12-07 09:06,Sundolphin 5 seat pedal boat sold AS IS- needs to be resealed at the seam. $300 OBO. Text is best 92eight-24two-eight573,,5909308384,34.299800,7,-110.000000,Sundolphin,"https://maps.google.com/maps/preview/@34.299800,-110.000000,16z",,$300,human, (Linden),Pedal boat,https://showlow.craigslist.org/boa/5909308384.html,
5,,,2016-12-04 17:04,"Stratos 201 Fish & Ski Boat 20'. Johnson 200 HP motor - works extremely well, will do 55 mph. Has a 55lb thrust Minkota Terrova trolling motor, Hummingbird fish finders on bow & console, aeriated live wells, front & rear compartments, 3 ice chest compartments, 3 batteries w/3 bank charger, 40G capacity fuel tank. Comes with Bimini top, ski poles w/braces for pulling tubers or skiers. Everything works & functions properly. Good trailer tires. Boat does not leak - fiberglass gel coat in great condition for its year. Always stored in garage covered.",,5905560241,,20,,,,,$7000,power, (Taylor),'96 Stratos Fish & Ski Boat,https://showlow.craigslist.org/boa/5905560241.html,
6,good,,2016-11-29 15:37,"I'm selling my fishing boat. I've had it for 2 and a half years and have only used it twice. Nothing wrong with it, just never use it. It's a 16 foot aluminum hull with trailer. Has fish finder, anchor, tow rope. needs a new battery. Has rod holders, 4 adult life vest 3 universal vest a child's vest and 4 camo flotation devices. Comes with two engines one works flawlessly (the evinrude 2stroke 6hp) and the Yamaha needs some carb work and new battery connections. its a 9.9hp 4stroke. Newer carpet too. Has CD player, and a net. It has three seats but is rated for 6 people. Everything you need to go fishing except the battery. $3,000 firm located in nutrioso.",,5898255838,,16,,Sea nymph,,,$3000,power, (Nutrioso),Fishing boat,https://showlow.craigslist.org/boa/5898255838.html,1986
7,good,"['34.299800', '-110.000000']",2016-11-26 07:37,"VIO HOLDA 13FEET+8 INCHES BOAT=has clear title=with trailer=no title. Will match air stream. Has cover,2 fold up fishing seats,TROLLING MOTOR, life jackets, oars, Minkota 20 pound thrust, battery=$875.00 OBO CALL show contact info NO TEXTING",,5854391642,34.299800,13,-110.000000,VIO HOLDA,"https://maps.google.com/maps/preview/@34.299800,-110.000000,16z",,$875,power, (SHOW LOW),1958 VIO HOLDA METAL BOAT/TRAILER,https://showlow.craigslist.org/boa/5854391642.html,
8,good,"['34.150000', '-114.289100']",2016-11-25 10:28,"89 Prostar 190  w/trailer stored indoors. Extras available including wakeboard tower. Clean tittle, No problems with boat. Having a baby and won't be to river for at least a year.",400,5891712890,34.150000,19,-114.289100,Mastercraft,"https://maps.google.com/maps/preview/@34.150000,-114.289100,16z",190,$10000,power, (Parker),Mastercraft Prostar 190,https://showlow.craigslist.org/boa/5891712890.html,1989
9,,"['34.467900', '-110.089788']",2016-11-25 09:29,"GREAT GIFT... light weight, needs new seats, trolling 50# thrust, fish finder, trailer included, boat title, gas motor, I bought it and never used just want to sell, cash, no trade or payments, still listed still for sale,  reply by email, no holds, dont know what works, as is, Taylor Az. cash offer",,5875362779,34.467900,1,-110.089788,,"https://maps.google.com/maps/preview/@34.467900,-110.089788,16z",,$850,power,,fishing boat REDUCED,https://showlow.craigslist.org/boa/5875362779.html,
