,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['32.221700', '-110.926500']",2016-12-20 08:07,I'm selling a nice 12' inflatable Avon w/9.8 4 cycle Nissan electric start boat does not leak air or water with color depth sounder does not come with trailer please call jerry @ show contact info,,5926696083,32.221700,12,-110.926500,,"https://maps.google.com/maps/preview/@32.221700,-110.926500,16z",,$1250,power, (Benson),12' Avon inflatable w/9.8 elect,https://sierravista.craigslist.org/boa/5926696083.html,
1,good,"['32.403769', '-109.963659']",2016-12-20 06:23,"End of season special. 1984 Sea Ray Sundancer 260. Boat has had major work done this season, rebuilt outdrive, tune up, new outdrive lift, complete service. Comes with tandem axel trailer w/ new tires, 4 adult life vests, all safety equip, 2 spare props, new bimini top and cockpit cover. Boat was last used Nov 6, this year. Runs strong and comfortable. Great family boat w/ galley, head and forward and aft cabins. $5500 OBO or consider partial trade for 2nd amendment items. building a carport or Down Payment on White Mountains acreage. If the listing is up the boat is still available. I do not need help selling this.",880,5886100800,32.403769,27,-109.963659,Sea Ray,"https://maps.google.com/maps/preview/@32.403769,-109.963659,16z",Sundancer 260,,power,,1984 Sea Ray 260 Sundancer,https://sierravista.craigslist.org/boa/5886100800.html,1984
2,,"['31.663900', '-110.333400']",2016-12-19 20:01,Got a 1986 2 seater pioneer 11' boat. With trailer $1900obo show contact info,,5919894063,31.663900,11,-110.333400,,"https://maps.google.com/maps/preview/@31.663900,-110.333400,16z",,$1900,power, (Huachuca city),11' vintage boat,https://sierravista.craigslist.org/boa/5919894063.html,
3,,"['31.410535', '-109.877057']",2016-12-19 16:56,This 87 Tracker Marine Boat has an 150 HP Mercury outboard motor and a 1yr old MinnKota trolling motor purchase for 1500 and used one season. The trailer is nice and fully functional. The interior needs work and the previous owner had already purchased new carpet and was beginning the work before his untimely passing.  There is a fish finder as well as other fishing implements/ poles/lures etc... Comes with a cover also.  This is a bargain for anyone familiar with bass fishing boats.,,5909956785,31.410535,18,-109.877057,,"https://maps.google.com/maps/preview/@31.410535,-109.877057,16z",,$2500,power,,1987 Marine Tracker Boat w 150hp outboard,https://sierravista.craigslist.org/boa/5909956785.html,1987
4,,"['31.663900', '-110.333400']",2016-12-17 09:15,has ben compleaty re built,,5923022021,31.663900,15,-110.333400,ebbtide,"https://maps.google.com/maps/preview/@31.663900,-110.333400,16z",,$1300,power, (huachuca city),ebbtide 1976 15 ft,https://sierravista.craigslist.org/boa/5923022021.html,1976
5,good,,2016-12-14 21:17,"1972 Crestliner 14 foot boat, refurbished, with Mariner 40HP motor. 1991 Ford F150 Pickup, runs great. Includes trailer.",,5919953881,,14,,Crestliner,,,$6000,power, (Sierra Vista),Crestliner 14 foot boat with Ford 150 and Trailer,https://sierravista.craigslist.org/boa/5919953881.html,1972
6,fair,"['31.536500', '-110.266600']",2016-12-13 14:07,"Selling project boat 120 HP MerCruiser engine needs alot of TLC,but worth the effort 400OBO",,5918091547,31.536500,20,-110.266600,,"https://maps.google.com/maps/preview/@31.536500,-110.266600,16z",Engine-120 HP MerCruiser,$400,power, (Sierra Vista),Project boat for sale,https://sierravista.craigslist.org/boa/5918091547.html,
7,good,"['31.536500', '-110.266600']",2016-12-10 23:32,I have a john that Has been used several times and is perfect for just throwing in the truck and going to the lake. It has no leaks. Text me for pics i will get those to u as soon as i can.,,5914531349,31.536500,13,-110.266600,,"https://maps.google.com/maps/preview/@31.536500,-110.266600,16z",,$550,human, (Sierra vista),13 ft john boat,https://sierravista.craigslist.org/boa/5914531349.html,
8,,,2016-12-08 12:18,For Sale...1962 Custom Liner with Trailer...2 Trolling Motors Front and Back with Rear Battery and Cables for front trolling motor...2 office chairs for seats...trailer and boat in good shape...2 vests... $500 Cash / Local Sale Only...If interested please call show contact info and leave message with your name & number and we will return your call ASAP...TEXT MESSAGES WILL NOT BE ANSWERED,,5911080736,,16,,,,,$500,power,,1962 Custom Liner with Trailer,https://sierravista.craigslist.org/boa/5911080736.html,
9,like new,"['32.724000', '-116.997600']",2016-12-05 19:13,Nice  boots 1975 good  work  ok,,5907215511,32.724000,197,-116.997600,,"https://maps.google.com/maps/preview/@32.724000,-116.997600,16z",,$3900,power,,San Diego,https://sierravista.craigslist.org/boa/5907215511.html,
