,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 15:48,,,5912720030,,,,,,,$11500,, (pearl),Four Winns Horizon 190 *reduced*,https://texarkana.craigslist.org/boa/5912720030.html,
1,,,2016-12-20 15:24,,,5898198536,,,,,,,,,,2013 ALUMA CRAFT 20HP YAMAHA 4 STROKE,https://texarkana.craigslist.org/boa/5898198536.html,
2,,,2016-12-20 15:14,,,5927304624,,,,,,,$22500,, (Searcy),Kawasaki Ultra 310x & Yamaha VXR 1800,https://texarkana.craigslist.org/boa/5927304624.html,
3,,,2016-12-20 13:49,,,5916184060,,,,,,,$9500,," (Dibble, OK)",2004 Bass Tracker PT175 Special Edition,https://texarkana.craigslist.org/boa/5916184060.html,
4,,,2016-12-20 12:00,,,5927002075,,,,,,,$1250,, (Ashdown),"1994 EVINRUDE 15hp Elect, Start",https://texarkana.craigslist.org/boa/5927002075.html,
5,,,2016-12-20 07:05,,,5903320467,,,,,,,$375,," (henderson, tx)",Yamaha Waveraider 700 Delux,https://texarkana.craigslist.org/boa/5903320467.html,
6,,,2016-12-19 17:04,,,5926084423,,,,,,,$2500,, (Rodessa la),Yamaha Motor/Boat,https://texarkana.craigslist.org/boa/5926084423.html,
7,,,2016-12-19 11:27,,,5889891474,,,,,,,$17000,,,1850 Gator Trax 5500 Sport mag,https://texarkana.craigslist.org/boa/5889891474.html,
8,,,2016-12-19 06:15,,,5925182429,,,,,,,,,,WTB 25HP Mercury  2 STROKES,https://texarkana.craigslist.org/boa/5925182429.html,
9,,,2016-12-18 17:17,,,5904886726,,,,,,,$1000,, (Texarkana),2005 Bass Buster 10 foot boat and trailer,https://texarkana.craigslist.org/boa/5904886726.html,
10,,,2016-12-18 12:39,,,5885207162,,,,,,,$750,, (henderson),Four Winds 180 Trailer,https://texarkana.craigslist.org/boa/5885207162.html,
11,,,2016-12-17 10:53,,,5923079188,,,,,,,$17000,, (Texarkana),2008 GX 185,https://texarkana.craigslist.org/boa/5923079188.html,
12,,,2016-12-16 17:00,,,5922323576,,,,,,,$650,, (dodd city tx),10 ft aluminum boat with trailer,https://texarkana.craigslist.org/boa/5922323576.html,
13,,,2016-12-16 11:56,,,5882586278,,,,,,,$7900,, (Mount Vernon),1994 19' Cajun Bass Boat 150H Johnson,https://texarkana.craigslist.org/boa/5882586278.html,
14,,,2016-12-16 11:55,,,5882470301,,,,,,,$3500,, (Mount Vernon),2 1996 Yamaha Waverunner 760 Jet Skis,https://texarkana.craigslist.org/boa/5882470301.html,
15,,,2016-12-16 08:28,,,5890486674,,,,,,,$5250,, (Cabot),NITRO 185 SPORT,https://texarkana.craigslist.org/boa/5890486674.html,
16,good,[],2016-12-16 03:52,"1997 Beachcomber 24ft Travis Edition with 140 Johnson that has 115 cover. No trailer. Short term Layaway available with no credit check. Most boats we require $500.00 down. We will go up to 3 months in the spring/summer and up to 6 months in the fall/winter. We also offer upgrades such as new or reupholstered seats, new carpet, slides, tritoons, double decks, hard tops, new soft tops and motor upgrades. Single axle trailer would be $1,600 and a dual axle would be $1,800 Come and customize your boat now. Trades welcome. Shown by appointment only. Call Jason @ show contact info or D.J @ show contact info If no answer Please text.",,5921417059,,24,,Beachcomber,https://maps.google.com/?q=loc%3A+%32%30%30+River+Heights+Terrace+Hot+Springs+AR+US,Travis Edition,$5500,power, (Hot Springs),1997 Beachcomber 24ft with 140 Johnson.,https://texarkana.craigslist.org/boa/5921417059.html,1997
17,,,2016-12-15 19:41,,,5921142405,,,,,,,$2500,," (Texarkana, AR)","Fishing Boat, & Trailer/Loaded!",https://texarkana.craigslist.org/boa/5921142405.html,
18,good,,2016-12-15 19:21,"For Sale $8,000 2012 Xpress 1650 with a Mercury 60/40 jet foot 4 stroke motor is a 2013 still under warranty until July 2017 and electrical warranty until 2019. Big live well, Lowrance depth finder, Bimini top, Diamond City Trailer and 4 speaker stereo. show contact info Ashdown, AR",100,5921144134,,16,,Xpress,,1650,$8000,power," (Ashdown, AR)",2012 1650 Xpress,https://texarkana.craigslist.org/boa/5921144134.html,2012
19,,,2016-12-15 11:12,,,5920475007,,,,,,,$2000,, (Texarkana),Party TIME,https://texarkana.craigslist.org/boa/5920475007.html,
20,,,2016-12-15 10:37,,,5920419102,,,,,,,$2900,, (Texarkana),Pro gator,https://texarkana.craigslist.org/boa/5920419102.html,
21,,,2016-12-13 15:58,,,5918139700,,,,,,,$2500,, (Texarkana),Express Boat,https://texarkana.craigslist.org/boa/5918139700.html,
22,,,2016-12-13 13:29,,,5917779561,,,,,,,$38500,, (Texarkana),2014 progator 210 xtreme,https://texarkana.craigslist.org/boa/5917779561.html,
