,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 14:26,Sears Gamefisher Boat Call for info Please call or text 661-978- 9 991,,5895859357,,17,,Sears,,Gamefisher,$1850,power, (Bakersfield),Sears Gamefisher Boat,https://bakersfield.craigslist.org/boa/5895859357.html,
1,like new,,2016-12-20 14:04,"Cargobuckle retracting strap 1"". New - never used - I carried it as a spare for my boat trailer. Retails $50+ on Cabelas.   There are none better!",,5901106761,,3,,cargobuckle,,1 inch retracting,$15,human, (Bakersfield N/E),"Cargobuckle retracting strap 1"" NEW",https://bakersfield.craigslist.org/boa/5901106761.html,
2,good,"['34.429600', '-119.861200']",2016-12-20 11:01,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5927102519,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp,jet-drive, $4k OBO 'RUNS'",https://bakersfield.craigslist.org/boa/5927102519.html,1973
3,good,"['35.148200', '-119.455700']",2016-12-20 10:40,"2006 (175) Bayliner. Stay on the lake for 2 days on this 4 cylinder Mercury in board motor on 1 tank of gas. This boat will come with a knee board, inner tubes, and ski's. Oh and a fish finder w/ a trolling motor. Need to find a good home, haven't used in 2 years. I am the only owner.  $7500 obo! Will take a partial trade.    This will make a great Christmas Gift, especially before the spring time!!!!!!!",,5920782705,35.148200,17,-119.455700,,"https://maps.google.com/maps/preview/@35.148200,-119.455700,16z",,$7500,power, (Taft),2006 Bayliner 175 w/ trolling motor,https://bakersfield.craigslist.org/boa/5920782705.html,
4,,,2016-12-20 10:01,Low hour boat in excellent condition. Monsoon 350. Only 16 hours! Loaded with options.,,5927004907,,24,,,,,$69500,power,,2015 Axis A24,https://bakersfield.craigslist.org/boa/5927004907.html,
5,,,2016-12-20 07:47,"Volvo Penta 4 cyl. Runs great wth trailer. Needs interior redone, 1200 obo,  this is a landline phone so no texts, serious calls only.  Jerry show contact info",,5919062450,,16,,,,,$1200,power, (bakersfield),Bayliner,https://bakersfield.craigslist.org/boa/5919062450.html,1982
6,,"['34.429600', '-119.861200']",2016-12-20 07:26,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5926755548,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp,jet-drive, $4k OBO 'RUNS'",https://bakersfield.craigslist.org/boa/5926755548.html,1973
7,excellent,"['35.547515', '-118.935702']",2016-12-20 04:50,"2005 triton 196 bass boat. It runs great. I go fishing all the time. Always kept in the garage. It has a 200 mercury optimax. A 70lbs thrust motorguide trolling motor. Comes with a 10"" humminbird with gps. It has the back full seat and the front half seat. 2 brand new blue top optima batteries. Comes with a cover. It has hydraulic steering. Pro trim on the steering wheel. The boat is tournament ready.    It has one tear on a seam in the driver seat. Pink slip in hand. I'm selling this boat to start hunting out of state with my family i know i won't have time.  If you have any questions text me or call me. Thank you",,5921511712,35.547515,20,-118.935702,,"https://maps.google.com/maps/preview/@35.547515,-118.935702,16z",,$15000,power, (Bakersfield),2005 Triton 196 bass boat,https://bakersfield.craigslist.org/boa/5921511712.html,
8,,"['35.385500', '-118.986000']",2016-12-19 18:59,hello selling this boat. is about 12ft or more. asking $75,,5926324493,35.385500,12,-118.986000,,"https://maps.google.com/maps/preview/@35.385500,-118.986000,16z",,$75,human,,boat for sale,https://bakersfield.craigslist.org/boa/5926324493.html,
9,,[],2016-12-19 16:36,24 ft wakeboard boat!!! 350 motor under 300 hours !!!!!!! stereo!!!!! very shiny and clean inside and out !!!!!!! title in hand !!! 22500 firm !!!!!!!!!! toyota honda nissan mazda lexus mercedes benz f bmw nintendo xbox 360 ps3 dell apple iphone ipad 3 ipod,300,5910227720,,240,,,https://maps.google.com/?q=loc%3A+white+ln+at+hughes+bakersfield+CA+US,,$22500,power, (bakersfield),05 calabria pro-v,https://bakersfield.craigslist.org/boa/5910227720.html,
