,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 13:12,Low hour boat in excellent condition. Only 316 hours. Loaded with options. Monsoon 350.,,5927243490,,22,,,,,$67900,power,,2012 Malibu Wakesetter 22 MXZ,https://fresno.craigslist.org/boa/5927243490.html,
1,,"['36.801863', '-119.704628']",2016-12-20 12:12,1975 Tahiti day cruiser 22ft Runs n looks great 460 motor with lots of chrome Berkeley jet drive Bimini top to match boat n seats New trailer tire $3900 Obo show contact info,,5912366460,36.801863,22,-119.704628,,"https://maps.google.com/maps/preview/@36.801863,-119.704628,16z",,,power,,🚤 75 TAHITI DAY  CRUISER,https://fresno.craigslist.org/boa/5912366460.html,
2,new,[],2016-12-20 09:59,"Great side console fishing boat that is totally compliant for use in any and all lakes in California....OK FOR MILLERTON. It's a very stable and safe fishing platform that is so easy to launch and retrieve, can be towed by any vehicle and will fit in most any garage. It's in new condition with Nautolex marine vinyl covered floorboards/decks & new camo seats. The trailer is a new factory matched Tracker Trailstar set up by Bass Pro Marine. The Honda 25 four stroke with remote control is not brand new but it runs perfectly and it's appearance is like a new one. Honda is considered by most everyone as the very best outboard motors built. It's whisper quiet, clean burning and economical to operate. The cost of this motor new is around $4500.00. This package is bargain priced and will not disappoint any buyer. I won't look at offers by email so don't bother throwing something at me. Come take a look and compare with other boats that are out there. You'll see a great little package at a fair price. show contact info",,5923234699,,15,,Tracker,https://maps.google.com/?q=loc%3A+The+Old+Road+at+Magic+Mountain+Parkway+Valencia+CA+US,1548,$5500,power, (100% MINT ~ SF Valley),TRACKER 1548 JON w/ HONDA  25 HP FOUR STROKE,https://fresno.craigslist.org/boa/5923234699.html,2016
3,new,"['36.752800', '-119.706100']",2016-12-20 09:29,Great little fishing boat.  Powered by Honda Marine 15hp 4 stroke outboard.  Comes with a standard painted trailer.  We can upgrade the engine to a 20 or 25 hp.,0,5900867690,36.752800,15,-119.706100,,"https://maps.google.com/maps/preview/@36.752800,-119.706100,16z",,$7400,power,,2017 Lund WC-14- Honda Marine,https://fresno.craigslist.org/boa/5900867690.html,
4,new,"['36.752800', '-119.706100']",2016-12-20 09:28,Brand New 2017 Model.  Smooth ride.  Mercury 200hp OptiMax.  Bow mount trolling motor. Hydraulic steering. Humminbird Helix 9 console mount. Humminbird Helix 7 bow mount fish finder.  Email for more details.,,5900874318,36.752800,20,-119.706100,,"https://maps.google.com/maps/preview/@36.752800,-119.706100,16z",,$48500,power,,2017 LUND 1875 PRO V Bass,https://fresno.craigslist.org/boa/5900874318.html,
5,new,"['36.752800', '-119.706100']",2016-12-20 09:28,"Brand New 2017 Lund Fury.  Honda 60hp remote steering, dual console.  This is a great boat for family and fishing.  Standard painted trailer w/ spare tire.  Email for more info.",,5900878544,36.752800,18,-119.706100,,"https://maps.google.com/maps/preview/@36.752800,-119.706100,16z",,$22000,power,,2017 Lund 1625 Fury- Honda Marine,https://fresno.craigslist.org/boa/5900878544.html,
6,,,2016-12-20 09:14,Used is dirty from sitting outside  needs a new sun shade worn from sun,,5913512028,,0,,,,,$150,human,,paddle boat 4 seater,https://fresno.craigslist.org/boa/5913512028.html,
7,good,[],2016-12-20 08:52,ADULTS/TEENS 2 - Sets of fins (Ocean Pro & National Geographic) 2 - Masks (Ocean Pro & Deep See) 2 - Snorkels (Ocean Pro & Deep See) 1 - Oceanic Scuba Carrying Bag KIDS 2-Wham-O Malibu Boogie Board - 3 FT,,5926888341,,3,,,https://maps.google.com/?q=loc%3A+TOLLHOUSE+at+FOWLER+CLOVIS+CA+US,,$60,human, (CLOVIS),SCUBA  - SNORKEL,https://fresno.craigslist.org/boa/5926888341.html,
8,,,2016-12-20 08:37,"4 BOATS GOOD CONDITION, NO LEAKS, CRACKS ETC. TRAILERS ARE IN GOOD SHAPE MAY NEED TIRES. RUNNING WHEN PARKED. show contact info",,5926864097,,18,,,,,$400,power, (Fresno),4 BOATS $400 EACH OBO,https://fresno.craigslist.org/boa/5926864097.html,
9,excellent,[],2016-12-20 08:31,"Beckston Thirsty-mate hand pump.  124PF  10 GPM  24"" hose. Use it for bilge pumps in both open and closed small boats, as well as kayaks and canoes.  Many uses on large boats as well.  Use to empty clogged sinks.  Floats.",,5923810063,,24,,Beckston Thirsty-mate,https://maps.google.com/?q=loc%3A+Maple+at+Shepherd+Fresno+CA+US,Thirsty-mate,$20,human, (Fresno),Thirsty-mate Hand pump,https://fresno.craigslist.org/boa/5923810063.html,
10,new,[],2016-12-20 08:30,Attwood Cartridge Bilge Pump 500 GPH  12V  4606-7,,5923831828,,4,,Attwood,https://maps.google.com/?q=loc%3A+Maple+at+Shepherd+Fresno+CA+US,4606-7,$20,power, (Fresno),Cartridge Bilge Pump,https://fresno.craigslist.org/boa/5923831828.html,
11,,"['37.583300', '-120.949600']",2016-12-20 07:36,"2006 MALIBU WAKESETTER VLX This is the cleanest best taken care of wakesetter you will find.  Not to mention the clearest Stereo out there.  If you know malibu you know the the 06 was the last good boat.  You do not want an 07-10. Only 300 Hours This Boat Spend its Life As A Demo Boat For a Stereo Shop.  Priced to sell would not be selling but business opportunity forces sell Pink Slip in Hand $ 42,000 Firm Call or Text show contact info",,5894441440,37.583300,22,-120.949600,,"https://maps.google.com/maps/preview/@37.583300,-120.949600,16z",,$42000,power,,2006 MALIBU WAKESETTER VLX,https://fresno.craigslist.org/boa/5894441440.html,
12,like new,,2016-12-19 22:59,"2012 Waterdawg Kustoms ROK. Full CARBON FIBER hull! 55lbs, hull & hood. Complete turnkey ski, ready to ride. Very strong, Very lightweight, built with only the best of the best parts. Every single thing on this ski is top of the line and functions flawlessly. Motor is a new yamaha 701, limited setup. Blackjack 38's, ADA head, B pipe, ATK water box, Rule bilge, MSD ignition, incredibly reliable, incredible power in such a light weight hull. Runs perfect all day everyday. Pump is dual cooling, hooker 9/15 impeller, xmetal trim. Complete RRP billet pole and steering setup. The list goes on and on. This is a amazing jet ski, incredibly reliable, great power, even better price! It would cost you literally double to build a ski of this caliber. It is also CALIFORNIA TITLED & REGISTERED! Price is $8k. Low ball offers will not be entertained, SERIOUS BUYERS ONLY.",,5926463000,,6,,,,,$8000,power,,FREESTYLE jet ski,https://fresno.craigslist.org/boa/5926463000.html,
13,,,2016-12-19 22:45,"2012 Waterdawg Kustoms ROK. Full CARBON FIBER hull! 55lbs, hull & hood. Complete turnkey ski, ready to ride. Very strong, Very lightweight, built with only the best of the best parts. Every single thing on this ski is top of the line and functions flawlessly. Motor is a new yamaha 701, limited setup. Blackjack 38's, ADA head, B pipe, ATK water box, Rule bilge, MSD ignition, incredibly reliable, incredible power in such a light weight hull. Runs perfect all day everyday.  Pump is dual cooling, hooker 9/15 impeller, xmetal trim. Complete RRP billet pole and steering setup. The list goes on and on. This is a amazing jet ski, incredibly reliable, great power, even better price! It would cost you literally double to build a ski of this caliber. It is also CALIFORNIA TITLED & REGISTERED!  Price is $8k. Low ball offers will not be entertained, SERIOUS BUYERS ONLY.",,5926459834,,6,,,,,$8000,power,,FREESTYLE jet ski,https://fresno.craigslist.org/boa/5926459834.html,
14,,[],2016-12-19 22:09,"Storage space for all vehicles and trailers available in Clovis ,at Clovis pots and fountains 8350 East Shaw between the wolf and Leonard just east of Clovis we are behind the U-Haul ,we can also if you're storing at our yard , we can help you sell your boat vehicle truck or car RV or any type of equipment give us a call at show contact info",,5891078009,,100,,,https://maps.google.com/?q=loc%3A+%38%33%35%30+East+Shaw+Clovis+CA+US,,$43,human, (Clovis),Storage space boats RVs trailers and contractor storage bins,https://fresno.craigslist.org/boa/5891078009.html,
