,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['37.829800', '-120.103700']",2016-12-20 12:39,Selling a 1963 mirror craft 12 ft boat. Has swivel seat in the back and has no leaks.,,5927255157,37.829800,12,-120.103700,,"https://maps.google.com/maps/preview/@37.829800,-120.103700,16z",,$600,human,,Aluminum boat,https://goldcountry.craigslist.org/boa/5927255157.html,
1,,,2016-12-20 10:52,"1983 centurian runs great, starts right up every time, needs some floor work and possibly replace the stringers. The boat is beautiful and interior is in great condition. We just don't want to do the work.Trailer has all new tires including spare. Registered through 2017.  3500 or best offer",,5923376273,,19,,,,,$3500,power, (Angels camp),83 centurian,https://goldcountry.craigslist.org/boa/5923376273.html,1983
2,,"['39.090834', '-120.947628']",2016-12-20 10:18,"Selling my 1989 sea Ray ,  Mercury 6   Cylinder , runs great starts up every time, 10 minutes from Rollins lake fresh water only. $3500 or trade for 70s KZ 900 or 1000",,5907204224,39.090834,19,-120.947628,,"https://maps.google.com/maps/preview/@39.090834,-120.947628,16z",,$3500,power, (Colfax),Sea Ray 19,https://goldcountry.craigslist.org/boa/5907204224.html,
3,excellent,"['39.078300', '-120.954900']",2016-12-20 10:14,The jet ski is in excellent running condition. The exterior is very nice. It will hold 3 people and a 4th on a tube. The trailer pictured is included in the price. The registration is paid through 2017.,,5927026441,39.078300,10,-120.954900,Kawasaki,"https://maps.google.com/maps/preview/@39.078300,-120.954900,16z",STS,$1800,power, (Colfax),Kawasaki STS jet ski 1995model,https://goldcountry.craigslist.org/boa/5927026441.html,1995
4,excellent,"['38.162000', '-120.857200']",2016-12-20 09:06,"Trophy Pro, 21 foot, 2000 year, in super good shape. Motors run like new, This boat is loaded,  has all new tires, new breaks drums and wheel bearings. Has all around flood lights for nigh fishing, has two anchors with chains and roaps, there are at least 8 new or newer life jackets, vests, 3 large fenders for tieing up at the docks. a spare builge pump cartage.  has 3 builg pumps that work automaticly, has two batterys  has a two fish wells  a bait well. a Fish fighting chair, has full electronics, fish finder, depth finder, radar, gps, full $250.00 electronic charts, new Ship to shore radio, new coast guard approved flare gun kit.  has a $3500.00 custom made boat cover, has new vinal windows, new break lights,  enclosed V birth with windows and roof hatch,, with porta-potty.there is a spare propeller, this boat is a walk around deck has custom gaurd rails has  a 150 hp out board motor made for salt water, also has a new 15 hp back up motor with remote control steering and a adjustable drop transum. You have to see this boat in person to really see how nice it is,  has a swim step platform also has trim tabs , This boat really handles the ocean well as well as lakes and the rivers.  Great family boat,  Custom made fenders for easy loading the boat on the trailer.  Also installed a rear fish finder for drift fishing. $28500.00,   new this boat is over $40,000.00.  interested ?  respond to this listing for a reply.  More pictures to come.   I've used this boat only about 20 hours at the most. The privious only other oner told me he only used it about 50 hours and like myself the boat sit in his yard all the time.  I don't use it so it's time to sell her. ****  NO CHECKS OF ANY KIND, UNLESS THE BANK ISSUES IT DIRRECTLY TO ME ****",200,5919474085,38.162000,21,-120.857200,Baylinner,"https://maps.google.com/maps/preview/@38.162000,-120.857200,16z",Trophy Pro,$28500,power," (Valley Springs, Ca.)","21 ft, Trophy Pro",https://goldcountry.craigslist.org/boa/5919474085.html,2000
5,excellent,[],2016-12-20 07:14,The photos say it all! I sold the ski so I have no use for this like new 2008 Yacht Club trailer. Always garaged and never used in salt water so NO RUST! Barely used since new so no surprises or disappointments of any kind... You pick up in Nevada City. Not looking for trades. Scammers don't bother! If it's still posted I still have it so please don't ask if it's still available. Call or text Enoch at show contact info Thanks!,,5926737971,,15,,Yacht Club,https://maps.google.com/?q=loc%3A+broad+at+nevada+st+nevada+city+CA+US,,$699,human,,2008 Yacht Club Single Jet Ski Trailer! Perfect Condition!!!,https://goldcountry.craigslist.org/boa/5926737971.html,2008
6,good,"['39.301700', '-120.971700']",2016-12-19 23:16,"Hello. I'm selling my 1987 marlin. It is 16ft long, has an open bow, and seats 6. It has an o.m.c. cobra inside outboard engine. I bought the boat in great condition 4 years ago. I took it to Englebright 4 or 5 times the first 2 summers I had it and it ran beautifully. It isn't super fast but it's a fun, versatile boat. The boat has been sitting in my driveway for 2 years. After the second summer, I became a father and got very busy and didn't winterize it before winter crept up. I love the boat but haven't had the time or extra money to get it ready to take out. It needs a cover and hasn't been covered since the beginning of summer. The boat has been lightly used and well cared for. It just needs to be cleaned up and gone through a bit. I'd like to see it go before winter hits. I can send pictures upon request. The first reasonable offer takes it. Calls and texts are the best way to reach me. Thanks for looking!",,5926480401,39.301700,16,-120.971700,MARLIN,"https://maps.google.com/maps/preview/@39.301700,-120.971700,16z",,,power,,1987 marlin 16ft,https://goldcountry.craigslist.org/boa/5926480401.html,1987
7,excellent,,2016-12-19 17:11,"EBBTIDE Campione 210 Bow-rider 21"" 2017 license and mussel fee paid 5.0 liter V-8 engine MerCruiser out-drive with Doelfin attached 201 hours Custom folding wake board tower...will fit in 7' high garage opening! Wake board mounts for tower Folding bimini top stows away in engine compartment Ski locker CD sound system 10 person capacity Built in Ice Chest Heavy duty canvas cover, towable Always garaged and covered Always dealer serviced by Boat Country in Escalon All accessories:  Ski ropes, gloves, skis, 2-wakeboards, knee board, coast guard life vests, 18-ski vests all sizes from pet & toddler to XXL, paddle, anchor, flags, night lighting, tools, 2-extra props and more. Boat is fully serviced and in perfect shape, ready to launch. Ziemen tandem axle trailer with surge brakes Brand new radial tires HD wheel chocks Spare tire & cover 2"" trailer tongue, pull pin and pivot to reduce length for storage and security $18,000",201,5926223811,,21,,Ebbtide,,Campione 210,$18000,power, (Sonora Area),Ebbtide Campione 210 Bow Rider,https://goldcountry.craigslist.org/boa/5926223811.html,1998
8,like new,"['39.201900', '-121.202600']",2016-12-19 15:52,Vary nice boat,,5926139531,39.201900,12,-121.202600,Western,"https://maps.google.com/maps/preview/@39.201900,-121.202600,16z",,$1750,power, (Pennvalley.CA),"1980 western 12'2"" aluminum 15 horse honda 4 stroke with trailer and m",https://goldcountry.craigslist.org/boa/5926139531.html,
9,excellent,,2016-12-19 09:48,"Mini day cruiser, 454, jet drive, safe thru transom exhaust, engine cover, tandem axle trailer.Recent complete custom interior and marine paint. Beautiful condition. Please call show contact info",,5890594825,,23,,,,,$4995,power,,1977 Glencoe 20' Jet,https://goldcountry.craigslist.org/boa/5890594825.html,
10,good,,2016-12-19 09:29,"14ft valco ready to fish down riggers, Fish finder, transom saver, Bimini top, 15 horse mercury 4 stroke with on board charger, electric start anchor life jackets also have a 50 pound thrust trolling motor with deep cell battery for a Lil extra call or text gabe show contact info",,5911293525,,14,,valco,,,$2300,power, (smartsville),fishing boat 14ft valco,https://goldcountry.craigslist.org/boa/5911293525.html,1969
