,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['36.331400', '-119.649100']",2016-12-20 08:45,"1979 bayliner Santiago cuddy cabin cruiser 21ft. Has a strait six engine runs good wth canopy. Duel axle trailer. has stove I nvr used it but wrks. toilet, sink needs water pump, reffer I nvr used it, stereo almost new. Not in a hurry to sell. Tags till 2017 ready for fishing.",,5926877327,36.331400,21,-119.649100,Bayliner,"https://maps.google.com/maps/preview/@36.331400,-119.649100,16z",Santiago,$2500,power, (Hanford),Bayliner Santiago,https://hanford.craigslist.org/boa/5926877327.html,1979
1,good,,2016-12-18 07:18,I bought this jet ski at the beginning of Summer hasn't given me any problems take it out almost every other weekend. But my friend sold his so I have no one to go with. tags are up to date! it runs great lots of power we actually ski and knee board behind this jet ski. and if we negotiate on a price I know a place we can test drive it if you would like. fires right up every time no problems show contact info does not come with trailer sorry,,5911096957,,6,,Sea-Doo,,,$800,power, (lemoore),1994 Sea-Doo jet ski,https://hanford.craigslist.org/boa/5911096957.html,
2,good,"['36.437800', '-119.715600']",2016-12-16 19:39,"I have a 92 superjet it was repainted purple last summer. It is a 650 with Coffman pipe, aftermarket intake grate and ride plate also! Brand new hydro turf, handlebars and grips(less than 5 rides). It has an AC aluminum handle pole and aluminum finger throttle both powder coated gold! Runs perfect and has a lot of power! Has been my most reliable ski, only selling to fix other ski's. I have a new chin pad just not pictured,  Cash only no scams!!   559six four seven 9630 is my number leave a voicemail if I don't answer!",,5922585060,36.437800,86,-119.715600,Yamaha,"https://maps.google.com/maps/preview/@36.437800,-119.715600,16z",Superjet,$2000,power, (Laton),Yamaha superjet,https://hanford.craigslist.org/boa/5922585060.html,1992
3,,,2016-12-14 14:19,1970 tri hull with 115 hp Johnson outboard. Asking $700 obo.,,5919596413,,18,,,,,$700,power, (Lemoore),1970 reinell tri hull,https://hanford.craigslist.org/boa/5919596413.html,
4,,"['36.268200', '-119.817300']",2016-12-14 12:40,Complete boat with trailer. Needs a GOOD cleaning but can't beat the price!,,5919454898,36.268200,20,-119.817300,,"https://maps.google.com/maps/preview/@36.268200,-119.817300,16z",,$300,power, (LEMOORE),Boat with trailer. Runs!,https://hanford.craigslist.org/boa/5919454898.html,
5,excellent,"['36.429500', '-119.872000']",2016-12-09 06:03,Fishing boat 16 foot aluminum with 35 horsepower motor runs great ready for the lake or river,,5877298840,36.429500,16,-119.872000,,"https://maps.google.com/maps/preview/@36.429500,-119.872000,16z",,$2100,power, (Riverdale),Fishing boat 16 foot aluminum Make OFFER,https://hanford.craigslist.org/boa/5877298840.html,
6,,"['36.312866', '-119.629211']",2016-12-08 00:42,"Good condition kawasaki x2 new seat cover, new battery,  possible trade for running golf cart. New 2017 tags.",,5910437357,36.312866,7,-119.629211,,"https://maps.google.com/maps/preview/@36.312866,-119.629211,16z",,$950,power,,Kawasaki x2,https://hanford.craigslist.org/boa/5910437357.html,
7,excellent,"['37.953200', '-121.311600']",2016-12-08 00:32,"Has everything new, twin 350, trade for car or truck or unfinished project, Mopars of equal value. Winter pricing. Not for sale when summer begins as I will use.",40,5874409154,37.953200,28,-121.311600,Harden,"https://maps.google.com/maps/preview/@37.953200,-121.311600,16z",Conquorrer,$12500,power, (Stockton),28' Tahati,https://hanford.craigslist.org/boa/5874409154.html,1980
8,,"['36.268200', '-119.817300']",2016-12-07 16:08,Excellent condition. Like new. Call for details.,,5910076112,36.268200,800,-119.817300,,"https://maps.google.com/maps/preview/@36.268200,-119.817300,16z",,$4500,power,,2005 Seadoo for sale,https://hanford.craigslist.org/boa/5910076112.html,
9,good,,2016-12-07 13:23,"16' Fiber Form Boat, 85 horse Mercury motor, new trolling motor, new wiring, new radio, new tires on trailer, seats 6.  Local Buyers Only.  Cash Payment Only.  For more information contact Joey at show contact info",,5909852299,,16,,,,,$3500,power," (Lemoore, CA)",Driver Form Boat,https://hanford.craigslist.org/boa/5909852299.html,
