,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,"['40.793800', '-124.157300']",2016-12-20 13:37,"Mirage boat with gel coat damage (from wild fire @ Ruth). The out-drive is an Alpha One Mercruiser 170 with power trim XD hydraulic rams.                         Motor is a Mercruiser 170 4 cyliner with 649 hours on the motor. Includes steering cables & throttle cables. 18 ft trailer included also. If it is still listed, it is still available!",649,5927338053,40.793800,18,-124.157300,Mirage,"https://maps.google.com/maps/preview/@40.793800,-124.157300,16z",,$1000,power, (Eureka),Boat  & trailer for sale,https://humboldt.craigslist.org/boa/5927338053.html,
1,,"['40.937400', '-123.891300']",2016-12-20 11:24,Fishing boat with swivel seats for sail. Three 2 three 3138523,,5893676071,40.937400,10,-123.891300,,"https://maps.google.com/maps/preview/@40.937400,-123.891300,16z",,$550,human, (Blue Lake),Boat,https://humboldt.craigslist.org/boa/5893676071.html,
2,,,2016-12-20 01:39,"very nice heavy duty trailer , ABOUT 21'  OVERALL   ,,,  had a large 19 ' glasspar on it  , has new bearing buddy grease cap's ,, CALL show contact info ,,  current license and registration this trailer is not junk  .,,,,,.   ALSO HAVE A COUPLE OF BARE FRAME TANDEM AXLE TRAILERS FOR SALE !!!",,5926520989,,23,,,,,$425,power, (REDDING),TRAILER FOR 19' BOAT OR UTILITY TRAILER,https://humboldt.craigslist.org/boa/5926520989.html,
3,excellent,"['40.583500', '-124.147300']",2016-12-19 22:11,Selling my liquid force wakeboard it's a 131. The reason why I'm selling it I just outgrew it. Great shape no chips and no scratches $200 obo call me for more info at show contact info,,5926453080,40.583500,131,-124.147300,,"https://maps.google.com/maps/preview/@40.583500,-124.147300,16z",Liquid force,$200,human, (Fortuna),Wakeboard liquid force,https://humboldt.craigslist.org/boa/5926453080.html,
4,like new,,2016-12-19 19:39,2006 Yamaha F150TXR in great condition. Great power and fuel economy along with reliability makes this a perfect engine to re power with.brand new lower unit with warranty. Just serviced and ready to install. Currently set up to see it run. Call Andy for more information at 707-616-one5two1,988,5926357049,,25,,Yamaha,,F150TXR,$6500,power, (Arcata),2006 yamaha F150TXR,https://humboldt.craigslist.org/boa/5926357049.html,2006
5,,,2016-12-19 18:22,"15ft western aluminum boat. Been sitting a while but it does float. Has early 70's Johnson long shaft with new head but needs carb work. Boat should have A short shaft on it. Current tags on boat and trailer. Good project. $1,000. Arron, 707-502-nineteen70",,5926292900,,15,,,,,$1000,power, (Humboldt Hill),88 Western aluminum,https://humboldt.craigslist.org/boa/5926292900.html,
6,,"['40.759200', '-124.159300']",2016-12-19 13:18,Boat molds don't know much about them got them from a guy that owed me some money need them gone any offers will b entertained ask for nick,,5908382971,40.759200,9,-124.159300,,"https://maps.google.com/maps/preview/@40.759200,-124.159300,16z",,$1,human, (Eureka),Scull boat and other boat molds,https://humboldt.craigslist.org/boa/5908382971.html,
7,fair,"['40.759200', '-124.159300']",2016-12-19 13:16,Old ski has not been started in years I use too ride it in the rivers lot of fun got it from a friend years ago he passed away before I got the title but it's probably out of the Dmv need it gon I don't use it anymore I like stand up skis better thanks for looking 500 obo ask for nick,000000,5908404567,40.759200,9,-124.159300,Yamaha,"https://maps.google.com/maps/preview/@40.759200,-124.159300,16z",Wr 500,$500,power, (Eureka),89 Yamaha wr 500 Jetski,https://humboldt.craigslist.org/boa/5908404567.html,1989
8,,"['40.583500', '-124.147300']",2016-12-19 12:18,"18' seastar, new manifolds, waterpump, in floor fuel tank, alt, and sterndrive lift pump. Has mergruiser 5.7L.  Need room in yard so must go. $1500.00 obo.",,5925834355,40.583500,18,-124.147300,,"https://maps.google.com/maps/preview/@40.583500,-124.147300,16z",,$1500,power, (fortuna),18' seastar,https://humboldt.craigslist.org/boa/5925834355.html,
9,salvage,"['40.575728', '-124.133303']",2016-12-18 14:09,Txt or call show contact info,000,5924672655,40.575728,17,-124.133303,Galaxie,"https://maps.google.com/maps/preview/@40.575728,-124.133303,16z",gae04950d585,$1,power, (Fortuna),free boat Galixie 3.8 l OMC,https://humboldt.craigslist.org/boa/5924672655.html,1985
