,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,[],2016-12-19 11:41,"20.2 Stripper w/ 4 cylinder Volvo drive gear, app 350 hrs. Comes with 2 elect Scotty downriggers, elect pot puller, Garmin navigation and fish finder, safety gear. Very good condition. Contact John show contact info",350,5925789784,,20,,Stripper,https://maps.google.com/?q=loc%3A+%31%36%38%32%30+Mitchell+Ck+dr+Fort+Bragg+CA+US,,$6500,power, (Fort Bragg),20.2 Stripper,https://mendocino.craigslist.org/boa/5925789784.html,1999
1,,"['38.408900', '-122.733900']",2016-12-19 09:20,"You can't beat this price!  Priced low to sell.  Need to sell to open up storage space.  Valued over the asking price.  I have the pink slips in hand for both the boat and trailer. Project boat Thunderbird 18ft Runs with some issues Outdrive is off but comes with boat. -Pulled off to take out engine but never did Perfect to clean up and make a weekend overnight boat Includes -1978 Trailer -Spare tire -Bimini top -Extra manifold -Extra Carb Can't beat that price!  Just need it to move for space $500 Come see M-F 8am-4:30pm 4185 Santa Rosa Ave Santa Rosa, ca, 95407 show contact info or text show contact info",,5900899817,38.408900,18,-122.733900,,"https://maps.google.com/maps/preview/@38.408900,-122.733900,16z",,$500,power,,Thunderbird * Great Deal,https://mendocino.craigslist.org/boa/5900899817.html,
2,,"['39.436311', '-123.799079']",2016-12-14 06:52,"Catalina 22', with swing keel. Trailer, outboard, custom cover, and sails included. Outboard is a 6HP Yamaha with less than 15 hours.",,5918892598,39.436311,22,-123.799079,Catalina,"https://maps.google.com/maps/preview/@39.436311,-123.799079,16z",,$2000,sail, (Fort Bragg),22' Catalina Sailboat,https://mendocino.craigslist.org/boa/5918892598.html,1970
3,like new,,2016-12-12 20:08,"Up for sale is my immaculate 89 Prostar Boat: Indmar 351w 486 Original hours Powerslot transmission New plugs, wires, cap, rotor, points, coil New hoses and belts New impeller New blower New bilge New shaft and rudder seals Holley carb rebuilt last season New tint New bimini Original interior and carpet is soft and clean Etc. Trailer: Completely rebuilt at the beginning of the 2016 season New paint New bunk boards and carpet New brakes and bearings New winch New jack New tongue New wheels and tires Etc. The boat and trailer are washed and waxed after every use. Always gets complements. The boat is currently winterized and stored in Eureka Ca. It is available for viewing to serious buyers only. Clean and clear title for both in my name. For a complete description please call or text. $8,500 No trades, No lowballers. I will remove this ad when it is sold.",486,5900270280,,19,,MasterCraft,,Prostar,$8500,power, (Eureka),1989 MasterCraft Prostar Powerslot,https://mendocino.craigslist.org/boa/5900270280.html,1989
4,good,,2016-12-12 19:35,1979 Glastron 26 foot boat with trailer. PRICE REDUCED TO $450.00 or BO for a quick sale. Moving - need to sell!!!!,,5917106848,,26,,Glastron,,,$450,power," (Ukiah, CA)",Boat and Trailer - Price Reduction,https://mendocino.craigslist.org/boa/5917106848.html,
5,,"['39.066400', '-122.655800']",2016-12-12 18:45,hello I have up for sale an E-Z dock pvc dual pwc lift its a good size dock its capabale of having two seadoos on it its the kind u can ride your pwc onto to store out of the water its a 5000 dollar dock I'm willing to take the best offer its big so youll need a trailer to haul away its made in sections that connect but still to big to fit in a truck bed its still in like new condition if interested send me an email with your phone number and offer and ill reply asap to many scamers and flakes calling me at 2a.m. to ask if I still have it if you are reading this its still for sale may possibly trade for something of similar value but cash is king thank you.,,5908809098,39.066400,15,-122.655800,,"https://maps.google.com/maps/preview/@39.066400,-122.655800,16z",,,human,,ez dock dual pwc lift,https://mendocino.craigslist.org/boa/5908809098.html,
6,new,[],2016-12-10 19:09,"For Sale one new Dock built in 2015 10' x16' original price $6,620 on sale for $5,600. steel frame with polyurethane floatation and Thru Flow Decking. Also for Sale new unused GlideNSlide Boat Lift Dock. 11' x 14' Originally $3,954 on sale for $2,900. If you still see this ad they are still available, but selling fast. Clearlake Marine Services LLC 14275 East Highway 20 Clearlake Oaks, CA 95423 United States ph: show contact info",,5914412716,,16,,,https://maps.google.com/?q=loc%3A+%31%34%32%37%35+East+Highway+%32%30+Clearlake+Oaks+CA+US,,$1,human, (Clearlake Oaks),BOAT DOCK & BOAT LIFT,https://mendocino.craigslist.org/boa/5914412716.html,
7,good,"['39.078300', '-122.784600']",2016-12-10 10:31,"1972 Catalina 22 sailboat. Retractable keel. Trailer. Johnson 4HP Motor needs tuneup. Sails included, Hardtop. Call Rich show contact info",,5913793582,39.078300,22,-122.784600,Catalina,"https://maps.google.com/maps/preview/@39.078300,-122.784600,16z",22,$1500,sail, (Lucerne),Catalina 22 sailboat,https://mendocino.craigslist.org/boa/5913793582.html,1972
8,good,,2016-12-09 08:11,"1995 Proline model 231. All the electronics Raymarine radar, furuno color LCD sounder, Standard Horizon Matrix GX1280s vhs/fm marine transceiver, Garmin Blue chart Gps, two Scotty electric downriggers, Thetford electric flush port potty. 2005 Yamaha 4 stroke high thrust 8 hp kicker motor with remote steering.  Pormarine onboard battery charger. 2004 galvanized trailer with new tires. Volva Pinta (close system cooling) and Volva Pinta outdrive. Ready to sell will take best offer. condition: good length overall (LOA): 24 make / manufacturer: Proline model name / number: 231 propulsion type: power year manufactured: 1995 1995 Proline model 231. All the electronics: Raymarine radar, Furuno color LCD sounder, Srandard Horizon Matrix GX1280s vhs/fm marine transceiver, Garmin Blue chart GPS, two scotty electric downriggers,Thetford electric flush porta potty included. 2005 Yamaha 4 stroke high thrust 8 hp kicker motor with remote steering. Promarine onboard battery charger. 2004 galvanized trailer w/new tires. Volva Pinta (close system cooling, ie: has it's own engine coolant, no salt water ever in the engine) and Volva Pinta outdrive. Ready to sell will take best offer. do NOT contact me with unsolicited services or offers posted: less than a minute ago email to friend ♥ best of [?] language of posting : english Avoid scams, deal locally Beware wiring (e.g. Western Union), cashier checks, money orders, shipping.",,5872385944,,24,,Proline,,231,$11500,power,,Boat For Sale,https://mendocino.craigslist.org/boa/5872385944.html,1995
9,good,"['40.801419', '-122.306328']",2016-12-03 18:36,houseboat for sale,1769,5868963846,40.801419,54,-122.306328,leisure craft,"https://maps.google.com/maps/preview/@40.801419,-122.306328,16z",8 sleeper,$39500,power, (lake shasta),houseboat/with permit,https://mendocino.craigslist.org/boa/5868963846.html,1980
