,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,,2016-12-20 13:40,"Commercial dive business includes 34' Uniflyte dive boat, Coast Guard certified (COI) for 20 passenges 1 Master 1 Crew Thru 9-2017 Recent re-power with Cummins 6BT5-9M Diesels Profitable on going business Monterey Slip Monterey Yellow Dock passenger loading Web site Facebook Page Tanks Turn Key business Recent vessel survey P&L Staement",250,5927341560,,34,,Uniflite,,Commercial,$149900,power, (Monterey),Commercial Dive Business for sale,https://monterey.craigslist.org/bod/5927341560.html,1968
1,good,"['36.621700', '-121.793500']",2016-12-20 11:14,"I have a reinell cabin cruiser boat for sale. It has a 165 hp straight six in it. Monterey bay marine just put a new refurbished outdrive on the boat. The boat has a bed inside stove and sink. Also comes with a table that you can put in and out of the boat. The boat is in good condition and I am asking $6,000 obo. This boat goes fast when you give it full power. It also has lots of storage in the boat. The trailer is nice and solid. Sorry the boat was a mess in the pictures",,5885975114,36.621700,23,-121.793500,Reinell,"https://maps.google.com/maps/preview/@36.621700,-121.793500,16z",Cabin cruiser,$6000,power, (Seaside),Reinell cabin cruiser,https://monterey.craigslist.org/boa/5885975114.html,
2,,"['34.429600', '-119.861200']",2016-12-20 10:07,"Radon 32 Hull only. 29' x 10' shortened. Solid Hull, Solid Stringer. Ready for new decks and cabin. 1986 Hull built in Port Townsend WA $12,500 obo Does not include power or trailer. Trailer can be sold separately. Only serious buyers please. Message me if you have any questions. Radon price list new from their website below. PLEASE NOTE: Below prices are WITHOUT engine packages, WITH all standard outfitting. (Engine prices per quote) 22' x 8'6"" STANDARD BOAT, $84,000.00 With molded enclosed Hawaiian style overhead cabin 26' x 8'6"" STANDARD BOAT $115,000.00 With molded enclosed Hawaiian style overhead cabin 29' X 9' STANDARD BOAT, $137,000.00 With custom open overhead cabin, Hawaiian or California style *Carpeted cuddy cabin comes standard on 29' 33' X 11' BOAT -- requires price quote (approximately $255,000 for fiberglass portion) CONSTRUCTION EXTRAS Overhead w/ fly bridge $16,000.00 Upgrade to custom cabin (22', 26', 29') $4,950.00 Upgrade to enclose standard 29' cabin $4,990.00 Upgrade to extend & enclose standard cabin $8,900.00 Raised caprails $4,007.00 Dinette - fiberglass portion only $4,400.00 Helm seat mount with counter, fiberglass only $2,890.00 Built-in water tank - fiberglass portion only $1,734.00 Walk around engine compartment $1,360.00 Under deck live well $2,200.00 Opening (transom or side of boat) w/ lift out dive door $3,015.00 Opening (transom or side of boat) w/ hinged dive door $4,002.00 Foam insulated fish hold w/ floor and bilge pump $5,870.00 Fish hold, 4 x 6 w/ floor and bilge pump $4,260.00 Built-in bait tank w/ out plumbing parts $2.130.00 Passenger seat - fiberglass portion only (22' molded) $885.00 Second station steering (fiberglass only) $1,155.00 Helm seat mounts (fiberglass only) $800.00 EXTRAS, INSTALLED PRICES: Cushions, cabin only $1,600.00 Cushions, cabin & dinette $2,900.00 Carpeted cabin-- 22' or 26' x 8'6"" $1,500.00 Porta-potti $250.00 Stainless steel rocket launchers, ea. $90.00 Flip-up helm seat $667.00 Custom rod storage in cabin (2) $300.00 Fiberglass full width swim step $3,700.00 1-1/4"" stainless bow rail on 22' $2,010.00 1-1/4"" stainless bow rail on 26' $2,900.00 1-1/4"" stainless bow rail on 29' quote Stainless steel radar mount quote Maxwell Freedom windlass w/ two footswitches -22' $3,200.00 Maxwell Freedom windlass w/ two footswitches - 26' $3,800.00 Salt water wash down system $735.00 Fresh water wash down system $1,000.00 Sink and faucet (in built-in fiberglass counter) $500.00 Two forward facing helm seats w/ sliders and footrests $1,600.00 http://www.radonboats.com/boats/radon_price_list.html",,5926983414,34.429600,32,-119.861200,Radon,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",32',$12500,power, (Santa Barbara),Radon 32' Boat Hull,https://monterey.craigslist.org/boa/5926983414.html,
3,,"['37.898900', '-121.605400']",2016-12-20 07:09,Excellent shape low hours (250) wet sounds speakers 2 amps 12 inch kicker super nice sound system 3 batteries with perko switch fiberglass swimplatform bimini top boat cover always on hydro hoist. manual wedge 3 sacks table always serviced and winterized no trailer Motivated to sell Steve Nelson show contact info,,5913032311,37.898900,21,-121.605400,,"https://maps.google.com/maps/preview/@37.898900,-121.605400,16z",,$30000,power, (Discovery Bay),2005 Malibu vlx21 sunscape,https://monterey.craigslist.org/boa/5913032311.html,
4,,"['44.533691', '-124.073212']",2016-12-20 06:35,"Twin Yanmar 6LPASX2 turbo diesel 315 horse power Refit in 2011 low hours 734 ZF transmission direct drive New ray marine electronics in 2014.radar ,auto pilot E127,A9,and E7 chart plotters with chirp.  nice cabin head with shower AC microwave fridge sink stove Oregon Limited entry resident ocean troll salmon.",734,5922868342,44.533691,33,-124.073212,Pursuit,"https://maps.google.com/maps/preview/@44.533691,-124.073212,16z",3250,$120000,power, (South beach Newport Oregon),Pursuit 3250 1990 33ft by 12ft,https://monterey.craigslist.org/boa/5922868342.html,1990
5,,"['37.059700', '-122.015200']",2016-12-19 21:04,"1980 Fiberform.  I got this from my in laws who bought it brand new. The motor was rebuilt about 10 years ago, (but probably not even100 hours on it since then). Its a Mercury 90. Boat runs good. We just had it out in Santa Cruz for a great time. Has recent tune up and new water pump. Boat has 2017 registration and trailer. Comes with (3) 5 gallon gas tanks. She's ready for a new home. I have the pink slip/title in my name.  Will trade for 125cc 2 stroke dirt bike, (Honda CR125 ) or something like that.",,5895332197,37.059700,17,-122.015200,,"https://maps.google.com/maps/preview/@37.059700,-122.015200,16z",,$1900,power,,"Fishing Boat, Fiberform 17 Foot Mercury 90 Outboard",https://monterey.craigslist.org/boa/5895332197.html,
6,,"['37.059700', '-122.015200']",2016-12-19 20:58,"1980 Fiberform.  I got this from my in laws who bought it brand new. The motor was rebuilt about 10 years ago, (but probably not even100 hours on it since then). Its a Mercury 90. Boat runs good. We just had it out in Santa Cruz for a great time. Has recent tune up and new water pump. Boat has 2017 registration and trailer. Comes with (3) 5 gallon gas tanks. She's ready for a new home. I have the pink slip/title in my name.  Will trade for 125cc 2 stroke dirt bike, (Honda CR125 ) or something like that.",,5919814587,37.059700,17,-122.015200,,"https://maps.google.com/maps/preview/@37.059700,-122.015200,16z",,$1900,power,,"Fishing Boat, Fiberform 17 Foot Mercury 90 Outboard",https://monterey.craigslist.org/boa/5919814587.html,
7,,"['37.059700', '-122.015200']",2016-12-19 20:32,"I got this 1980 Fiberform from my in laws who bought it brand new. The motor was rebuilt about 10 years ago, (but probably not even100 hours on it since then). Its a Mercury 90. Boat runs good. We just had it out in Santa Cruz for a great time. Has recent tune up and new water pump. Boat has 2017 registration and trailer. Comes with (3) 5 gallon gas tanks. She's ready for a new home. I have the pink slip/title in my name.",,5891872931,37.059700,17,-122.015200,,"https://maps.google.com/maps/preview/@37.059700,-122.015200,16z",,$1900,power,,Fiberform 17 Foot Fishing Boat Merc 90 Engine,https://monterey.craigslist.org/boa/5891872931.html,
8,fair,"['37.867400', '-122.312164']",2016-12-19 19:33,"Pearson 30 Sailboat for sale. Motor not working. In spite of that, this is a good opportunity for someone: Read on if you're still interested.",10000,5926352592,37.867400,30,-122.312164,Pearson,"https://maps.google.com/maps/preview/@37.867400,-122.312164,16z",P-30,$2500,sail, (Berkeley),Pearson-30 Sailboat in Berkeley,https://monterey.craigslist.org/boa/5926352592.html,1972
9,new,,2016-12-19 18:14,The clean lines and mahogany wood on this 1928 Chris-Craft Triple Cockpit Runabout are reminiscent of its time. Almost 90 years old and still complete and solid. All orginal with a refreshed Chrysler 6 cyl and rebuilt carb. Needs a little love and attention and will be ready for the water again. Custom cover and trailer included.,,5926285136,,22,,Chris-Craft,,Triple Cockpit,$49900,power, (Conroe),1928 22' Chris-Craft,https://monterey.craigslist.org/boa/5926285136.html,1928
