,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-20 14:24,"Due to my current circumstances I'm selling my 2004 Custom Weld Viper 2. This boat is very clean and always taken care of as this was my baby. I doubt you will find a boat that is this clean and taken care of as this boat was. Here's a list of options/upgrades: -2004 Custom Weld Viper 2 with 400 hours. -Fuel Injected 4.3 Vortec motor (225 horsepower with good fuel economy compared to V8). -19 foot boat. -Lowrance HDS-7 touch screen fish finder with chart plotter, insight USA plus structure scan with HD transducer. -Onboard livewell. Hooked up to a switch to fill/plug to drain. -4 premium boat seats. All seats swivel 360 degrees. -Custom cup holders/rod holders throughout. -SDR Bucket upgrade. Much better handling after upgrade. with this bucket you have excellant control in forward and reverse. Perfect for operating at low speeds/loading and unloading at dock. -9.9 Nissan Marine Kicker motor- 4 stroke which runs off same gas as motor. -Automatic tilt bracket for kicker motor. Raise and lower with switch. -Trailer in great condition througout. New trailer wheels, tires including spare. Bearings/hubs recently serviced. -LED lighting on right and left side. Left and right side light wired into original switches. -Bilge pump. -Storage throughout. -Onboard heater. -Boat will go over 6 inches of water on plane. Price $28,500 or best offer. Please call or text Brandon at show contact info",400,5898190081,,19,,CUSTOM WELD,,VIPER 2,$28500,power, (Chico),VERY CLEAN 2004 CUSTOM WELD VIPER 2 JET FISHING BOAT MANY EXTRAS,https://redding.craigslist.org/boa/5898190081.html,2004
1,like new,,2016-12-20 14:03,"Bimini top, front console, 40 Horse out board, built in ice chests and fuel tanks, garage kept, low hours, 14 foot, includes galvanized trailer",,5908566150,,14,,,,,$14700,power, (Red Bluff),2014 Boston Whaler,https://redding.craigslist.org/boa/5908566150.html,2014
2,,"['40.457400', '-122.328200']",2016-12-20 13:08,Boat runs but sundamaged and will sink.  The price reflects condition...$3000.00 obo...,200,5927296308,40.457400,19,-122.328200,FISHER,"https://maps.google.com/maps/preview/@40.457400,-122.328200,16z",165 pro avenger,$3000,power, (Anderson),"2003 Fischer pro avenger, Mercury motor,  ""big foot"", 4 STROKE, 90hp",https://redding.craigslist.org/boa/5927296308.html,2003
3,excellent,"['41.476700', '-120.545600']",2016-12-20 13:05,"16' Lonestar Fishing Boat, carpeted inside with seats. Fish finder, front mount trolling motor, 1970's 18hp Evenrude Motor and a 1960's Evenrude 3hp. Rebuilt trailer converted to 13"" tires. With cover.",,5927291781,41.476700,16,-120.545600,Lonestar,"https://maps.google.com/maps/preview/@41.476700,-120.545600,16z",,$1600,power,,16' Lonestar Fishing Boat,https://redding.craigslist.org/boa/5927291781.html,1955
4,,"['40.610900', '-122.496800']",2016-12-20 12:31,No leaks Great for hunting in lakes and reservoirs. Comes with oar Duck and goose hunting machine-can sneak up on them! Comes with a smaller boat too for kids!,,5904061239,40.610900,7,-122.496800,,"https://maps.google.com/maps/preview/@40.610900,-122.496800,16z",,$600,human, (Obo),Single man skull boat,https://redding.craigslist.org/boa/5904061239.html,
5,,"['40.610900', '-122.496800']",2016-12-20 12:30,Nice fishing/hunting boat 30 horse mercury tiller Welded no rivets 2007,,5904046831,40.610900,17,-122.496800,,"https://maps.google.com/maps/preview/@40.610900,-122.496800,16z",,$4200,power,,Lowe Rough Neck aluminum flat bottom 17' fishing boat,https://redding.craigslist.org/boa/5904046831.html,
6,,,2016-12-20 11:47,"1991 Ski Centurion 33ft Twin 450 HP Outboards Very Fast! aluminum trailer Kept inside Has toilet, microwave. Nice Condition $59,000 / trade or best offer show contact info",,5917157793,,33,,,,,$59000,power, (Napa),1991 Ski Centurion 33ft Twin 450 HP Outboards,https://redding.craigslist.org/boa/5917157793.html,
7,,,2016-12-20 11:18,"Custom 1993 Kawasaki X2 650 jet ski... It works great but its just been sitting around and I don't have time for it anymore. . It has a few tricks done to it, nothing major. . pipe, intake, etc... Clean title and current registration in hand txt or call 541 761 333one. $1500.00 or best offer thanks! wave runner water craft boat",,5927130175,,6,,,,,$1500,power, (Grants Pass),Kawasaki X2 Custom jet ski,https://redding.craigslist.org/boa/5927130175.html,
8,,"['38.680800', '-121.741100']",2016-12-20 07:00,Hi im selling my 1972 reinell boat it's a ski/fishing boat runs very good no issues always garage kept has a new propeller hub and just changed the oil in the outdrive current registration I have the title for the boat and trailer the boat only has 278 hours on it everything works just put new wheel bearings on the trailer and rims and tires lights all work it's a very reliable boat $2000 obo or trade I'm looking for a travel trailer on small 5th wheel but nothing over 18ft my truck can't pull anything bigger or just let me know what you have I would trade for a gas saver as well or 4x4 or a motorcycle dirtbike just let me know show contact info thank you,278,5894458624,38.680800,16,-121.741100,,"https://maps.google.com/maps/preview/@38.680800,-121.741100,16z",,$1,power, (Woodland),very nice reinell only 278 hours $2000,https://redding.craigslist.org/boa/5894458624.html,1972
9,good,,2016-12-19 21:56,Aluminum boat for sale. . . Great for ponds or mountain lakes. No motor $550 with trailer $300 without trailer,,5913492575,,14,,,,,$300,human, (Redding),14 ft aluminum bost,https://redding.craigslist.org/boa/5913492575.html,
10,,,2016-12-19 21:24,"I built this boat with my son about 4 years ago. We got it as a raw hull put the floor and built the center console and added every piece of Hardware to this boat. It has an 80 Horse Mariner motor and controls. Bilge pump, CNC hydraulic trim, and in 18 gallon gas tank underneath the center console. The boat runs perfect and gets you around very efficiently. Just bought a 22 foot ocean boat don't need this boat anymore 3800 or make offer",,5905530767,,18,,,,,$3800,power,,18ft flat aluminum boat,https://redding.craigslist.org/boa/5905530767.html,
11,new,,2016-12-19 20:45,"brand new drift boat trailers aluminum wheels, safety chains, back roller, boat guides, 2000 pound torsion axle, wired with LED lights $1499. I can build them standard or to your specs, 2x4""x1/4"" toung and 2x4 frame. Catwalk $300, spare tire $225.....",,5926404094,,16,,Driftwood,,,$1499,human, (central point/Medford),Drift Boat trailer manufacturer,https://redding.craigslist.org/boa/5926404094.html,2016
12,,"['40.547000', '-122.340000']",2016-12-19 19:01,Lead drift boat anchors any shape any size from 5 pounds to 55,,5914766111,40.547000,10,-122.340000,,"https://maps.google.com/maps/preview/@40.547000,-122.340000,16z",,,human,,Lead drift boat anchors,https://redding.craigslist.org/boa/5914766111.html,
13,,,2016-12-19 18:27,"I've got a 1984 wellcraft that's just been sitting in the yard for about 8 years. Needs a little upholstery work, new batteries, some engine work and a little fixin up. This thing needs to go it's just taking up space in the yard. All cash offers welcome. No trades. Text me for more pictures.",,5926296904,,23,,,,,$5000,power,,1984 Wellcraft 230 Aftcraft,https://redding.craigslist.org/boa/5926296904.html,
