,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['33.369000', '-117.229000']",2016-12-20 14:23,"I'm selling my 20' 2000 Yamaha Jet Boat open bow with Aluminum trailer.  Trailer has new tires. Boat seats 7.  Both 1200 Jet motors have recently been rebuilt ( within 10-15 hours) , along with the pumps, new props, new bearings and seals, Carbs have been rebuilt, new fuel lines with new fuel filters.  Great shape Bimini,  Radio with amp and speakers.  Boat is super reliable and ready to go... Both captain chairs could use some new upholstery.  Boat is worth $9k not including new engine work.  If interested call Jeremy @ show contact info Or reply to this ad via email.   $7500..",,5922927792,33.369000,20,-117.229000,,"https://maps.google.com/maps/preview/@33.369000,-117.229000,16z",,$7500,power, (Fallbrook),2000 Yamaha Jet Boat 20',https://sandiego.craigslist.org/nsd/boa/5922927792.html,
1,good,"['32.796900', '-117.240500']",2016-12-20 14:11,"GOOD SOLID VESSEL. CONCORD EXPRESS F/B CRUISER.TWIN 454 cid MRECRUISER-GAS. ONE ENGINE REBUILD WITH NEW LONG BLOCK AND ONE HAS TO BE REBUILD. 350HP EACH. CRUISE SPEED 16-18 KTS, TOP 25KTS. GOOD TO LIVE ABOARD OR SPORT FISHING BOAT. CAN SLEEP SIX PEOPLE. LOA35', BEAM 12'. FIBERGLASS. EQUIP FURUNO RADAR/CHART PLOTER, GPS, DEPTHINDICATER, VHF. AC/HEAT, HOT WATER HEATER, REFR/FREEZER, STOVE, SHOWER. RECENT BOTTOM  PAINT. LOCATED IN THE MARINA WITH TRANSFERABLE SLIP $470 p. month,. NICE CLEAN BOAT WITH NEW UPHOLSTERY AND FLOOR. CONDO ON THE WATER",10,5927384038,32.796900,35,-117.240500,CONCORD,"https://maps.google.com/maps/preview/@32.796900,-117.240500,16z",35 EXPRESS F/B,$16000,power, (SAN DIEGO),36' CABIN CRUISER F/B,https://sandiego.craigslist.org/csd/boa/5927384038.html,1972
2,like new,"['32.767646', '-117.024822']",2016-12-20 14:09,"2015 Yamaha wave runner FX HO 23 hours only and has only been In fresh water(lake Martinez/senators wash).Price is firm and comes with trailer and all accessories included. Trailer,6 Life vests,water tube,2 ropes,2 pulling clips,flag,locks,fire extinguisher,3-5gallon gas tanks,jet ski cover and jet ski anchor. Serious buyers only.",23,5927381208,32.767646,8,-117.024822,Yamaha,"https://maps.google.com/maps/preview/@32.767646,-117.024822,16z",Wave runner FX HO,$11995,power, (La mesa),Jet ski,https://sandiego.craigslist.org/csd/boa/5927381208.html,2015
3,fair,[],2016-12-20 14:09,"The Shelter Island Marina is holding an auction on Thursday, December 29, 2016 at 11am. Up for auction is a 1977 37' Tayana. Starting bid is $10k. Showing will begin at 10am. I do suspect that, based by the exterior, the boat is likely worth much more than $10k. Rules: 1. The boat will be sold ""as is, where is"" 2. There is a 10-day redemption period, beginning the date after the auction, by which the current owners may make good on their debt and retain the vessel. The winning bidder will have to wait this period. 3.According to the lien sale company who we rely on for the sale, there are no known taxes due on the vessel. However, if for some reason it arises that taxes are due, a new owner will be liable. This is true for any lien sale. We are confident with the search conducted by the lien sale company. 4. All expired registration fees and possible property taxes must be paid when registering the vessel. 5. The boat may make for a nice cruiser with some elbow grease and attention. However, it is not quite up to par with the other boats in our marina. Therefore, the new owner will have 2 weeks to remove the vessel from Shelter Island Marina. This 2-week period will begin after the 10-day redemption period has ended. 6. The boat will not be open for viewing the interior. This is because, until the 10-day redemption period is over, the boat is still owned by the soon-to-be previous owners.",,5927363547,,37,,Tayana,https://maps.google.com/?q=loc%3A+%32%30%35%31+Shelter+Island+Dr+San+Diego+CA+US,,$10000,sail, (Shelter Island Marina),Auction! 37' Tayana Cruising Sailboat,https://sandiego.craigslist.org/csd/boa/5927363547.html,1977
4,like new,"['32.796900', '-117.240500']",2016-12-20 14:08,"Commercial Vessel, 49 PASSANGERS COI. 6-71 DETROIT DIESEL, 5-10 GAL P/HR. 5KW GENERATOR, BOW THRUSTER, PILOT HOUSE. CURRENTLY  ON DRY DOCK AND WILL NEED  INTERIOR PAINTING AND SOME ELECTRICAL WIRING. GREAT BOAT FOR WHALE WATCHING, PARTY OR BAY TOURS. ASKING $65000 OR WILL CONSIDER PARTNERSHIP.",2250,5927379016,32.796900,50,-117.240500,Uniflite,"https://maps.google.com/maps/preview/@32.796900,-117.240500,16z",Passenger,$65000,power, (San Diego),"50' PASSANGER  Vessel, USCG INSPECTED",https://sandiego.craigslist.org/csd/boa/5927379016.html,1977
5,good,"['32.725198', '-117.197342']",2016-12-20 14:05,"Great condition! Ready to sail! Fun boat to start on and weekend trips. Live aboard-able. This is a fantastic bed and breakfast business and a great investment. By renting it out on the days you're not using it, you can make a nice profit! I've been in the industry for many years and I modeled this boat as follows: Annual Gross Revenue: $25,000/year ($100/night x 70% San Diego occupancy rate- very conservative estimates!) Annual Expenses: $8000 (docking fees, sheets, supplies etc) Annual Net Revenue: $17,000. Make money AND have fun sailing! Included with the purchase are all the boat supplies including kayak and snorkeling gear, website profile page, professional photos, ad-copy that you will need to run a profitable bed and breakfast business. No additional work to get started, this is an easy business to run, and only takes a few minutes a week out of your time to respond to emails and coordinate cleaning. Sailboat includes: 2006 Yamaha 8hp 4 stroke outboard. This engine runs perfectly! New jib halyard, main halyard and traveler line. New 800 gph bilge pump with built-in float switch, new ¾"" hose and auto/manual switch. Recently serviced Arco winches. Titan winch handle. Sails are in good condition - 155% genoa sail (barber shop colors), jib sail and a main sail. Long and very heavy anchor chain and line. Garmin 180 GPSMAPS. Steering wheel & back up tiller. VHS Radio. Speedometer. Depth sounder. Wheel steering. LED lights for the cabin. Working head and sinks with large holding tanks. Pressurized two burner alcohol stove. Toaster oven. Sleeps 6. All cushions are in great condition. Plenty of storage room. Huge storage room in the V-birth. Comes with all the needed safety equipment. Including a ladder, life jackets for the entire family, floating cushion cushions, 3 fire extinguishers and more.",,5916530633,32.725198,28,-117.197342,Lancer,"https://maps.google.com/maps/preview/@32.725198,-117.197342,16z",,$6995,sail," (San Diego, CA)",1979 28' Lancer Sailboat- great investment opportunity!,https://sandiego.craigslist.org/csd/boa/5916530633.html,1979
6,good,"['32.796900', '-117.240500']",2016-12-20 14:04,"24ft Bayliner Cierra 1995 great condition registration good till end 2017, sleeps 5 come with GPS/ fish finder and heavy duty EZ loader trailer, the trailer it self worth about 4.000$ has about 15 life jackets come with extra, the slip is transferable in good location ""Marina Village"" in Mission Bay, the slip fee is 320$ very close to the showers and laundry... ALSO LOOKING TO TRADE IT FOR CAR OR TRUCK 12K OBO Call or text Sam at show contact info ..",,5927374399,32.796900,25,-117.240500,Byliner,"https://maps.google.com/maps/preview/@32.796900,-117.240500,16z",cierra,$12000,power, (MISSION BAY),Bayliner 24ft For sale Or looking to trade for car,https://sandiego.craigslist.org/csd/boa/5927374399.html,1995
7,good,"['32.796900', '-117.240500']",2016-12-20 14:00,"24ft Bayliner Cierra 1995 great condition registration good till end 2017, sleeps 5 come with GPS/ fish finder and heavy duty EZ loader trailer, the trailer it self worth about 4.000$ has about 15 life jackets come with extra, the slip is transferable in good location ""Marina Village"" in Mission Bay, the slip fee is 320$ very close to the showers and laundry... ALSO LOOKING TO TRADE IT FOR CAR OR TRUCK 12K OBO Call or text Sam at show contact info ..",,5927368348,32.796900,25,-117.240500,Byliner,"https://maps.google.com/maps/preview/@32.796900,-117.240500,16z",cierra,$12000,power, (MISSION BAY),Bayliner 24ft For sale Or looking to trade for car,https://sandiego.craigslist.org/csd/boa/5927368348.html,1995
8,excellent,,2016-12-20 13:52,"We must sacrifice our beautiful 1978 Kettenburg K32 Sailboat due to relocation. This sailboat has been our labor of love, we have completely refurbished it. In addition to the pictures included here we also have video of it at sail we can send to you if you would like to see it. I can't get the video to upload here. It has a Volvo Penta Diesel engine, that just had a complete service in October. In addition to all that we have updated which is listed below it comes with two jib sails, a solar charger, life jackets and all the other items listed below. Here are some of the things that have been done in the last year and a half: Fresh bottom paint, through holes were replaced, Sails were refurbished, New main sail halyard, Other various rigging and pulleys have been replaced, New compass, New sail bags and coverings We chemically striped all the wood, re-stained in American Red Chestnut and sealed it. We have replaced all the cushions in the V-Berth, Quarter Berth and Salon this includes new foam and upholstery. The cockpit cushions have been reupholstered to match. New bilge pump installed All engine maintenance is current, complete service was done in October 2016, Prop shaft collar replaced, New electronic two bank battery charger, New 30 amp shore power receptacle installed New Port Visors Installed, New smoked plexiglass on the forward hatch, New upgraded 12V LED lights throughout, New Blue LED light in the cockpit, Current on all boat bottom maintenance with monthly cleaning service, New stainless steel deck through holes, New stainless steel keel bolts Sleeping Accommodations: up to 6 people as follows - V-Berth: 2 people, Port Side Salon couch pulls out to a bed: 2 people, Starboard Side Couch/Daybed: 1 person, Quarter Berth: 1 person At the V-Berth you will find two closets and small dresser (cabinet over the closet as well as drawers next to the closet) for clothing or other storage. The head is a full size with a new head. Plenty of storage for your toiletries. As stated above all salon cushions have new foam and upholstery as well as new curtains to match. There is a TV and DVD player. A hideaway table that folds out to accommodate 2-4 people when in use or hides out of the way when not in use. There are all new upgraded 12V LED lights in the salon and throughout. Beautiful accent throw pillows to match the interior of the boat. The smallest detail not overlooked. Even used small cleats and ropes to secure curtains. Navigation desk located by the quarter berth includes a drawer for map storage, a hideaway desk, includes an emergency ship to shore radio, and a brand new just installed Uniden Class D VHF Marine Radio. It also comes with emergency flares. The galley is outfitted with a large in counter ice box, a two burner alcohol stove, a microwave, and Keurig coffee pot. A large cabinet for storage under the stove and a large pantry cabinet above the counter for food storage. There are drawers for utensils and any other small items to store. New cushions and upholstery can fit six comfortably. Center pinnacle, Lowrance GPS Navigation, Magma BBQ propane with matching cover to the sail bags. It is a must see you will not be disappointed. We can show it most dates and times but it must be by appointment as we live in Nevada and the boat is in San Diego. Kayaks in picture not included in the price.",,5927336669,,32,,Kettenburg,,WW,$21900,sail, (San Diego),Kettenburg K32 Sailboat,https://sandiego.craigslist.org/csd/boa/5927336669.html,1978
9,excellent,"['32.717779', '-117.228928']",2016-12-20 13:50,"Our boat is Very Comfortable and Beautiful.  It is a 34' Columbia sailboat, berthed at the San Diego Yacht Club.  We've spent an enormous amount of time, money and energy making it completely beautiful and fun for our own family, now it is ready for yours.  The only thing left to do is a bottom paint job...  In the meantime, the bottom is professionally maintained every 3-4 weeks.  The Westerbeke Diesel runs perfectly, the boat is very roomy for it's size with good head-room(tall people, take note!), sleeps 7, and is set up to be enjoyed.  The entire hull and deck have been coated in new LP, and the interior is completely new with Tommy Bahama upholstery, including a custom memory foam V-berth, and custom contrast binding on the new felt-backed carpet.  It has been an excellent family boat for many years with 20+ Summers spent at Catalina Island.  It is set up for deep-water anchoring as well as mooring, and all systems work.  There is also an auto-pilot, which is awesome.  This is a good opportunity to get into a great boat for an affordable price.  All cosmetic work has been completed, all you have to do is pack your bags and set sail, or spend an enjoyable weekend on your new condo-on-the-water.  Is also an excellent candidate for a live-aboard.  You can take a look at the Facebook page we made for it.  The link is:  https://www.facebook.com/Columbia-34-Sailboat-For-Sale-293912360965838/?fref=ts Excellent Christmas present for the whole family.  We are open to trades and/or owner will carry. *Available immediately* Please EMAIL*",,5927355529,32.717779,34,-117.228928,Columbia,"https://maps.google.com/maps/preview/@32.717779,-117.228928,16z",,$25000,sail, (San Diego),"Nicest Diesel 34' Columbia sailboat you can find, great liveaboard",https://sandiego.craigslist.org/csd/boa/5927355529.html,
