,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 14:24,"2002 Hobie Tiger F18 class-legal racing catamaran for sale.  This is a great low-cost introduction into the fun and thrills of F18 racing.  She has been an excellent trainer for me, but the time has come to move up into a faster, more competitive F18.  Selling for $1000 less than I purchased her for three years ago and I have put thousands more into her. She sails great, but is not in pristine condition.  All new running rigging for 2016 and a new spinnaker with only a few races on it.  Carbon main in good condition; older dacron main without headboard.  Carbon racing jib is older but works well; several older dacron jibs.  Trampoline has one tear.  Hull is solid but could use some cosmetic repairs on the port bow.  Dagger boards could use refinishing.  Boom is slightly bent but completely functional.  Boom and sprit were new in 2015.  Has SNU spinnaker snuffing system.  No cover.  Hiking boards are included (I've never used). Comes complete with serviceable trailer including trailer box and sail tube.  Hardware to convert the trailer into a double-decker is included. She is not Bristol, but she is not a project boat; she is ready to sail and have a blast on.  She is very fast and I've had her over 21 knots in about 18 knots of wind.  In less breeze, she moves like a dream and is smooth to sail. I've had a lot of fun with the Tiger, but have the opportunity to move up to a newer boat and would like to find a good home for her.",,5927347248,,18,,Hobie,,Tiger,$5500,sail, (vallejo / benicia),2002 Hobie Tiger F18 Catamaran,https://sfbay.craigslist.org/eby/boa/5927347248.html,2002
1,fair,"['37.674000', '-122.089400']",2016-12-20 14:23,2 Yamaha jet skis one runs one doesn't run don't know why . One good Trailer. Best offer,9999,5917285026,37.674000,8,-122.089400,Yamaha,"https://maps.google.com/maps/preview/@37.674000,-122.089400,16z",Jet skis,,power,,Jet skis,https://sfbay.craigslist.org/eby/boa/5917285026.html,1996
2,fair,"['37.658600', '-122.047200']",2016-12-20 14:23,For sale 1962 Hershoff  H - 28 ketch rig double plank mahogany four cylinder Atomic  gas engine ketch rig all sails roller furling . Motor needs work . Soft deck needs to be redone. Call show contact info,,5920059450,37.658600,28,-122.047200,Hershoff,"https://maps.google.com/maps/preview/@37.658600,-122.047200,16z",H - 28,,sail,,H - 28,https://sfbay.craigslist.org/eby/boa/5920059450.html,1962
3,fair,"['37.658600', '-122.047200']",2016-12-20 14:23,For sale 1962 Hershoff  H - 28 ketch rig double plank mahogany four cylinder Atomic  gas engine ketch rig all sails roller furling . Motor needs work . Soft deck needs to be redone.,,5920058420,37.658600,28,-122.047200,Hershoff,"https://maps.google.com/maps/preview/@37.658600,-122.047200,16z",H - 28,,sail,,H - 28,https://sfbay.craigslist.org/eby/boa/5920058420.html,1962
4,,"['37.349200', '-121.953000']",2016-12-20 14:16,"Hi, I'm Travis Hinshaw. I am a Northern California marine and wildlife artist. I am offering for sale one of my favorite pieces, ""Pacific Pursuit"".  This particular piece was created using a heated metal stylus, burned by hand, into a plank of carved basswood.  It measures right around 30"" long, 11"" tall, and 2"" thick.  I would be willing to personally deliver a piece to a serious buyer. It would be a welcome excsuse to get out of the studio and on the road (as long as you are in northern Ca, that is). This is definitely not a piece for someone that is satisfied with a production piece, or something computer generated or laser engraved. I'd truly like to find a collector who enjoys art that is handcrafted, something an artist created one time, with originality and heart. I put over 100 hours into creating this piece, carving, sanding, hand stylus burning, and finishing. I take pride in not only anatomic accuracy, but tend to obsess over textural detail as well. I will gladly provide additional images, information, etc, to any serious collector. I'd love to chat and give you any background information on my work. Please feel free to contact me at show contact info or email me. Im also on facebook, and my site is travishinshawartistry.com. As a side note, the other half of this slab bacame a piece featuring bowhead whales, diving beneath the arctic ice, and sold at the Westhaven Center for the Arts, in Humboldt county, for 1500.00. I am willing to find an appreciative buyer for substantially less, as it would assist me in financing my next artistic project, woodcut printmaking. Thank you for your time. Sincerely, Travis Hinshaw",,5923515757,37.349200,30,-121.953000,,"https://maps.google.com/maps/preview/@37.349200,-121.953000,16z",,$900,human, (santa clara),Meticulously crafted marine art for the fisherman,https://sfbay.craigslist.org/sby/boa/5923515757.html,
5,,,2016-12-20 14:15,"2005 Sea doo gtx. EXCELLENT CONDITION! This is a 3 seater Perfect running 1500cc 4 stroke engine can be used on tahoe and all other lakes also has the closed loop cooling system so it can be used in salt water without adverse affects to the motor (Fresh water use only though) The Gtx is top of the line all the bells and whistles Tells direction. water temp air temp, has fwd N reverse. Also has off powered steering assist. So unlike other waverunners  you can still maneuver without being on throttle It has super low hours right at 100 ..annually serviced and ready to go Would make the perfect christmas gift for yourself or family First $3500 firm, No Trailer Add $400 with trailer Twozeronine92274two.one Serious buyers only Yamaha waverunner Wave runner kawasaki jetski honda aquatrax polaris Jet sky",,5927388152,,11,,,,,$3500,power,,2005 SeaDoo Gtx,https://sfbay.craigslist.org/eby/boa/5927388152.html,
6,good,[],2016-12-20 14:05,"1976 Catalina 22 sail boat with Trailer Registered thru 2017 and permanent trailer license plate! Very good conditions inside and out (no blisters in hull). Easy sailing, launching and trailering. Small truck/car can pull boat and trailer. All exterior and interior teak has been refinished. It�s well known as a solid performer in light or heavy winds, has a seaworthy fiberglass mono hull, and a shoal-draft keel that draws only two feet, allowing it access to the thinnest of waters. Boat, and trailer, $ 3000 BEST OFFER! Ready to show. Motivated seller. Make an offer! Call at: show: show contact info NO ENGINE! MOTOR OUTBOARD.",,5897196229,,22,,,https://maps.google.com/?q=loc%3A+manzanita+at+fair+oaks+carmichael+CA+US,catalina 22,$3000,sail, (Sacramento),1976 Catalina 22 Sail Boat -,https://sfbay.craigslist.org/pen/boa/5897196229.html,1976
7,,"['37.647294', '-122.392845']",2016-12-20 14:03,"COST OVER $2200 NEW AT SF BOAT SHOW A FEW YEARS BACK. JUST REDUCED FROM $1,795. FIRM AT THIS PRICE SO NO LOWBALLERS ----------------------------------------------------------------- EXCEEDING RARE AND VERSATILE! 3 CHAMBERED WITH HARD TRANSOM AND BEARING BELLOW PUMP TO INFLATE INFLATABLE FLOOR BLADDER WITH HARD FLOOR INSERTS ALUMINUM OARS FOR ROWING TWIN LEEBOARDS AND RUDDER FOR SAILING , WITH JIB TRACK AND MAIN SHEET TRAVELER FOR SAILING 3 PIECE ALUMINUM MAST + BOOM THAT INSTALS ONTO FLOOR BOARD...CRISP MAIN SAIL AND JIB SAIL FOR UPWIND OR DOWNWIND PERFORMANCE! HARD TRANSOM TO MOUNT A GAS OR ELECTRIC OUTBOARD THIS IS THE ULTIMATE TENDER DINGHY SKIFF LIFECRAFT! PRICE IS FIRM",,5927197828,37.647294,9,-122.392845,STORM,"https://maps.google.com/maps/preview/@37.647294,-122.392845,16z",,$995,sail,,INFLATABLE DINGHY TENDER: SAIL MOTOR OR ROW!!,https://sfbay.craigslist.org/pen/boa/5927197828.html,
8,good,"['37.681100', '-122.400100']",2016-12-20 14:03,"For Sale by Owner A 1986 Chris Craft Catalina Express 294 The Price is $13,165, but if you know anything about boats, it comes down to the Survey and Negotiations. It is fully equipped with necessary electronics, including Radar, GPS, Depth and Fish finder. Galley has duel heat. Electric two burner/Coleman style stove liquid fuel burner. AC/DC Refer/Frzr S/S sink Storage space Fresh Water Pressure system 5 gal Hot Water Heater Head w/shower Pumpout Port a Potty. Sink Sleeps 4--6 people, depending on who you are and your preferences. Twin 305 Mercruiser Engines See photos provided for further inspection",,5927342580,37.681100,29,-122.400100,Chris Craft,"https://maps.google.com/maps/preview/@37.681100,-122.400100,16z",Catalina Express 294,$13165,power, (brisbane),1986 Chris Craft Catalina Express 294,https://sfbay.craigslist.org/pen/boa/5927342580.html,1986
9,like new,"['37.898900', '-121.605400']",2016-12-20 14:01,"Moving Must Sale!!  (used 2x this summer too busy with baseball and moving) Sorry some pictures are turning out sideways!! 2011 V215 Sanger Wake Series V8 Black Scorpion w/trailer Excellent Condition - like brand new! - Fully Loaded 154 hours All maintenance services done at Sporting Edge in Antioch (purchased brand new from Sporting Edge in Antioch, CA) Red/White/Gray/Black bottom boat Perfect Pass Bennett Trim Tab Automatic Front and Rear Ballast Surf Sac on left side of storage locker Dual Batteries 21.6 length 96"" Beam 26"" Draft 3,200 lbs. Boat Weight Fuel Campacity 45gal. Deadrise 16"" Seating Capacity 12 Persons Front Ballast 500 lbs. Dual Rear Ballast 250 lbs each Fibergalss Platform Stainless Steel Cupholders Depth Finder Ice Cooler inside boat Lots of Storage and more.......... EXTRAS: Custom UV Canvas made for boat (covers all tires) - Charcoal (will include) Custom 10 Speaker Stereo with Subwoofer/Amp.  IPhone connectivity Surf Sac and Vests Please contact for questions Jeff show contact info",154,5927370703,37.898900,22,-121.605400,Sanger,"https://maps.google.com/maps/preview/@37.898900,-121.605400,16z",V215,$42000,power, (brentwood / oakley),2011 V215 Sanger Wake Series (154 hours),https://sfbay.craigslist.org/eby/boa/5927370703.html,
