,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 13:40,"F/V DARLENE                                                                                                                $99,500 Year completed: 1960 Built In: Wilmington, California Owner: Ronald Hansen Master builder: John Hansen Sr. Permits: California Salmon permit.  HS Tuna permit. Gross tonnage: 28 GRT Net tonnage: 13 NRT Length: 45.6'/Overall length 52' Beam: 14.9'/Overall beam 15.5' Depth: 6.6' Wood hull material: Planking is 1 1/4"" Douglas Fir, Ribs are a full 4/4 White Oak, Railings are ironbark. Propellor: New (2011) 4 blade propeller 30X28 Bronze. Boat Last Hauled-Out: Completely painted April, 2015. Main engine: 6 cylinder 220 Cummins.  Never ran main engine over 1250 RPM's. Vessel cruises 8 to 9 knots. Gearbox: Twin Disc Gearbox MG 508 3 1/3-1 hydraulic with a trolling valve. Auxiliary engine: Four year old 4 cylinder Isuzu 37 HP.  Aux runs: hydraulic system, spray brine system, 5KW generator 110 volt system, V4 cylinder Brunner Compressor refrigeration and 12 volt alternator. Fuel: 700 gallons in two stern tanks.  Engine room, two tanks: 1,000 gallons. Fresh water: 200 gallons in stern and 200 gallons in bow with filter system. Refrigeration system: New spray brine system built in 2011.  $8,000 chiller and fish hole fiberglass.  New V4 cylinder Brunner Compressor with hydraulic spray brine. Fish hole capacity: Long history of Albacore success.  My Dad has had 24 tons of Albacore when the boat had coils for refrigeration.  He also believes the boat will hold 30 tons of Albacore with the new spray brine system. Anchor Winch: Fort Bragg anchor winch with lots of heavy chain 250' of 1 1/2"" diameter Samson rope. Electronics: Furuno Radar 30 miles, Furuno 3D 15"" plotter with weather service, VHF, Fathometer, Wood Freeman auto pilot, and a second 5' plotter. Galley: Sleeps 4 (2 bunks in galley, 2 in focsle), microwave, 4 burner propane stove with oven, stainless steel sink, and flat screen TV. Salmon gurdies: Canadian Salmon 3 spools. Tuna gurdies: Brand new, never used Risley's stainless Tuna pullers. Back deck: Huge open deck area for a crabber. Crow's nest. Location: Morro Bay, CA.",,5927322784,,52,,John Hansen Sr.,,Custom,$99500,power,,COMMERCIAL FISHING BOAT,https://slo.craigslist.org/boa/5927322784.html,1960
1,,"['35.379500', '-120.844700']",2016-12-20 12:20,Selling my 23 ft eastern. Have all paperwork. It's a 93 with a new trailer   Rebuilt 4 cylinder chevy with a straight shaft. Call 805 seven four eight 4419,,5927226214,35.379500,23,-120.844700,Eastern,"https://maps.google.com/maps/preview/@35.379500,-120.844700,16z",,$20,power,,23 ft eastern,https://slo.craigslist.org/boa/5927226214.html,
2,,,2016-12-20 10:51,Aluminum boat with trailer and extras,,5912330433,,14,,,,,,power,,aluminum boat with trailer,https://slo.craigslist.org/boa/5912330433.html,
3,good,[],2016-12-19 20:06,"We took this boat down to the hull then we rebuilt the interior, wiring, seats, floors.....etc Custom built engine (includes all documentation) Here is the short list of what is inside: *350 Chev engine *new upholstery *carpet *stereo *waketower *eclipse bimini *custom swim deck and many more upgraded parts and features fully serviced with trailer. Please call for more information $10k OBO > show contact info > show contact info cell < >No acceptance of commercial services, spam or any other entity attempting to list this posting, attempt to provide services to list this posting, and purchase of this posting using pay pal, western union or any unauthorized means of purchase through third party purchasing sources.",50,5920134307,,19,,,https://maps.google.com/?q=loc%3A+%31%30%36%32%35+LAKE+NACIMIENTO+DRIVE+PASO+ROBLES+CA+US,,,power,,BOAT - Customized,https://slo.craigslist.org/boa/5920134307.html,
4,good,"['35.352936', '-120.844975']",2016-12-19 18:05,8 ft El toro sailboat in good condition 555 Trailer is  400. No title. OBO,,5907930463,35.352936,8,-120.844975,,"https://maps.google.com/maps/preview/@35.352936,-120.844975,16z",,$555,sail, (Morro Bay),El Toro,https://slo.craigslist.org/boa/5907930463.html,
5,good,[],2016-12-19 18:04,This posting is for a 1979 Shore Pontoon boat.  It was dismantled for a remodel but I don' have the time to finish the project.  The pontoons were totally repaired and the bottom end of the motor was rebuilt.  All that is left is to put it back together.  You will need to provide the deck material (plywood and indoor/outdoor carpet?)   If you would like to see it please text or call or email. Robert Davis,,5896586927,,24,,Shore,https://maps.google.com/?q=loc%3A+%38%37%38%34+Plata+Lane+Atascadero+CA+US,,$2000,power, (Atascadero),1979 SHORE Pontoon Boat,https://slo.craigslist.org/boa/5896586927.html,1979
6,excellent,[],2016-12-19 16:28,"2000 Crownline 212DB Best family boat we've ever had, but we never use it anymore and it needs to go to a good home where it can make another family happy. Can hold a ton of people and has enough power to with a the V-8 350 and I/O to pull anything all day. Lot of extras!! Note: Pictures are not of the actual boat but one exactly like it. The boat for sale is green with the exact interior as show in the pictures and the same floor plan. Bimini Top Boat Cover - 20 ft. thru 25 ft. Stereo - AM/FM Cassette w/4 speakers Batteries - Dual w/Switch Flooring - Snap In/Out Carpet Fuel Injection Porta Potti Swim Step - Fiberglass Trailer Tandem 22 Feet Spare Tire and Carrier Surge Brakes",300,5926179439,,26,,Crownline,https://maps.google.com/?q=loc%3A+%32%37%32%37+Turkey+Cove+Rd+Bradley+CA+US,212 DB,$16999,power, (San Luis obispo),2000 Crownline 212DB,https://slo.craigslist.org/boa/5926179439.html,2000
7,,"['35.123278', '-120.574951']",2016-12-19 16:07,"Great, fun sit inside kayak. Fun in waves, and rivers call, show contact info names rusty.",,5926156838,35.123278,56,-120.574951,,"https://maps.google.com/maps/preview/@35.123278,-120.574951,16z",,$400,human, (Arroyo grande),Wave sport kayak,https://slo.craigslist.org/boa/5926156838.html,
8,,"['35.317200', '-120.833300']",2016-12-19 08:04,Capri 14.2 sailboat with trailer in great condition. Must sell $2500,,5925424467,35.317200,14,-120.833300,,"https://maps.google.com/maps/preview/@35.317200,-120.833300,16z",,$2500,sail, (Los osos),Capri 14.2 great condition,https://slo.craigslist.org/boa/5925424467.html,
9,like new,"['35.640600', '-120.700300']",2016-12-19 07:45,Don't miss this deal boat is like new starts and runs great ready to go Trolling motor with new battery Fishfinder all ready to go,,5918836867,35.640600,18,-120.700300,Sea ray,"https://maps.google.com/maps/preview/@35.640600,-120.700300,16z",Fish and ski,$4000,power, (Paso robles),Sea Ray boat like new,https://slo.craigslist.org/boa/5918836867.html,1995
