,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['34.429600', '-119.861200']",2016-12-20 11:00,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE  w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5927100750,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp, jet-drive, $4k OBO'RUNS'",https://santabarbara.craigslist.org/boa/5927100750.html,1973
1,excellent,"['34.624000', '-120.071300']",2016-12-20 10:52,"This 1998 Boston Whaler Sentry 19' is a heavy duty commercially built boat. It is unsinkable (3,000 pounds swamped capacity) and built like a battleship. This boat was an Oklahoma patrol boat used in fresh water lakes. It was first placed in salt water on 8/18/2016 for a sea trial. The boat has been in salt water now 3-times and thoroughly rinsed off each time. This boat Features: Unsinkable hull with commercial fiberglass laminate. Heavy duty rub rail. Fiberglass bow deck with integral windshield. 7'1"" Cuddy Cabin with cabin light. This comes with a complete Bimini top. Flying top set with removable side curtains and rear drop curtain. Heavy Duty Stainless Steel cutwater. High end Captains seat with shock absorbing suspension system. Hydraulic Trim Tabs. Hydraulic steering. Port, Starboard, and stern Navigation lights. (2) New Group 27 batteries. Garmin GPS/Sounder 545s with transom mount transducer. Standard Horizon Matrix VHF radio with AIS feature and a built in GPS. (3) 10"" Deck cleats Stainless steel transom cap. (3) New dock lines (3) New fenders Coleman cooler with wheels and a deck mounting kit. For fishing I have added 4-fixed, and 4-adjustable rod holders. Danforth anchor with chain and anchor rode. The 2004 Mercury 150 Opti-Max outboard motor is running perfectly. This outboard motor received a complete service by ""Pacific Marine"" on 6/29/2016. The engine has only 1141 Hours of operation and can propel this boat at 35 knots. Compression (1)=124, (2)=120, (3)=114, (4)=122, (5)=116, (6)=109 New propeller. New High pressure and low pressure fuel pumps. New ignition coils. New spark plugs and spark plug wires. All of the fuel injectors were cleaned. New O-rings on injectors. New water pump repair kit. New lower-end gear lube. New fuel filters. New flushing attachment. New water separating fuel filter assembly with clear bowl. The1992 Galvanized trailer is in great shape. New Hubs and bearings. Tires are in good condition. New trailer ball hitch assembly. New 2-speed winch with heavy duty winch strap. New trailer tail lights. (3) new trailer keel rollers. New covers on trailer Bunks. Safety Items: New Fire extinguisher. (3) New life jackets (2-adult, 1-child). Type-4 floatation device /seat cushion. (4) New hand held and Aerial flares. Safety flashlight with emergency strobe light. New horn This is a Turn-Key Boat/Motor/Trailer package that you can safely take to the Islands. I will gladly answer any questions that you have on this incredible boat. Please call or include your phone number on an email or text message. I do not respond to Email's or text messages that do not have a return phone number. The first person to hand me $16,000 will be the proud owner of this boat. *** Good Luck",1141,5926973364,34.624000,19,-120.071300,Boston Whaler,"https://maps.google.com/maps/preview/@34.624000,-120.071300,16z",Sentry 19,$16000,power, (Santa Ynez),1998 Boston Whaler Sentry 19' with 2004 Mercury 150 Opti-Max motor,https://santabarbara.craigslist.org/boa/5926973364.html,1998
2,,,2016-12-20 10:52,"1998 Aquaterra Sea Lion Kayak in excellent condition. Always garaged, used very little. This is the Fiberglass version, the price includes a full complement of accessories, also in excellent shape. The paddle is a Werner. Yakima rack mounts used as infrequently as the boat.This stuff is essentially new. The Sea Lion was a very desirable hull design for a touring Kayak, it's still hard to beat.",,5921325082,,17,,,,,$850,human,,Aquaterra Sea Lion Touring Kayak,https://santabarbara.craigslist.org/boa/5921325082.html,
3,,"['34.429600', '-119.861200']",2016-12-20 06:53,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE  w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5926710918,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp, jet-drive, $4k OBO'RUNS'",https://santabarbara.craigslist.org/boa/5926710918.html,1973
4,,,2016-12-19 23:22,"Here sits a 1980,s ponga boat, 19' You haul away $50",,5892092271,,19,,,,,$50,human,,19' ponga boat,https://santabarbara.craigslist.org/boa/5892092271.html,
5,,,2016-12-19 20:21,"Hooka ""Crazy"" Set up Honda 5.5 HP Engine Quincy Compressor Mod. X8 500 Ft. Yellow Hose Stainless Steel Holding Tank with Hardwood Cradle Dive Harness Quick Release Regulator Canvas Cover Wt. Belt/Filler Fuel Pump Other gear if needed Float Balls Very Low Hours Please call Dennis show contact info",,5888021431,,0,,,,,$1500,power, (LaConChita),Professional Dive Gear,https://santabarbara.craigslist.org/boa/5888021431.html,
6,excellent,"['34.404160', '-119.694884']",2016-12-19 20:20,"2STROKE/SHORTSHAFT  Just professionaly serviced inc carb rebuild, new sparkplugs, gear oil, water impeller. Clean with no corossion. Starts excellent, idles and runs gr.at,",50,5917028278,34.404160,15,-119.694884,mercury/marine,"https://maps.google.com/maps/preview/@34.404160,-119.694884,16z",,$250,power, (santa barbara),6HP MERCURY OUTBOARD,https://santabarbara.craigslist.org/boa/5917028278.html,1979
7,,"['34.419700', '-119.707800']",2016-12-19 17:37,This is a nice Coronado 25 Good sails and rigging Nice cabin Does not come with an outboard. boat is currently located in Los Angeles If you buy the boat I might be able to help you get her up to Santa Barbara for a fair price. I might be bringer her up here if I do not sell her down there If interested in buying this boat Call Matt show contact info,,5926250588,34.419700,25,-119.707800,,"https://maps.google.com/maps/preview/@34.419700,-119.707800,16z",,$1250,sail, (Deliver to Santa barbara),25' Coronado sailboat,https://santabarbara.craigslist.org/boa/5926250588.html,
8,,"['34.429600', '-119.861200']",2016-12-19 17:33,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE  w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5926246148,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp, jet-drive, $4k OBO'RUNS'",https://santabarbara.craigslist.org/boa/5926246148.html,1973
9,,"['34.881400', '-116.999413']",2016-12-19 16:41,it is a omega jet boat with a 460 ford v8 panther jet new seats bimni top runs good reg till 2017 clean title on both inter  let me know by text or call show contact info,,5893444738,34.881400,23,-116.999413,,"https://maps.google.com/maps/preview/@34.881400,-116.999413,16z",,$5000,power, (barstow),20FT JET BOAT with 460 v8 ford trade,https://santabarbara.craigslist.org/boa/5893444738.html,
10,,"['34.407816', '-119.691547']",2016-12-19 15:10,3 Cal-style 2008 Vanguard CFJ's for sale. Boats are in good condition and rigged for college/high school racing on the west coast.  Boats are not spinnaker rigged and do not include sails though some older practice sails may be negotiated in as part of the deal.  These boats have been owned and used by the nationally ranked UCSB Sailing Team for the entirety of their life thus far. Offered at: $2200 if purchasing 1 boat $2000 if purchasing 2-3 boats Please contact show contact info with questions.,,5921047423,34.407816,13,-119.691547,,"https://maps.google.com/maps/preview/@34.407816,-119.691547,16z",,,sail,,3 Cal-style 2008 Vanguard CFJ's for sale,https://santabarbara.craigslist.org/boa/5921047423.html,
11,excellent,"['38.482200', '-122.747300']",2016-12-19 14:50,"2011 striper Alaska walk/ A 2605 350 magnum 9.9 Yamaha kicker. Helm controlled kicker. New Lowrance 4g radar, 12 gen 3 touch screen. With 3d module. Sink, stove, toilet. New reverse 6 man life raft. On perfect condition. Pictures are just taken. Underwater high def camera.",300,5904880640,38.482200,26,-122.747300,,"https://maps.google.com/maps/preview/@38.482200,-122.747300,16z",,$64500,power,,2011 Striper 2605 Alaska Package,https://santabarbara.craigslist.org/boa/5904880640.html,
