,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['34.429600', '-119.861200']",2016-12-20 06:54,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE  w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5926711876,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp,jet-drive, $4k OBO 'RUNS'",https://santamaria.craigslist.org/boa/5926711876.html,1973
1,good,"['34.429600', '-119.861200']",2016-12-19 17:32,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE  w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5926245670,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp,jet-drive, $4k OBO 'RUNS'",https://santamaria.craigslist.org/boa/5926245670.html,1973
2,,"['34.429600', '-119.861200']",2016-12-19 08:36,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5924537506,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp,jet-drive, $4k OBO 'RUNS'",https://santamaria.craigslist.org/boa/5924537506.html,1973
3,,,2016-12-17 17:42,Haven't started it but the guy I got it from said it ran good,,5913198688,,18,,,,,$1200,power, (Santa Maria),Got this 135 outboard motor,https://santamaria.craigslist.org/boa/5913198688.html,
4,,"['34.828600', '-120.426800']",2016-12-17 17:42,"It's good work boat title doesn't have exact year on it but 4c mustang motor run really good... Always been dependable, tube, ski, fish",,5913198982,34.828600,22,-120.426800,,"https://maps.google.com/maps/preview/@34.828600,-120.426800,16z",,$2600,power, (Santa Maria),Nice working boat 89-94,https://santamaria.craigslist.org/boa/5913198982.html,
5,excellent,,2016-12-17 13:35,Scupper Pro $500.00.  Without paddle $450.00.  In very good condition.  No seat available. Easy to convert for fishing....... Call show contact info,,5923499110,,14,,Ocean Kayak,,Scupper Pro,$500,human, (Guadalupe),Scupper Pro by Ocean Kayak,https://santamaria.craigslist.org/boa/5923499110.html,
6,,"['34.436900', '-119.728500']",2016-12-16 15:16,"12' Gregor Aluminum all welded hull. Boat is in great condition. No leaks and very few scratches/dents. Trailer has new winch, strap and lights. Engine is a 18hp 2-stroke Tohatsu (Nissan) and is very reliable. Clean and clear title for boat and trailer. Call, text or email if you are interested. Great boat for only $1000. Cash only. No Scammers. If the ad is posted the boat is available. Keyword: Valco, Western, Aluminum, westcoaster, west coaster, lund, sea, surf, spear, spearfish, surfboard, channel islands, furno, hummingbird, riffe, omer, lowe, carver, west marine, honda, yamaha, mercury, jet ski, sea doo, fish, penn, okuma, panga, accurate, avet, shimano, abu garcia, welded, rivot, beach, fishing, skiff, garmin, raymarine, sonar, fishfinder, surfing, surfboard, ranch,",,5922343257,34.436900,12,-119.728500,Gregor,"https://maps.google.com/maps/preview/@34.436900,-119.728500,16z",,$1000,power, (Santa Barbara),12' Gregor welded Aluminum w/trailer and 18hp,https://santamaria.craigslist.org/boa/5922343257.html,
7,excellent,"['34.953500', '-120.495700']",2016-12-16 13:46,"Excellent condition, excellent fishing boat, 24 foot, less than 400 hours, 5.0L engine, 9.9 mercury kicker motor, tandem axle galvanized trailer Message through Craigslist",400,5922226044,34.953500,24,-120.495700,Trophy,"https://maps.google.com/maps/preview/@34.953500,-120.495700,16z",2352WA,$34500,power, (Santa Maria),2006 Trophy 2352WA,https://santamaria.craigslist.org/boa/5922226044.html,2006
8,,,2016-12-16 08:44,"Awesome boat, great running motor and solid trailer. Lots of good times on this boat. Go out and fish, cruise the lake or bay. Clean titles in hand for both boat and trailer. Spare trailer tire. Anchor with rope. Rod holders",,5921757097,,14,,,,,$1400,power, (Arroyo Grande),"14' Valco Boat, with motor and trailer",https://santamaria.craigslist.org/boa/5921757097.html,
9,,,2016-12-15 19:40,"Why I'm selling our boat we got a  bigger one. We had a lot of engine work done by a boat mechanic in Lompoc I have receipts. I'm asking 1500 or best offer, if you're interested please either call show contact info or email for more details",,5921260129,,16,,,,,$1500,power,,Boat,https://santamaria.craigslist.org/boa/5921260129.html,
