,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['38.003100', '-121.917200']",2016-12-20 13:06,1987 mariner/yamaha 9.9 hp tiller opp new water pump & housing new fuel filter new spark plugs new hydro foil fin new gear oil motor is turn key $800.00 obo,,5890603028,38.003100,14,-121.917200,,"https://maps.google.com/maps/preview/@38.003100,-121.917200,16z",,$800,power,,1987 mariner/yamaha 9.9 hp,https://stockton.craigslist.org/boa/5890603028.html,
1,good,"['38.041878', '-121.161484']",2016-12-20 11:37,"I'm selling my 14' 1970s HydroSwift boat. Engine is 75 hp Evinrude (1980) outboard motor.  I am including 5.0 Sailor trolling motor.  Both motors run very strong.  The boat of the boat needs a little TLC.  Also comes with Bimini, anchor and life jackets and trailer.  $2000 obo",,5927160709,38.041878,14,-121.161484,HydroSwift,"https://maps.google.com/maps/preview/@38.041878,-121.161484,16z",,$2000,power, (stockton/linden/lodi),14' HydroSwift boat W/ 75 hp Evinrude outboard motor,https://stockton.craigslist.org/boa/5927160709.html,
2,,"['37.813400', '-121.213200']",2016-12-20 11:32,1987 Kawasaki 550 stand up jetski. Includes truck tow rack for jet ski,,5927152160,37.813400,4,-121.213200,Kawasaki,"https://maps.google.com/maps/preview/@37.813400,-121.213200,16z",550,$500,power,,Jet ski,https://stockton.craigslist.org/boa/5927152160.html,
3,good,"['38.706946', '-121.308975']",2016-12-20 10:54,"1989 Sea swirl Striper 210 $6800 obo. OMC Cobra 5.8liter V8 runs great, lower unit serviced, galvanized trailer completely rebuilt and sealed, 15hp honda long shaft kicker motor, new carpet and seats. This boat is in great shape, if interested please email. No money orders, no shipping, No PayPal, no solicitors. NO SCAMMERS! Please email to view boat. Will answer any serious buyers questions. Thanks boston whaler,whaler,striper, seaswirl,wellcraft,farallon,grady white, seaswirl striper, fishing boat, bay boat",,5927091239,38.706946,21,-121.308975,Seaswirl,"https://maps.google.com/maps/preview/@38.706946,-121.308975,16z",Striper 210,$6800,power, (Citrus Heights),1989 Sea swirl Striper 210,https://stockton.craigslist.org/boa/5927091239.html,1989
4,,,2016-12-20 10:52,"1983 centurian runs great, starts right up every time, needs some floor work and possibly replace the stringers. The boat is beautiful and interior is in great condition. We just don't want to do the work.Trailer has all new tires including spare. Registered through 2017.  3500 or best offer",,5923379785,,19,,Centurian,,,$3500,power, (Angels camp),83 centurian,https://stockton.craigslist.org/boa/5923379785.html,1983
5,,,2016-12-20 10:52,"2002 (purple) sea doo gti, 1996 sea doo xp $4000. Both run excellent, double trailer included. The xp is fast as hell and the gti can go all day on one tank of gas. The purple one had a new seat made last summer. Both come with covers.",,5923392707,,9,,Sea doo,,,$4000,power, (Angels camp),2 jet skis,https://stockton.craigslist.org/boa/5923392707.html,2002
6,excellent,"['39.150700', '-119.745900']",2016-12-20 10:03,"12' Deep V Extra Wide Valco Aluminum Boat 9.9 Johnson 2 stroke - Runs Great! Minkota Turbo Electric Trolling Motor with Newer Battery Everything you need to go fishing: Dual Quick Release Folding Seats Rod & Fishing Pole Holders Cup Holders Gas Can Anchor, Anchor Rope, & Bow Line Life Jackets & Throw Cushion Trailer has Swing Jack, Spare Tire, & PTI Plates Boat Cover also Current 2017 Stickers & Registration Clean titles for boat & trailer in hand. This boat and trailer is easy to handle, easy to tow, & really stable in the water. Perfect Christmas Present for Dad!! Please let me know if you would like to see it. (No trades) Thank you",,5903149225,39.150700,12,-119.745900,Valco,"https://maps.google.com/maps/preview/@39.150700,-119.745900,16z",,$1500,power," (Carson City, NV)","Xmas for Dad!! Valco Deep V Fishing Boat, Trailer, & Dual Motors",https://stockton.craigslist.org/boa/5903149225.html,1983
7,,,2016-12-20 08:29,"197 Searay 26 foot. / full cabin sleeps 5 / bath with shower / fridge / Lowrance Elite 5x fish Finder //350 GM with Mercruiser Alpha 1 //tandem axle trailer with surge brakes , good 10 ply tires. Boat has been used 12 times this year.out of Port San Luis with no problems //boat is clean and ready to use. Asking $5500 possible  trade for smaller boat up/down in value Dan show contact info",,5926851016,,26,,,,,$5500,power, (Visalia),26 Foot Searay Sundancer,https://stockton.craigslist.org/boa/5926851016.html,
8,,,2016-12-20 08:28,"197 Searay 26 foot. / full cabin sleeps 5 / bath with shower / fridge / Lowrance Elite 5x fish Finder //350 GM with Mercruiser Alpha 1 //tandem axle trailer with surge brakes , good 10 ply tires. Boat has been used 12 times this year.out of Port San Luis with no problems //boat is clean and ready to use. Asking $5500 possible  trade for smaller boat up/down in value Dan show contact info",,5926848911,,26,,,,,$5500,power, (Visalia),26 Foot Searay Sundancer,https://stockton.craigslist.org/boa/5926848911.html,
9,excellent,"['38.024673', '-121.127529']",2016-12-20 08:25,Camero SS Excellent condition leather  interior  garage parked  well-maintained and serviced  regularly  One owner,,5926844742,38.024673,0,-121.127529,Chevy Camero,"https://maps.google.com/maps/preview/@38.024673,-121.127529,16z",,$20000,power, (Linden),2012 Camero SS,https://stockton.craigslist.org/boa/5926844742.html,2012
10,,,2016-12-20 08:19,"Sea Ray Sundancer 26 ft //full cabin sleeps 5 adults//shower, kitchen, fridge etc/. Boat is complete but has no engine / all there but no 350"" Chevy motor /Mercruiser 260 hp out drive is complete:///@@@very nice 1997 all aluminum tandem trailer w/ surge brakes great project for driveway mechanic possible trade? Calls only !!!!! If u can't talk don't bother me and waste your time Dan show contact info",,5923733213,,26,,,,,$3300,human, (Visalia),1982 Sea Ray 26 ft,https://stockton.craigslist.org/boa/5923733213.html,
11,excellent,"['38.032000', '-121.049300']",2016-12-20 08:14,"Beautiful family boat open bow with canopy, excellent condition, Volvo Penta V8,  very low hours, one owner",50,5926826973,38.032000,20,-121.049300,Senza Larson,"https://maps.google.com/maps/preview/@38.032000,-121.049300,16z",Bow runner,$16000,power, (Linden),2007 Larson Senza,https://stockton.craigslist.org/boa/5926826973.html,2007
12,,,2016-12-20 07:56,"1985 Bayliner 2450 Ciera Command Bridge Engine Recently Rebuilt sitting on a Great condition trailer Features: Cabin V-Berth (Cushioned) w/ Storage Below Side Berth w/ Storage Below Galley Table, Convertible to Berth Galley Stainless Steel Sink with Pressurized Water System Two Burner Alcohol Stove Dual Voltage (120volt / 12volt) 2 cu. ft. Refrigerator 3-Drawer Storage and 2-Shelf Cupboard Storage Head Enclosed Privacy Head w/ Opening Window Mounted Hand Flush Toilet Stainless Steel Sink w/ Pressurized Water Linen Storage Closet Cockpit Wood Trimmed Railings Gear Storage Box Rod Holdersd Battery Isolation Switch Electrical 30 Amp Dockside Power On Board Two Bank Battery Charger Dual Deep Cycle 12V Battery (New) Automatic Bilge Pumps Multi GFI 110V Power Outlets 12V Lighting Engine Volvo Penta AQ225D/280 Stern Drive (225hp V8 Chevrolet) Fuel/Water Separator Remote Engine Oil Drain System 70 Gallon Fuel Tank Complete Recent Rebuilt Dual Helm (Upper and Lower) Helm Compass (Upper and Lower) 12V Accessory Outlet Glove Box Full Instrumentation Electric/Hydraulic Trim Tabs Hull and Deck 12V Navigation Lights Stainless Steel Bow Rail Swim Deck Davits (For Dingy Attachment) Transom Live Well Canvas Bimini Top Capacities 70 Gallon Fuel Tank 21 Gallon Fresh Water Tank 12 Gallon Holding Tank Accessories Anchor Four Fenders and Multiple Dock Lines 30ft. Tandem Trailer (Recently Rebuilt) w/ Guide Rails, Surge Brakes, Winch & Spare Tire Asking $4000 OBO Clean title 2015 sticker Possible trade for a motorcycle, chopper, rocket, hot rod or??? No junk, no projects please Call or text 9two5 -six. 9eight /// 2seven-cero2",,5897782469,,30,,,,,$4000,power,,1985 Bayliner Cierra 2450 Command bridge,https://stockton.craigslist.org/boa/5897782469.html,
13,,"['37.898900', '-121.605400']",2016-12-20 07:10,Very clean No problems Always serviced Starts right up 50 mph 750 engine No trailer Call Steve show contact info,,5914500641,37.898900,8,-121.605400,,"https://maps.google.com/maps/preview/@37.898900,-121.605400,16z",,$975,power, (Discovery bay),1995 Seadoo Polaris,https://stockton.craigslist.org/boa/5914500641.html,
14,,"['37.898900', '-121.605400']",2016-12-20 07:09,Excellent shape low hours (250) wet sounds speakers 2 amps 12 inch kicker super nice sound system 3 batteries with perko switch fiberglass swimplatform bimini top boat cover always on hydro hoist. manual wedge 3 sacks table always serviced and winterized no trailer Motivated to sell Steve Nelson show contact info,,5912100665,37.898900,21,-121.605400,,"https://maps.google.com/maps/preview/@37.898900,-121.605400,16z",,$30000,power, (Discovery bay),2005 Malibu Sunscape LSV21,https://stockton.craigslist.org/boa/5912100665.html,
15,,"['38.680800', '-121.741100']",2016-12-20 07:00,Hi im selling my 1972 reinell boat it's a ski/fishing boat runs very good no issues always garage kept has a new propeller hub and just changed the oil in the outdrive current registration I have the title for the boat and trailer the boat only has 278 hours on it everything works just put new wheel bearings on the trailer and rims and tires lights all work it's a very reliable boat $2000 obo or trade I'm looking for a travel trailer on small 5th wheel but nothing over 18ft my truck can't pull anything bigger or just let me know what you have I would trade for a gas saver as well or 4x4 or a motorcycle dirtbike just let me know show contact info thank you,278,5894470009,38.680800,16,-121.741100,,"https://maps.google.com/maps/preview/@38.680800,-121.741100,16z",,$1,power, (Woodland),very nice reinell only 278 hours $2000,https://stockton.craigslist.org/boa/5894470009.html,1972
16,good,"['37.669300', '-120.881700']",2016-12-19 23:03,"CALL,AD STAYS ON UNTILL SOLD SCAMS I KNOW ONE SO THERE,THANKS FOR LOOKING.",60,5907212724,37.669300,16,-120.881700,FIBERGLASS,"https://maps.google.com/maps/preview/@37.669300,-120.881700,16z",TRI HULL,$1300,power, (modesto),boat for fishing,https://stockton.craigslist.org/boa/5907212724.html,
17,good,"['37.962500', '-121.262400']",2016-12-19 22:59,"1988 bayliner no engine. Not tagged since 2011. Have pink for Boat but not trailer. All original. Has nice full Bimini top, fish finder Has a soft spot in center of floor nothing major. Just needs a good outboard motor.",,5922517130,37.962500,18,-121.262400,Bayliner,"https://maps.google.com/maps/preview/@37.962500,-121.262400,16z",Capri,$800,human, (Stockton ca),1988 bayliner capri,https://stockton.craigslist.org/boa/5922517130.html,1988
18,fair,"['37.962500', '-121.262400']",2016-12-19 22:58,"1976 Glastron with trailer. Has 85hp Johnson runs great. Needs new gear cable, rectifier sensor and battery. has tag's. Will take on test run if really interested. show contact info Chris call or text",,5922506288,37.962500,16,-121.262400,Glastron,"https://maps.google.com/maps/preview/@37.962500,-121.262400,16z",,$800,human, (Stockton ca),1976 Glastron 85hp Johnson,https://stockton.craigslist.org/boa/5922506288.html,1976
