,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['41.476700', '-120.545600']",2016-12-20 13:06,"16' Lonestar Fishing Boat, carpeted inside with seats. Fish finder, front mount trolling motor, 1970's 18hp Evenrude Motor and a 1960's Evenrude 3hp. Rebuilt trailer converted to 13"" tires. With cover.",,5927293663,41.476700,16,-120.545600,Lonestar,"https://maps.google.com/maps/preview/@41.476700,-120.545600,16z",,$1600,power,,16' Lonestar Fishing Boat,https://susanville.craigslist.org/boa/5927293663.html,1955
1,fair,[],2016-12-20 11:48,"Price Reduced to $300. 16 Foot Vagabond Boat, 60 HP Johnson Outboard Motor, and Trailer. Call: 530-two-eight-two-eight-nine-nine-eight",,5927177339,,16,,,https://maps.google.com/?q=loc%3A+%31%39%36%37+Arlington+Road+Taylorsville%2C+Ca+CA+US,,$300,power," (Taylorsville, CA)",Boat (with 60 HP Johnson Outboard) and Trailer,https://susanville.craigslist.org/boa/5927177339.html,
2,good,"['40.303800', '-121.022600']",2016-12-18 09:04,"Flat bottom v drive, VERY FAST, is set up with a short shaft and 2 speed powerglide tranny! I have the full set up for BBC, mounts, headers, etc. plus motor. Pulled the motor a while back because it was smoking and never got around to finishing it.",,5924281927,40.303800,17,-121.022600,Sanger,"https://maps.google.com/maps/preview/@40.303800,-121.022600,16z",V drive,$3700,power,,1967 Sanger flat bottom V-Drive,https://susanville.craigslist.org/boa/5924281927.html,1967
3,excellent,,2016-12-14 12:35,"1990 Ski Supreme MS Tournament Series ski boat. Must sell!!!! Brand new small block Chevy 350 motor with 35hrs on it. Runs excellent. Only 659hrs total on boat. We were in the process of overhauling the entire boat and the only thing left is the seats. New carpet. Heater. Teak swim platform in excellent shape. Battery switch has both batteries hooked to it, one for the stereo and one for starting. Brand new 100watt big alternator. Tinted windows. Dual exhaust. Tilt wheel. Sliding driver seat.   Amazing sound system complete w new Kenwood deck w usb and sub control, new side panels covered in vinyl w four new Rockford Fosgate 6x9 speakers. Wakeboard tower w four speaker pods and Rockford Fosgate 6"" speakers. Custom subwoofer box made specially for the Fosgate square 12"" Solo Baric Sub. Three 1000watt Fosgate amps custom mounted in the bow. One of a kind!! New carpet. New custom made graphics. This boat looks and performs great. Must see to appreciate. Asking $10,000 Serious offers only please. No trades. Don't need help selling. Thanks",35,5909565857,,20,,Ski Supreme,,MS Tournament Series,$10000,power, (Reno),1990 Ski Supreme Tournament PRICE REDUCED!,https://susanville.craigslist.org/boa/5909565857.html,1990
4,excellent,,2016-12-07 19:38,2008 Riverhawk fishing boat. Great shape. Always kept very clean. HDS7 LOWRANCE fish finder with side scan. 90 horse Mercury with 360 hours. Adjustable rod holders. Ready to fish. Very clean and comfortable.,360,5910286254,,18,,Riverhawk,,,$14200,power, (Yreka),2008 Riverhawk fishing boat,https://susanville.craigslist.org/boa/5910286254.html,2008
5,excellent,,2016-12-05 14:06,"THIS IS ONE BEAUTIFUL BOAT!  IT'S A MONTEREY MONTURA 248LS 27 FOOT WITH A 2006 ALUMINUM CONTINENTAL DUAL AXEL TRAILER. THIS BOAT HAS A HUGE EXTENDED SWIM PLATFORM, 11 PERSON CAPACITY, COMPASS, VHF MARINE RADIO, BELOW DECK HEAD WITH SINK AND SCREENED WINDOW, KENWOOD AM/FM CD PLAYER WITH SIRUS AND SPEAKERS THROUGHOUT THE BOAT, COOLER STORAGE AREA, BAR SINK CONSOLE, MERCRUISER 5.0 MPI MOTOR, BELOW FLOOR STORAGE, FULL CANVAS COVER, FRONT AND BACK WITH A BIMINI TOP, AND LADDER FRONT AND BACK. THIS BOAT IS IN WONDERFUL CONDITION AND HAS BEEN WELL KEPT. IT'S IN GREAT SHAPE INSIDE AND OUT WITH 415 HOURS. THE SEATS ARE ALL IN VERY NICE CONDITION. IT HAS A PLACE WHERE THE SWIM PLATFORM HAS A ROPE BURN MARK ON IT. THERE IS A PICTURE THAT SHOWS THIS. THIS IS ABOUT THE NEWEST BOAT YOU HAVE SEEN FOR A 2005. ITS PERFECT INSIDE AND OUT. THE ENGINE COMPARTMENT IS SPOTLESS AND THIS BOAT IS SHARP,  AS SHARP AS IT GETS.",,5906741935,,27,,,,,$10100,power, (Merced),2005 MONTEREY MONTURA -248LS /27 FT,https://susanville.craigslist.org/boa/5906741935.html,2005
6,excellent,,2016-12-05 13:36,"1990 Wellcraft 2800 Coastal, open sport fisherman, walk-a-round. This boat was refurbished in 2007. It is stored inside at a dry marina in Dania, Florida. Always thoroughly washed and cleaned after each use. The design features an unobstructed, 55-square-foot cockpit, deep and secure side decks that are nearly 9"" wide at the narrowest point and a raised bridgedeck with starboard helm and port companion seat. The principal advantage of this design is that it provides quick and safe mobility for 360 degrees around the vessel and places the boat operator out of the way of the action, yet in a position that affords excellent visibility and communication with the anglers. Standard features of the Coastal 2800 that make it so popular among anglers include standard rod racks on each side of the cockpit, removable in-deck fish boxes in the cockpit deck and a transom door for landing larger fish. There is a live-bait well beneath the helm seat and a built-in tackle center beneath the companion seat.",780,5906718924,,22,,,,,$10600,power, (Sanger),1990 Wellcraft- 2800 Coastal!!!,https://susanville.craigslist.org/boa/5906718924.html,
7,good,"['40.803368', '-122.309418']",2016-12-03 18:34,houseboat on lake shasta,1769,5868990435,40.803368,54,-122.309418,leisure craft,"https://maps.google.com/maps/preview/@40.803368,-122.309418,16z",8 sleeper,$39500,power, (lake shasta),houseboat/with permit,https://susanville.craigslist.org/boa/5868990435.html,1980
8,excellent,,2016-12-02 06:43,1. Dual Console 2. Lowrance HDS 5 in Bow 3.Lowrance HDS 7 in Console 4. Lowrance Structure Scan 5. MotorGuide TR82 24 Volt 6. Tandem Axle Trailer w/ Brakes and Spare 7. Hot Foot 8. Padded Front Deck 9. Remote Oil Fill 10.Hydraulic Tilt Steering 11. Pro Trim(Blinker Style) 12. MinnKota 3 Bank Battery Charger 13.Custom Cover 14. Lots of Storage for all of your Rods and Tackle 15. Cooler,,5878162677,,20,,,,Mercury 225 Pro XS,$30100,power, (Fresno),2012 Stratos 202 ELITE CHAMPION HULL***,https://susanville.craigslist.org/boa/5878162677.html,2012
9,new,"['44.100500', '-123.133400']",2016-11-30 13:34,"Price slashed over $8000! Last 2015...Powered by a Yamaha 200 EFI 4 Stroke. All the standard North River features, plus Diamond Plate Bow Anchor Guard, Boarding Ladder, Large Fish Box in floor, Dual Batteries w/Switch, Wash Down, Dual Bilge Pumps w/Auto Float, Galvanized Tandem Axle Trailer w/Brakes and Welded Chine Guides. Please call Curt @ show contact info for info. CLEMENS MARINA since 1958 DA3668",0,5878048260,44.100500,23,-123.133400,NORTH RIVER,"https://maps.google.com/maps/preview/@44.100500,-123.133400,16z",21 SEAHAWK,$49995,power," (EUGENE, OR)",BRAND NEW 2015 NORTH RIVER 21 SEAHAWK,https://susanville.craigslist.org/bod/5878048260.html,2015
