,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 12:17,"1986 Bahner 19.5ft Outboard. Mercury 2.5L 200hp outboard freshly serviced with just over 250 hours. 10"" setback, 4 blade 26p prop. Pioneer head unit with alpine v power 4 channel amp and Kicker speakers. Sunbrella Bimini Top. Trailer has 2 year old tires. Very fast setup, with 3 people and a cooler we have seen 74 mph GPS. We are trying to consolidate to 1 boat so this one needs to go. $8800, Thanks for looking. Bahner, Hallett, Schiada, Eliminator, Vector, Challanger, Miller, River Rocket, Howard, Campbell, Dana, Daytona, Commander, Jet, Spectra, Dimarco, Ultra, v drive, Johnson, Merc, Mercury, 2.4, 2.5, xr2, xr4, blackmax",250,5927222858,,19,,Bahner,,,$8800,power, (Camarillo),1986 Bahner 19.5 ft Outboard,https://ventura.craigslist.org/boa/5927222858.html,1986
1,good,"['34.429600', '-119.861200']",2016-12-20 11:00,"""RUNNING, RUNNING, RUNNNING, RUNNING"" 1973 KONA MAKAI PLEASURE  w/OLDS 350cid-360hp, jet-drive, $4k OBO-GOLETA,CA $4k OR BEST OFFER-GOLETA,CA 93117 ""RUNNING, RUNNING, RUNNNING, RUNNING""",,5927101540,34.429600,18,-119.861200,,"https://maps.google.com/maps/preview/@34.429600,-119.861200,16z",,$4000,power," (GOLETA, CA)","1973 KONA MAKAI PLEASURE w/OLDS 350cid-360hp,jet-drive, $4k OBO 'RUNS'",https://ventura.craigslist.org/boa/5927101540.html,1973
2,good,"['34.168703', '-119.226487']",2016-12-20 10:29,"new top deck paint non skid,Large cabin for size, working head, sleeps 4, fresh bottom paint, hull paint, lettering, and boot stripes. Rolling Furling, Good sails and rigging. 2 new batteries, Freedom 10 Inverter, West Marine combiner, Danforth anchor, some chain and rode. Engine runs great, 4 cylinder universal diesel m4-30, new raw water pump and exhaust riser, all new hoses, fresh tune up. 2 newer bilge pumps and switches. Ground tackle will need some finishing touches, working refrigerator.Dripless will need to be changed next time out of water. lots of love put into this boat, Good for all sailing levels . Email me or call A steal at $4,000 only contact if you want to buy$$,good sails,rigging,  great Engine , paint all around and  electrical system great price. bring $$ and talk deal.",118,5927050303,34.168703,27,-119.226487,Newport,"https://maps.google.com/maps/preview/@34.168703,-119.226487,16z",hull 72,$4000,sail, (santa barbara),Newport sailboat,https://ventura.craigslist.org/boa/5927050303.html,1970
3,fair,"['34.152017', '-119.189987']",2016-12-20 09:18,"1991 Bayliner Capri 16 n 1/2feet. It also comes with the Bimini top, in good condition I keep it in garage.  It does start but it dies when put into gear. I have no idea what's wrong with it ..it worked fine then we changed out the gas cuz it had been awhile since gas was put in. Then it started dying every time we tried to put it in gear. Might be an easy fix just don't know enough about boats to mess with it, so selling this for $1000 OBO..as is. Feel free to come take a look at it.",,5888864782,34.152017,16,-119.189987,Bayliner,"https://maps.google.com/maps/preview/@34.152017,-119.189987,16z",Capri,$1000,power, (Port Hueneme),1991 bayliner,https://ventura.craigslist.org/boa/5888864782.html,1991
4,good,[],2016-12-20 08:50,Boat/Trailer good condition.. Not Engine. Searay contact Mike. Please leave your phone number.,000,5926885989,,20,,DNone,https://maps.google.com/?q=loc%3A+Hueneme+at+Pleasen+v%2E+Hueneme+CA+US,Boat Ray,$900,power, (Port Hueneme),BOAT AND TRAILER OBO GOOD CONDITION.NO ENGINE,https://ventura.craigslist.org/boa/5926885989.html,1973
5,excellent,,2016-12-20 08:45,This is a very stable kayak that comes complete with a built in seat and an upgraded Cobra Powerflex paddle. It has 2 flush mounted pole / rod holders as well as a fishing crate with 2 more holders on it as well. It is 10ft long and 31 inches wide which makes it very easy to transport and maneuver around for 1 person yet super stable and hard to tip over. There are 2 hatches one in the center and one in the rear. The center hatch has a removable gear bag to store your valuables. It will make a great gift! Ready to use now! Priced to sell $275 First come first served. I will delete this ad as soon as its gone! PLEASE LEAVE YOUR PHONE NUMBER WITH ANY INQUIRIES SO I KNOW YOU ARE A SERIOUS BUYER!,,5926876934,,10,,,,,$275,human, (simi valley),Nice Ocean Kayak Fish Dive Tender Harbor Lake River Stable Complete,https://ventura.craigslist.org/boa/5926876934.html,
6,good,"['34.032400', '-119.134300']",2016-12-20 08:40,Great fishing diving boat.  Wide back area with lots of room. Brand new 454 gen 5 engine with new risers and manifolds. New bravo 3 transume with stainless props. Full kitchen and bath with shower. Everything works. This is a steal for what is into it. 20k in engine and transume.,8,5896938035,34.032400,28,-119.134300,Formula,"https://maps.google.com/maps/preview/@34.032400,-119.134300,16z",,$10600,power, (Channel Islands),89 formula 28 ft,https://ventura.craigslist.org/boa/5896938035.html,1989
7,,"['34.330800', '-119.358400']",2016-12-20 08:36,People give me boats for a variety of reasons. I am very good at fixing the boat up a bit and finding a new appreciative owner. If there is a boat you would like to see get a good home fell free to call Matt show contact info I will be happy to take her off of your hands,,5926862090,34.330800,22,-119.358400,,"https://maps.google.com/maps/preview/@34.330800,-119.358400,16z",,,sail,,I take free boats,https://ventura.craigslist.org/boa/5926862090.html,
8,good,"['34.182200', '-119.216000']",2016-12-20 08:06,center board with tiller. have recently sailed.  good shape . dose not leak.  in water now.  no trailer,,5920360600,34.182200,14,-119.216000,sun star,"https://maps.google.com/maps/preview/@34.182200,-119.216000,16z",,$400,sail, (channel islands harbor),1990 14 ' sail boat,https://ventura.craigslist.org/boa/5920360600.html,1990
9,excellent,"['33.648300', '-117.915500']",2016-12-20 07:33,"Beautiful centercockpit cutter, a bluewater cruiser that would be a nice liveaboard. 8o h.p ford. Lehman runs very well  Significant recent upgrades including a new mast, standing and running rigging, chanplates, tanks, ports, winches, corian galley with new stove refridgeration and a lot more see San Diego Craigslist  for more information and pictures  Asking price 65.000. in Newport Beach easy to show. Please e-mail or call for information I do not respond to texts for craigslist. No listing agents need to contact me thanks.",,5885206915,33.648300,46,-117.915500,Formosa boat builders,"https://maps.google.com/maps/preview/@33.648300,-117.915500,16z",F 46,$65000,sail, (Newport Beach),Peterson Formosa 46 1977,https://ventura.craigslist.org/boa/5885206915.html,1977
