,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['39.119323', '-121.549087']",2016-12-20 13:53,"12' Mirro Craft aluminum fishing boat (1970's) 9.5 horse Johnson motor 2 stroke(1970's) Minn Kota 28lb thrust trolling motor Everstart maxx 12 volt battery Humminbird fish finder Cannon downrigger with weight and release 3 Scotty rod holders 3 gallon gas tank Old anchor 2 cup holders (old) Bimini top 1 orange life vest (dorky) 3 oars Carpet (your dog will thank you) (coffee and powerbait stains included at no additional charge) Newer led trailer lights 1 7/8'' ball and bar(for towing) Extra boat plugs and motor pull start string No leaks Boat hits a blazing 6 mph, but never really gets on plane Johnson Motor has never left me stranded, electric motor will troll at a perfect 1-2mph for hours Boat is registered through 2017 with title Trailer is registered to 2017 but thanks to the good ol' DMV no title (price reflects this) $800 call show contact info",,5927359997,39.119323,12,-121.549087,,"https://maps.google.com/maps/preview/@39.119323,-121.549087,16z",,$800,power, (Marysville),12' Mirro Craft aluminum fishing boat,https://yubasutter.craigslist.org/boa/5927359997.html,
1,like new,"['39.000700', '-120.992400']",2016-12-19 17:01,Real nice 12ft aluminum boat=BOAT AND TRAILER=HAVE PINK IN MY NAME and PTI plate on trailer==NO MOTOR=CALL GORDY AT show contact info OR EMAIL OR TEXT,,5926214427,39.000700,12,-120.992400,Starcraft,"https://maps.google.com/maps/preview/@39.000700,-120.992400,16z",12ft,$750,human, (Applegate),Real nice aluminum boat,https://yubasutter.craigslist.org/boa/5926214427.html,1975
2,good,"['40.355064', '-122.213206']",2016-12-19 14:52,"I DELETE MY POSTS AFTER SALE, IF AD UP, BOAT'S STILL FOR SALE *new panther transom rated more than the max the boat is rated for which is 10hp *new wheel on the dolly down near the nose *new trailer lights *great boat and the company is still going under a new name taken over by children of the previous owners *boat will not sink or capsize *original brochure pics here and i can send them to you if you wish *easy to find out more about this boat online *boat can easily be beached, 1'10"" draft with keel up and 5'8"" draft with keel down *tags show expired, but i have the new ones and proof trailer is current *retracting keel weight 625lbs *5 births *28' mast *length 24'11"" *beam/width 7'11"" *weight 2100 lbs I did my research before buying this boat. i don't use the boat enough to justify keeping it, and i could use the cash for other things more than i use this boat. more info at the following links http://sailboatdata.com/viewrecord.asp?class_id=66 https://en.wikipedia.org/wiki/MacGregor_Yacht_Corporation",,5926017143,40.355064,25,-122.213206,macgregor,"https://maps.google.com/maps/preview/@40.355064,-122.213206,16z",m-25,$2000,sail, (cottonwood),1980 25' macgregor M-25 sailboat 2000$OBO,https://yubasutter.craigslist.org/boa/5926017143.html,1980
3,,"['39.201900', '-121.202600']",2016-12-19 10:24,"Very nice 14 ft SKI BARGE, Great running 35 hp Johnson tiller, just serviced And Carburetor rebuilt. Electric start, Bimini top, New Battery, New fuel line,  Fish Finder, Minn Kota power drive trolling motor, Rod holders, New seats and storage, Driving light, Running light, Nice front deck, Good trailer with good tires and spare, Everything registered and titled, Ready to fish or hunt today $2250 OBO show contact info",,5915063322,39.201900,14,-121.202600,,"https://maps.google.com/maps/preview/@39.201900,-121.202600,16z",,$2250,power, (penn valley),"SKI BARGE, 35 HP Tiller, Runs great,",https://yubasutter.craigslist.org/boa/5915063322.html,
4,new,"['39.144914', '-121.592543']",2016-12-18 19:16,I have a 2015 mercury boat motor 9.9 pull start light used maybe 30hrs on it still firm on price will be good for kicker motor or for small boat or if u want the hole set up maybe we could make a deal... Willing to trade whole set up for honda si,30,5924961891,39.144914,4,-121.592543,Mercury,"https://maps.google.com/maps/preview/@39.144914,-121.592543,16z",Four storke,$2000,power, (Marysville),New mercury 9.9,https://yubasutter.craigslist.org/boa/5924961891.html,2015
5,,,2016-12-18 14:36,"1993 Sea Ray 17 1/2 foot Open bow lots of extras Boat has been garage kept All original boat runs and looks excellent Merc cruiser 3.0 Leader One owner Never been in the salt waters Fishfinder ship to ship CB radio Built-in heater's Electric anchor very well maintained I am axing $4,950 If you have any questions Call me at show contact info Serious buyers only I do not receive texts",,5912457446,,17,,,,,$4950,power, (Wheatland),93  sea ray Open ball   Very well-maintained,https://yubasutter.craigslist.org/boa/5912457446.html,
6,,"['39.133700', '-122.216200']",2016-12-17 15:52,"1986 bayliner boat for sale in good condition registration valid to 12/31/17 brand new tires on the trailer it runs good has a Volvo penta 350 engine only need a new upholstery $2,800 o bo.",,5910181766,39.133700,21,-122.216200,,"https://maps.google.com/maps/preview/@39.133700,-122.216200,16z",,$2800,power,,Bayliner 1986 boat,https://yubasutter.craigslist.org/boa/5910181766.html,
7,,,2016-12-17 15:30,THIS IS A GREAT SMALL BOAT FOR THE YUBA AND FEATHER RIVERS IT IS 12 FOOT AND HAS A FLAT BOTTOM. WE HAVE NO TRAILER FOR IT HOWEVER WE GOT IT HERE IN THE BACK OF OUR TRUVK. ITS LIGHT ENOUGH THAT IT CAN BE LIFTED ON AND OFF A TRUCK. WE HAVE AN ELECTRIC MOTOR BUT THE PROP IS MISSING ONE FIN... IF THATS SOMETHING YOU WANT ALSO WE'LL TALK. ONLY INTERESTED PARTIES PLEASE CALL.,,5923624207,,12,,,,,$250,human, (MARYSVILLE),12 FOOT FLAT BOTTOM BOAT,https://yubasutter.craigslist.org/boa/5923624207.html,
8,,"['39.022483', '-121.612859']",2016-12-15 18:53,14ft Valco  25hp outboard run great. Vary reliable,,5921224466,39.022483,14,-121.612859,1,"https://maps.google.com/maps/preview/@39.022483,-121.612859,16z",,$1500,power,,Boat,https://yubasutter.craigslist.org/boa/5921224466.html,
9,excellent,"['39.179312', '-121.486301']",2016-12-14 11:04,It's a great boat low hours on original motor 40hp mariner interior redone lass spring :carpet and plywood. Original seats asking 6500 obo. Can get pictures if wanted runs great new garmin fish finder with navigation,,5919303756,39.179312,17,-121.486301,Bass tracker,"https://maps.google.com/maps/preview/@39.179312,-121.486301,16z",Pro17,$6500,power, (Marysville),89 pro717 bass tracker flat bottom,https://yubasutter.craigslist.org/boa/5919303756.html,
10,good,,2016-12-13 20:22,"20' Commander Jet Boat, very clean and well kept. If your looking for a great boat, this is it!!! Lawrance Fish Finder 9.9 Bigfoot Kicker with auto lift Sturgeon top - new used twice. Lots of storage Trailer tires are good. Chevy V6 4.3 Jet with 130 hours Stow-away Tongue will fit in 26' enclosures. Tags and Registration up to date Fiberglass clean and solid floors. Turn key, ready to fish. $10,500.00 OBO",130,5881146321,,20,,Chico Boat,,Commander,$10500,power,,Fishing Boat ~ 20 ft Commander Jet Boat,https://yubasutter.craigslist.org/boa/5881146321.html,1991
11,,"['39.177900', '-121.775800']",2016-12-12 18:34,"2014 LOWE aluminum boat, 14' long, 48"" wide 2014 LOWE trailer 15hp mercury 2 stroke motor $3200 OBO Call, no texts!",,5917039925,39.177900,14,-121.775800,,"https://maps.google.com/maps/preview/@39.177900,-121.775800,16z",,$3200,power, (Sutter),2014 lowe aluminum boat and trailer 1448,https://yubasutter.craigslist.org/boa/5917039925.html,
12,fair,,2016-12-12 18:26,Antique Boat needs restoration. V8 engine Make Offer.,,5917043150,,16,,Century,,Resorter,,power,,1956 Century,https://yubasutter.craigslist.org/boa/5917043150.html,1956
13,,"['39.022483', '-121.612859']",2016-12-12 15:28,"10 Foot Sears Fishing boat and 43 inches wide , 4Hp Johnson motor and Minkota 65 trolling motor, 28lbs trust. Johnson motor was tuned up and serviced a little over a year ago. Comes with (2) 6 gallon fuel tanks, plastic orrs, 2 kids and 3 adult life  jackets,fish net and 16oz of 2 cycle oil. Do not have trailer for the boat.  I do have an 11 foot utility trailer for a cheap extra price. I used it for this boat all the time. It is light enough to put in the bed of a pick up. Call anytime Friday thru Sunday. Monday thru Thursday after 4:30. We only answer to text or phone. We will not answer any emails. If you get answering machine, please leave a message and we will call you back. show contact info It is 10 feet long and 45 inches wide and 13 1/2 inches tall and is in good condition. It's Better for us if you can  view the boat Friday Thru Sunday, if you can't we can try and work something out.    Only serious reply.",,5875006615,39.022483,120,-121.612859,,"https://maps.google.com/maps/preview/@39.022483,-121.612859,16z",,$600,power, (YUBA CITY),FISHING BOAT-10 FT SEARS+MOTOR +EXTRAS,https://yubasutter.craigslist.org/boa/5875006615.html,
14,good,"['39.086100', '-121.549700']",2016-12-11 11:30,"14ft Aluminum boat. 2 Trolling motors, 2 Batteries, Battery charger, Battery box,  Fishing net, Anchor, Gas tank,  15 HP motor needs work to start.  Current registration and taggs.",,5915102759,39.086100,14,-121.549700,,"https://maps.google.com/maps/preview/@39.086100,-121.549700,16z",,$1500,power, (Olivehurst Ca),14ft Aluminum Boat,https://yubasutter.craigslist.org/boa/5915102759.html,
15,good,"['39.013519', '-121.552828']",2016-12-10 16:42,I have a 12ft aluminum fishing boat with an 8 hp evinrude motor. Registration is current and is a welded seam boat not a cheap pop rivet. The motor starts the first pull. All electrical was replaced last year. Motor was last run a couple weeks ago. The boat fits in the back of a full sized pickup and can be loaded by one person (I've done it 30 or so times). My buddy and I use it for bass fishing. I traded my truck for an suv and now it's going to sit so I am selling.,,5884377769,39.013519,12,-121.552828,,"https://maps.google.com/maps/preview/@39.013519,-121.552828,16z",,$600,power, (Plumas lake),Aluminum fishing boat w/ 8 hp motor,https://yubasutter.craigslist.org/boa/5884377769.html,
16,good,,2016-12-10 10:37,"I'm selling my 14ft boat, reason for selling is I just don't have time to go fishing anymore. It is a great boat with new flooring and open floor plan, it has a fish finder, led bar, and a 50 pound thrust trolling motor. The 15 horse power motor will get you where you need to go, never have had a problem. Registration up to date Contact me for any questions show contact info 1,800",,5913803593,,14,,,,,$1800,power, (Yuba City),14ft Starcraft,https://yubasutter.craigslist.org/boa/5913803593.html,
17,good,,2016-12-09 08:11,"1995 Proline model 231.  All the electronics: Raymarine radar, Furuno color LCD sounder, Srandard Horizon Matrix GX1280s vhs/fm marine transceiver, Garmin Blue chart GPS, two scotty electric downriggers,Thetford electric flush porta potty included. 2005 Yamaha 4 stroke high thrust 8 hp kicker motor with remote steering. Promarine onboard battery charger. 2004 galvanized trailer w/new tires. Volva Pinta (close system cooling, ie: has it's own engine coolant, no salt water ever in the engine) and Volva Pinta outdrive. Ready to sell will take best offer.",,5872373519,,24,,Proline,,231,$11500,power, (Yuba City),Boat For Sale,https://yubasutter.craigslist.org/boa/5872373519.html,1995
18,good,"['39.105100', '-121.620200']",2016-12-09 07:49,35 horse Johnson motor runs great. 12 ft aluminum Boat and trailer included. No title.,,5912140533,39.105100,12,-121.620200,,"https://maps.google.com/maps/preview/@39.105100,-121.620200,16z",Valco,$800,power,,"Great deal! Boat,motor, & trailer",https://yubasutter.craigslist.org/boa/5912140533.html,
19,excellent,[],2016-12-08 18:10,"This vintage 1978 15 ft. Sandollar Tri-Hull Roundabout is in excellent condition, has been totally refurbished, and is water-ready. This boat has been rewired and comes with Humminbird Wide Vision Depth Finder, fire extinguisher, four brand new life vests. It has a bimini top, mooring lines, new 100 ft. anchorline with 8 lb. anchor, and a trolling motor mount. Comes with 1978 Trailer with new wiring and LED tail lights, 15 inch rims with new tires. 1998 Mercury 90HP 2 stroke motor (runs great), and includes 2 spare props, 1 speed/1 power, maintenance manual, spare plugs, and one new electronic stator. $3000 OBO.",,5899815064,,15,,Sandollar,https://maps.google.com/?q=loc%3A+%36%36+Sugar+Pine+Drive+Berry+Creek+CA+US,,$3000,power, (Berry Creek),Vintage 1978 15 ft. Sandollar Tri-Hull Roundabout,https://yubasutter.craigslist.org/boa/5899815064.html,1978
20,good,[],2016-12-07 20:49,"21'  1972 Jet Boat With Nice Trailer for Sale!!!! Needs motor, & Jet pump Asking Only $600 OBO",0,5910338827,,21,,,https://maps.google.com/?q=loc%3A+%31%37%38%33+%36th+ave+at+Olivehurst+ave+Olivehurst+CA+US,,$600,power, (Olivehurst),Jet Boat,https://yubasutter.craigslist.org/boa/5910338827.html,1972
21,,"['39.086100', '-121.549700']",2016-12-06 22:42,mercury 5 horse four stroke boat motor 2014  comes with older aluminum  boat no trailer 850 call show contact info text is ok.,,5908926710,39.086100,0,-121.549700,,"https://maps.google.com/maps/preview/@39.086100,-121.549700,16z",,$850,power,,2014 merc. 5 horse w/alum.boat,https://yubasutter.craigslist.org/boa/5908926710.html,
22,,"['39.166300', '-121.510500']",2016-12-06 11:12,"1990 Four Winn Open bow 4.3 Cobra V6 Cobra out drive, trailer has brand new tires, interior new, water ready $6200 obo or trade",,5908140884,39.166300,20,-121.510500,,"https://maps.google.com/maps/preview/@39.166300,-121.510500,16z",,$6200,power, (Marysville),1990 Four Winns open bow,https://yubasutter.craigslist.org/boa/5908140884.html,
23,,"['39.022483', '-121.612859']",2016-12-06 01:14,"antique champion ,  single cylinder , very restorable , all there except gas cap . $100.00 FIRM show contact info",0,5907475316,39.022483,0,-121.612859,champion,"https://maps.google.com/maps/preview/@39.022483,-121.612859,16z",,$100,power,,antique outboard motor,https://yubasutter.craigslist.org/boa/5907475316.html,
24,fair,,2016-12-05 16:29,Bayliner 17 ft 85 horse outboard evinrude,,5907097928,,17,,Bayliner,,,$500,power, (Yuba city ca.),Boat,https://yubasutter.craigslist.org/boa/5907097928.html,1985
