,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:05,1988 pursuit center console cuddy cabin 1998 yamaha 250 saltwater series hard to find hull $9500,1,5927375018,,25,,pursuit,,center console cuddy,$9500,power, (ZTEpompano),pursuit cc cuddy 25,https://miami.craigslist.org/brw/boa/5927375018.html,1988
1,,"['26.234300', '-80.094100']",2016-12-20 16:50,My boats was stolen from me on aug 26 by ed ruff./ED RUFF MARINE In pompano. Beach. If any one receives one I own the rights and the copyrights to them. They are STOLEN,,5903405028,26.234300,12,-80.094100,,"https://maps.google.com/maps/preview/@26.234300,-80.094100,16z",,$1,human, (Pompano beach),Sea saucer boats stolen from ((((ME))) IN  pompano beach,https://miami.craigslist.org/brw/boa/5903405028.html,2016
2,excellent,"['26.085001', '-80.182858']",2016-12-20 16:48,"2008 Sea Ray 300 PRICE REDUCED - MUST SELL!!! THE CLEANEST, LOWEST PRICED OF THIS MODEL IN THIS CONDITION ON THE INTERNET!!! It has been mechanic tested and repaired so it is ready for the water. This boat is beautiful, a real head-turner. Come see her, you will not be disappointed! http://www.boattrader.com/listing/2008-SEA-RAY-300-Select-EX-102902846",275,5927353319,26.085001,30,-80.182858,SEA RAY,"https://maps.google.com/maps/preview/@26.085001,-80.182858,16z",SLX SERIES SELECT EX,$46999,power, (SOUTH FLORIDA),2008 SeaRay 300 PRICE LOWERED FOR BLOW OUT END OF YEAR SALE,https://miami.craigslist.org/brw/boa/5927353319.html,2008
3,,"['25.989400', '-80.215300']",2016-12-20 16:46,"1999 21 FOOT CREST MAURELL PONTOON BOAT:$5,500 OBO. RUNS GREAT.  BOAT HAS TITLE, BUT, TRAILER DOES NOT. MIGHT NEED SOME CHARGING WORK FOR THE BATTERY DOES NOT CHARGE AND SOME SEAT WORK FOR THEY ARE A LITTLE SUN BAKED SO SOME TIMES THEY CRACK WHEN YOU SIT ON THEM, RADIO/CASSETTE PLAYER DOES NOT WORK, SPEEDOMETER DOES NOT WORK, LIGHTS WORK, ENGINE STEERING BRACKET IS RUSTY FROM THE SALT WATER. CALL THREE ZERO FIVE, THREE ZERO FIVE, NINE, SIX, SIX, NINE AND LEAVE A DETAILED MESSAGE IF NO ANSWER OR TEXT ME. PLEASE, NO E-MAILS. I DO NOT NEED HELP SELLING THIS BOAT!",,5914830079,25.989400,21,-80.215300,CREST,"https://maps.google.com/maps/preview/@25.989400,-80.215300,16z",MAURELL,$5500,power, (HOLLYWOOD),1999 21 FOOT CREST MAURELL PONTOON BOAT,https://miami.craigslist.org/brw/boa/5914830079.html,1999
4,excellent,[],2016-12-20 16:27,"1999 YAMAHA TWIN 150HP 2 STROKE EFI 25"" SHAFT COUNTER ROTATING PAIR FRESH WATER ENGINES IN VERY GOOD CONDITION SEASONAL USE MOTORS WITH LOW HOURS $10,999.00 OBO CHRIS show contact info",,5927323342,,8,,YAMAHA,https://maps.google.com/?q=loc%3A+%32%30%30%30+N+DIXIE+HWY+HOLLYWOOD+FL+US,SX150TXRX,$10999,power, (HOLLYWOOD),TWIN YAMAHA 150 SALTWATER SERIES EFI OUTBOARDS,https://miami.craigslist.org/brw/boa/5927323342.html,1999
5,like new,"['26.167302', '-80.168781']",2016-12-20 16:27,ESKA 2.0 CID OUTBOARD KICKER USED VERY LITTLE GREAT SHAPE RUNS EXCELLENT LOOKS NEW. AIR COOLED.ASKING $250.00 OBO CALL show contact info IF INTERESTED.   PLEASE NO TEXT OR EMAIL,5,5927323146,26.167302,30,-80.168781,ESKA,"https://maps.google.com/maps/preview/@26.167302,-80.168781,16z",2.0 CID MODEL 14220A,$250,power, (OAKLAND PARK),OUTBOARD MOTOR ESKA 2.0,https://miami.craigslist.org/brw/boa/5927323146.html,
6,excellent,"['26.284642', '-80.258045']",2016-12-20 16:17,"1988 Classic Speedboat Jet boat Runs Great New interior Price includes trailer Need to sell ASAP Asking $2000 OBO boat, mercury, speedboat, speed boat, whaler, boston, center console",,5927309046,26.284642,11,-80.258045,,"https://maps.google.com/maps/preview/@26.284642,-80.258045,16z",,$2000,power, (Coral Springs),Speed Boat w/ trailer - Runabout,https://miami.craigslist.org/brw/boa/5927309046.html,
7,fair,[],2016-12-20 16:06,1954 Lock City 47 FT Steel Hull,,5927234373,,47,,,https://maps.google.com/?q=loc%3A+%33%30%30%30+W+SR+%38%34+ft+lauderdale+FL+US,,$6000,power," (Ft. lauderdale, FL)",1954 47Ft Lock City Machine & Marine,https://miami.craigslist.org/brw/boa/5927234373.html,
8,good,"['26.234300', '-80.094100']",2016-12-20 15:55,Yamaha 2 hp outboard 2 stroke outboard. Motor runs great. Its a direct drive outboard that starts first pull and purrs like a kitten. Decals has scratches from storage. Mechanicly perfect. Perfect for canoe inflatable jon boat ect. $375 show contact info,,5927198998,26.234300,2,-80.094100,yamaha,"https://maps.google.com/maps/preview/@26.234300,-80.094100,16z",2 stroke,$375,power, (Pompano beach),2 HP YAMAHA OUTBOARD MOTOR,https://miami.craigslist.org/brw/boa/5927198998.html,
9,excellent,[],2016-12-20 15:50,"Currently selling a Old Town Vapor Kayak. In used, but good condition. 12 foot in size. Comes as exactly pictured. Yours for only $299",,5927253941,,12,,,https://maps.google.com/?q=loc%3A+%31%33%31%31+S+Dixie+Hwy+Pompano+Beach+FL+US,,,human,,12 Foot Kayak for Sale,https://miami.craigslist.org/brw/boa/5927253941.html,
