,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:12,"#1 MARINE RESTORATION & FABRICATION We have over 15 years of exp. in the industry we have worked building molds and other work for your favorite boat builders ""Seahunter/Contender etc"". We specialize in complete restorations We value our clients and understand the importance they play in our business! **We do it all - Painting - Custom Glass Work - Decks - Bottom Paint Removal - Polishing - Detailing - Varnish - Complete Restorations - Mold Work - All Aspects of Marine Electronical * We show up and do the job we say we are going to do * We dont run with your deposit like some do all our work is done with invoices and signed agreements Send us a email with a description of work and we will get back to you asap Visit us on Instagram@ marine_restoration_fabrication",,5927276831,,1,,,,,,human,,CUSTOM FIBERGLASS + PAINT + GELCOAT REPAIR + POLISHING/DETAILING,https://keys.craigslist.org/boa/5927276831.html,
1,good,,2016-12-20 17:08,"show contact info ASK FOR KEN or show contact info ask for KEN Boat from IL never been in salt water. Live well, fish finder, trolling motor. GOOD RUNNING 20 HP EVINRUDE TRACKER  Electric start as well. and good trailer with good tires. $2,200.00 OBO reason for selling is upgrading to a bigger boat.",,5927349350,,14,,ALUMACRAFT,,150 FISHERMAN,$2200,power, (Homestead FL),Boat for sell,https://keys.craigslist.org/boa/5927349350.html,
2,good,,2016-12-20 16:58,"Very nice Chaparral 232 deck boat. Seats 14 people, porta potty, sink, built in coolers, 7.4 GI/SX Volvo Penta, full cover, bimini top, lots of storage and many extra's. Great party/sand bar/fishing boat. Trailer included. Only Asking $6500.00 OBO Will transport if needed. Suggested NADA List Price	$36,084 Low Retail $9,830 Average Retail $11,240",,5888470978,,23,,Chaparral,,Sunesta,$6500,power, (Key West),Must Sell Moving-2000 Chaparral 232 Sunesta,https://keys.craigslist.org/boa/5888470978.html,2000
3,,"['25.201215', '-80.383741']",2016-12-20 16:52,"For sale is a Seahawk 5 peddle boat in good working condition. See pictures, asking 225 obo. Feel free to contact me with any questions.",,5927357466,25.201215,10,-80.383741,,"https://maps.google.com/maps/preview/@25.201215,-80.383741,16z",,$225,human, (Key largo),Peddle boat in good condition with bimini top,https://keys.craigslist.org/boa/5927357466.html,
4,good,"['24.580378', '-81.652966']",2016-12-20 16:48,"24' Boston Whaler Outrage w/ twin Yamaha 200 and Trailer Boat is turnkey and ready for fishing or diving. Hull is a 1996 and motors are 1999. New Yamaha Tachometers, both motors and lower units recently serviced. Boat has T-Top, fresh water shower, saltwater wash down, baitwell, GPS/fish finder, Outriggers, Downrigger. Trailer included. Asking only $17,500",,5927352177,24.580378,24,-81.652966,Boston Whaler,"https://maps.google.com/maps/preview/@24.580378,-81.652966,16z",240 Outrage,$17500,power, (Key West),"24"" Boston Whaler w/ twin Yamaha 200's",https://keys.craigslist.org/boa/5927352177.html,1996
5,,"['25.201215', '-80.383741']",2016-12-20 16:47,"For sale is a beautiful 1970 Boston Whaler Outrage 21' with the ribbed sides. The Outrage was in production for just 2 years, with only 722 total ever produced. This rare boat is in great condition. The 150 hp fuel injected Evinrude starts right up and makes this boat fly. A stereo system is also installed. Feel free to call for any questions",,5905008235,25.201215,21,-80.383741,Boston whaler,"https://maps.google.com/maps/preview/@25.201215,-80.383741,16z",Outrage,$8000,power, (Key largo),Boston Whaler Outrage 21 1970 CLASSIC 150hp evinrude,https://keys.craigslist.org/boa/5905008235.html,1970
6,,,2016-12-20 15:58,SERIOUS INQUIRIES ONLY Contact by phone call ONLY -Twin 1995 Yamaha 225 HP -Transom Door -VHF Radio -Stereo System -Compass -Windless -Stove -Live Well -Fridge -Head -Auto Pilot -Garmin GPS Map 7405 -Furuno Radar -3 Battery Bank -Fresh Water Wash Down -Garage Kept -No Trailer,800,5915666059,,27,,,,,$25000,power," (Marathon, FL)",1995 Grady White 27ft Sailfish,https://keys.craigslist.org/boa/5915666059.html,
7,,,2016-12-20 15:55,"#1 MARINE RESTORATION & FABRICATION We have over 15 years of exp. in the industry we have worked building molds and other work for your favorite boat builders ""Seahunter/Contender etc"". We specialize in complete restorations We value our clients and understand the importance they play in our business! **We do it all - Painting - Custom Glass Work - Decks - Bottom Paint Removal - Polishing - Detailing - Varnish - Complete Restorations - Mold Work - All Aspects of Marine Electronical * We show up and do the job we say we are going to do * We dont run with your deposit like some do all our work is done with invoices and signed agreements Send us a email with a description of work and we will get back to you asap Visit us on Instagram@ marine_restoration_fabrication",,5915563424,,1,,,,,,human,,CUSTOM FIBERGLASS + PAINT + GELCOAT REPAIR + POLISHING/DETAILING,https://keys.craigslist.org/boa/5915563424.html,
8,like new,,2016-12-20 15:55,"1973 Formula (Open fishing) remodeled with a new bracket. Having put the new bracket the boat, instead of having a length overall of 23 ft, is now 25.5 ft. It has 2 (2006) , Yamaha 150hp 4 stroke, engines. It has a total of 645 engine hours. The color of the exterior is white and yellow, while the interior is also white and yellow but with a black stripe. The boat can max out at 53mph. The boat has no paint chippings, no oil leakage, its practically brand new. The trailer of the boat is Real Extreme, also brand new, with 4 new tires. Has a brand new Garmin GPSmap 546s. Brand new radio and speakers. 3 good batteries. Has a Lenco Trim Tab. Se habla espanol. If interested please call or text me at show contact info",645,5927277309,,23,,formula,,270114032RNT,$39000,power, (key largo),1973 formula open fishing,https://keys.craigslist.org/boa/5927277309.html,
9,new,[],2016-12-20 15:32,"LEFTOVER 2015 Sea-Doo GTX S 155 SUSPENSION $1,400 down $229 per month WAC Use the following link to view more information about this vehicle: http://www.rivamm.com/lc/2187247 $1,400 down $229 per month WAC* Big saving on ALL in-stock watercraft! Own for as little as $1,400 down $229 per month with excellent credit.Payment & down payment based on 3.99%APR for 60 months credit approval. Other options available for those with less then perfect credit. Contact us to apply! Riva Motorsports & Marine of the Keys Financing Available Trade-Ins Welcome Sit back and enjoy the ride with a watercraft built for serious comfort and priced to save you more coin. Experience a smooth ride on any body of water, and thanks to its manually adjustable suspension, those long days of cruising just got even more comfortable. Vehicle Details Year: 2015 Make: Sea-Doo Model: GTX S 155 Stock #: 02481A",0,5927245193,,11,,Sea-Doo,https://maps.google.com/?q=loc%3A+%31%30%32%35%35%30+Overseas+Hwy+Key+Largo+FL+US,GTX S 155,$10988,power, (Key Largo FL),"LEFTOVER 2015 Sea-Doo GTX S 155 SUSPENSION $1,400 down $229 per month WAC",https://keys.craigslist.org/bod/5927245193.html,
