,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['24.727900', '-81.038600']",2016-12-18 21:32,Im looking for a gas powered sport fish. 38-42 feet. No diesels. Cash awaits.,,5924927447,24.727900,40,-81.038600,,"https://maps.google.com/maps/preview/@24.727900,-81.038600,16z",,,power,,38-42 GAS powered sport fish wanted,https://keys.craigslist.org/boa/5924927447.html,
1,,"['26.152900', '-81.741700']",2016-12-18 21:20,like new hardly used fresh water boat upgraded 150hp 75 hrs full warranty bimini gps covers trailer extra 1500,,5887237611,26.152900,19,-81.741700,,"https://maps.google.com/maps/preview/@26.152900,-81.741700,16z",,$27500,power, (naples),2015 Hurricane 187 w 150hp 4 stroke 75 hrs like new,https://keys.craigslist.org/boa/5887237611.html,
2,,"['26.180296', '-81.594413']",2016-12-18 21:18,nice twin 150 4 stroke yamahas Warranty twin garmin echo gps fishfinders hard top bathroom stereo lots of seating trailer 2200 extra,,5887247757,26.180296,25,-81.594413,,"https://maps.google.com/maps/preview/@26.180296,-81.594413,16z",,$64900,power, (naples),2014 Tidewater 250 CC Twin 150 4 strokes under warranty only 106hrs,https://keys.craigslist.org/boa/5887247757.html,
3,excellent,"['25.201215', '-80.383741']",2016-12-18 21:06,"For sale is my beloved Cobia Price includes boat, motor and trailer. 70hp evenrude - motor is perfect NEW captains chair/cooler NEW bluLED interior lights NEW fuel tank/system NEW hydrolic steering NEW jack plate NEW running lights NEW live well system Anchor Life jackets Hydrofoil Rod holders NEW front hatch Boat cruises at 25mph and runs hard at 32mph Perfect for the back country and patch reefs. Strong enough to tube behind and ski smaller people. Don't miss this opportunity it won't last long! $6500 OBO",,5924906225,25.201215,16,-80.383741,,"https://maps.google.com/maps/preview/@25.201215,-80.383741,16z",,$6500,power, (Key largo),16' Cobia flats boat,https://keys.craigslist.org/boa/5924906225.html,
4,,,2016-12-18 20:31,"Located in Hurricane Hole Key West is a nice 2017 with Yamahas Brand new never in the water 143 Gallon Fuel Capacity 400 HP Seafox Center Console Asking $105,883.00 26' with Pro Package Bay Boats with Center Console",0,5924783558,,26,,,,,$105883,power, (KEYS),YATCH CERTIFIED 400HP 266 COMMANDER,https://keys.craigslist.org/boa/5924783558.html,
5,good,,2016-12-18 19:47,"Houseboat for Sale - 2BR 1+½ BA If you are in the market for an affordable full time residence or a vacation home in the Florida Keys, look no further than this 2006 Catamaran Cruisers 14' x 50' Houseboat, just $45,000. You will be hard pressed to find a more beautiful, affordable location. Located in a quiet, private, enclosed marina on the gulf side in Marathon, it comes with a full size kitchen galley, front and back porches, a 1 and ½ bath with shower, and 2 bedrooms. A set of fiberglass stairs lead topside to a full size one piece fiberglass deck. The non skid fiberglass deck surface is both safe and enjoyable for lounging, etc. If you decide leave the marina and move the boat elsewhere, there is a place for motors if so desired. The Helm, cabling and gas tank are in place and ready to go. The sale of this boat is for cash only. Serious inquires, please. There is no owner financing. Marina slip lease is required to stay in the marina. No land is included. Offered as is where is. No Broker or Agent.",,5924836644,,50,,Catamaran Crusiers,,Vagabond,$45000,power, (Marathon),HOUSE BOAT,https://keys.craigslist.org/boa/5924836644.html,2006
6,fair,"['24.655700', '-81.382400']",2016-12-18 19:03,"Survay in and out of water done today Ensure all your 45 grand with insurance right off ,Yes selling my huge 1990 motor yacht fourty three thousand dollars ,yes  last servay was 1milliom replacement value and had servay done yesterday ready to unsure and tells in depth of this sweet deal  ,she has a massive salon  wet electric bar ,wine cooler dinning table seats six as well as the couch ,comfy porch  huge swim platform but there's a electric boat crane ,had a 14 foot ridgid bottom with a 50hp on the roof catadle central heat and air , stackable washer dryer ,gally has electric four burner oven stove ,microwave ,dishwasher all the comforts of a home ,the  3 staterooms all have cable tv strereo toilets showers sinks make up tables ceader closets. she has twin 671 Detroit diesels ,bought in Texas she is tons of fun on the open sea never need to stop for fuel carries 700 gallons ,big couch on the bow seats 6 ,what a joy to enjoy the oceans wonders ,this is the ultimate home on the water ,step aboard and she doesn't rock or move this is like 50000 pound vessel ran 110 mile trip  August 1st no issues runs perfect super motors ,on stands paid for storage next three months ,manatee marina key largo fla  here is a pic of her at the moment on stands in storage Rent is 500 a month Here is her web site  www.yachtlodge.com.    Why not Come stay a night see if you like it",,5924746262,24.655700,50,-81.382400,Ocean,"https://maps.google.com/maps/preview/@24.655700,-81.382400,16z",,$43000,power, (Key west),"48.6 ocean 1990 yacht runs perfect made 110 mile trip August 1,2016",https://keys.craigslist.org/boa/5924746262.html,
7,fair,"['24.655700', '-81.382400']",2016-12-18 18:53,"Survay in and out of water done today Ensure all your 45 grand with insurance right off ,Yes selling my huge 1990 motor yacht fourty three thousand dollars ,yes  last servay was 1milliom replacement value and had servay done yesterday ready to unsure and tells in depth of this sweet deal  ,she has a massive salon  wet electric bar ,wine cooler dinning table seats six as well as the couch ,comfy porch  huge swim platform but there's a electric boat crane ,had a 14 foot ridgid bottom with a 50hp on the roof catadle central heat and air , stackable washer dryer ,gally has electric four burner oven stove ,microwave ,dishwasher all the comforts of a home ,the  3 staterooms all have cable tv strereo toilets showers sinks make up tables ceader closets. she has twin 671 Detroit diesels ,bought in Texas she is tons of fun on the open sea never need to stop for fuel carries 700 gallons ,big couch on the bow seats 6 ,what a joy to enjoy the oceans wonders ,this is the ultimate home on the water ,step aboard and she doesn't rock or move this is like 50000 pound vessel ran 110 mile trip  August 1st no issues runs perfect super motors ,on stands paid for storage next three months ,manatee marina key largo fla  here is a pic of her at the moment on stands in storage Rent is 500 a month Here is her web site  www.yachtlodge.com.    Why not Come stay a night see if you like it",,5924745851,24.655700,50,-81.382400,Ocean,"https://maps.google.com/maps/preview/@24.655700,-81.382400,16z",,$43000,power, (Key west),"48.6 ocean 1990 yacht runs perfect made 110 mile trip August 1,2016",https://keys.craigslist.org/boa/5924745851.html,
8,new,[],2016-12-18 18:49,"Sitting area and standing area Padded foot wells with textured foot area designed to optimize balance Bow hatch with Cross Lock™ buckle system Comfortable carrying handles Storage bungee Drain plug Molded-in integral fins LENGTH: 12' 6"" | 3.8 m WIDTH: 30.5"" | 77.5 cm WEIGHT: 50 lbs | 22.7 kg BOW HATCH: 16"" x 10"" | 40.6 x 25.4 cm MAX CAPACITY: 300-350 lbs | 136.1-158.8 kg (Colors available are shown in pictures) Also available the 4 piece Nalu Paddle for $99 WHOLESALE!",,5899768940,,12,,Ocean Kayak,https://maps.google.com/?q=loc%3A+%35%39%39%34+Overseas+Highway+MARATHON+FL+US,Nalu 12.5,$699,human, (MARATHON),OCEAN KAYAK NALU 12.5 Brand New ONLY,https://keys.craigslist.org/boa/5899768940.html,
9,new,[],2016-12-18 18:49,"Just arrived!brand new tandem fishing kayak with seat backs,paddles & rod holders. it has 4 in hull holders & 2 adjustable fish-fighting rod holders! 5994 o/s hwy show contact info GREAT DEAL !! ONLY $699",,5899771315,,12,,Great Lakes,https://maps.google.com/?q=loc%3A+%35%39%39%34+Overseas+Highway+MARATHON+FL+US,Stroke 2,$699,human,,Tandem Fishing Kayak Stroke 2 (Marathon mm50),https://keys.craigslist.org/boa/5899771315.html,
