,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-18 21:27,"Junk or running cars wanted top dollars - up to $5000 Junk or running boats,trailers,cars,all wanted - No title,No problem w/proper id Call or text me show contact info",500,5917373697,,20,,Mako,,Any,$5000,power, (Lake worth),"Junk or running cars,boats,trailers,wanted top dollars $$$",https://fortlauderdale.craigslist.org/pbc/boa/5917373697.html,
1,good,"['26.066300', '-80.333900']",2016-12-18 21:27,Troh 24 Ready for water with motor 350 5.7 v8 vortec and aluminum triler show contact info,,5924923707,26.066300,24,-80.333900,Trohy,"https://maps.google.com/maps/preview/@26.066300,-80.333900,16z",,,power,,Trohy 24 Ready for water with 350 vortec motor and aluminum triler,https://fortlauderdale.craigslist.org/mdc/boa/5924923707.html,1984
2,like new,"['26.921200', '-80.214400']",2016-12-18 21:25,Zodiac boat  with 6hp motor good condition. Motor has only been used once for 1 hr. great condition. ERIC show contact info,1,5904583347,26.921200,10,-80.214400,yamaha,"https://maps.google.com/maps/preview/@26.921200,-80.214400,16z",6hp,$1000,power, (Jupiter),Zodiac Dingy 10'ft with 6HP yamaha,https://fortlauderdale.craigslist.org/pbc/boa/5904583347.html,
3,good,,2016-12-18 21:25,"This is a perfect blue water boat! Needs motors and some finish work but this is a tank of a boat. Hand laid glass hull and head in center counsel with Birdsall MarineT top & top Gunn out riggers, marine bracket for motors. Has a forward cuddy cabin or you could convert it to a full open bow. I have no time to work on this boat due to my travels. Boat has no trailer. $7500.00 OBO takes it! Eric show contact info",0,5903904468,,31,,Gulfstream,,28'10 Gulfstream,$7500,power, (Jupiter),"28' 10""ft 1982 gulfstream  boat  CC",https://fortlauderdale.craigslist.org/pbc/boa/5903904468.html,1982
4,excellent,"['25.957100', '-80.181400']",2016-12-18 21:21,"* THIS BOAT IS BEING SOLD WITHOUT TRAILER * NO TRAILER * For sale is a 1998 Pro Line 202 walk-around, with Mercruiser inboard 4.3L 6 cyl Vortex, Alpha drive. This boat is extremely clean, new interior cushions, live bait well, no bottom paint, stern drive still has the factory shiny paint, decals, all zincs, engine starts right up. Nothing to fix, All of the accessories, engine and drive works as it should If interested, you can contact me at 7-8-6-2-7-1-5-1-3-9 * NO TRAILER* NO TRAILER *",,5915884609,25.957100,202,-80.181400,pro line,"https://maps.google.com/maps/preview/@25.957100,-80.181400,16z",walk around,$5995,power,,Pro Line Walkaround Mercruiser 4.3L 6cyl No Wood Livewell No Trailer,https://fortlauderdale.craigslist.org/mdc/boa/5915884609.html,1998
5,good,"['25.948400', '-80.247900']",2016-12-18 21:19,Trohy 24 con motor 350 5.7 v8 vortec y trailer de aluminio papeles al dia. show contact info,,5909074570,25.948400,24,-80.247900,Bayliner trothy,"https://maps.google.com/maps/preview/@25.948400,-80.247900,16z",,$4500,power, (Miami gardens),Trohy 24 listo para el agua,https://fortlauderdale.craigslist.org/mdc/boa/5909074570.html,1984
6,good,"['25.948400', '-80.247900']",2016-12-18 21:19,Bendo bayliner 1984 en muy buen estado exelente para la pesca tiene un chevrole 350 5.7 v8 vortec con una pata volvo penta show contact info,,5907206049,25.948400,24,-80.247900,Bayliner,"https://maps.google.com/maps/preview/@25.948400,-80.247900,16z",,$4000,power, (Miami gardens),Bayliner 24 pies en muy buen estado listo para el agua,https://fortlauderdale.craigslist.org/mdc/boa/5907206049.html,1984
7,good,"['25.948400', '-80.247900']",2016-12-18 21:19,Trohy 34 con trailer motor 350 5.7 v8 vortec listo para papeles al dia gps,,5910551905,25.948400,24,-80.247900,Bayliner trothy,"https://maps.google.com/maps/preview/@25.948400,-80.247900,16z",,$4500,power, (Miami gardens),Trohy 24 con trailer listo para el agua co trailer,https://fortlauderdale.craigslist.org/brw/boa/5910551905.html,1984
8,good,"['26.066300', '-80.333900']",2016-12-18 21:19,Trohy 24 listo para el agua con motor 350 5.7 v8 vortec con tráiler de aluminio papeles a mi nombre y gps,,5918911319,26.066300,24,-80.333900,Trohy,"https://maps.google.com/maps/preview/@26.066300,-80.333900,16z",,$4300,power, (Davie),Trohy 24 listo para el agua con trailer,https://fortlauderdale.craigslist.org/pbc/boa/5918911319.html,1984
9,good,"['25.948400', '-80.247900']",2016-12-18 21:18,24 con un motor 350 5.7 v8 chevrole vortec listo para el agua con trailer de luminio todos los papeles aminombre y actuales.,,5893873211,25.948400,24,-80.247900,Bayliner trothy,"https://maps.google.com/maps/preview/@25.948400,-80.247900,16z",,$5500,power, (Miami gardens),"Trothy 24 ""350 Vortec 5.7 v8 ready for water trailer - $ 5500 (Miami G",https://fortlauderdale.craigslist.org/mdc/boa/5893873211.html,1984
10,good,"['25.948400', '-80.247900']",2016-12-18 21:18,"Sea ray 25 ""350 5.7 mercruiser in very good condition Manifolds stailestill with compression 210 boat ready for the water inclulle trailer.",,5890655829,25.948400,25,-80.247900,Sea rey,"https://maps.google.com/maps/preview/@25.948400,-80.247900,16z",,$8000,power, (Miami gardens),Sea ray 25' ready for water,https://fortlauderdale.craigslist.org/mdc/boa/5890655829.html,1988
11,good,"['26.096800', '-80.181000']",2016-12-18 21:18,"Bass boat 17foot has 50 thrust trolling motor w/ foot peddle, Garmin chart plotter, live well, led running lights, hot foot gas peddle. Motor is a 1989 evinrude 2 stroke 150hp w/ tilt and trim all works, motor has been recently serviced. Boat does about 50-55mph at 4800 rpm. Trailer included needs a little work. Have titles for all,please no low ballers  Need gone!!!",,5896022652,26.096800,17,-80.181000,Stratos,"https://maps.google.com/maps/preview/@26.096800,-80.181000,16z",,$3000,power,,17' bass boat with trailer,https://fortlauderdale.craigslist.org/brw/boa/5896022652.html,2000
12,,"['30.318951', '-81.489544']",2016-12-18 21:15,"2 1999 eagle skimmers. have titles for both vessels Started building one skimmer from ground up and ended up buying identical one so i can take the time to build other one. I have everything you need for 2 complete boats. Go out and fish in one and take your time finishing the other. currently in process of painting hull as you can see from photos but I am full time student and full time worker. Senior year is full of upcoming internships so i am selling everything as a whole package. But I will sell individually. I need to upload picture of current boat. pictures I posted are of when it had Honda motor mounted. It currently has Yamaha mounted and Honda is on motor stand. No issues with Honda I just prefer Yamaha so I swapped it. COMPLETE SKIMMER: $4000 if sold complete If separated prices are below.. 2001 Yamaha T50tlrz 196hrs (currently being converted to 60hp) will include both top heads 50 and 60 as well as, gauges(brand new) and controls(harness, control, key switch) $2500 hydraulic steering $400 hydraulic jack plate$500 Hull and trailer $1500 Non-complete skimmer: $2500 for everything I have. If separated prices are below 1998? Honda 50hp unknown hours $2000 (key switch, controls, harness included) hydraulic steering (just need hoses, looks used I would buy rebuild kit as well)$200 Hydraulic JackPlate (brand new bobs machine shop motor)$500 Hull and Cap need to be painted (Gelcoat thinners and all supplies purchased will be included) ""all about trailers"" Aluminum I-Beam trailer. currently has wood beam on back. have aluminum to replace it just haven't done it yet. trailer and hull $800 $5500 FIRM for complete package or I will sell everything individually just tell me what you want.! If I start selling individually price of whole package will go down. *currently playing with propellers to get better speed. I currently have a 15 pitch prop that is WOT at 4200rpms. If i have the time I will eventually purchase a smaller propeller and I bought one that has universal hub for this experimental phase. *also have a 20x13.75 stainless steel yamaha prop I will include. Doesn't get boat on plane but I will include it so you can do what you please with it. I'd say worth 200-300 bucks",,5924900644,30.318951,15,-81.489544,eagle,"https://maps.google.com/maps/preview/@30.318951,-81.489544,16z",skimmer skiff,$5500,power, (jacksonville),2 1999 eagle skimmer skiffs flats boat,https://fortlauderdale.craigslist.org/mdc/boa/5924900644.html,1999
13,,,2016-12-18 21:15,"1989 Dusky walkaound with Johnson 200.trailer included great shape. 25 feet with bracket and motor 28 feet $10,000 OBO call show contact info",,5924913886,,25,,,,,$10000,power, (Hialeah),25 Dusky walkaround w/Johnson 200,https://fortlauderdale.craigslist.org/mdc/boa/5924913886.html,
14,excellent,"['25.762600', '-80.309600']",2016-12-18 21:14,I'm selling my boat or trade it for a walkaround one,,5896702842,25.762600,21,-80.309600,Sea ray,"https://maps.google.com/maps/preview/@25.762600,-80.309600,16z",Laguna,$10900,power,,Sea ray selling trade for walkaround,https://fortlauderdale.craigslist.org/mdc/boa/5896702842.html,1994
15,fair,"['25.753900', '-80.225300']",2016-12-18 21:11,"Buenas condicion  , comprecion igual en todos Los cilindro con tanque de aceite includo. nota: fallo electrico en un cilindros",1200,5924910327,25.753900,1,-80.225300,Yamaha,"https://maps.google.com/maps/preview/@25.753900,-80.225300,16z",Hpdi,$1800,power, (miami),2001 Yamaha engine 200 hpdi,https://fortlauderdale.craigslist.org/mdc/boa/5924910327.html,2001
16,,"['25.596000', '-80.507000']",2016-12-18 21:10,air boat 11.6x7 6 cyl cont 260 hp sensenich 2 bld prop air foil rudder four seats dual control sticks runs great $9900 call show contact info,,5912007454,25.596000,11,-80.507000,,"https://maps.google.com/maps/preview/@25.596000,-80.507000,16z",,$9900,power,,AIRBOAT,https://fortlauderdale.craigslist.org/mdc/boa/5912007454.html,
