,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,,2016-12-20 14:50,"FOR SALE---SELLING A CUSTOM MADE ALUMINUM AND STAINLESS STEEL RACK MOST RECENTLY USED TO HOLD A JET SKI, PRIOR TO THE SKI, THE RACK HELD AN AMPHIBIOUS HARD BOTTOM INFLATABLE BOAT AND PRIOR TO THAT, IT HELD A SMALL BOSTON WHALER. IT COST NEW, $1100.00 AND WAS A CUSTOM ORDER TO ASSURE THAT THE RACK HOLDS ANY BOAT WITH A KEEL. WE MOVED AND NOW WANT TO SELL IT AS WE HAVE SOLD ALL OUR BOATS AND HAVE NO FURTHER USE FOR IT. THE RACK HAS SOFT RUBBER PROTECTION ON THE RAILS TO CUSHION AND NOT TO MAR ANY FINISH ON YOUR BOAT. THE RACK CAN BE USED IN THE BACK OF A LONG BED TRUCK. THE RACK IS 7' 4"" LONG X 36"" WIDE AND 18"" TALL. WHERE YOU SEE THE ""V"" , THAT IS 8"" DEEP. THIS IS A GREAT ITEM FOR SOMEONE WHO HAS A BOAT THAT THEY DON'T WANT JUST LAYING ON THEIR DOCK OR ON THE GROUND. LET US KNOW . $249 CALL SHANNON OR SUE AT show contact info ...NO EMAILS OR TEXT MESSAGES AS WE DON'T HAVE TIME TO GO BACK AND FORTH",,5924123537,,7,,,,,$249,human, (NE CAPE CORAL),**CUSTOM MADE BOAT RACK TO HOLD ANY TYPE UNDER 16' BOAT **,https://cfl.craigslist.org/boa/5924123537.html,
1,,"['27.551700', '-81.807400']",2016-12-20 14:30,I have a gheenoe lowsider with lots of extras I great shape with a trailer in great shape as well call or text anytime at show contact info ..1000obo,,5927149386,27.551700,14,-81.807400,,"https://maps.google.com/maps/preview/@27.551700,-81.807400,16z",,$1000,power, (Wauchula),Gheenoe lowsider,https://cfl.craigslist.org/boa/5927149386.html,
2,like new,[],2016-12-20 12:45,"2006 17' Fisher bass boat, 2006 60hp Mercury 4-stroke, and 2006 trailer.  Solid aluminum welded hull. The boat has new carpet and seats recently bought and installed from BassPro Shop.  It comes equipped with 2 trolling motors (Foot contol on Bow, and Transom mount), 2 fish finders (Bow and Console), aerator, bilge pump, and a full boat storage cover.  Fully loaded with everything you need.  Call or text Jay show contact info or Billie show contact info if you want to set up a date and time to see it.",,5926978297,,17,,Fisher,https://maps.google.com/?q=loc%3A+%33%37%39%33+US+HWY+%34%34%31+SE+Okeechobee+FL+US,1700,$6000,power, (Okeechobee),2006 Fisher boat w/60hp Mercury 4-stroke and trailer,https://cfl.craigslist.org/boa/5926978297.html,2006
3,good,"['28.816101', '-81.263466']",2016-12-20 12:21,"11' Boston Whaler, clean, 15hp nissan engine w electric start, electric trolling motor, battery. Good running condition.",50,5896603289,28.816101,11,-81.263466,boston whaler,"https://maps.google.com/maps/preview/@28.816101,-81.263466,16z",,$3950,power, (sanford),boston whaler for sale,https://cfl.craigslist.org/boa/5896603289.html,
4,good,,2016-12-20 10:10,"2003 bass tracker pro team 17.5 all welded revolution hull 2003 50 h.p mercury oil injected 2 stroke with tilt and trim that runs great. 2006 galvanized trailer. trolling motor, humminbird gps fish depth finder, livewell, bimini top not shown in pictures and custom boat cover included in great shape and everything works $6000. if interested call at 407 4one4 9482",,5926732745,,18,,,,,,power,,17.5 aluminum bass boat,https://cfl.craigslist.org/boa/5926732745.html,
5,,"['28.244400', '-82.698600']",2016-12-20 09:26,Previous one owner runs good Good trailer Inexpensive family entertainment CALL OR TEXT show contact info,,5910601547,28.244400,15,-82.698600,,"https://maps.google.com/maps/preview/@28.244400,-82.698600,16z",,$3000,power, (new port richey),1999 Larson bow rider 90 johnson,https://cfl.craigslist.org/boa/5910601547.html,
6,like new,"['27.506525', '-80.927120']",2016-12-20 09:21,"Like new 2016 Suzuki 6 h.p. long shaft 4 stroke outboard motor.  Pull start. Has integral tank and remote tank capability, built in alternator for battery charging. Only 1 hour use, bought Sept. 2016 for $1600.  Comes with drop down transom kicker mount. In warranty",1,5926672201,27.506525,0,-80.927120,Suzuki,"https://maps.google.com/maps/preview/@27.506525,-80.927120,16z",6 hp long 4 stroke,$1250,power, (Okeechobee),Suzuki 6 h.p. Outboard,https://cfl.craigslist.org/boa/5926672201.html,2016
7,,,2016-12-20 09:18,"2 rods that are in like new condition, never used but may have scratches and storage marks. TRADES FOR/TOWARDS, VARIOUS TYPES OF BOAS, EMERALD TREE, HOGGS AND OTHER MORPHS FROZEN/LIVE FEEDERS RATS,MICE,RAT RACKS MOTORCYCLE ENGINE WORK/PARTS PAINT JOB FOR 1999 CAMRY/1997 TAHOE 223, 9MM, 308, 12 GA SLUG/BUCK SHOT 223 AR15 MAGS/DRUMS GLOCK 17/19, 1911'S, AR15, AK47 CLEAN ESN  IPHONE 6/6+ RIDING LAWNMOWER 60 YARDS+ OF DIRT, CRUSHED ROCK",,5917707732,,5,,,,,$150,human, (SEBRING),"(2) 5'6"" 50-130LB OUTERBANKS FISHING RODS",https://cfl.craigslist.org/boa/5917707732.html,
8,good,,2016-12-20 07:43,"24ft Harris floteboat pontoon boat. Refurbished with new deck, carpet, furniture, chart plotter, depth finder, 90 horse Yamaha four stroke 543 hours, bimmini top and much more. $ 10,500.  Phone show contact info No emails and cash only.",543,5913953825,,24,,Harris,,,$10500,power,,24 ft Harris pontoon boat,https://cfl.craigslist.org/boa/5913953825.html,1987
9,excellent,[],2016-12-20 07:22,"2000 Scout 145 Side Console Flats Boat, very wide and stable in great condition Yamaha 40hp 2-stroke with power tilt and SST prop that looks and runs great 2005 Performance Galvanized Trailer with new springs and led lights $4995 cash or consider taking in trade a small pontoon or deck boat, Side by Side ATV or ? Text Trades or call David at show contact info",,5909307275,,145,,Scout,https://maps.google.com/?q=loc%3A+wells+rd+at+bayshore+rd+north+fort+myers+FL+US,145,$4995,power, (North Fort Myers),Scout Flats Boat - Possible Trade,https://cfl.craigslist.org/boa/5909307275.html,2000
