,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:20,2000 back country 189 pro guide show contact info 23000,,5892344088,,19,,,,,$23000,power, (Jacksonville),2000 back country 189 pro guide flats boat,https://jacksonville.craigslist.org/boa/5892344088.html,
1,,"['29.797600', '-81.989900']",2016-12-20 17:10,2400cc  offshore by carolina skiff boat has twin 140 suzuki 4 strokes with 750 hrs two live wells taco outriggers trim tabs gamin 3210 gps and touch screen 720 sx with through hull transducer raw water wash down 20 gal fresh water VHF on board battery charging system  trailer recently gone through new axles and bearings show contact info,750,5906187396,29.797600,24,-81.989900,Carolina skiff,"https://maps.google.com/maps/preview/@29.797600,-81.989900,16z",Offshore 2400cc,$26000,power, (Keystone),2005 sea chaser 2400cc,https://jacksonville.craigslist.org/boa/5906187396.html,2005
2,excellent,"['26.086696', '-80.182686']",2016-12-20 17:03,"2008 Sea Ray 300 PRICE REDUCED - MUST SELL!!! THE CLEANEST, LOWEST PRICED OF THIS MODEL IN THIS CONDITION ON THE INTERNET!!! It has been mechanic tested and repaired so it is ready for the water. This boat is beautiful, a real head-turner. Come see her, you will not be disappointed! http://www.boattrader.com/listing/2008-SEA-RAY-300-Select-EX-102902846",275,5927373273,26.086696,30,-80.182686,SEA RAY,"https://maps.google.com/maps/preview/@26.086696,-80.182686,16z",SLX SERIES SELECT EX,$46999,power, (SOUTH FLORIDA),2008 SeaRay 300 PRICE LOWERED FOR BLOW OUT END OF YEAR SALE,https://jacksonville.craigslist.org/boa/5927373273.html,2008
3,excellent,"['28.898900', '-81.247300']",2016-12-20 16:51,340 ORIG HRS ON FROM FACTORY 572 MERCRUISER WITH 871 BDS BLOWER..ALUM HEADS..2 HOLLY 750 DUEL FEED CARBS..ALL RACING INTERNALS..IMCO RACING OUTDRIVE..TRIM TABS..SS EXHAUST..BOAT WAS ORDERED FROM KACHINA BOATS IN ARIZONA..ORIG OWNER..NEVER BEEN IN SALT WATER (LOOK AT STEEL TRAILER) STILL HAS ORIG PAINT ON OUTDRIVE..NEVER BEEN RACED..BOAT WAS BROUGHT HEAR APPROX 1 YR AGO FROM ARIZONA..STILL HAS ARIZONA STICKER..BUT TITLED IN FLA...PAINT AND INTERIOR IN GREAT SHAPE...BOAT WILL RATTLE NEIGHBORS WINDOWS...PRIVATE SALE... show contact info,,5897309831,28.898900,30,-81.247300,,"https://maps.google.com/maps/preview/@28.898900,-81.247300,16z",,,power,,"RARE 1997..30FT BOWRIDER PERFORMANCE BOAT(572CI/871BLOWER) 21,000.00",https://jacksonville.craigslist.org/boa/5897309831.html,1997
4,excellent,"['30.280100', '-81.416500']",2016-12-20 16:36,"The cockpit offers a wide-open area, with portside seating and deck that easily converts to a dining area or sunlounger. A large swim platform allows for easy access for both water and mooring. Entertainment centre to starboard includes a wetbar. The wide beam allows for plenty of living space and the well-appointed galley includes working microwave, refrigerator and stove, with ample storage above and below the solid-surface countertop. Head features marine toilet, moulded wash basin, hot & cold water with a shower attachment and storage cupboards. The open dining area can be easily converted into a V-berth to comfortably sleep 2; also space for additional 2 to sleep in cabin. The engine is a Mercruiser 350.  Bravo 3 outdrive and only has 210 hours on it.  Plenty of power for this boat. Trailer included Asking $27,200 or best offer. Text me with any questions show contact info",210,5913062957,30.280100,26,-81.416500,Maxum,"https://maps.google.com/maps/preview/@30.280100,-81.416500,16z",2500se,,power,,2500se Maxum 2004,https://jacksonville.craigslist.org/boa/5913062957.html,2004
5,,[],2016-12-20 16:34,"2010 Sea Fox 197 Center Console 19.7' Suzuki 115HP 4 Stroke, Great Fishing Boat!! 180 Hours Since New, Wood-Free Construction, Lifetime Hull Warranty!! Plenty Of Room And Rod Storage, Live Well, Fish Box, Cooler Seat, Dry Stored, Clean Inside and Out. Bimini Top, Comes On Trailer~~$17,500 DISCLAIMER All Information on this vessel is provided by its owner.Consignment City Marine offers this information in good faith but cannot guarantee its accuracy nor warranty the vessel in any way. CONSIGNMENTCITYMARINE .COM 6529 Blanding Blvd Jacksonville, FL 32244 Office: 904-779-5673 Dave Cell 904-635-8670 Matt's Cell: 904-229-2054 FAMILY OWNED + OPERATED at SAME LOCATION Since 1998 14 YEARS A+ Better Business Bureau Rating. NO PUSHY SALES PEOPLE, NO B.S. NO HASSLES NO EXTRA DEALER FEES OR ADD ON COSTS. OPEN 7 DAYS Let us Sell Your Boat. We Are The ""Consignment Pros""",,5927333901,,20,,,https://maps.google.com/?q=loc%3A+%36%35%32%39+Blanding+Blvd%2E+Jacksonville+FL+US,,$17500,power, (Consignment City Marine),2010 Sea Fox 197 Center Console 19.7',https://jacksonville.craigslist.org/bod/5927333901.html,
6,,[],2016-12-20 16:27,"2002 Triumph 150 Fish Side Console 15' Suzuki 50HP 4 Stroke, Clean Little Boat!! Bimini Top, Fixed Trim Tabs, Serviced October 2016, Comes On 2005 Trailer With Swing-Away Tongue~~~~~$5,950 Office: show contact info Matt's Cell: show contact info Dave's Cell show contact info",,5927323317,,15,,,https://maps.google.com/?q=loc%3A+Blanding+Blvd%2E+Jacksonville+FL+US,,$5950,power, (Westside Of Jax),2002 Triumph 150 Fish Side Console 15',https://jacksonville.craigslist.org/boa/5927323317.html,
7,good,"['30.389499', '-81.642440']",2016-12-20 16:12,"1973 33' Chris Craft ""Calm Seas"" Boat is in good condition. Needs new topside paint, cushions need to be recovered. One forward window broken (easily fixable). Interior in great condition! Working fridge and head. Twin gas mercruisers (not running). Asking $5,000.00 Open to cash offers! Financing available. $500 down, $200/month plus slip rent. Boats can be seen at Seafarers Marina in slip 11 455 Trout River Drive 32208 For more questions contact Lee. show contact info",,5920637363,30.389499,33,-81.642440,Chris Craft,"https://maps.google.com/maps/preview/@30.389499,-81.642440,16z",,$5000,power, (Northside/Trout River),1973 33' Chris Craft,https://jacksonville.craigslist.org/boa/5920637363.html,1973
8,fair,"['30.389499', '-81.642440']",2016-12-20 16:12,"1941' Hatteras Boat has recently rebuilt Detroit 6V53's which are in the boat but have not been completely installed. Vessel is structurally sound, though it needs some cosmetic work (new paint, bright-work, etc...) It is not a brand new boat but it is still a good looking, classic boat. Also comes with a diesel generator! $25,000 Financing Available Boat can been seen at Seafarers Marina located on the Trout River. Our address is 455 Trout River Drive, 32208. For further information, please contact Lee.",,5920537235,30.389499,41,-81.642440,Hatteras,"https://maps.google.com/maps/preview/@30.389499,-81.642440,16z",41,$25000,power, (Northside/Trout River),41' Hatteras,https://jacksonville.craigslist.org/boa/5920537235.html,
9,fair,"['30.389499', '-81.642440']",2016-12-20 16:12,"1985 33' Baha Sportfish. ""Daily Double"" Twin 350's (not running). Full size fridge/freezer, microwave, electric stove and marine a/c. Boat has two 30amp shore power plugs. Porta potty on board. New headliners. S.S. bimini frame (need new canvas) and outriggers. Financing Available. Recently reduced $6,500 (NADA low retail $13,200) Boat can be seen at Seafarers Marina at 455 Trout River Drive, 32208 Slip #59 For further questions, please contact Lee.",,5920514497,30.389499,33,-81.642440,,"https://maps.google.com/maps/preview/@30.389499,-81.642440,16z",,$6500,power, (Trout River/Northside),1985 33' Baha Sportfish,https://jacksonville.craigslist.org/boa/5920514497.html,
