,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:15,"Adventure Time!  Sail, Camp, Motor or Dive.  This boat can do it all.  Hull and Sails are in excellent shape.  Newly installed bow trampoline for relaxing or extra storage.  Multiple hatches to stow gear.  Extra large cockpit.  Six foot dagger boards included.  Comes with trailer.  Clean tile and trailer registration in hand.  Motor is not included in selling price.",,5927388104,,16,,,,,$2250,sail, (Miami),16' Sovereign Catamaran Sailboat,https://miami.craigslist.org/mdc/boa/5927388104.html,
1,,,2016-12-20 17:10,"This Nautico 18 Catamaran runs GREAT and FAST with its 2013 Suzuki 90 Four Stroke. It is a great fishing machine with its T-Top/Tower. Suzuki has digital gauges too! Zippered T-Top canvas allows rider to ""pop up top"" with padded seat for a great fish spotting vantage point. Engine runs flawlessly. Has almost new battery. 1998 hull is VERY SOLID and SOUND. This is a rare opportunity to have great performance with a newer four-stroke engine without paying thousands for a newer hull (when this one functions just as good). T-Top/Tower is only several years old as well. Interested? Just reply to this posting and I will be in touch. Thanks",,5912531170,,18,,Nautico/Suzuki,,,$7900,power," (Near Ft Myers, FL)",Nautico Catamaran w/ 2013 Suzuki 90 4stroke AND tower,https://miami.craigslist.org/mdc/boa/5912531170.html,
2,,,2016-12-20 17:09,"Steiger Craft Block Island 21 with full enclosure and Mercury I/O. This is the company that builds boats with no wood components. Hull has lifetime warranty. This boat spent its entire life around the Washington, D.C. area (still has a 2013 Potomac River fishing decal). This Steiger Craft has always been a private/pleasure use vessel and appears to have been stored on a trailer inside its entire life. It never had bottom paint until I had it professionally done within the year. The extensive canvas is a full enclosure of Sunbrella fabric and is recently done and still like new. The 130 Mercury is dependable and has had a recent rebuild and the Bravo II out drive has been recently redone for complete dependability. There are new cushions in the cabin and a Garmin GPS is mounted as is a separate Garmin depth/fish finder. Has bowsprit with anchor. Included is an excellent Shoreline tandem axle trailer that is equipped with rollers for easy loading. If you are unfamiliar with Block Island boats, check them out online. They are a heavy duty vessel that are classic designed. Recent engine and out drive rebuild offers years of dependable service. This boat is beautiful, rugged, unique and dependable with an outstanding heritage. It is still produced because it is a great boat--maybe last one you will ever need because of the lifetime hull guarantee from the manufacturer. It is a 1998 and looks almost identical to current production Block Islands. If my Block Island Steiger Craft might be for you, just reply to this posting and I will be in touch. Thank you",,5912567641,,22,,,,,$14900,power,,Steiger Craft Block Island 21 EXCELLENT!!!,https://miami.craigslist.org/mdc/boa/5912567641.html,
3,good,,2016-12-20 17:00,"21' 2003 Blue Wave with 2003 150 H.P Yamaha Vmax. The Motor is in Excellent Condition and has only had one Owner, very Low Hours. The Trailer and Hull are in Good Condition with Minor wear and tear. This an Excellent Fishing Boat but also great just to relax or have fun in the weekends at the sandbars. Turnkey and go! Boat is equipped with a live well and Plenty of Space in the compartments. Please find the pictures attached below. Call or text show contact info serious buyers only. Keep in mind that the Trolling Motor has been sold.",60,5927281113,,21,,Blue Wave,,,$7500,power,,21' Boat for Sale with Trailer,https://miami.craigslist.org/mdc/boa/5927281113.html,2003
4,good,,2016-12-20 16:58,"Very nice Chaparral 232 deck boat. Seats 14 people, porta potty, sink, built in coolers, 7.4 GI/SX Volvo Penta, full cover, bimini top, lots of storage and many extra's. Great party/sand bar/fishing boat. Trailer included. Only Asking $6500.00 OBO Will transport if needed. Suggested NADA List Price $36,084 Low Retail $9,830 Average Retail $11,240",,5888472254,,23,,Chaparral,,Sunesta,$6500,power, (Key West),2000 Chaparral Sunesta 232-Moving must sell,https://miami.craigslist.org/mdc/boa/5888472254.html,2000
5,good,"['25.782889', '-80.173931']",2016-12-20 16:51,"Selling Trojan 10 meter international twin 330hp crusaders port side motor less than 20 hours . Has onan 6.5 generator , new 16000btu a/c , water heater , fridge,microwave,  33 inch flat screen tv , single burner stove , (2)am/ fm cd radios inside cabin and outside . Garmin 740s touchscreen Gps sounder . Lee Jr outriggers , goodman windlass with 300 rope. Boat has 13 ft beam and sleeps 7inside . For more info call or text Rick at show contact info . No low ballers or free rides .",,5927357134,25.782889,33,-80.173931,Trojan,"https://maps.google.com/maps/preview/@25.782889,-80.173931,16z",International 10 meter,$18500,power, (Miami),Trojan 10 meter 33ft,https://miami.craigslist.org/mdc/boa/5927357134.html,1983
6,good,"['27.262500', '-80.379300']",2016-12-20 16:42,23ft 2000 seaswirl  2000 johnson engine 200 oceanpro for only $6900.00,400,5927344361,27.262500,23,-80.379300,seaswirl,"https://maps.google.com/maps/preview/@27.262500,-80.379300,16z",johnson,$6900,power, (PORT SAINT LUCIE),seaswirl,https://miami.craigslist.org/mdc/boa/5927344361.html,2000
7,,,2016-12-20 16:30,"If you're looking for a nice walkaround, look no further best one out there for the money 1994 robalo 2440 twin mercury 225 hp, live well, coolers self bailing, hardtop, watch tower, clean cabin, with toilet,  led lights,solid boat ready for the water. aluminum  trailer....  ready for the water 13500.00 obo",,5927327365,,244,,,,,$13500,power,,1994 robalo 2440 walkaround boat,https://miami.craigslist.org/mdc/boa/5927327365.html,
8,excellent,"['25.734300', '-80.358800']",2016-12-20 16:10,"This is a used Dusky OPEN Fisherman with a Yamaha 225HP OX66,Daving platform,two Battery,lorawnce GPS Deep finder,VHF Marine Radio,Stereo,liveWell ,Aluminum trailer this is a very strong boat and very dry boat to,it comes with two tank of gas 62 gallons each one ,cushions in excellent condition ,Downrigger and Outrigger.for more info please call or text Juan Carlos show contact info English and Español",,5904311001,25.734300,23,-80.358800,DUSKY,"https://maps.google.com/maps/preview/@25.734300,-80.358800,16z",Juan Carlos Martinez,$18,power, (Kendall),"Dusky 23,3ft  2002 Open Fisherman",https://miami.craigslist.org/mdc/boa/5904311001.html,2002
9,excellent,[],2016-12-20 15:58,"2014 Zodiac Yachtline 11.5' Dingy with 40 HP Yamaha EXCELLENT Condition with only 67 hours Used as a Tender on my yacht. Stored 75 % of the time in Hi & Dry Storage Anchor and running lights, life vests, bilge pump, fully equipped. Buy with Confidence, you won't be disappointed! Call Bobby @ show contact info",67,5913573429,,11,,Zodiac,https://maps.google.com/?q=loc%3A+%31%38%36th+street+at+Biscayne+Aventura+FL+US,Yachtline,$15900,power, (Aventura),Zodiac Yachtline Dingy 11.5',https://miami.craigslist.org/mdc/boa/5913573429.html,2014
