,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['30.105500', '-82.687800']",2016-12-20 10:28,BOAT TRAILER ONLY HAS A 18'' CRUISE BOAT ON IT... BUT YOU ARE BUYING JUST THE TRAILER!!!!!( boat will be removed )IT IS A EZ LOADER TRAILER.... IF YOU NEED A GOOD TRAILER CALL- show contact info CALL JOHN / MONEY GUNS WHAT YOU GOT????????????,,5916482541,30.105500,18,-82.687800,,"https://maps.google.com/maps/preview/@30.105500,-82.687800,16z",,$500,power, (lake city fl.),18' GALVANIZED HEAVY DUTY BOAT TRAILER MUST SEE!!!,https://lakecity.craigslist.org/boa/5916482541.html,
1,,"['30.105500', '-82.687800']",2016-12-20 10:28,WAS RUNNING TIL WIRING HARNESS BURNED......has very good compression turns over good..all there....$300.00 my lose your gain....call john show contact info may trade what you got?????????,,5916531097,30.105500,18,-82.687800,,"https://maps.google.com/maps/preview/@30.105500,-82.687800,16z",,$300,power, (lake city fl.),80HP MERCURY OUTBOARD MUST SEE!!!!,https://lakecity.craigslist.org/boa/5916531097.html,
2,excellent,,2016-12-20 07:33,for sale is my nice jet ski. very fast toy. jet has 61hrs but engine jut 6hrs. timing chain come loose when jet had 54hrs so Yamaha paid in full for a update 2016 engine. attention. they didn't fix. they put in brand new one. call if any question. Marshall show contact info,6,5918392878,,11,,yamaha,,fzr,$9200,power, (Maryland),yamaha jet ski fzr,https://lakecity.craigslist.org/boa/5918392878.html,2014
3,,[],2016-12-20 06:58,"2001 McKee Craft 17' center console with 2014 90hp Suzuki 4 stroke. Less than 60hrs. on motor, like new. 2008 Ameratrail aluminum trailer, spare tire w/carrier. Boat has twin transom bait wells, center fish box, flip cooler seat, vhf, fish finder, gps, on-board charger, bimini top, & full cover. NADA is $12,800. First $12k takes it!",60,5900092599,,17,,Suzuki,https://maps.google.com/?q=loc%3A+%39%34%35%31+SW+CR+%31%34%33+Jasper+FL+US,DF90ATL,$12000,power, (Jasper/Live Oak),17' McKee Craft center console,https://lakecity.craigslist.org/boa/5900092599.html,2014
4,excellent,"['28.929900', '-81.925600']",2016-12-19 23:11,"I have a 1984 bayliner for sale. The trailer needs to be tagged and needs trailer lights but other than that, the boat is straight. It has a 2003 Honda 15hp 4 stroke on the back that has been freshly rebuilt. $1500 obo",,5926380715,28.929900,16,-81.925600,Bayliner,"https://maps.google.com/maps/preview/@28.929900,-81.925600,16z",,$1500,power,,1984 Bayliner with a 2003 Honda outboard $1500 obo,https://lakecity.craigslist.org/boa/5926380715.html,
5,like new,,2016-12-19 22:50,G3 Boat with motor & trailer  Yamaha 70 4 stroke . Bought new used 4 time. Boat is in excellent condition still under warranty,20,5914846105,,17,,G3,,sportsman,$22000,power, (whitesprings),G3 Sportsman Boat with motor & trailer,https://lakecity.craigslist.org/boa/5914846105.html,2016
6,like new,"['29.919530', '-82.769966']",2016-12-19 17:29,"New Sun Dolphin Sun Slider Adjustable Seat Lounger Pedal Boat with Canopy, Blue in color. Boat comes with a protective vinyl rubrail, 93"" long, 65"" wide 24.5"" high. Weighs 110 lbs. Capacity 825 lbs. Recessed drink holders Seats fully recline to create an on-the-water sun lounge for two Comfortably seats 3 in front and 2 in back Built in coolers or storage area Will accommodate trolling motor Used twice. Boat lists new for $800 Leave message if no answer please.",,5926037473,29.919530,80,-82.769966,,"https://maps.google.com/maps/preview/@29.919530,-82.769966,16z",,$450,human, (Fort White),Sun Dolphin Pedal boat with canopy,https://lakecity.craigslist.org/boa/5926037473.html,2015
7,new,,2016-12-19 12:03,"2016 Epic 23 S/C w/ Suzuki DF-175 (6 year warranty). Duel Simrad NS7's, Stereo w/ 4 speakers, Atlas Hyd. Jack plate,Lenco trim tabs, underwater light's. Any questions call show contact info",0,5912621151,,23,,Epic,,23S/C,$39950,power, (Stuart),2016 Epic 23 S/C,https://lakecity.craigslist.org/boa/5912621151.html,2016
8,,"['27.811600', '-82.801400']",2016-12-19 11:18,"Up to 30ft No rust Torison axles Clean title Call 727$# 3two0 ?""* 3723",,5925447228,27.811600,30,-82.801400,,"https://maps.google.com/maps/preview/@27.811600,-82.801400,16z",,$2995,power, (St.Petersburg),Aluminum boat trailer 30ft,https://lakecity.craigslist.org/boa/5925447228.html,
9,good,,2016-12-19 11:14,Southern star 2005 17ft great boat but needs a part not sure what it needs and needs to be cleaned been under the trees other then that its water ready has  a 90 horse mercury motor has 95 hours  2 live wells 2 holding apartments and the seat is a cooler asking $3000 Call or text show contact info,95,5925440545,,17,,Southern star,,,$3000,power, (Live oak),Southern star,https://lakecity.craigslist.org/boa/5925440545.html,2005
