,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['28.808000', '-81.885800']",2016-12-20 17:09,Took this freshwater boat on trade for a boat club membership. It came with a 115 Yamaha with a blown head. My mechanic put a 150 hp Yamaha 2stroke that he rebuilt. The motor has less than 2 hrs since rebuild. Runs much better with the extra horsepower. The boat was stored indoors at Venetian Cove Marina in Leesburg so the interior is nice. $10950   Obo includes trailer...if you want a test ride bring cash. Call Charlie 94 one- 822- 776 one,2,5927380633,28.808000,19,-81.885800,Hurricane,"https://maps.google.com/maps/preview/@28.808000,-81.885800,16z",1880,$10950,power, (Leesburg),06' Hurricane Sundeck 1880,https://ocala.craigslist.org/boa/5927380633.html,2006
1,,[],2016-12-20 16:47,"Get your upholstery /canvas  or service work done on your boat , and receive a 10% discount for the holidays ! Call  us today show contact info Custom Canvas and Marine Repair 7039 West Grover Cleveland Blvd Homosassa , fl 34446",,5902020181,,1,,,https://maps.google.com/?q=loc%3A+%37%30%33%39+w+grover+cleveland+homosassa+FL+US,,,power,,Give your boat a holiday makeover,https://ocala.craigslist.org/boa/5902020181.html,
2,good,,2016-12-20 16:36,"Airboat with recently installed 75 Cadillac 500 engine with new cam bearings..new elder 700 carb..installed new led lights all over boat with separate controlled box...two batteries dual battery switch spray tank with nozzles upfront..trailer had wrench and battery installed with battery maintainer..when I put new engine in I forgot to reach the back bushings..the boat will purpose with just the pilot in it. Good airboat..just don't have the time. ..all legal title and registration available...boat is 7'9"" wide14' long aluminum hull",,5927336689,,14,,,,,$9000,power, (Navarre Florida),Airboat,https://ocala.craigslist.org/boa/5927336689.html,
3,,,2016-12-20 15:55,22' lx Sunchaser by G3 boats with trailer and spare and 60hp yamaha 4 stroke runs good seats and carpet need attention has live well also comes with new lowrance fish finder and gps. show contact info,,5927277509,,22,,G3,,Sunchaser,$7250,power," (Beverly Hills, fl)",22' pontoon,https://ocala.craigslist.org/boa/5927277509.html,2004
4,,"['28.854700', '-82.666900']",2016-12-20 15:50,"Brand new,green freestyle XL with paddle",,5927270107,28.854700,98,-82.666900,,"https://maps.google.com/maps/preview/@28.854700,-82.666900,16z",,$400,human,,Paddle board,https://ocala.craigslist.org/boa/5927270107.html,
5,,,2016-12-20 14:28,"640 lx with trailer upgrade to galvanized, Trolling motor upgraded from 12v to 24v so extra battery added. Depth finder added also. Economical 50hp Mercury with trim and tilt.   Tournament ready boat and will hold 7' 6"" rods. $5500",,5927145608,,16,,,,,,power,,Nitro,https://ocala.craigslist.org/boa/5927145608.html,
6,excellent,"['28.854700', '-82.666900']",2016-12-20 14:15,"Custom one of a kind skiff with tunnel, center console with walk around gunwhales.140 looper  40hrs on powerhead, new waterpump, Bob's plate, ss prop, new primer, runs and shifts like it should. 107lb Motorguide with 3) $301 Optima blue batterys, Just upgraded to a nice drive on aluminum trailer, extended front deck, and had pods added on back. $8500 obo. Custom aluminum hull alone is worth the money. paid $2500 for trailer $3500 for hull $2500 for motor $500 for jack plate $1500 for trolling motor $1500 for pods and aluminum work $980   for batterys' $$$$   for other things for a total of over $10,500",,5886802510,28.854700,20,-82.666900,,"https://maps.google.com/maps/preview/@28.854700,-82.666900,16z",,,power,,Aluminum Tunnel Hull Flats Skiff,https://ocala.craigslist.org/boa/5886802510.html,
7,,"['28.854700', '-82.666900']",2016-12-20 14:14,riveted and don't leak. Bench seats. $275,,5886803457,28.854700,16,-82.666900,,"https://maps.google.com/maps/preview/@28.854700,-82.666900,16z",,,human,,16' Jon boat,https://ocala.craigslist.org/boa/5886803457.html,
8,,"['28.922300', '-82.390000']",2016-12-20 14:12,"Very wide and stable, and comes with a 40hp electric start tiller handle motor. Boat looks like a snake and would be awesome with a wrap. Transom and floor have just been redone. Original tilt trailer in good condition. Best offer over $800 with title or trade. boat is ""1963"" and I have $1100 in just  the boat and trailer. Just added front and rear seat. Motor has been sitting for a couple years. May trade for something.",,5924087803,28.922300,15,-82.390000,,"https://maps.google.com/maps/preview/@28.922300,-82.390000,16z",,,power,,Duck/jon boat with motor,https://ocala.craigslist.org/boa/5924087803.html,
9,,"['28.854700', '-82.666900']",2016-12-20 14:09,"Boat, motor, and trailer; rock solid transom and good floor. Has 70hp Johnson with trim, not sure if running or not but worth close to that for parts. Clear title; $900 obo",,5906267547,28.854700,16,-82.666900,,"https://maps.google.com/maps/preview/@28.854700,-82.666900,16z",,,power,,16' trihull,https://ocala.craigslist.org/boa/5906267547.html,
10,excellent,"['28.922300', '-82.390000']",2016-12-20 14:07,"Big livewell, raised front floor, center console, switch panel, binical shifter, stainless steel swivels with camo folding seats, retracting push pole, paddle, terminal tackle box, Knife with holder, pliers with holder, two depthfinders, nice trolling motor, Detwieler jack plate, Upgraded to a 60hp Yamaha with trim and tilt ($3500), new polished stainless steel prop, wired with three power plug ins for spot light or phone charger or ?  New 50lb trolling motor, Raised front and rear deck, Shark eye navigation light, Recessed switch panel All wiring marine grade (won't fail) Bilge Pump, Live well center box (doubles as 2nd dry box for tackle or gear) Battery forward for trolling motor and has plug in outlets, Dry box up front,  Gigging lights option if wanted, with power port wired on bow, Line-X bottom coat for hull protection in skinny water  loaded and ready to fish and has an  aluminum easy load trailer. this is a sweet deal $7000 cash. Manufacturer is A.W.P. Custom like a Gheenoe.",,5924073672,28.922300,16,-82.390000,AWP,"https://maps.google.com/maps/preview/@28.922300,-82.390000,16z",,,power,,16' Micro Skiff with 60 Yamaha,https://ocala.craigslist.org/boa/5924073672.html,2010
