,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,fair,"['29.244169', '-81.951141']",2016-12-18 21:36,16ft Kennedy hull with 3/8 polymer. 472 Cadillac and 2:1 rotator gearbox. Gearbox was just rebuilt by rotator with receipt to prove. Stainless steel cage and front seat is also a fiberglass cooler that holds ice very well. Call or text show contact info -Brandon,,5924930952,29.244169,16,-81.951141,,"https://maps.google.com/maps/preview/@29.244169,-81.951141,16z",,$14000,power, (Ocala),Good riding Airboat!,https://ocala.craigslist.org/boa/5924930952.html,
1,excellent,"['28.803015', '-81.724205']",2016-12-18 21:17,Motor is in great shape fully serviced with warranty and installation ***2500* show contact info,,5924915460,28.803015,20,-81.724205,,"https://maps.google.com/maps/preview/@28.803015,-81.724205,16z",,$2500,power, (Tavares),light weight 2stroke 40hp mercury,https://ocala.craigslist.org/boa/5924915460.html,
2,good,"['28.801962', '-81.725063']",2016-12-18 21:07,Has trailer. .750** show contact info,,5903959315,28.801962,12,-81.725063,,"https://maps.google.com/maps/preview/@28.801962,-81.725063,16z",,,human,,unsinkable john BOAT /Dingy..750,https://ocala.craigslist.org/boa/5903959315.html,
3,salvage,"['28.750800', '-82.513900']",2016-12-18 21:00,Needs engine and deck replaced.good outdrive and the  trailer needs tires. 19ft   4cyl  mercruser $800  or trade.or I'll part it out show contact info,,5893913852,28.750800,19,-82.513900,,"https://maps.google.com/maps/preview/@28.750800,-82.513900,16z",,$800,power, (homossa),1988  19 ft welcraft  project or parts,https://ocala.craigslist.org/boa/5893913852.html,
4,excellent,"['28.808000', '-81.885800']",2016-12-18 20:23,"2004 Sea Pro 1900 BB. Measures out to a 20ft Bay boat. On board charger, trolling motor, matching Stainless steel Bimini top, 150 Yamaha 4 Stroke with 154 hours, Depth finder, live well, bait well, bow cushions. Aluminum trailer.Everything is like new boat has been very well taken care of and has been covered and barn kept. Title in hand.",154,5924868381,28.808000,20,-81.885800,Sea Pro,"https://maps.google.com/maps/preview/@28.808000,-81.885800,16z",,$14500,power, (Leesburg),2004 Sea Pro,https://ocala.craigslist.org/boa/5924868381.html,2004
5,good,[],2016-12-18 20:01,aluminum pontoon boat with galvanized two axle trailer,,5924848890,,24,,godfrey,https://maps.google.com/?q=loc%3A+cr+%34%31%36N+lake+panasoffke+FL+US,sweetwater,$2100,power, (lake panasoffkee),pontoon boat,https://ocala.craigslist.org/boa/5924848890.html,1999
6,excellent,"['28.859944', '-81.866930']",2016-12-18 19:21,"Beautiful Bass Boat that has been Babied.  Boat is in Excellent condition. Ready to Fish today.  Turn Key. Key words: Triton, Ranger, Nitro, Procraft. Very Fast Boat.",,5918857826,28.859944,18,-81.866930,Pro Craft,"https://maps.google.com/maps/preview/@28.859944,-81.866930,16z",180 Bass,$8500,power, (Fruitland Park),98 Pro Craft w Mercury 150 Bass Boat,https://ocala.craigslist.org/boa/5918857826.html,1998
7,,,2016-12-18 19:13,"2009 15ft gheenoe, with only 30 hrs on the motor, boat, trailer everything. It was bought brand new but don't have the time to enjoy it anymore. It's made by gheen manufacturing and it has all the bells and whistles, swivel camo seats, depth finder, running lights 9.9 Yamaha 4 stroke motor with a 30 pound thrust trolling motor. Boat is in perfect condition cranks first pull every time, trailer is all galvanized with brand new lights and everything. Please feel free to txt or call for any info call after 4 on weekdays due to work but leave a voicemail and I will get back to you",,5924805228,,15,,,,,$3800,power, (Silver springs),2009 15ft gheenoe,https://ocala.craigslist.org/boa/5924805228.html,
8,,"['28.993800', '-82.424100']",2016-12-18 19:03,"18 foot wellcraft boat and trailer. Needs some work needs floor replaced. has a 115hp Evenrude. very nice trailer has 2 brand new red seats. nice boat for some one how can work on it,   {make me an offer}",,5924795524,28.993800,18,-82.424100,wellcraft,"https://maps.google.com/maps/preview/@28.993800,-82.424100,16z",,$1500,power,,boat for sale,https://ocala.craigslist.org/boa/5924795524.html,1986
9,fair,,2016-12-18 18:50,"16' jon boat as is. 2 interstate batteries , 30 lb thrust Minn-Kota trolling motor. 20 hp merc 4 stoke motor. Carb was just rebuilt 2 months ago , I have receipt from marine mechanic. Comes with trailer.  I use it weekly and live on the lake. Stays on the boat lift and out of the sun when not in use. I only run non-ethanol in it. Lower unit oil was just changed 1 month ago. Moving soon and won't have space to store. Clean Title in hand. $2499 OBO.   Text me at three five two 504-1086 Willing to sell the boat and trailer by itself or all together with the motor.",,5883977235,,16,,,,,$2499,power," (Yalaha,fl)",16' jon boat & trailer with 20 hp mercury 4 stroke.,https://ocala.craigslist.org/boa/5883977235.html,
