,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-18 20:07,Selling a very profitable business. 2013 25' Nauticstar Boat(no trailer) with twin 150 Yamaha Boat stored inside marina barn.  500 hrs on engines 1000 GPS fishing spots show contact info Price is firm Capt Paul,,5912098578,,25,,,,,$75000,power,,Charter Boat Business,https://okaloosa.craigslist.org/boa/5912098578.html,
1,,"['31.904892', '-85.896864']",2016-12-18 19:33,"2012 Carolina Skiff 18' JVX model. 60 HP Honda four stroke with 122 hrs. Stainless steel prop, 55 lb thrust Motorgiude Xi5 saltwater edition with Pinpoint GPS, Lowrance Elite 5 chart plotter and depth finder, live well/ bait well, nav lights, under console storage, galvanized trailer with new tires all lights work, new Blue top Optima battery. Shallow water draft.",,5924877995,31.904892,18,-85.896864,,"https://maps.google.com/maps/preview/@31.904892,-85.896864,16z",,$13000,power,,2012 Carolina Skiff,https://okaloosa.craigslist.org/boa/5924877995.html,
2,,,2016-12-18 18:40,New in the box yeti  tundra  250 asking $650,,5924829639,,250,,yeti,,,$650,human,,yeti tundra 250,https://okaloosa.craigslist.org/boa/5924829639.html,
3,good,"['30.449212', '-86.463889']",2016-12-18 16:06,"26' 2007 Rinker 246 Captiva, asking $24,990.  Need to sell boat as kids have started sport programs that is taking all our time and $$...  I really love the boat and don't want to sell it, but it needs to be used more often than we will be able to.  Check comparisons online before making an offer.  You'll see that my price is competitive. Pros:  Great leisure boat for families and water sport enthusiasts.  Boat has a nice deep inset,  wakeboard tower,  shower, sink, incredible sound system, PerfectPass, head (with plumbing for dock  removal),  Trim Tabs, interior deck lighting, built in XPS battery charging system, ridiculous storage,  deep inset and lots of walk around room.  Tank is 68 gal, so you can feel comfortable heading out to tour the area. Cons:  Seat thread (remember 9yrs old) is starting to separate, but not torn.  Carpet has been removed. For the right price, I can get that fixed before I hand it over. Recently replaced on boat: Manifold and risers, starter and alternator, both dual marine batteries, gimbal bearing, and 500W Sub Trailer replacements: Both axels, Lights, and new brake actuator system",300,5924588994,30.449212,26,-86.463889,Rinker,"https://maps.google.com/maps/preview/@30.449212,-86.463889,16z",Captiva 246 R2,$24990,power, (Okaloosa),26' 2007 Rinker 246 Captiva,https://okaloosa.craigslist.org/boa/5924588994.html,2007
4,excellent,"['30.516900', '-86.482200']",2016-12-18 15:43,"Jackson cruise 12 kayak with 2 Scotty mounts added, w/rod holder, raised seat with 2 heights, bunnies on back deck, front hatch can hold fishing poles, very stable and has stand assist strap. (I stand and fish all the time.) Nice flat deck area. Foot pegs are adjustable. Seat is very company and has storage bag below and behind. This is the same hull design as the highly sought after Jackson Coosa 12 Kayak. Would make a great Christmas gift or beginners fishing kayak. Comes with Jackson Kayak Jackson seat Paddle Wheeled cart Crate with PVC rod holders Go pro mount Stand assist strap Hauling flag on back Meet in Niceille blue water bay area. $750 obo, may trade Jackson wilderness native hobie old town propel outback Coosa cuda atak predator tarpon slayer ride",,5893669093,30.516900,12,-86.482200,Jackson,"https://maps.google.com/maps/preview/@30.516900,-86.482200,16z",Cruise,$699,human, (Niceille FL),Jackson fishing kayak,https://okaloosa.craigslist.org/boa/5893669093.html,
5,like new,,2016-12-18 15:01,"I have for sale a 2015 East Cape Fury. This boat is pristine! It has been extremely well-kept and I still get comments on it at the boat ramp from people asking me if it just popped out of the mold. Never have had an issue with the motor, it floats skinny, and really poles well. I am selling due to moving to New Jersey for a job. The boat is located in Destin, Florida. Can be delivered within reason. Below are the specs. 2015 East Cape Fury Ramlin Custom Galvanized Trailer Removable Trailer Tongue 2015 Evinrude E-Tec 60 Power Pole 6ft w/ Remotes Stiffi 23' Push Pole Garmin 741xs w/ Transducer Casting Platform w/ Cup Holder Cup Holder - Poling Platform and Console AwlGrip Material - Complete Two Tone and Interior Awlgrip Package 12 Volt bow pound trolling motor package with removable mount, plug, and Odyssey battery iPod Stereo, bluetooth with Fusion Amp 3 Door Console w/ Glove Box V Marine Push Pole Holders V Marine Push Pole Clips Powder Coated metal Aluminum Rub Rail Upgrade Price: $41,000 Performance Specifications: Length: 18' Draft: 6-8"" Top Speed: 33-34mph Link to the East Cape Fury content page. http://www.eastcapeskiffs.com/project/fury-2/ Skiff Video: https://youtu.be/LpDNruPasYk Tags: Technical Poling Skiff, Flats Boat, Small skiff,",,5924591757,,18,,,,,$41000,power, (Destin),2015 East Cape Fury Technical Poling Skiff,https://okaloosa.craigslist.org/boa/5924591757.html,
6,fair,"['30.365900', '-86.245800']",2016-12-18 14:23,"I have two 05 gti jet ski for sale. Three seater with reverse, They both not running. We just replace the battery and plug. Don't have the money to fix them. Come with trailer. For parts or repair pls should me your offers. show contact info",120,5924542432,30.365900,300,-86.245800,05 gti sea doo,"https://maps.google.com/maps/preview/@30.365900,-86.245800,16z",,$1,power, (Santa rosa beach),2005 sea doo gti jet ski a pair with trailer,https://okaloosa.craigslist.org/boa/5924542432.html,
7,good,"['30.445463', '-86.616313']",2016-12-18 13:49,"SAILBOAT PROJECT. 1972 SOUTHCOAST 22 FOOT. SWING KEEL. Boat is watertight but needs some TLC. Needs new woodwork including tiller handle, grab rails,door tracks and hatch tracks. Includes 3 sails that have some stains ,2 are in good usable condition the third needs a small hole patched .Needs a couple new guy wires and rigging. Needs cushions replaced and general sprucing up.Swing keel needs new winch and cable. Mast and boom in good condition. Includes lots of original paperwork. Includes trailer. Title in hand for boat and trailer. Please call me for more info. I will not respond to emails.",,5924499039,30.445463,22,-86.616313,suncoast,"https://maps.google.com/maps/preview/@30.445463,-86.616313,16z",22,$1950,sail, (FORT WALTON BEACH),1972 SOUTHCOAST 22 FT SAILBOAT,https://okaloosa.craigslist.org/boa/5924499039.html,1972
8,excellent,"['30.420600', '-86.628600']",2016-12-18 12:43,"Hobie Pro Angler Kayak in good condition, 4yrs old Includes: Pedals Foldable seat Fishing box Tackle box compartment, includes two tackle boxes Navigation ready",0,5924411340,30.420600,12,-86.628600,Hobie,"https://maps.google.com/maps/preview/@30.420600,-86.628600,16z",Pro Angler,$2400,human, (Fort Walton Beach),12 Ft. Hobie Pro Angler Kayak - $2400,https://okaloosa.craigslist.org/boa/5924411340.html,2012
9,like new,"['30.505141', '-86.498558']",2016-12-18 12:22,"I have for sale my 2014 Seadoo RXT 260 with only has 40 hours on it and still under warranty until May 2017.  Top speed is 70mph with the yellow key, also comes with the green key which only has a top speed at 35mph.  No trailer but can sell as a package deal with the lift! Together asking $10,500, without lift, asking $9700.",40,5924383942,30.505141,12,-86.498558,,"https://maps.google.com/maps/preview/@30.505141,-86.498558,16z",,$9700,power, (Valparaiso),2014 Seadoo RXT 260,https://okaloosa.craigslist.org/boa/5924383942.html,
