,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['26.085463', '-80.181828']",2016-12-20 17:14,"2008 Sea Ray 300 PRICE REDUCED - MUST SELL!!! THE CLEANEST, LOWEST PRICED OF THIS MODEL IN THIS CONDITION ON THE INTERNET!!! It has been mechanic tested and repaired so it is ready for the water. This boat is beautiful, a real head-turner. Come see her, you will not be disappointed! http://www.boattrader.com/listing/2008-SEA-RAY-300-Select-EX-102902846",275,5927387107,26.085463,30,-80.181828,SEA RAY,"https://maps.google.com/maps/preview/@26.085463,-80.181828,16z",SLX SERIES SELECT EX,$46999,power, (SOUTH FLORIDA),2008 SeaRay 300 PRICE LOWERED FOR BLOW OUT END OF YEAR SALE,https://orlando.craigslist.org/boa/5927387107.html,2008
1,good,[],2016-12-20 17:09,"nice bass tracker boat,  all aluminum with trolling motor and boat trailer with fair tires. has Yamaha 30 hp motor.  motor has new water pump.  MOTOR ALSO HAS ISSUES.  starts and runs great sometimes,  sometimes not. motor has good compression,  120 both cylinders.  need to sell and will consider offer.",,5927381266,,17,,bass tracker,https://maps.google.com/?q=loc%3A+picciola+rd+at+picciola+cut+off+fruitland+park+FL+US,,$1750,power, (fruitland park),boats for sale,https://orlando.craigslist.org/boa/5927381266.html,1984
2,,,2016-12-20 16:47,"Have several 199 to 399. A few engines pictured below. Also have trolling motors and a bow mount one also. Call chip at show contact info Also have Jonboat, Gheenoe, Canoes, and Kayaks Jon boat also Propellers for large and small motors also, various sizes. show contact info",,5886140306,,4,,,,,$199,power, (Oviedo / USA Area),Evinrude & Johnson Boat Motors Gas and electric,https://orlando.craigslist.org/boa/5886140306.html,
3,,"['28.480597', '-81.379337']",2016-12-20 16:24,acquired from original owner who was moving. hasn't been used in a long time. i was told it was working great before it was put into storage. have title in hand. dont know much about it and dont have time to mess with it. i was told it needs carb cleaned.,,5927319892,28.480597,7,-81.379337,,"https://maps.google.com/maps/preview/@28.480597,-81.379337,16z",,$250,power, (orlando),kawasaki x2 jetski,https://orlando.craigslist.org/boa/5927319892.html,
4,,,2016-12-20 16:17,CWB Lotus 131cm board with bindings. In very good condition.,,5899237783,,131,,,,,$100,power, (Orlando),CWB Lotus Wakeboard with Bindings,https://orlando.craigslist.org/boa/5899237783.html,
5,,"['28.808204', '-81.679401']",2016-12-20 16:14,26' Chrysler C26...1978 model/ solid sail boat and late model trailer with under 500 miles on it! . Ready to be pulled anywhere!! Yanmar diesel powered inboard. Sails are all great shape. Engine had been over hauled and boat is clean with retractable keel...$3900.Nice live aboard with slight TLC....Scott show contact info,,5896849751,28.808204,26,-81.679401,,"https://maps.google.com/maps/preview/@28.808204,-81.679401,16z",,$3900,power, (mt dora),sailboat,https://orlando.craigslist.org/boa/5896849751.html,
6,,"['28.774000', '-81.643900']",2016-12-20 16:12,Two clean fresh water 1996 matching  XP 650's and tandem trailer. We do not use them any more. Skis run great and never any damage...Adult owned...Scott show contact info ...I offer layaway payment options on anything sell.....I am a private party and might trade for what ever strikes MY interest....,,5908768174,28.774000,8,-81.643900,,"https://maps.google.com/maps/preview/@28.774000,-81.643900,16z",,$3500,power, (MT DORA),2 SEADOOS AND TRAILER  NICE! OR TRADE???,https://orlando.craigslist.org/boa/5908768174.html,
7,,"['28.597200', '-81.679400']",2016-12-20 16:05,"I'm selling my 14ft fishing Jon boat with rod holders, 55lb thrust saltwater minnkota trolling motor, and battery. I do not use it anymore and don't want it taking up space in storage.  Call or text only, emails will be IGNORED.  386-266-687six $950",,5924127313,28.597200,14,-81.679400,,"https://maps.google.com/maps/preview/@28.597200,-81.679400,16z",,$950,power,,14 Ft Jon Boat With Motor,https://orlando.craigslist.org/boa/5924127313.html,
8,,"['28.597200', '-81.679400']",2016-12-20 16:05,"I am selling a canoe that has been taking up space in my shop not getting used. Excellent condition, comes with a trailer. Comes with a 2.5 hp johnson outboard that worked a year ago but hasn't been started since then. Call or text only, NO EMAILS 386-266-687six",,5916073998,28.597200,14,-81.679400,,"https://maps.google.com/maps/preview/@28.597200,-81.679400,16z",,$950,power,,Canoe w/trailer,https://orlando.craigslist.org/boa/5916073998.html,
9,good,[],2016-12-20 15:59,"You can fish the shallow water with this boat. Flat bottom boat comes with aluminum trailer 15 ft long, (6ft rear across and 4ft front) 23 HP Motor Brigs Stratton with 2 marine batteries Please call to see and look at this nice boat.",,5920664310,,15,,,https://maps.google.com/?q=loc%3A+Orlando+ave+at+S+Bluford+ave+Ocoee+FL+US,,$6500,power,,Mud Buddy boat,https://orlando.craigslist.org/boa/5920664310.html,
