,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['26.525400', '-80.061000']",2016-12-20 17:16,"Hobie Pro Angler. 2014 Model, Papaya. Mirage Drive, turbo fins, hobie dolly, hobie paddle, hobie lumbar adjustable seat, standard lifejacket, large self contained new bait well. Condition is good to better with normal wear marks on bottom from launching. No cracks, patches, abuse etc. Trailer is 2015, 6X12, heavy duty pull trailer with, wood plank bed,  half racks, folding rear gate & 3,000 lb axle. New Tires, and spare included. Purchased from commercial trailer lot, pre-wired etc. Trailer is big enough for two kayaks easy or to use for a lawn business etc. Large tarp covers trailer with kayak, included. $4,000. Cash money only. No Lowball, No paypal, cashiers cks, money orders etc.. Don't ask. No trades. No txts. show contact info Matt",,5888630885,26.525400,14,-80.061000,Hobie,"https://maps.google.com/maps/preview/@26.525400,-80.061000,16z",Pro Angler 14',$4000,human, (Boynton Beach),Hobie Pro Angler 14' w/multi kayak trailer,https://miami.craigslist.org/pbc/boa/5888630885.html,2014
1,excellent,"['27.745683', '-82.626457']",2016-12-20 17:09,"see the detailed,  extensive ad with excellent pictures and description on   Tampa craigslist   ....same heading/title....   BEAUTIFUL!!!! no trades, cash only",1100,5927380268,27.745683,38,-82.626457,Heritage Yachts,"https://maps.google.com/maps/preview/@27.745683,-82.626457,16z",West Indies 36,$36000,sail, (ST. PETERSBURG),36 WEST INDIES SAILBOAT.... BEAUTIFUL...,https://miami.craigslist.org/pbc/boa/5927380268.html,1976
2,fair,[],2016-12-20 16:31,"I AM SELLING A  1988 CARVER 32FT CABIN CRUISER WITH MOORING. NEEDS SOME WORK-CALL OR TEXT FOR DETAILS. YOU CAN LIVEABOARD RENT FREE. MOORING COST 2500 AND BOAT 15,000-HAS CLEAR FLORIDA TITLE NO TRAILER. DINGY NEGOTIABLE. YOU CAN LIVE ON IT NOW IT FLOATS! HURRY YHIS DEAL WONT LAST",000000,5915353004,,32,,CARVER,https://maps.google.com/?q=loc%3A+%34%35TH+STREET+at+FLAGLER+WEST+PALM+BEACH+FL+US,,$5000,power, (WEST PALM BEACH),32FT CARVER CABIN CRUISER-WITH MOORING-LIVEABOARD OK,https://miami.craigslist.org/pbc/boa/5915353004.html,1988
3,excellent,"['26.937624', '-80.094270']",2016-12-20 16:13,"1985 25 ft SpaceCraft Scuba/Free Dive Boat Set up for 6 pack charters Free or Scuba 2009 Suzuki 175 4 stroke with low hrs 425 Custom Spear gun Rack & Dive Ladder Armstrong Stainless Steel extention bracket. Rebuilt Aluminum Continental Trailer ,new tires & rims. Lowrance sounder & VHF. Many extras. $15,500.00. O.B.O show contact info",,5927304287,26.937624,25,-80.094270,SpaceCraft/Dive Boat,"https://maps.google.com/maps/preview/@26.937624,-80.094270,16z",DiveBoat,$15500,power, (JUPITER),Space Craft 25 ft FreeDive/Scuba Dive Boat,https://miami.craigslist.org/pbc/boa/5927304287.html,
4,excellent,"['26.610400', '-80.168300']",2016-12-20 16:02,"For sale Located in 33467 Lake Worth It's time to let her go!  I don't use her and really don't have the time. She's turn key ready to cruise and she has no soft spots and comes with complete electronics and the float on trailer. I'm looking to sell and not trade so pretty much if you're in the market for a great boat here she is. I'm not interested in trades my $15,000 price tag is somewhat flexible just do your research on these Angler 204's before you make a ass out of yourself .  The axles on the trailer are brand new and haven't seen salt water . (Garmin GPS navigation and depth finder (Clarion stereo cd USB ( infinity speakers ( lenco trim taps ( complete service was done on the Mercury 150 optimax ( new battery Dave 561644sixsixoneseven Seavee seven marine Carolina skiff keywest Boston whaler sailfish 206 30 214 center console sea hunt Penn reel 80 wide 50",300,5927246124,26.610400,21,-80.168300,angler,"https://maps.google.com/maps/preview/@26.610400,-80.168300,16z",204 fx,$15,power, (lake worth),2005 Angler 204 fx limited edition with 2005 Float on trailer,https://miami.craigslist.org/pbc/boa/5927246124.html,2005
5,excellent,"['25.992400', '-80.408900']",2016-12-20 15:56,"ZODIAC 11' X 5 SEA EAGLE W/ 4 STROKE NISSAN MOTOR - 4 person capacity, 1200 lbs. max, 2 mounted swivel seats (removable), fishing pole holders, 2 oars, storage bag and gas tank. 2008 NISSAN 4 STROKE MARINE MOTOR, very good condition with only few hours of use, low emissions, w/ motor caddy. Sold individually, boat $350.00 / motor $550.00 - buy both $800.00. *** If interested please leave a phone number so we can contact you ***",,5927265520,25.992400,11,-80.408900,ZODIAC,"https://maps.google.com/maps/preview/@25.992400,-80.408900,16z",SEA EAGLE 9,$800,power,,"ZODIAK SEA EAGLE 11"" 4 PERSON W/ NISSAN MARINE MOTOR",https://miami.craigslist.org/pbc/boa/5927265520.html,
6,,,2016-12-20 15:50,"I WAS IN THE PROCESS OF MAKING A NICE FIBERGLASS FISHING BOAT FOR MY SONS. NEEDS A LITTLE TLC, LIKE PAINT JOB AND CLEANING. COMES WITH 8hp NISSAN MOTOR AND TRAILER. TRAILER TOUNGUE IS BENT A BIT, BUT EASY FIX. BOAT IS OCEAN WORTHY, STRONG AND STURDY. WILL COST 40-50 BUCKS FOR BOAT TITLE, SO WE COULD WORK THAT ON PRICE. EMAIL WITH PHONE NUMBER IF INTERESTED OR WANT A REPLY. ASKING 750 obo.",,5889505084,,14,,,,,$700,power, (WEST PALM/ACREAGE),"14-15ft BOAT, MOTOR, AND TRAILER",https://miami.craigslist.org/pbc/boa/5889505084.html,
7,,[],2016-12-20 15:36,"I have one of the first Yacht Club Memberships (2002) that has the original Dues of $600/year or $50/month fixed for life.  We have moved to North Florida and need to sell. Membership gives you: *Year round access to their entire fleet from 20 Feet to 45 Feet *24 Hour Access for pick up and return *Free Boat Training - Navigation, docking, anchoring, etc... *4 Day trips are allowed from Jacksonville to Key Largo Fishing boats, Cabin Cruisers, Bow riders My Selling Price $8,900 Plus Transfer Fee is $750 Monthly Dues are locked in at $50/month The Transfer is done at the club which they do accept all credit cards for the sale.",,5903655956,,45,,,https://maps.google.com/?q=loc%3A+%32%35%35+East+%32%32nd+CT+Riviera+Beach+FL+US,,$50,power, (Riviera Beach),Palm Beach Boat Club Lifetime Yacht Membership,https://miami.craigslist.org/pbc/boa/5903655956.html,
8,,"['42.925500', '-78.748100']",2016-12-20 15:27,"5.7 L 330 hp 22 foot I just put the boat away for the winter at a wheelhouse. new alternator new secondary battery life jackets, rope,inner tube, bumpers, cushions for the bed underneath, horn, fire extinguisher, etc boat cover included trailer included as well. Runs good have had it in the water the last 2 seasons.",,5906184490,42.925500,22,-78.748100,,"https://maps.google.com/maps/preview/@42.925500,-78.748100,16z",,$5000,power, (buffalo ny),1988 wellcraft elite 222 xl,https://miami.craigslist.org/pbc/boa/5906184490.html,
9,excellent,"['26.779752', '-80.050989']",2016-12-20 15:13,"This 2006 Sailfish 26 is extremely clean and well maintained has always been in the marina no sun no salt Plus a New 2017 Continental trailer  with torsion axels and Led Lights never been in the water. Need to sell can't keep making the monthly payment at the marina for dry storage and don't want to put it out on the sun. ONLY 670 Hours twins Yamaha 150's she is fast and very fuel efficient with 12 inch Garming GPS and Autopilot. Everything works on the boat and you can tell that has been wax every 3 months. Call now 561 398 8O24 $ 59,700 OBO With the built in fuel management system finding the sweet spot is easy. At 32.3 MPH she burns 13.5 GPH 2.39 MPG Top Speed is 48 MPH. This is a 26 foot boat built like a tank, extremely sea worthy for even the worst of sea conditions. New 2017 Continental Trailer with torsion axels and LED Lights never been in the water Garmin GPSMAP 7212 Raymarine Auto Pilot ST610 Quest VHF Radio Fusion MS-RA70 Lenco trim tabs Saltwater Wash down Head under the console Shower Stern Shower Out Riggers 2x Insulated Fish Boxes 260 Qt each 30 Gallon Transom Livewell plus second livewell and Much more Call now show contact info !!!Or Best Offer!!!",670,5912568851,26.779752,26,-80.050989,Sailfish,"https://maps.google.com/maps/preview/@26.779752,-80.050989,16z",2660,$59700,power, (Palm Beach Gardens),!!! Sailfish 2660 Center With 2017 Trailer  !!!!,https://miami.craigslist.org/pbc/boa/5912568851.html,2006
