,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['30.160600', '-85.649400']",2016-12-18 19:52,"This 1994 shamrock predator  20' boat has a fresh 351 ford Windsor inboard cuddycabin.turn key ready.New ray marine 3d imagery gps-sonar.porta-potty.livewell and fishbox.2 -30 gal. gas tanks,swim platform..tranny and cutlass bearings also gone thru.$8,900.00.to see water.",,5883354846,30.160600,20,-85.649400,,"https://maps.google.com/maps/preview/@30.160600,-85.649400,16z",,$8900,power,,1994 Shamrock Predator,https://panamacity.craigslist.org/boa/5883354846.html,
1,,"['30.169469', '-85.777130']",2016-12-18 18:05,"1998 pontoon with 98 honda 50hp 4 stroke. Boat comes with 2 or 3 props (stainless currently installed). Boat runs great and comes with a 98 trailer that works but its showing its age. Interior was redone by previous owner, ive had it about a year now and wind up using my center console way more. 4500 OBO no trades",,5924789136,30.169469,18,-85.777130,,"https://maps.google.com/maps/preview/@30.169469,-85.777130,16z",,$4500,power, (North Lagoon),1998 Crest 18' pontoon,https://panamacity.craigslist.org/boa/5924789136.html,
2,good,,2016-12-18 16:54,"This is a 2001 xtreme pro v 18' bass boat with a 60 hp Mercury. Motor runs great. Boat, motor and trailer in great shape. Only thing needed is carpet is showing wear as it is original. Haven't replaced to allow buyer options to Bedliner or carpet or whatever. Only reason for selling is I bought a bigger boat for family and don't use anymore. Call or text @850-57three- 67two3.",,5924723895,,18,,Xtreme,,,$6500,power, (Chipley),Xtreme pro v bass boat,https://panamacity.craigslist.org/boa/5924723895.html,2001
3,new,"['30.093300', '-85.204800']",2016-12-18 16:40,"I got a 2015 Nitro Z6 with the 115 Mercury optimax proXS I'm looking to sell.  Always garage kept, only seen rain once and that was a storm I got caught in.  It has right at 10hrs on the motor and maybe 40 on the trolling Motor.  I have updated the main gps and depth finder to a color unit and installed a bow mount color depth finder also.  Boat has a keel guard in case you want to park it in the sand or on a patch of concert if needed.  Willing to include a few of the rod and reels, side bumpers, some tackle, two regular life vest and one mustang auto inflate life vest for $24,500.    It will run just over 50 mph.",10,5924708681,30.093300,17,-85.204800,Nitro,"https://maps.google.com/maps/preview/@30.093300,-85.204800,16z",Z6,$24500,power, (Wewahitchka),2015 Nitro Z6,https://panamacity.craigslist.org/boa/5924708681.html,2015
4,,,2016-12-18 16:37,"1999 CHAPARRAL SUNESTA 252 IT HAS A MERCRUISER 5.7 WITH BRAVO 3 INBOARD/OUTBOARD ENGINE AND A TRAILER. THE OPTIONS INCLUDE: BIMINI TOP, BOAT COVER,DUAL PROPELLERS, DOCKING LIGHTS, REAR BOARDING LADDER, SKI TOW HOOK, FRESHWATER SINK, PORTA-POTTI, COMPASS AND AM/FM CD STEREO IT CAN HOLD 14 PEOPLE WITH ROOM TO SPARE RUNS GREAT WITH NO PROBLEMS. WE NO LONGER NEED ONE THIS SIZE. $14,200 obo You can call or text show contact info Request Information",,5897443907,,25,,Chaparral,,Sunsets 252,$14200,power, (Slapout),Large deck boat,https://panamacity.craigslist.org/boa/5897443907.html,1999
5,like new,,2016-12-18 15:46,"For sale is a G3 aluminum boat that is 12 ft long and 36 inches wide at bottom.  Galvanized structural steel trailer .  Tires are 99.9% and spare has never been on ground.  Trailer bunks are cypress with boat slicks for ease of launch and loading. Mounted to trailer tongue is spare wheel and lockable carrier and a tongue jack with large hard rubber wheel.  Boat has rod straps on Hydro turf mats to secure your equipment. No dents, no creases and no leaks.... quality  ""as new"" rig that has NO issues.",0,5924645092,,12,,G3/ Yamaha Corp,,1236,$1495,power," (Enterprise, Al)",boat for sale,https://panamacity.craigslist.org/boa/5924645092.html,
6,like new,,2016-12-18 15:02,"2008 CENTURY 2200cc W/225 YAHAMA 4 STROKE (ONLY 509 HOURS) JUST HAD MAJOR SERVICE TO INCLUDE PLUGS, OIL AND FILTER, SENSORS, DIODES, LOWER END SERVICED, NEW IMPELLOR AND PUMP AND ALL LUBE. EVERY OPTION INSTALLED, NEW CANVAS, BRAND NEW CUSTOM BUILT 2015 ALUMINUM TRAILER WITH TANDEM AXLE DISC SURGE BRAKES,  MARINE GRADE STEREO WITH 6 SPEAKERS, CENTER CONSOLE WITH T-TOP, TWO ANCHORS WITH 500 FT. OF ROPE, BUMPERS, TIE DOWN ROPES. ALL SAFETY EQUIPMENT WILL GO WITH BOAT. 22 ROD HOLDERS, VHF RADIO AND COMPARTMENTS, LEANING POST WITH TACKLE DRAWERS, TWO NEW BATTERIES AND SWITCH FOR CHARGING, FRESH WATER WASH DOWN AND RAW WATER WASH DOWN, 32 GAL TRANSOM LIVEWELL, BATTERY DOOR WITH 2 TACKLE BOXES, HUMMINBIRD 797c2 AND NEW HUMMINBIRD HELIX 5 SYSTEMS. EVERYTHING WORKS AS ADVERTISED AND ALL BOOKS, MANUALS AND SERVICE PAPERWORK ON HAND. THIS BOAT HAS BEEN WELL TAKEN CARE OF AND WILL HANDLE 3-4 FT SEAS WITH EASE. NORMAL WEAR AND TEAR ON THIS BOAT ONLY! PLEASE DO NOT LOW BALL OFFER. NADA RETAIL IS $48,545. PRICED TO SELL QUICKLY AT $39,500.00 CALL DAVID AT show contact info",509,5897474541,,22,,Century,,2200cc,$39500,power, (Dothan),2008 CENTURY 2200cc,https://panamacity.craigslist.org/boa/5897474541.html,2008
7,excellent,"['30.326900', '-85.516900']",2016-12-18 14:37,2014 Potter Built. 16' long. Stick steer. Master Hyde trailer w/spare tire. 50hp Suzuki fourstroke w/stainless prop. Electric anchor mates. 55lb thrust Minn kota. Humminbird 698co hd w/GPS and side image. Minn kota on-board charger. Trolling and cranking batteries. 8' rod box. Storage under front deck and both seats. Cup holders. Live well. Fuel/water separator. Just serviced at dealer. Excellent condition. Ready to fish. Email if interested.,10,5924561369,30.326900,16,-85.516900,Potter Built,"https://maps.google.com/maps/preview/@30.326900,-85.516900,16z",1645 custom,$13500,power, (Youngstown),2014 Potter Built,https://panamacity.craigslist.org/boa/5924561369.html,2014
8,,,2016-12-18 13:45,"www.FinAllyYachtTransport.com Please take the time to review our site and read our customer reviews. We can take transport by both water or trailer. Licensed and FULLY INSURED! Keywords: Hauling, Boat, Sales, rentals, tow, marine hauling, trailer, moving, pick up, power boats, East coast, southeast, DOT, Yacht, shipping, captain, license, certified, insured",,5916065355,,40,,,,,,power,,Boat transport by trailer AND water,https://panamacity.craigslist.org/boa/5916065355.html,
9,,"['30.365900', '-86.245800']",2016-12-18 13:20,"Duck Hunting Guide Service! We are now offering duck hunting trips and fishing in the Florida Panhandle The fishing and duck hunting in the winter is great! The crowds are gone and you can enjoy the best hunting and fishing of the year. Book a duck hunting, fishing trip or both a cast and blast! We offer multiple boats and can accommodate 2-10 people Fishing $100 an hour up to 4 people and Hunting is $100 person Look to see what we're catching and shooting! Call 954-eight 18-9561 for details and reports! https://m.facebook.com/rollingtide.sportfishing",,5924461114,30.365900,18,-86.245800,,"https://maps.google.com/maps/preview/@30.365900,-86.245800,16z",,$100,power, (Pcb-destin),Duck Hunting Charters,https://panamacity.craigslist.org/boa/5924461114.html,
