,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['30.448700', '-86.625500']",2016-12-11 18:27,I'm selling because just got engaged. Both are in excellent condition was only able to go out about 5-6 times with life getting in the way unfortunately. Kept inside and off the ground. Cleaned after each use. No rush to sell Hobie holds their value. So no tire kickers please save us both time. 09 yellow Sold 1350 firm 12 blue Comes with hobie wheels New hobie carry handle. Hobbie Paddle 1350 firm I don't plan on selling the trailer but it's a double kayak trailex trailer title in hand 2016 900 firm It won't be sold until both kayaks are gone.,,5915468060,30.448700,12,-86.625500,,"https://maps.google.com/maps/preview/@30.448700,-86.625500,16z",,$1350,human, (Fort Walton Beach),Two hobie outback kayaks and maybe a trailer,https://pensacola.craigslist.org/boa/5915468060.html,
1,good,"['27.049800', '-82.128800']",2016-12-11 18:26,"This boat has been well maintained and is in very good condition for its age.You can come and see it. This comes with: garmin gps furuno sonar jensen marine am/fm stereo vhf marine tansceiver ic-m402s apelco vhf 5160 nmea 2000 networks lowrance lmf-400 multifuction gauge steering sea star set for two engines trim tabs for smoother ride 10 gallons fresh water tank new 100 gallons gas tank 2 battery anchor with 200 ft line porta potty live well washdown pump hart top with 7 rod holders original grady white braket for two motors 24 ft loadrite trailer in fair condition. It has some rust but it is able to transport the boat without any problems. Yamaha 250hp is in very good conditions, it was rebuilt 2 years ago by a professional Marine. I have all documentation.",60,5915387830,27.049800,24,-82.128800,grady white,"https://maps.google.com/maps/preview/@27.049800,-82.128800,16z",offshore,$13000,power,,1987 grady white 248G offshore,https://pensacola.craigslist.org/boa/5915387830.html,1987
2,good,"['30.061963', '-84.292603']",2016-12-11 17:57,"Well maintained 2005 Beneteau Oceanis 343. A quick and comfortable yacht that allows two couples or a family to cruise in comfort and safety. Suitable for trips to the Florida Keys, Bahamas and Mexico. This series of Beneteau Yachts is fast and beamy that will get you there quickly and comfortably. The boat has been lovingly looked after and has provided many smiles, sunsets and adventures afloat. It often serves as our condo at the beach as it is an affordable alternative to a beach house.  The layout of the cockpit and the salon is welcoming and suitable for entertaining friends whether underway or at anchor. The ""sugar scoop"" transom makes it easy to come and go for swimming and by dinghy. Features include: •         Yanmar diesel engine, Model YM30, 30 HP •         Two cabin layout for privacy •         Rotating helm station to allow easy passage through the cockpit when not underway •         L-shaped galley with great ventilation •         Bimini top and dodger •         Cockpit cushions •         Large head with separate shower area •         16,000 BTU dual air A/C with heat (2014) •         North Sails mainsail with stack pack (2015) •         North Sails 130% roller furled genoa (2016) •         Control lines lead to cockpit for solo and short-handed sailing •         OceanAire blinds throughout •         Raymarine autopilot •         GPS chart plotter •         Sony stereo with CD/AM/FM •         VHF radio •         Hot and cold pressurized water with cockpit shower •         Recent survey available (2014) •         Propone stove and range, and •         Top loading refrigerator For additional questions, calls only please, no texts. $69,900 or best reasonable offer.",,5889114869,30.061963,35,-84.292603,Beneteau,"https://maps.google.com/maps/preview/@30.061963,-84.292603,16z",Oceanis 343,$69900,sail,,Proven Cruiser With Great Amenities ,https://pensacola.craigslist.org/boa/5889114869.html,2005
3,excellent,"['30.281000', '-87.581500']",2016-12-11 17:46,"2015 Bentley Encore Pontoon boat powered by a 2015 Mercury 60hp bigfoot which is still under warranty. This 24ft pontoon comfortably  accommodates 16 occupants. Trailer is an additional 1500,to arrange a seatrial serious inquires call or text 2five1-2one3-3one3five",500,5907232520,30.281000,24,-87.581500,Bentely,"https://maps.google.com/maps/preview/@30.281000,-87.581500,16z",Encore,$19500,power, (ORANGE BEACH),2015 Bentley Encore Pontoon,https://pensacola.craigslist.org/boa/5907232520.html,2015
4,,"['30.396200', '-87.027400']",2016-12-11 17:38,Boston whaler 11 foot 1982 model  with trailer and 15 horse Yamaha 2009 two stroke with only 10 hours on Motor $2400 cash firm price will not go lower please do not ask show contact info,,5915415840,30.396200,11,-87.027400,,"https://maps.google.com/maps/preview/@30.396200,-87.027400,16z",,$2400,power,,Boston whaler 11' 15 horse Yamaha,https://pensacola.craigslist.org/boa/5915415840.html,
5,like new,,2016-12-11 16:32,"2008 CENTURY 2200cc W/225 YAHAMA 4 STROKE (ONLY 509 HOURS) JUST HAD MAJOR SERVICE TO INCLUDE PLUGS, OIL AND FILTER, SENSORS, DIODES, LOWER END SERVICED, NEW IMPELLOR AND PUMP AND ALL LUBE. EVERY OPTION INSTALLED, NEW CANVAS, BRAND NEW CUSTOM BUILT 2015 ALUMINUM TRAILER WITH TANDEM AXLE DISC SURGE BRAKES, MARINE GRADE STEREO WITH 6 SPEAKERS, CENTER CONSOLE WITH T-TOP, TWO ANCHORS WITH 500 FT. OF ROPE, BUMPERS, TIE DOWN ROPES. ALL SAFETY EQUIPMENT WILL GO WITH BOAT. 22 ROD HOLDERS, VHF RADIO AND COMPARTMENTS, LEANING POST WITH TACKLE DRAWERS, TWO NEW BATTERIES AND SWITCH FOR CHARGING, FRESH WATER WASH DOWN AND RAW WATER WASH DOWN, 32 GAL TRANSOM LIVEWELL, BATTERY DOOR WITH 2 TACKLE BOXES, HUMMINBIRD 797c2 AND NEW HUMMINBIRD HELIX 5 SYSTEMS. EVERYTHING WORKS AS ADVERTISED AND ALL BOOKS, MANUALS AND SERVICE PAPERWORK ON HAND. THIS BOAT HAS BEEN WELL TAKEN CARE OF AND WILL HANDLE 3-4 FT SEAS WITH EASE. NORMAL WEAR AND TEAR ON THIS BOAT ONLY! PLEASE DO NOT LOW BALL OFFER. NADA RETAIL IS $48,545. PRICED TO SELL QUICKLY AT $39,500.00 CALL DAVID AT show contact info",509,5897447908,,22,,CENTURY,,2200cc,$39500,power, (DOTHAN),2008 CENTURY 2200cc,https://pensacola.craigslist.org/boa/5897447908.html,2008
6,,,2016-12-11 16:09,"We offer custom SeaDek design, installation, custom logos, cooler pads and more. We are 100% mobile and come to you. Most jobs can go from design to installation in under 2 weeks. Please call Chris to setup a consultation and see how cool we can make your boat look. show contact info To see more photos go to: castawaycustomsmidwest.com",,5905617584,,20,,,,,,power,,Custom SeaDek,https://pensacola.craigslist.org/boa/5905617584.html,
7,,,2016-12-11 16:09,"We offer custom SeaDek design, installation, custom logos, cooler pads and more. We are 100% mobile and come to you. Most jobs can go from design to installation in under 2 weeks. Please call Chris to setup a consultation and see how cool we can make your boat look. show contact info To see more photos go to: castawaycustomsmidwest.com",,5905460181,,20,,,,,,power,,Custom SeaDek,https://pensacola.craigslist.org/boa/5905460181.html,
8,good,"['30.516900', '-86.482200']",2016-12-11 16:06,"18 foot center console fish master with 90 hp Mercury outboard saltwater addition, live well, cooler, Minnkota trolling motor. Great boat works well upgrading to a bigger boat need to sell. $8500 obo",,5915308698,30.516900,18,-86.482200,Kenner,"https://maps.google.com/maps/preview/@30.516900,-86.482200,16z",Fish Master,$8500,power, (Niceville),18ft  Center console fishing boat,https://pensacola.craigslist.org/boa/5915308698.html,2004
9,,,2016-12-11 16:01,"5 gallons of 2 cycle oil for LESS THAN HALF PRiCE.  2 gallons quicksilver, 1 gallon west marine, and 2 gallons other brand. Call or text. 850four18four3four6",,5915301771,,111,,,,,$50,power, (Pcola),2 cycle oil,https://pensacola.craigslist.org/boa/5915301771.html,
