,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:18,I hve a complete steering system for sale. Works perfectly. Call show contact info,,5888333874,,1,,,,,$100,power, (PUNTA GORDA),BOAT STEERING HELM AND CABLE,https://sarasota.craigslist.org/boa/5888333874.html,
1,,,2016-12-20 17:17,I pay cash for nonworking and unwanted boats. Call show contact info,,5913598534,,1,,,,,$500,power, (SWFL),BUYING BROKEN BOATS,https://sarasota.craigslist.org/boa/5913598534.html,
2,excellent,,2016-12-20 16:58,"2012 old town 15.5"" flat back canoe. Has a new 2013 6hp 4 stroke Tohotsu outboard. Comes with 35lb front mounted trolling motor and battery.Swivel seats fully carpeted only used a few times. Also has a custom built trailer.  $2000.00 call show contact info ith any questions",5,5895563201,,16,,Old town,,Sportsman,$2000,power,,Old town flat back canoe,https://sarasota.craigslist.org/boa/5895563201.html,2012
3,good,"['27.019954', '-82.285262']",2016-12-20 16:37,"150 HPDI Outboard Engine. For sale, only one engine left.     Standard rotation..   Engine runs smooth.  New filters, spark plugs. Cable, oil tank, gauge is included.     Prop not included* Selling to upgrade",300,5916899605,27.019954,25,-82.285262,Yamaha,"https://maps.google.com/maps/preview/@27.019954,-82.285262,16z",HPDI Z150 TXRZ,$3000,power, (Venice-North Port),"2001 YAMAHA 150 HPDI  25"" sh",https://sarasota.craigslist.org/boa/5916899605.html,2001
4,fair,[],2016-12-20 16:31,"1982 Macgregor 21' Sail boat owned by a skipper who bought this boat new and only used it on the weekends then let it sit in his back yard since 1995. I bought it from him the week before he past, I don't have a place to keep it and need to get rid of it right away.  It has never had bottom paint on it and never been in the water longer than 2 days. has 3 new sails. Some damage to the gel coat in the very front from rubbing on the trailer while moving.",,5927329680,,21,,Macgregor,https://maps.google.com/?q=loc%3A+%36%36th+St+at+%35%30th+Ave+St+Petersburg+FL+US,21',$1000,sail, (St. Petersburg),21' Macgregor sail boat,https://sarasota.craigslist.org/boa/5927329680.html,1982
5,,,2016-12-20 16:29,Nice little boat.  $650.00. Nothing wrong with it.,,5927326838,,10,,,,,$650,human, (Arcadia),Jon Boat,https://sarasota.craigslist.org/boa/5927326838.html,
6,good,"['27.047800', '-82.241600']",2016-12-20 16:22,2 Wave runner for sale both have low hours 2006 and 2008. Just don't have time to ride them an kids are gone.,150,5927316871,27.047800,8,-82.241600,Yamaha,"https://maps.google.com/maps/preview/@27.047800,-82.241600,16z",1100 4 strokes,$8500,power, (North Port),2 Yamaha wave runner,https://sarasota.craigslist.org/boa/5927316871.html,2008
7,good,[],2016-12-20 16:12,19' ft Bayliner 1988 Boat and trailer in good condition's Engine 3.0 hp perfect good to go Radio and CD player This is great opportunity to buy your perfect family boat also you can easy pull on sedan's or SUV's,,5927302063,,19,,Bayliner,https://maps.google.com/?q=loc%3A+%31%33%36%31+W%2E+University+Parkway+Sarasota+FL+US,,$3700,power, (Sarasota),19' ft Bayliner power,https://sarasota.craigslist.org/boa/5927302063.html,1988
8,good,,2016-12-20 16:09,"Heritage Manta Ray 12 kayak Comes with seat ***no paddle *** Kayak has normal hull scratches from beaching it but no leaks, Damage or repairs. Great solid boat with lots of features. Price is firm (cash)",,5915219305,,12,,,,,$425,human, (Tampa),Heritage Manta Ray 12 kayak,https://sarasota.craigslist.org/boa/5915219305.html,
9,excellent,"['27.450000', '-82.377300']",2016-12-20 15:41,"Two 2002 Honda wave runners ARX1200 personal water crafts. Three seats each, plus trailer, vests & accessories. $6,500.00 OBO show contact info",,5927211200,27.450000,10,-82.377300,Honda,"https://maps.google.com/maps/preview/@27.450000,-82.377300,16z",ARX1200,$6500,power, (Bradenton),Jet Skis - two with trailer,https://sarasota.craigslist.org/boa/5927211200.html,2002
10,,"['27.074800', '-82.175600']",2016-12-20 15:25,"24 volt electric trolling motor Shakespeare Kicker 400 in good working condition. 24 volts is good for a small Jon boat or a large bass boat plenty of thrust. Comes with 2 batteries and cases, not sure of batteries they are charged and holding a charge but have been setting for a few years. Any questions give me a call show contact info thanks.",,5927234103,27.074800,30,-82.175600,,"https://maps.google.com/maps/preview/@27.074800,-82.175600,16z",,$130,power, (North Port),Electric Torlling Motor 24 Volts,https://sarasota.craigslist.org/boa/5927234103.html,
11,,"['26.894976', '-82.233524']",2016-12-20 15:19,"1979 Ericson 31 Independence cutter rigged sailboat for sale Currently located in a terrific do-it-yourself yard near Boca Grande, FL. Come down and spend the winter here. Bruce King design. Yanmar diesel runs perfectly. More than 6' headroom, good capable long-distance cruiser or coastal cruiser and nice liveaboard. Draft 4'8"" Deck is solid. Chainplates solid. Wheel steering. External hung rudder, with emergency tiller included. Roller furler. Please Google sailboatdata.com for specifications. Selling due to move out of state. Boat in boatyard; deck is primed and painting is started with Interlux Perfection, needs to be finished painting. Some painting materials are included. Mast is newly professionally painted with Awlgrip. With all new standing and running rigging, mast lights and fittings. Many new upgrades: New muffler and associated parts. New prop shaft and associated parts. New fuel tank. New holding tank and system. New bowsprit and anchor rollers, etc etc etc. Still some projects left in the interior. Some cosmetic work. Boat is nice and dry. Basically needs to be put back together. All the parts and pieces such as teak parts, railings, bimini and dodger frames, winches, etc are included in the sale. Drawers and cabinet doors are in storage. Too many parts to describe, all in storage and ready for your project. Make an offer. All offers will be considered. We want boat to go to a good home. To weed out spammers, please email your PHONE NUMBER and a reference to this boat and I will call you back. I won't answer emails without your contact number, sorry. Will be sad to see her go, but an out-of-state move requires me to pass her on to a capable owner who wants to finish the projects. I did all the expensive heavy stuff, now the fun parts are left for you to make her your own.",,5923045572,26.894976,31,-82.233524,Ericson,"https://maps.google.com/maps/preview/@26.894976,-82.233524,16z",Independence,$14000,sail," (Rotonda West, FL)",Ericson 31 Independence Sailboat for sail,https://sarasota.craigslist.org/boa/5923045572.html,1979
12,,"['27.111701', '-82.465611']",2016-12-20 15:15,"rare 32 ft prairie cutter with a little over a 11 ft beam and over 6 ft of head room this boat has alot of room for its size. it also has a 7,000 pound lead ballast for ocean crossings these boats were built tough with a 1 1/4 inch fiberglass hull. boats needs motor work and cosmetic work sails are good with a back up mail sail its a great live aboard boat or sailing boat call or text show contact info also interested in trades for smaller power boat or anything or interesrt.",,5918743438,27.111701,34,-82.465611,,"https://maps.google.com/maps/preview/@27.111701,-82.465611,16z",,$4900,sail, (venice),1978 32 ft  prairie cutter,https://sarasota.craigslist.org/boa/5918743438.html,
13,good,[],2016-12-20 14:58,"The Aquaterra Chinook is considered to be one of the best kayaks made. It has great stability and secondary stability ( rocking from side to side). The one I have has been used a lot and shows it. It need new lines (cheap to find on ebay) and it has some scratches. It does NOT take on water and it's still in pretty good shape. There is no skeg but you can get one for it as it has a place for one and it has the peddles for one and the seat will need to be replaced. It glides through the water and moves fast and smooth. I will include a paddle ( not new ), a cockpit cover and a cart of wheels you can tie onto the kayak to move it from place to place. https://www.amazon.com/gp/product/B00823FSRC/ref=oh_aui_detailpage_o02_s00?ie=UTF8&psc=1 I have one picture of the one I'm selling  so I included a picture of one just like it online. It's 16 ft long and made from hard plastic. -16' LOA -24"" beam -around 64 pounds -one rear dry hatch and an inspection port along the port fore panel Any questions please call show contact info The price is pretty firm with a little wiggle room. Thanks for looking!",,5927169581,,16,,Aquaterra,https://maps.google.com/?q=loc%3A+%37%35th+St+W+at+Manatee+Ave+W+Bradenton+FL+US,Chinook,$400,human, (Bradenton),Aquaterra Chinook,https://sarasota.craigslist.org/boa/5927169581.html,
14,,"['26.966700', '-82.359900']",2016-12-20 14:45,"This is a boat - like no other !!! Original boat is a 1998 Lowe - 24 ft. ""converted"" pontoon boat It is 24 ft. long and 8' wide Has a 120 HP Johnson engine that runs excellent - the boat used to have a 90 HP engine on it.  We upgraded to the 120 HP. Has 3/4 in. marine decking with new carpet The previous owner had just recently painted on new bottom sealer paint on the pontoons Two (2) - 12v batteries Night solar lights plus strings of 110v lights Runs off inverter or small generator Sound system - new radio with 6 speakers Brand new custom bamboo and tiki wrap around entire boat Fancy bench seating Storage under 3 bench seats and pole compartment Igloo 150 qt. cooler - FOR ALL THOSE GOOD PARTY DRINKS! Swim ladder 2 real palm trees on each front corner of the boat SPECIAL FEATURE:  Has stage and pole dancing pole.  HOW MUCH FUN IS THAT!!! Or the pole can be used as a flag pole - but not as much fun. This boat has all kinds of unusual decorations.  It is decorated like no other - inside and out. There is no trailer at this price but we do have a very nice 2006 double axle trailer that fits this boat perfectly.  One axle has brakes and it is surge brakes.  We are asking $1,000 for the trailer alone or $7900 for both boat and trailer. Please call me at show contact info If there is no answer, please speak slowly leaving your phone #.  I'm ""old"" and don't hear very well.  Or you may call my cell at show contact info Please, no texts.  I can't respond to the texts.  Please, just call.  Thanks",,5899520022,26.966700,24,-82.359900,,"https://maps.google.com/maps/preview/@26.966700,-82.359900,16z",,$6900,power, (Englewood),"ONE OF A KIND ""PARTY BARGE""",https://sarasota.craigslist.org/boa/5899520022.html,
15,good,[],2016-12-20 14:44,"This 18 Chris Craft is a great way to get you out on the water at a very low price. It is big enough you can carry a nice group of people. You can ski or tube with it or hop around to all the sand bars and restaurants. Motor replaced 3 years ago, 4.3 Volvo engine with 300hrs. Comes with 2 biminis. Does not come with a trailer but one can be purchased at cost for $1,500 or less. FIRM ON PRICE IF THIS POST IS UP THEN YES THIS BOAT IS AVAILABLE, you can come anytime between 9-5pm M-F & 9-3pm Sat. 7891 N. Tamiami Trail Sarasota 34243",300,5927136021,,18,,Chris Craft,https://maps.google.com/?q=loc%3A+%37%38%39%31+N%2E+Tamiami+Trail+Sarasota+FL+US,,$5000,power, (Sarasota),1996 Chris-Craft 18 Bow Rider,https://sarasota.craigslist.org/boa/5927136021.html,1996
16,like new,"['26.966700', '-82.359900']",2016-12-20 14:38,"I have a Minn Kota Riptide trolling motor. 55 lbs trust, 12 volt, 5 speed, with steering exstention. Have used the motor one time. Had to mount it on the back of my boat. Too much trouble trying to operate from the back.",2,5921707560,26.966700,42,-82.359900,minn koda,"https://maps.google.com/maps/preview/@26.966700,-82.359900,16z",riptide,$400,power, (englewood fl),minn kota trolling motor,https://sarasota.craigslist.org/boa/5921707560.html,
17,new,,2016-12-20 14:32,2016 TRACKER GUIDE V14     2014 ALUMINUM TRAILER   2014 MERCURY 20 TILLER NEW CONDITION,35,5925370426,,14,,TRACKER,,GUIDE 14,$5000,power,,FOR SALE,https://sarasota.craigslist.org/boa/5925370426.html,2016
