,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['27.484100', '-82.583400']",2016-12-11 18:21,"Need work, trailer in disrepair. It will get the boat home title in hand. Call or text is best. Need it gone asap!!! I tried to sell before but got busy but like I said need it gone. Motor runs and has a good compression",,5915396314,27.484100,15,-82.583400,,"https://maps.google.com/maps/preview/@27.484100,-82.583400,16z",,$550,power, (Bradenton),15 foot project boat,https://sarasota.craigslist.org/boa/5915396314.html,
1,good,"['27.107423', '-82.462177']",2016-12-11 18:00,"1981 SeaRay 360 SRV.  Twin Cummins 555 turbo diesels, runs great, I use this boat almost everyday for diving.  Head works, Fresh water works, Flybridge with top, aft bimini frame.  Dive ladder,  Drum anchor puller.   Many new pumps and parts including a new turbo, seacocks, water pumps.",00000,5915372465,27.107423,36,-82.462177,Sea Ray,"https://maps.google.com/maps/preview/@27.107423,-82.462177,16z",360 SRV,$11000,power," (Venice, Fl)",1981 SeaRay 360,https://sarasota.craigslist.org/boa/5915372465.html,1981
2,good,"['28.551500', '-81.305100']",2016-12-11 17:26,"perfect conditions 21 ft wellcraft boat , perfect for fishing and crusing.  120 mercury mariner force and a perfect conditions trailer show contact info in spanish call show contact info in english call",100,5915332631,28.551500,21,-81.305100,wellcraft,"https://maps.google.com/maps/preview/@28.551500,-81.305100,16z",,$7500,power,,wellcraft 1990,https://sarasota.craigslist.org/boa/5915332631.html,1990
3,,"['27.060600', '-82.352000']",2016-12-11 17:26,1995 hydra sport 18 foot 115hp yamaha runs great just serviced new carbs new battery also has a nice aluminium fishing tower ready for the water also comes with a nice trailer $5200 obo,,5910662038,27.060600,18,-82.352000,,"https://maps.google.com/maps/preview/@27.060600,-82.352000,16z",,$5200,power, (venice),1995 18 foot hydra sport,https://sarasota.craigslist.org/boa/5910662038.html,
4,good,[],2016-12-11 17:09,"98 Seadoo Sportster with twin Rotex motors. Has 2010 Aluminum trailor. Both motors have just been rebuilt and bored, new pistons and rings, heads  redone. One engine needs a stater, its not firing. $64.00 at amazon. Don't have the time. Boat is in good shape. Has bikini top. Seats 7 people. Has new wear rings and stainless impellors. I am moving soon and don't want to take it with me. if interested call or text show contact info Thanks",,5915311714,,19,,Seadoo,https://maps.google.com/?q=loc%3A+%31%30%34%30%30+Tamiami+Trail+S%2E+North+Port+FL+US,Sportster 1800,$3600,power, (north port),98 Seadoo Sportster 1800,https://sarasota.craigslist.org/boa/5915311714.html,1998
5,,"['26.966700', '-82.359900']",2016-12-11 17:03,"This is a boat - like no other !!! Original boat is a 1998 Lowe - 24 ft. ""converted"" pontoon boat It is 24 ft. long and 8' wide Has a 120 HP Johnson engine that runs excellent - the boat used to have a 90 HP engine on it.  We upgraded to the 120 HP. Has 3/4 in. marine decking with new carpet The previous owner had just recently painted on new bottom sealer paint on the pontoons Two (2) - 12v batteries Night solar lights plus strings of 110v lights Runs off inverter or small generator Sound system - new radio with 6 speakers Brand new custom bamboo and tiki wrap around entire boat Fancy bench seating Storage under 3 bench seats and pole compartment Igloo 150 qt. cooler - FOR ALL THOSE GOOD PARTY DRINKS! Swim ladder 2 real palm trees on each front corner of the boat SPECIAL FEATURE:  Has stage and pole dancing pole.  HOW MUCH FUN IS THAT!!! Or the pole can be used as a flag pole - but not as much fun. This boat has all kinds of unusual decorations.  It is decorated like no other - inside and out. There is no trailer at this price but we do have a very nice 2006 double axle trailer that fits this boat perfectly.  One axle has brakes and it is surge brakes.  We are asking $1,000 for the trailer alone or $7900 for both boat and trailer. Please call me at show contact info If there is no answer, please speak slowly leaving your phone #.  I'm ""old"" and don't hear very well.  Or you may call my cell at show contact info Please, no texts.  I can't respond to the texts.  Please, just call.  Thanks",,5899520022,26.966700,24,-82.359900,,"https://maps.google.com/maps/preview/@26.966700,-82.359900,16z",,$6900,power, (Englewood),"ONE OF A KIND ""PARTY BARGE""",https://sarasota.craigslist.org/boa/5899520022.html,
6,,"['26.966700', '-82.359900']",2016-12-11 17:03,"Total length of trailer is 18 ft. Can be used for a 15 ft. boat or a jet boat or jet ski Trailer is 7'7"" wide Winch with new strap Extra bunks Set of 2 rollers go with it and a crank strap Bearings have been packed Tires are decent Freshly painted Trailer jack Sold as HMD - work has just been completed Could also be used as a utility trailer Please call Alex at show contact info Please, no texts.  If truly interested, please call me.  Thanks.  Or you may call my home phone at show contact info If no answer, please speak slowly leaving your phone # as I am rather hard of hearing.  Thanks",,5872903242,26.966700,18,-82.359900,,"https://maps.google.com/maps/preview/@26.966700,-82.359900,16z",,$495,human, (Englewood),15 Ft. Galvanized Boat Trailer - Also for Jet Boat/Jet Ski,https://sarasota.craigslist.org/boa/5872903242.html,
7,good,,2016-12-11 16:38,"Heritage Manta Ray 12 kayak Comes with seat ***no paddle *** Kayak has normal hull scratches from beaching it but no leaks, Damage or repairs. Great solid boat with lots of features. Price is firm (cash)",,5915219305,,12,,,,,$425,human, (Tampa),Heritage Manta Ray 12 kayak,https://sarasota.craigslist.org/boa/5915219305.html,
8,,,2016-12-11 16:35,"For sale is a 2002 sea fox center console w/ 02 50hp. It's a 17ft boat that is super solid everywhere and the motor runs flawlessly. Lower unit was just serviced a month ago. New fuel pump water pump and lower unit oil changed. It has a cooler seat in the front, 2 live wells, alot of storage, anchor and line, trolling motor, self bailing deck. The boat stays extremely dry. Steering and trim motor are in great shape. All around good boat. Trailer had new bearings a few months ago and trailer lights work. Title and trailer registration in hand. Asking 5300 OBO. Willing to do trades OF EQUAL VALUE. Call or text show contact info You won't be disappointed",,5915269212,,17,,,,,$5300,power, (Bradenton),2002 sea fox center console w/ 02 50hp mercury,https://sarasota.craigslist.org/boa/5915269212.html,
9,excellent,,2016-12-11 16:28,"The ideal compromise between tracking and maneuverability. Shorter than an expedition canoe, it is perfect for solo or tandem rides.Seating Configuration: Solo, Tandem, 3+ Weight: 81 lbs Length: 14' 6"" Max Width: 37.5"" Max Capacity: 800 lbs Primary Material: Molded PolyethyleneStructure: Rigid / Hard Shell Additional Attributes: Vertical rod holders Three molded bench seatsActivity Type: Recreation, Touring Water Type: Flat/Sheltered Water, Open Water/Ocean, River/Creek (Up to Class II) Duration: Day Trip, 2-3 Day Trip, Extended Trip Skill Level: Intermediate, Advanced Ideal Paddler Size: Average Adult, Larger Adult Bow and stern carrying handles Aluminum gunnels with protective sleeve",,5915245654,,174,,,,,$300,human, (Bradenton),"Green Pelican Canoe 14'6""",https://sarasota.craigslist.org/boa/5915245654.html,
