,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,excellent,"['26.525400', '-80.061000']",2016-12-20 17:16,"Hobie Pro Angler. 2014 Model, Papaya. Mirage Drive, turbo fins, hobie dolly, hobie paddle, hobie lumbar adjustable seat, standard lifejacket, large self contained new bait well. Condition is good to better with normal wear marks on bottom from launching. No cracks, patches, abuse etc. Trailer is 2015, 6X12, heavy duty pull trailer with, wood plank bed,  half racks, folding rear gate & 3,000 lb axle. New Tires, and spare included. Purchased from commercial trailer lot, pre-wired etc. Trailer is big enough for two kayaks easy or to use for a lawn business etc. Large tarp covers trailer with kayak, included. $4,000. Cash money only. No Lowball, No paypal, cashiers cks, money orders etc.. Don't ask. No trades. No txts. show contact info Matt",,5888630885,26.525400,14,-80.061000,Hobie,"https://maps.google.com/maps/preview/@26.525400,-80.061000,16z",Pro Angler 14',$4000,human, (Boynton Beach),Hobie Pro Angler 14' w/multi kayak trailer,https://miami.craigslist.org/pbc/boa/5888630885.html,2014
1,,,2016-12-20 17:15,"Adventure Time!  Sail, Camp, Motor or Dive.  This boat can do it all.  Hull and Sails are in excellent shape.  Newly installed bow trampoline for relaxing or extra storage.  Multiple hatches to stow gear.  Extra large cockpit.  Six foot dagger boards included.  Comes with trailer.  Clean tile and trailer registration in hand.  Motor is not included in selling price.",,5927388104,,16,,,,,$2250,sail, (Miami),16' Sovereign Catamaran Sailboat,https://miami.craigslist.org/mdc/boa/5927388104.html,
2,,,2016-12-20 17:10,"This Nautico 18 Catamaran runs GREAT and FAST with its 2013 Suzuki 90 Four Stroke. It is a great fishing machine with its T-Top/Tower. Suzuki has digital gauges too! Zippered T-Top canvas allows rider to ""pop up top"" with padded seat for a great fish spotting vantage point. Engine runs flawlessly. Has almost new battery. 1998 hull is VERY SOLID and SOUND. This is a rare opportunity to have great performance with a newer four-stroke engine without paying thousands for a newer hull (when this one functions just as good). T-Top/Tower is only several years old as well. Interested? Just reply to this posting and I will be in touch. Thanks",,5912531170,,18,,Nautico/Suzuki,,,$7900,power," (Near Ft Myers, FL)",Nautico Catamaran w/ 2013 Suzuki 90 4stroke AND tower,https://miami.craigslist.org/mdc/boa/5912531170.html,
3,,,2016-12-20 17:09,"Steiger Craft Block Island 21 with full enclosure and Mercury I/O. This is the company that builds boats with no wood components. Hull has lifetime warranty. This boat spent its entire life around the Washington, D.C. area (still has a 2013 Potomac River fishing decal). This Steiger Craft has always been a private/pleasure use vessel and appears to have been stored on a trailer inside its entire life. It never had bottom paint until I had it professionally done within the year. The extensive canvas is a full enclosure of Sunbrella fabric and is recently done and still like new. The 130 Mercury is dependable and has had a recent rebuild and the Bravo II out drive has been recently redone for complete dependability. There are new cushions in the cabin and a Garmin GPS is mounted as is a separate Garmin depth/fish finder. Has bowsprit with anchor. Included is an excellent Shoreline tandem axle trailer that is equipped with rollers for easy loading. If you are unfamiliar with Block Island boats, check them out online. They are a heavy duty vessel that are classic designed. Recent engine and out drive rebuild offers years of dependable service. This boat is beautiful, rugged, unique and dependable with an outstanding heritage. It is still produced because it is a great boat--maybe last one you will ever need because of the lifetime hull guarantee from the manufacturer. It is a 1998 and looks almost identical to current production Block Islands. If my Block Island Steiger Craft might be for you, just reply to this posting and I will be in touch. Thank you",,5912567641,,22,,,,,$14900,power,,Steiger Craft Block Island 21 EXCELLENT!!!,https://miami.craigslist.org/mdc/boa/5912567641.html,
4,excellent,"['27.745683', '-82.626457']",2016-12-20 17:09,"see the detailed,  extensive ad with excellent pictures and description on   Tampa craigslist   ....same heading/title....   BEAUTIFUL!!!! no trades, cash only",1100,5927380268,27.745683,38,-82.626457,Heritage Yachts,"https://maps.google.com/maps/preview/@27.745683,-82.626457,16z",West Indies 36,$36000,sail, (ST. PETERSBURG),36 WEST INDIES SAILBOAT.... BEAUTIFUL...,https://miami.craigslist.org/pbc/boa/5927380268.html,1976
5,,,2016-12-20 17:05,1988 pursuit center console cuddy cabin 1998 yamaha 250 saltwater series hard to find hull $9500,1,5927375018,,25,,pursuit,,center console cuddy,$9500,power, (ZTEpompano),pursuit cc cuddy 25,https://miami.craigslist.org/brw/boa/5927375018.html,1988
6,good,,2016-12-20 17:00,"21' 2003 Blue Wave with 2003 150 H.P Yamaha Vmax. The Motor is in Excellent Condition and has only had one Owner, very Low Hours. The Trailer and Hull are in Good Condition with Minor wear and tear. This an Excellent Fishing Boat but also great just to relax or have fun in the weekends at the sandbars. Turnkey and go! Boat is equipped with a live well and Plenty of Space in the compartments. Please find the pictures attached below. Call or text show contact info serious buyers only. Keep in mind that the Trolling Motor has been sold.",60,5927281113,,21,,Blue Wave,,,$7500,power,,21' Boat for Sale with Trailer,https://miami.craigslist.org/mdc/boa/5927281113.html,2003
7,good,,2016-12-20 16:58,"Very nice Chaparral 232 deck boat. Seats 14 people, porta potty, sink, built in coolers, 7.4 GI/SX Volvo Penta, full cover, bimini top, lots of storage and many extra's. Great party/sand bar/fishing boat. Trailer included. Only Asking $6500.00 OBO Will transport if needed. Suggested NADA List Price $36,084 Low Retail $9,830 Average Retail $11,240",,5888472254,,23,,Chaparral,,Sunesta,$6500,power, (Key West),2000 Chaparral Sunesta 232-Moving must sell,https://miami.craigslist.org/mdc/boa/5888472254.html,2000
8,good,"['25.782889', '-80.173931']",2016-12-20 16:51,"Selling Trojan 10 meter international twin 330hp crusaders port side motor less than 20 hours . Has onan 6.5 generator , new 16000btu a/c , water heater , fridge,microwave,  33 inch flat screen tv , single burner stove , (2)am/ fm cd radios inside cabin and outside . Garmin 740s touchscreen Gps sounder . Lee Jr outriggers , goodman windlass with 300 rope. Boat has 13 ft beam and sleeps 7inside . For more info call or text Rick at show contact info . No low ballers or free rides .",,5927357134,25.782889,33,-80.173931,Trojan,"https://maps.google.com/maps/preview/@25.782889,-80.173931,16z",International 10 meter,$18500,power, (Miami),Trojan 10 meter 33ft,https://miami.craigslist.org/mdc/boa/5927357134.html,1983
9,,"['26.234300', '-80.094100']",2016-12-20 16:50,My boats was stolen from me on aug 26 by ed ruff./ED RUFF MARINE In pompano. Beach. If any one receives one I own the rights and the copyrights to them. They are STOLEN,,5903405028,26.234300,12,-80.094100,,"https://maps.google.com/maps/preview/@26.234300,-80.094100,16z",,$1,human, (Pompano beach),Sea saucer boats stolen from ((((ME))) IN  pompano beach,https://miami.craigslist.org/brw/boa/5903405028.html,2016
10,excellent,"['26.085001', '-80.182858']",2016-12-20 16:48,"2008 Sea Ray 300 PRICE REDUCED - MUST SELL!!! THE CLEANEST, LOWEST PRICED OF THIS MODEL IN THIS CONDITION ON THE INTERNET!!! It has been mechanic tested and repaired so it is ready for the water. This boat is beautiful, a real head-turner. Come see her, you will not be disappointed! http://www.boattrader.com/listing/2008-SEA-RAY-300-Select-EX-102902846",275,5927353319,26.085001,30,-80.182858,SEA RAY,"https://maps.google.com/maps/preview/@26.085001,-80.182858,16z",SLX SERIES SELECT EX,$46999,power, (SOUTH FLORIDA),2008 SeaRay 300 PRICE LOWERED FOR BLOW OUT END OF YEAR SALE,https://miami.craigslist.org/brw/boa/5927353319.html,2008
