,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['28.313400', '-80.731900']",2016-12-20 17:18,"2012 motor purchased new by owner.  30 hours use.  well cared for, only non e gas.  quiet, efficient and dependable. no issues.  made by tohatsu which also makes small outboards for mercury and yamaha. Used on gheenoe which has been sold. Would also be good on carolina  skiff j16, stumpknocker  jon boat        or any skiff.  15 inch shaft  $1,300 show contact info pictures to follow.",30,5924593139,28.313400,16,-80.731900,,"https://maps.google.com/maps/preview/@28.313400,-80.731900,16z",,$1300,power, (Rockledge),OUTBOARD 4 STROKE 9.8 NISSAN,https://spacecoast.craigslist.org/boa/5924593139.html,2012
1,good,"['29.556500', '-81.219000']",2016-12-20 17:11,"For sale , or trade  for adult size dirt bike or 4 wheeler. 99 Kawasaki Ultra 150. Fresh rebuilt motor top and bottom end. Has 1 hour on new engine. Trailer has new rims, tires and bearings. 2000 or trade with equal value for ATV or dirt bike.",1,5927383525,29.556500,10,-81.219000,Kawasaki,"https://maps.google.com/maps/preview/@29.556500,-81.219000,16z",Ultra 150,$2000,power, (palm coast),99 kawasaki Ultra 150 for Sale or Trade,https://spacecoast.craigslist.org/boa/5927383525.html,1999
2,,"['27.074800', '-82.175600']",2016-12-20 17:08,"New stringers & floor(have rebuild pictures on request everything documented). Painted inside and out with Awlgrip ice blue outside two tone Alwgrip ice blue bright work and Matterhorn white non skid on the inside. Inside storage lockers were resurfaced with a matte black finish for ease of maintenance. New Taco rub rail. completely re-wired with marine grade tinned wire and EVERY electrical piece on the boat was replaced including bilge pumps , aerators, switches, battery switches, fuse blocks, bus bars etc. New cable no feedback steering with custom stainless wheel powder coated black with custom rope wrap on the wheel. New stainless hardware throughout the entire skiff. New Lenco trim tabs(powder coated black). New custom rod racks. skiff is powered with a 1999 Yamaha two stroke 60hp outboard with only 87hrs(yes its not a typo it really has 87hrs).The motor is in excellent shape and runs excellent. installed a new trim motor and custom painted the engine white with awlgrip and its finished off with custom Yamaha decals. The trailer is a continental as-1616 low rider aluminum skiff trailer that is in excellent shape.The axle is in good shape and the tires have a lot of life left in them. show contact info Asking 13,995 Let's make a deal!! Willing to negotiate!!",,5921179240,27.074800,17,-82.175600,,"https://maps.google.com/maps/preview/@27.074800,-82.175600,16z",,$13995,power,,pathfinder 17t tunnel hull skiff (restored),https://spacecoast.craigslist.org/boa/5921179240.html,
3,good,"['28.390300', '-80.604300']",2016-12-20 16:53,2 seat inflatable kayak with oars air pump and 2 life jackets,,5927358871,28.390300,11,-80.604300,,"https://maps.google.com/maps/preview/@28.390300,-80.604300,16z",,$75,human,,2 seat inflatable kayak,https://spacecoast.craigslist.org/boa/5927358871.html,
4,excellent,"['28.898900', '-81.247300']",2016-12-20 16:51,(ORIG OWNER) ORDERED FROM FACTORY 572 CI MERCRUISER WITH 871 BDS BLOWER..2 HOLLY 750 DUEL FEED CARBS..ALUM HEADS..ALL RACING INTERNALS..SS EXHAUST..IMCO RACING DRIVE..TRIM TABS..(340 HRS)..BOAT WAS ORDERED FROM KACHINA BOATS IN ARIZONA STAYED IN ARIZONA UNTIL APPROX 1 YR AGO..STILL HAS ARIZONA STICKER..BUT NOW HAS FLA TITLE...NEVER BEEN IN SALT WATER(LOOK AT STEEL TRAILER) NEVER BEEN RACED..STILL HAS FACTORY PAINT ON OUTDRIVE....THIS BOAT WILL RATTLE YOUR NEIGHBORS WINDOWS...WIFES DAD WAS 60 WHEN HE HAD THIS BOAT BUILT...PRIVATE SALE... show contact info ..CRUISE ALL DAY FOR AROUND 100.00...PAINT AND INTERIOR IN GREAT SHAPE,,5897332062,28.898900,30,-81.247300,KACHINA,"https://maps.google.com/maps/preview/@28.898900,-81.247300,16z",ENFORCER,$21000,power,,RARE 1997 30FT BOWRIDER PERFORMANCE BOAT(FACTORY 572CI/871BLOWER) 21K,https://spacecoast.craigslist.org/boa/5897332062.html,1997
5,good,"['27.976100', '-80.578800']",2016-12-20 16:47,"a NICE BOAT FOR THE MONEY, 11FT. ALUM. BOAT WITH A 4hp JOHNSON MOTOR,AND TRAILER CALL BILL show contact info NO TEXT.",111,5927351059,27.976100,11,-80.578800,,"https://maps.google.com/maps/preview/@27.976100,-80.578800,16z",,$700,power, (malabaer),boat,https://spacecoast.craigslist.org/boa/5927351059.html,1989
6,,,2016-12-20 16:37,"I have a pontoon boat for sale $2,500 or best offer comes with trailer the motor is a Suzuki 55 runs good please contact donny at show contact info",,5927337931,,18,,,,,$2500,power, (Mims),Pontoon boat,https://spacecoast.craigslist.org/boa/5927337931.html,
7,excellent,"['28.197927', '-80.702991']",2016-12-20 16:31,"2012 Kawasaki STX-15F with only 77 hours, seats 3. FULL FACTORY WARRANTY until July 2017. I'm the original owner and bought them new from Champions Honda / Kawasaki. They run like new and have been serviced every 25 hours by Champions Honda. Never ridden in the ocean, only rivers.  Absolutely no problems with seven months of warranty remaining. 321-474-one94four",77,5922548385,28.197927,9,-80.702991,Kawasaki / STX-15F,"https://maps.google.com/maps/preview/@28.197927,-80.702991,16z",STX-15F,$6400,power, (Melbourne/Viera),2012 Kawasaki STX - 15F Jetski PWC,https://spacecoast.craigslist.org/boa/5922548385.html,2012
8,excellent,"['28.196868', '-80.700245']",2016-12-20 16:31,"2012 Kawasaki Ultra 300 LX Supercharged with only 76 hours, seats 3. Still under FULL FACTORY WARRANTY until July 2017! Original owner, purchased new from Champions Honda/Kawasaki in Cocoa.  Serviced every 25 hours by Champions Honda.  They run great, absolutely no problems, will full warranty for another seven months. Never ridden in the ocean, only in rivers.",76,5922542539,28.196868,10,-80.700245,Kawasaki / Ultra 300LX,"https://maps.google.com/maps/preview/@28.196868,-80.700245,16z",Ultra 300LX Supercharged,$8499,power, (Melbourne/Viera),2012 KAWASAKI Ultra 300LX Supercharged Jetski PWC,https://spacecoast.craigslist.org/boa/5922542539.html,2012
9,good,"['27.976100', '-80.578800']",2016-12-20 16:30,"A gift you ladies have been looking for, get rid of your husband for 5 hours a day! 14ft.alum. boat with a 54lb thrust trolling motor and trailer.  call Bill show contact info NO TEXT.",,5927327852,27.976100,14,-80.578800,sea-nymph,"https://maps.google.com/maps/preview/@27.976100,-80.578800,16z",sea nymph,$850,power, (malabar),boat,https://spacecoast.craigslist.org/boa/5927327852.html,1980
