,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['29.917500', '-81.366800']",2016-12-20 16:52,This boat is 2017 model and was in the water for less than a 2 days. There is nothing wrong with it and all the warranties still apply.,,5927358471,29.917500,10,-81.366800,,"https://maps.google.com/maps/preview/@29.917500,-81.366800,16z",,$1,power, (St.Augustine),Walker Bay Genesis 310 Rib,https://staugustine.craigslist.org/boa/5927358471.html,
1,,[],2016-12-20 13:27,"2016 Bimini 239 Honda BF115 (twins) This is a very wide 23' center console with a 9'6"" beam. It is also rare because there are not many 23' center consoles with twins. Financing is available and payments are as low as $369/mo. Call or text me today if you are interested. Please refer to Bimini 239 Brian at show contact info",,5927048275,,23,,,https://maps.google.com/?q=loc%3A+%36%30%30%30+N%2E+US+%31+Melbourne+FL+US,,$58990,power," (Melbourne, FL)",2016 Bimini Boat 239 w/ Twin Honda BF115,https://staugustine.craigslist.org/boa/5927048275.html,
2,,[],2016-12-20 12:41,Painted steel trailer for a 70's O'Day sailboat. In decent shape to make a trip or to pull your O'Day out for hull inspection. Includes tongue extension & ladder to the bow.,,5926971179,,26,,,https://maps.google.com/?q=loc%3A+Flagler+Avenue+at+Moody+Lane+Flagler+Beach+FL+US,,$1800,sail, (Flagler Beach),Trailer for 70's O'Day 26' sailboat,https://staugustine.craigslist.org/boa/5926971179.html,
3,,"['29.105227', '-81.029320']",2016-12-20 11:33,*********** CHRISTMAS SPECIAL ********* 2015 Gheenoe*2015 Tohatsu Motor *TITLE IN HAND *NEVER BEEN IN SALT WATER * just test driven *ONLY $5000 ACTIVE WARRANTY Call or Text Anytime For Details & more pics show contact info NEED CHRISTMAS MONEY MOTIVATED SELLER!,,5926817605,29.105227,15,-81.029320,,"https://maps.google.com/maps/preview/@29.105227,-81.029320,16z",,$5000,power, (Port Orange FL),2015 Gheenoe*2015 Tohatsu Motor*NEED CHRISTMAS MONEY MOTIVATED SELLER!,https://staugustine.craigslist.org/boa/5926817605.html,
4,excellent,"['29.710569', '-82.047443']",2016-12-20 11:32,"2005 Yamaha AR230 for $20,000 or best offer. Great family boat!! Low hours! Includes: Bimini top, boat cover, stereo and four speakers, wake board racks, tower, and trailer. Perfect for water sports or just cruising around! For more information, call Don at 3five2-2five8-49nine9 outlawmarinefl.com ***Please NO texts or emails due to scams*** IF YOU CAN READ ENGLISH...    NO TEXT OR EMAILS! CALL FIRST",,5922886119,29.710569,23,-82.047443,YAMAHA,"https://maps.google.com/maps/preview/@29.710569,-82.047443,16z",AR230,$20000,power, (Melrose),"2005 YAMAHA AR230 $20,000 OBO",https://staugustine.craigslist.org/boa/5922886119.html,2005
5,,"['29.104746', '-81.029577']",2016-12-20 10:31,"2015 Gheenoe NMZ 15'4"" 2015 20 hp Tohatsu Motor *Only 1hr on motor * Clarion speakers with Bluetooth controller * Sharkeye running lights switch panel underwater light Optima red top battery Tender shallow water anchor jack plate dolfin tail on motor Yeti tie downs * false floor raised front deck 5 gallon gas tank * 08 trailer brand new bearings and seals new wood carpet lights and tongue *NEVER BEEN IN SALT WATER * just test driven *ONLY $4950 ACTIVE WARRANTY Call or Text Anytime For Details show contact info",,5891570692,29.104746,15,-81.029577,,"https://maps.google.com/maps/preview/@29.104746,-81.029577,16z",,$4950,power, (PORT ORANGE),2015 Gheenoe*2015 Tohatsu Motor*ACTIVE WARRANTY*TITLE IN HAND,https://staugustine.craigslist.org/boa/5891570692.html,
6,,"['29.796400', '-81.264900']",2016-12-20 10:21,"Boat is in good shape. No motor or trailer, title in hand. 600$ obo",,5920667479,29.796400,12,-81.264900,,"https://maps.google.com/maps/preview/@29.796400,-81.264900,16z",,$700,human, (St. Augustine),12' stump knocker 2009,https://staugustine.craigslist.org/boa/5920667479.html,2009
7,fair,[],2016-12-20 09:57,free boat - 1981 bonita - boat has a  new marine plywood and fiberglass floor   - the galvanized trailer with step-on bumpers is  road ready to go  - the trailer is worth $500 - the boat is free - no motor - do NOT contact me with unsolicited services or offers,,5920833346,,21,,bonita,https://maps.google.com/?q=loc%3A+bradford+at+colee+St+Augustine+FL+US,,$500,power, (st augustine),1981 bonita boat with galvanized trailer,https://staugustine.craigslist.org/boa/5920833346.html,1981
8,,,2016-12-20 09:28,"99' Sea Pro in great condition powered by a 2012 130 hp E-TEC. that runs flawlessly. Complete with live-well, bilge, Bimini top, lots of storage, and a flip cooler seat. Control box and steering cable are brand new and just installed($512). Has a tach, Speedometer, fuel gauge, and voltmeter. Boat sits on an 09' aluminum trailer that is in excellent condition. Boat is water ready with title in hand. Asking $12500 Motor is valued at $8200 alone. Call (904) 874-73*ONE*ZeRO   NO TEXTS Video Link:  https://www.youtube.com/watch?v=uTz5F6mkW1I",,5904807668,,17,,,,,$12500,power, (jacksonville beach),SeaPro 17'--2012 130 ETEC---09' Aluminum Trailer,https://staugustine.craigslist.org/boa/5904807668.html,
9,excellent,"['29.627339', '-82.392654']",2016-12-20 09:23,"13' Boston Whaler '85 Super Sport, rare model to include seat backs and large aft storage compartment, stainless bow/side rails, 12 gal. fiberglass built in under seat Boston Whaler fuel tank, rod holders, Bimini top with cover. 48 HP Johnson '87, power tilt, SS prop, just had check up and service to include new water pump impeller, new lower unit fluid, lower unit preasure test and new water separator fuel filter, 150 PSI on both cylinders. Runs Good Full storage cover to include sides and engine. Galvanized trailer with new lights, wheels, tires, bearings, hub and Bearing Buddies. Tows good. Boat just had buff and wax detailed and all mahogany stripped and refinished with UV protected satin varnish. Whaler is in OUTSTANDING CONDITION and must be seen. TRADES CONSIDERED. REDUCED ASKING $7900.00 MAKE OFFER Call Gary show contact info",,5926586862,29.627339,13,-82.392654,Boston Whaler,"https://maps.google.com/maps/preview/@29.627339,-82.392654,16z",Super Sport,$7900,power, (Gainesville),13' Boston Whaler '85 Super Sport*GREAT CONDITION*REDUCED*MAKE OFFER*,https://staugustine.craigslist.org/boa/5926586862.html,1985
