,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['25.737800', '-80.224800']",2016-12-11 16:41,"Brand new 2016 272 FE Southport with twin 200hp Yamaha's with digital controls in stock. MRSP $199,800 BLOW OUT PRICE $159,900 -Twin 200hp Yamahas with optional digital controls. -Hard top with led lighting and integrated speakers. -2 extra 27gal aft fish boxes. -Windlass. -Electric Head. -Power steering. -JL Audio stereo package with 2 amps and sub. -USCG Package. Exotic car trades welcomed. visit our page www.vmyachtsales.com/",,5876684823,25.737800,27,-80.224800,southport,"https://maps.google.com/maps/preview/@25.737800,-80.224800,16z",272FE,$1599000,power,,Southport 272 FE  2016 IN STOCK,https://staugustine.craigslist.org/boa/5876684823.html,2016
1,,"['29.998300', '-81.764700']",2016-12-11 15:53,"S & K Construction is your #1 choice! We are licensed & insured! Providing all phases of construction! (Interior & exterior ) Docks, decks, boat houses, boat lifts, marinas, pile driving, piling wraps, seawalls /bulk heads, stone revetments, pressure washing/sealing, walkways, remodel, fencing, garages, concrete, additions, & more Our reputation for experience, quality workmanship, & customer satisfaction is unmatched in the northern Florida area Other past projects include the Funky Pelican Restaurant on the Flagler Beach Pier & River Grille Cafe in Ormond Beach, FL Professional & reliable Customer satisfaction guaranteed! Our customers love us! Free estimates! Call Today! show contact info Scott Uptagrafft skmarineconstruction.com Visit us on Facebook for a chance to win a free Dewalt cordless drill! https://m.facebook.com/marineconstruction",,5905539968,29.998300,1,-81.764700,,"https://maps.google.com/maps/preview/@29.998300,-81.764700,16z",,,human,,"S & K Marine Residential Construction, LLC",https://staugustine.craigslist.org/boa/5905539968.html,
2,excellent,[],2016-12-11 15:31,"Just became available....a beautiful 37' 1995 Mainship Motoryacht located at the Isle of Hope Marina, Savannah, Georgia. We have lived aboard for 2 years now, traveling from the upper Chesapeake Bay to the lower St. John's River, up and down the ICW enjoying every minute.  You even might enjoy the option of staying at a marina making her your condo.   She, Salt & Light, is completely furnished with 2 staterooms, 2 heads and so ready to get moving again. She is so, so comfortable, well taken care of and has been seriously upgraded with the following NEW 2015/2016 additions: 10 Gal Hot water heater........... 4 Shelved closet pantry Sea Watch TV Antenna..........32"" Built In Flat Screen TV Seawolf Windlass..........2 Salon Wall Reading Lights Microwave.......... Leather Night Stand in Guest Stateroom New Shell Backsplash in Galley and Bathroom, New paint in bedrooms Oyster Convection Oven..........Stern Porch Privacy Curtains Reupholstered Galley cushions and pillows.......... Carpeting in both Staterooms Oak hardwood flooring..........Captain's Chair Arm Rests Beautiful 16"" Crystal chandelier.......... Steel Handrail at Bow Steps 5' Inlaid Wooden pedestal Table with 2 padded chairs.......... Eisenglass Window Replacements Window treatment with honeycomb shades.......... Personalized Helm Cover for Electronics Fabric organizers for charts, books and electronics.......... Carpeted Stern Steps and Swim Platform Helm sunbrella upholstered cushions and pillows, ..........Loveseat recliners with Center Console 2 Rocker Swivel chairs on Porch ..........All new cabinet iron door handles 2 throttles and 2 shifters added to helm............ Cigarette lighter added to helm She also has twin 454 rebuilt marine Power Gas engines with about 600 hrs, a rebuilt 6.5 Kohler Generator..........Uline Ice Maker........... Lectrasan Toilet 2 anchors, fenders, lines, and all enclosed for bad weather. We would love to tell you more, just email us for more details.",600,5915117225,,37,,Mainship,https://maps.google.com/?q=loc%3A+%35%30+West+Bluff+Drive+Savannah+FL+US,MotorYacht,$74500,power, (Savannah),Beautiful Liveaboard 1995 37' Mainship MotorYacht,https://staugustine.craigslist.org/boa/5915117225.html,1995
3,excellent,"['30.145900', '-81.573900']",2016-12-11 12:42,"Selling my Honda F15 Aquatracs, Non-Turbo. Both skis and trailer are in excellent condition. Both were in crate until 2012. Only 73 hours on skis. Oil and plugs changed yearly and engines flushed after each use. Great skis for the price",73,5914953080,30.145900,12,-81.573900,Honda,"https://maps.google.com/maps/preview/@30.145900,-81.573900,16z",Aquatrac,$8700,power, (Mandarin),2009 Honda Aquatrac Skis,https://staugustine.craigslist.org/boa/5914953080.html,
4,good,"['29.917500', '-81.366800']",2016-12-11 12:02,"Hey there I have a bandit jet ski trailer and 1988 Yamaha moped I'd love to trade for a good little boat or? I have papers on both the trailer and moped, the trailer is super solid and I hauled my last jon boat on it fine. The scooter needs carb work but runs and drives... it also could use a new front fairing... I'd take cash for either or... $350 for trailer $400 for moped Let me know what you have though, I'd be willing to throw money in on a deal for a nicer boat.",,5914898874,29.917500,10,-81.366800,,"https://maps.google.com/maps/preview/@29.917500,-81.366800,16z",,$7,power, (St Augustine),Trades? Trailer and moped,https://staugustine.craigslist.org/boa/5914898874.html,
5,,,2016-12-11 11:51,"10ft long boat, transom has been reinforced and body has been patched, still works though, fits in pickup Title will be transferred so boat can be registered includes anchor, 30lb thrust five speed electric trolling motor (tested and operational), and battery charger/maintainer $150",,5905529336,,10,,,,,$150,power, (St augustine),bass hunter two man boat,https://staugustine.craigslist.org/boa/5905529336.html,
6,,"['25.573000', '-80.337400']",2016-12-11 11:37,Novurania 14 with a 50 HP two stroke Yamaha. Brand new upholstery and tubes don't leak! This boat is amazing costing 20000 plus new.Great compression on engine 8700.00 text me for more pics Will consider trade for pickup,,5880921142,25.573000,13,-80.337400,,"https://maps.google.com/maps/preview/@25.573000,-80.337400,16z",,$8700,power, (Cutler Bay),Novurania 14 with Yamaha 50 hp,https://staugustine.craigslist.org/boa/5880921142.html,
7,,"['28.870000', '-80.855100']",2016-12-11 11:01,"Rock Solid 1996 18' Neptune CC powered by a great running 90 HP Johnson with excellent compression (135 on all cylinders), stainless steel prop and power tilt and trim. Motor is extremely clean under the hood and was just serviced with new water pump and rebuilt carbs. Live well, GPS/ fishfinder, cd stereo with aux port, flip flop cooler seat, front console seat, all coast guard equipment and lots of storage space. Comes on a galvanized trailer in good shape. $3995.",,5914821203,28.870000,18,-80.855100,,"https://maps.google.com/maps/preview/@28.870000,-80.855100,16z",,$3995,power, (Oak Hill),1996 18' CC/1996 Johnson 90,https://staugustine.craigslist.org/boa/5914821203.html,
8,excellent,"['28.666600', '-81.365000']",2016-12-11 10:42,"2001 Key West 196 Bay Reef 2001 Key West 196 Bay Reef. This boat has been meticulously maintained and has spent most its life operating in fresh water. Finding a boat this clean and well-kept it not easy. The Yamaha 115HP 2-Stroke motor has always been ran with ethanol free gas, Yamalube 2-Stroke oil and Yamalube Ring-Free every tank. Annual maintenance done every year. This engine is very reliable and has NEVER had any issues. Prop was upgrade this past summer to a stainless Steel 4 Blade Mercury Spit Fire X7 and had custom work done to it for better performance at low range, mid-range, and top end. Prop gets the boat on plane with ease even when the boat is fully loaded. Cushions were replaced with genuine Key West cushions and are in flawless condition. Original cushions come with boat too. Boat has a 71 LBS Saltwater MotorGuide trolling motor and it has more than enough power to move you along the banks or flats when fishing. Trolling motor batteries were replaced last August and cranking battery was replaced less than a year ago. Boat has 2 live wells, washdown station, Two tackle box storage racks, 2 coolers and 3 storage compartments. Radio was just replaced and has bluetooth, AUX port and USB Port. Boat has a brand new Taylor Made Boat cover. Trailer is an aluminum Performance trailer in great condition with stainless steel hardware and stainless steel diamond plate fenders. Winch, tongue jack, wheel hubs and bearings were all replaced in fall 2015. Trailer has a spare tire as well. This boat is turn Key and ready to fish. Asking $12,500 obo. All reasonable offers will be considered. Please contact me via phone, text or email for more information or to schedule a viewing. Serious inquires only please. Center Console, Bay Boat, Flats Boat",,5895821695,28.666600,20,-81.365000,Key West,"https://maps.google.com/maps/preview/@28.666600,-81.365000,16z",196 Bay Reef,$12500,power, (Altamonte Springs),2001 Key West 196 Bay Reef,https://staugustine.craigslist.org/boa/5895821695.html,2001
9,good,"['29.660900', '-81.587900']",2016-12-11 08:55,Text me will send photos because I can't do it with my phone to Craigslist is from Tennessee never used in saltwater well taken care of.90hp johnson ..text me anytime I drive a truck and will get back with you..three eight six nine eight three two one two nine..palatka,,5908281136,29.660900,17,-81.587900,javelon,"https://maps.google.com/maps/preview/@29.660900,-81.587900,16z",,$4100,power,,96 javelin bass boat,https://staugustine.craigslist.org/boa/5908281136.html,
