,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['29.966500', '-83.659400']",2016-12-11 16:53,14 ' vhull with deck. WILL SEPARATE OR TRADE . HAVE TITLE. Has trailer  Motor don't run.,,5915271638,29.966500,14,-83.659400,,"https://maps.google.com/maps/preview/@29.966500,-83.659400,16z",,$300,power, (perry),"14' aluminum boat w/deck,motor,",https://tallahassee.craigslist.org/boa/5915271638.html,
1,,"['30.166800', '-83.616000']",2016-12-11 16:05,04 good shape needs new plywood for deck/floor. Has removable duck blind frame. Extended trailer for easy launch. Working lights. Will need a tire soon,,5915231061,30.166800,14,-83.616000,Lowe,"https://maps.google.com/maps/preview/@30.166800,-83.616000,16z",sea nymph,$650,human, (Perry),14' aluminum  sea nymph by lowe,https://tallahassee.craigslist.org/boa/5915231061.html,2004
2,,"['30.447800', '-84.321100']",2016-12-11 14:52,Tea Clipper ship.  Mint condition. 25.00 obo,,5915133380,30.447800,6,-84.321100,,"https://maps.google.com/maps/preview/@30.447800,-84.321100,16z",,$25,human,,tea clipper ship.,https://tallahassee.craigslist.org/boa/5915133380.html,
3,good,,2016-12-11 14:25,21 foot Shamrock keel Drive boat with a 302 Ford pleasure-craft engine aluminum dual axle trailer spare prop spare anchor downrigger and miscellaneous equipment. just had recent carburetor rebuild by reputable mechanic in Crawfordville also some wiring replaced .very good running boat very stable handles rough water like a 25-footer. Anymore questions please call,,5915095300,,21,,Shamrock,,Cuddy cabin,$7000,power, (sopchoppy),Shamrock,https://tallahassee.craigslist.org/boa/5915095300.html,1988
4,good,"['30.465100', '-84.112800']",2016-12-11 14:11,"Very nice 2006 SeaFox 236 CC for sale.  Tandem Axle with new tires.  Mercury Verado 175xl with only 273 hours. Features and Equipment *  Mercury Verado 175xl outboard oil, water pump and maintenance at 259 hours. *  Brand new boat cover *  T-Top (1 year old) *  All vinyl on sitting areas and knee boards replaced 1 year ago. *  New bottom paint March 2015 *  Raw water wash down *  Fresh water wash down (12 gallons) *  101 gallon gas tank *  Hydraulic trim tabs *  Gunwale rod storage *  Front anchor storage *  Large front storage or fish storage box. *  Tilt hydraulic steering *  Dual batteries with switch *  MercMonitor digital gauge *  TBag with 6 life vests *  Raymarine Wi-Fish Chirp Sonar *  Brand New Garmin Striker 7sv Fish finder with CHIRP Sidevu, CHIRP Downvu and CHIRP Sonar (not installed) *  ICOM VHF Radio *  Twin USB charging port Great boat at a great price!",273,5915076222,30.465100,24,-84.112800,Sea Fox,"https://maps.google.com/maps/preview/@30.465100,-84.112800,16z",236 CC,$19500,power,,2006 SeaFox 236 CC For Sale  *MUST GO*,https://tallahassee.craigslist.org/boa/5915076222.html,2006
5,good,,2016-12-11 14:08,"16 foot boat with trailer and 35 force motor, runs but has been sitting got to go $600 OBO call or text show contact info",,5915072319,,16,,,,,$600,power, (Tallahassee Ft Braden),16 ' Boat and Trailer 35 Motor,https://tallahassee.craigslist.org/boa/5915072319.html,
6,fair,"['30.064674', '-84.289727']",2016-12-11 09:52,"1969 Cheoy Lee Luders 30' as is where is 30 minutes outside Tallahassee at Shell Point. Boat has good bones but can use some work. First photos is an example of that make and year boat, not the actual boat. The rest of the photos are actual photos. A great inexpensive boat for someone. Have the title in hand. Contact for exact location etc. $3,500 or OBO",,5875225865,30.064674,30,-84.289727,Cheoy Lee,"https://maps.google.com/maps/preview/@30.064674,-84.289727,16z",Luders,$3500,sail," (Shell Point, FL)",1969 Cheoy Lee Luders 30 ft,https://tallahassee.craigslist.org/boa/5875225865.html,
7,,"['30.064958', '-84.290929']",2016-12-11 09:52,"1969 25' 3"" Catalina Sailboat. Great 1st time or weekend fun boat. Call for directions and info. First photos is just an example of that year and make boat, the rest of the photos are of the actual boat. Or Best Offer",,5875228086,30.064958,25,-84.290929,Catalina,"https://maps.google.com/maps/preview/@30.064958,-84.290929,16z",,$2500,sail," (Shell Point, FL)",1969 25ft 3 in Catalina Sailboat,https://tallahassee.craigslist.org/boa/5875228086.html,1969
8,,"['30.674900', '-85.212200']",2016-12-11 09:51,Want to buy a canoe or Gheenoe in good condition.  From 12' to 17' in length.  Reasonably priced.  Will pay cash.  Call me if you have anything.  See reply.,,5914742540,30.674900,17,-85.212200,,"https://maps.google.com/maps/preview/@30.674900,-85.212200,16z",,,human,,Want to buy canoe or Gheenoe,https://tallahassee.craigslist.org/boa/5914742540.html,
9,,"['29.673900', '-83.372300']",2016-12-11 09:20,"1975 bayliner, 19 foot 4 cylinder Volvo gas in board Volvo pena out drive, very nice trailer, needs work. call show contact info for more info.",,5896478888,29.673900,19,-83.372300,,"https://maps.google.com/maps/preview/@29.673900,-83.372300,16z",,$1800,power," (tennille, fl)",1975 Bayliner,https://tallahassee.craigslist.org/boa/5896478888.html,
10,good,,2016-12-11 09:17,Forsale all or separate,100,5914712149,,14,,Cherokee,,Evinrude,$1600,power, (Tallahassee),14ft riverboat25hp evinrude$1600,https://tallahassee.craigslist.org/boa/5914712149.html,
11,good,,2016-12-11 09:07,$1600,50,5914703350,,14,,Cherokee,,,,power,,Boat. Motor. Trailer. Trolling motor,https://tallahassee.craigslist.org/boa/5914703350.html,
12,good,"['30.593334', '-84.230697']",2016-12-11 08:46,"Selling used 10' John Boat, with Minn Kota 5 speed trolling motor, battery and charger. Boat floats great, motor works wonders. I just don't use it as much as I thought I would. No title on boat; only used on private lakes or without motor.",,5914687558,30.593334,10,-84.230697,,"https://maps.google.com/maps/preview/@30.593334,-84.230697,16z",,$500,human, (Killearn Lakes),"10' John Boat, Electric Trolling Motor, Battery and Charger",https://tallahassee.craigslist.org/boa/5914687558.html,
13,,"['30.210800', '-84.320500']",2016-12-11 07:54,Nice 14' river boat. 35 hp motor.,,5914653938,30.210800,14,-84.320500,,"https://maps.google.com/maps/preview/@30.210800,-84.320500,16z",,$2000,power,,Nice fishing boat,https://tallahassee.craigslist.org/boa/5914653938.html,
