,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['26.152900', '-81.741700']",2016-12-18 21:20,very clean like new boat only 100 hrs 225 4 stroke bathroom bimini fresh water boat from virgina no trailer,,5895352719,26.152900,24,-81.741700,,"https://maps.google.com/maps/preview/@26.152900,-81.741700,16z",,$33900,power, (naples),2010 Nautic Star Deck boat 23ft w 225hp 4 stroke only 100 hrs,https://tampa.craigslist.org/pnl/boa/5895352719.html,
1,good,,2016-12-18 21:17,"FREE 20ft PONTOON, TRAILER, & EXTRAS WITH PURCHASE OF NEW 20 HP MERCURY 4 STROKE $4000 CALL ROBERT show contact info Please DO NOT respond by email, it will NOT be returned",,5924915506,,20,,GDY,,,,power,,FREE 20ft PONTOON W/ purchase,https://tampa.craigslist.org/psc/boa/5924915506.html,1988
2,,"['27.679968', '-82.395697']",2016-12-18 21:10,"This is a must see boat and rare to find in this condition and design. This is a Larson 21 ft Center console that will take you dry and safe in deep water if you choose to go there.  This boat is as clean as you will find in Florida for a 1989,  back when they made boats right. Floor is very solid and inside of the boat looks great. This boat was designed and looks just like a ""Mako""  and that is exactly why I bought it.  The boat hull will shine back to new looking, if you choose to get it buffed.  I have had many boats detailed, and this boat will come out shinning fantastic and has no hull damage or bottom paint. This boat was used in fresh water.  This sale is for the hull and trailer. If interested, come see it, because you must see this boat. Curt",,5921119880,27.679968,21,-82.395697,Larson,"https://maps.google.com/maps/preview/@27.679968,-82.395697,16z",,$3900,power, (Ruskin),"1989 Beautiful 21 CC ""Mako"" look and design",https://tampa.craigslist.org/hil/boa/5921119880.html,1989
3,,"['27.701500', '-82.435500']",2016-12-18 21:10,"This Baja is a performance bow rider. A great family sport bowrider with looks.  Comes stock with the magnum 300 hp mercruiser with only about 200 hours.  Motor is extreamly clean and not salted up at all. Has new risers, manifolds, etc and a rebuilt outdrive with 0 hours.   Boat has a brand new complete interior, storage boat cover and comes with a tandem axle trailer with 4 brand new tires and wheels. $10900 or BO.  Pictures will follow do to the new interior being done at this time. Curt",200,5913536243,27.701500,22,-82.435500,Baja,"https://maps.google.com/maps/preview/@27.701500,-82.435500,16z",212 islander,$10900,power, (Ruskin Fl),"1998 Baja 212 Islander, low hr motor",https://tampa.craigslist.org/hil/boa/5913536243.html,1998
4,excellent,"['28.142100', '-82.590500']",2016-12-18 20:59,"2001 Sea Ray Bowrider with a Mercrusier 3.0 litre 4 cylinder 135 HP with an Alpha 1 outdrive and S/S  prop. (not pictured) This boat is very clean and performs as it should with no issues. Can be test driven on my lakefront for serious inquires. I bought this boat used in 2001 with 44 hrs. and has always been garage kept. (2nd owner) There are no tears in the upholstery and no stains on carpet.  Comes with a bimini top and anchor. Also comes with 18' single axel galvanized trailer with a breakaway tongue. This boat only has 185 hrs and planes out at 45 mph. Rear seats convert to extended padded sun bathing deck. Aft swim platform with S/S ladder and also stowaway all around light. Has everything you need to put on the water. The cleanest boat of it's kind and was originally purchased from Marine Max/Clearwater. Offers are welcomed,Thank you for looking, Jim",185,5890504020,28.142100,18,-82.590500,SEA RAY,"https://maps.google.com/maps/preview/@28.142100,-82.590500,16z",180 bowrider,$8500,power," (Odessa, Fl.)",2001 SEA RAY 180 BOWRIDER,https://tampa.craigslist.org/psc/boa/5890504020.html,2001
5,excellent,[],2016-12-18 20:57,"Great 16ft flats boat for fishing with 2001 Yamaha 80-4 stroke motor! Runs great! Bimini top, live well, wash down system, 2 batteries and switch, compass, VHF radio and antenna. Bottom recently painted. Ready for Fishing! Includes a trailer! $4,000 obo! Call or text Dave!!",400,5914813426,,16,,Mckee Craft,https://maps.google.com/?q=loc%3A+SR+%35%30+Spring+Hill+FL+US,Flats,$4000,power, (Spring Hill),"16FT flats boat,80-4 stroke yamaha & trailer",https://tampa.craigslist.org/hdo/boa/5914813426.html,
6,good,"['27.863300', '-82.349900']",2016-12-18 20:47,"1997 waverunner 700 with trailer , runs & new battery  . asking 1200.00 will consider trade / cash / barter",,5915075300,27.863300,9,-82.349900,yamaha,"https://maps.google.com/maps/preview/@27.863300,-82.349900,16z",,$1200,power,,1997 yamaha waverunner 700,https://tampa.craigslist.org/hil/boa/5915075300.html,1997
7,,"['27.990200', '-82.743300']",2016-12-18 20:33,"38' Tempest Offshore Race Hull.  Very Rare and nice Hull. !!   Good cabin and cockpit interior !!  No damage !!   No motors no drives !!     But rest of boat is nice  . Ready for 454's or outboard conversion $12,000. show contact info",,5924877793,27.990200,38,-82.743300,,"https://maps.google.com/maps/preview/@27.990200,-82.743300,16z",,$12000,power, (Clearwater),38'. Tempest Offshore Race Boat,https://tampa.craigslist.org/pnl/boa/5924877793.html,
8,,"['27.938200', '-82.375600']",2016-12-18 20:25,Not sure in what size boat go's on it but it's in perfect condition has lights  good tires 2in ball no rust ready to go 800 cash show contact info,,5913800620,27.938200,18,-82.375600,,"https://maps.google.com/maps/preview/@27.938200,-82.375600,16z",,$800,power, (Tampa),Ranger boat trailer,https://tampa.craigslist.org/hil/boa/5913800620.html,
9,good,"['27.789800', '-82.724300']",2016-12-18 20:23,"Hello, This is a 1985 monarch Jon Boat. It is a flat bottom boat.14 ft. No motor. Has a storage in the middle seat. The trailer is basically a jet ski trailer. Trailer is sold as handmade, and the boat has a title. I am selling because I want something different now. Comes wit two paddles. If you have any questions please e-mail me thanks and Merry Christmas. Pick up only after payment has been made. Also a Marine battery with come with it. Battery is for trolling motor. But does not come with trolling motor. The boat sits better on trailer I had to move the one piece closer to tongue for more length, so it is ok . Also comes with spare tire and two pvc elbow pipes to lift back lights up so you don't have to get them wet, one new brake light as well is included in package.",,5924869056,27.789800,0,-82.724300,,"https://maps.google.com/maps/preview/@27.789800,-82.724300,16z",,$890,power, (pinellas county),14 foot Monarch Jon Boat 1985,https://tampa.craigslist.org/pnl/boa/5924869056.html,
10,new,"['28.302200', '-82.626400']",2016-12-18 20:20,"MAGIC TILT TANDEM TORSION AXLE ALUMINUM I-BEAM TRAILER FOR BOATS 20'-24' W/ 5,200LBS. NET CARRYING CAPACITY TRAILER IS EQUIPPED WITH TORSION AXLES, STAINLESS STEEL HDWRE.,DISC BRAKES ON BOTH AXLES, CYPRESS CARPETED BUNKS, UPRIGHT SIDE GUIDE POLES, L.E.D. LIGHTS,AND BUDDY BEARINGS. MSRP $4,195.00 NOW $2,400.00 Used once to truck my new boat from the dealer to the marina",,5906383423,28.302200,27,-82.626400,,"https://maps.google.com/maps/preview/@28.302200,-82.626400,16z",,$2400,human, (new port richey),Magictilt dual axle trailer - NEW,https://tampa.craigslist.org/psc/boa/5906383423.html,
