,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['27.139800', '-80.212900']",2016-12-20 16:34,1995 28' Formula in absolutely pristine condition. Kept on lift. 454 MERCRUISER with duo prop outdrive. 556 original hours. With trailer. Adult owned and meticulously maintained. $22K. show contact info,,5927333755,27.139800,28,-80.212900,Formula,"https://maps.google.com/maps/preview/@27.139800,-80.212900,16z",,$22000,power, (Stuart),1995 28' Formula in pristine condition,https://treasure.craigslist.org/boa/5927333755.html,1995
1,,"['27.309400', '-80.345000']",2016-12-20 16:20,For Sale: 5 Seater pedal boat in good condition. Cushions and canopy included. Asking $400 Call Rock @ show contact info,,5927313079,27.309400,0,-80.345000,,"https://maps.google.com/maps/preview/@27.309400,-80.345000,16z",,$375,human,,Pedal Boat For Sale KL Industries 5 Seater w/ Canopy top,https://treasure.craigslist.org/boa/5927313079.html,
2,new,"['25.464299', '-80.480261']",2016-12-20 15:54,BOAT SALE- LEFT OVER MODELS- INFLATABLES-- 12'-- ALUM OR FBGL--5200.00 EACH -----------CALL JAMIE show contact info,,5927176865,25.464299,12,-80.480261,HIGHFIELD,"https://maps.google.com/maps/preview/@25.464299,-80.480261,16z",12',$1,power, (HOMESTEAD),BOAT SALE,https://treasure.craigslist.org/boa/5927176865.html,
3,,"['27.235600', '-80.227700']",2016-12-20 15:34,ALSO EXPERT IN TEAK/WOOD,,5922044328,27.235600,30,-80.227700,,"https://maps.google.com/maps/preview/@27.235600,-80.227700,16z",,$100,power, (RIO/JENSEN),BOATS/RVS/MOTORCYCLES/COMPLETE DETAILING/40 YRS EXPERIENCE!!!!!!!!,https://treasure.craigslist.org/boa/5922044328.html,
4,like new,,2016-12-20 14:42,"Beautiful Yamaha Waverunner Year 2004 Model XL700 10' 3'' with very low use , I use it 6 times since I bought it brand new in the box , you can see in my pictures how new it look , title in hand, brand new battery , start as a brand new car, just inmediately, it run perfect, great power, excellence condition and it worth the money I am asking for . Contact me if you have any question at my cell show contact info (No text or email please just call Thanks) Thanks!",36,5893497901,,123,,Yamaha,,XL700,$3700,power, (Vero Beach),Beautiful Yamaha Waverunner 2004,https://treasure.craigslist.org/boa/5893497901.html,2004
5,,"['27.139800', '-80.212900']",2016-12-20 14:35,"If you see this ad then it is still for sale. Phone calls only, NO TEXT. Mercruiser Workshop Manual 1992 to 2001 Thanks for looking. No calls before 9am or after 9pm. Phone calls only, NO TEXT. First person with $25 cash gets it. If you don't want to pay $25 then don't call.",,5927158236,27.139800,0,-80.212900,,"https://maps.google.com/maps/preview/@27.139800,-80.212900,16z",,$25,human, (Stuart),Mercruiser Workshop Manual,https://treasure.craigslist.org/boa/5927158236.html,
6,like new,"['27.235600', '-80.227700']",2016-12-20 14:33,RESTORED EVINRUDE OUTBOARD MOTORS 1955 Evinrude Aquamatic  7 1/2 HP   $600 with tank - Motor only $450 1958 Evinrude Fleetwin    7 1/2 HP     $600 with tank - Motor only $450 1966 Evinrude Yachtwin  3 1/2 HP folding motor with suite case  - $650 motor only $450,0,5927154543,27.235600,3,-80.227700,Evinrude,"https://maps.google.com/maps/preview/@27.235600,-80.227700,16z",various,$600,power,,Man Cave - Restored Old Evinrudes,https://treasure.craigslist.org/boa/5927154543.html,1955
7,excellent,"['27.262500', '-80.379300']",2016-12-20 14:31,04 hull with 2yr old engine with under 30 hrs. Trailer included. 1500$ show contact info,30,5927150749,27.262500,10,-80.379300,,"https://maps.google.com/maps/preview/@27.262500,-80.379300,16z",Kz 1100,$1500,power, (port saint lucie),04 jet ski,https://treasure.craigslist.org/boa/5927150749.html,2004
8,like new,,2016-12-20 14:13,"GTX 155 & GTI 155 with tandem aluminum trailer.  4 hours on both of them.  Only used twice. 2year warranty still in affect.  Come try them out.  $19,000.00 obo. show contact info",4,5927121983,,10,,Seadoo,,GTX and GTI 155,$19000,power, (Fort Pierce),Two 2015 Seadoos for sale,https://treasure.craigslist.org/boa/5927121983.html,2015
9,like new,"['27.309400', '-80.345000']",2016-12-20 14:12,"2016 Epic 23SC Bay Boat . It has a 175HP Suzuki with fly by wire and smart gauges . A MinnKota 112 FourTrex with a on board charger . A Simrad NS 7 with Sonic Hub , it plays music off your phone , four speakers with a subwoofer. It has rod lockers that each hold five rods and lots of storage space . And a Custom T top .",45,5927120013,27.309400,23,-80.345000,Epic,"https://maps.google.com/maps/preview/@27.309400,-80.345000,16z",23SC,$41500,power,,Epic 23SC,https://treasure.craigslist.org/boa/5927120013.html,2016
