,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['26.990500', '-82.096400']",2016-12-11 19:33,"Immaculate 2016 Ice Blue Sea Hunt Ultra 234 with Yamaha F200XB with 93 hours of use.  Upgrades include, Bait Tank Leaning Post W/Flip Up Bolsters and Tackle Storage on both sides, T-Top Spray Shield, Ski Tow Bar, Trim Tabs W/ Indicator Switch, LED Underwater Fish Lights, Fresh Water System, T-Top Storage Bag and Electrical Box W/ Mounted Marine Radio and Duel Batteries.  The 98 gallon fuel tank has only been filled with non-ethanol fuel.  Also installed are a Garmin Echo Map 94sv and upgraded Yamaha Tach and Speed Fuel Gauges.  Infinity INFPRV350 Stereo W/4 Speakers.  Launching and retrieving this boat is simple with this upgraded aluminum tandem torsion axel trailer W/mounted spare. This boat is a joy to cruise the water on whether you are offshore fishing or just hanging with the family.  Out the door price in April 2016 was over 65K asking 57K.  Please, no Dealers, low ballers or traders, do the research and contact me when you see how good of a deal this is.",100,5904375801,26.990500,23,-82.096400,Sea Hunt,"https://maps.google.com/maps/preview/@26.990500,-82.096400,16z",Ultra 234,$57000,power, (Port Charlotte),2016 Sea Hunt Ultra 234,https://treasure.craigslist.org/boa/5904375801.html,2016
1,excellent,"['27.265500', '-80.338900']",2016-12-11 19:13,"2006 185 Bayliner. I just had a brand new engine installed which has a year warranty, and five hours on it total. Brand new carpet, three brand new JVC speakers with new 800 watt amp, and new Bluetooth enabled radio. New tires on trailer, all lights hooked up. Also includes a cover with straps. Boat seats 8 with cup holders and clean comfortable seating!",3,5915453219,27.265500,18,-80.338900,Bayliner,"https://maps.google.com/maps/preview/@27.265500,-80.338900,16z",185,$15000,power,,Brand new motor! With warranty! 2006 bayliner,https://treasure.craigslist.org/boa/5915453219.html,2006
2,,,2016-12-11 18:19,I'm selling a garage kept well maintained hand made wooden boat this boat comes with two foldable chairs a anchor Minnesota Kota 30 lbs thurst trolling motor marine master battery and battery box two life jackets and hand made paddles sitting on a aluminum trailex trailer this is water ready needs nothing ready to go if interested contact me at show contact info call or text anytimes if I do not answer leave a message and I will get back to you tanks again,,5907554182,,13,,,,,$600,human, (psl),wooden boat,https://treasure.craigslist.org/boa/5907554182.html,
3,,,2016-12-11 17:53,"Flats boat 14' fully restored top to bottom, brand new paint job and non skid, new powder coated aluminum poling platform, brand new console, stainless steering wheel with trolling motor. Boat for sale as is no trailer. Also has 30 HP Evinrude motor runs great. Reason for selling is I have another project witch I need the money for, boat has not yet seen water sense the restoration Contact Adam @ show contact info $2,900 OBO..... Skiff, flats boat, evenrude, poling, backcountry, lake, bay boat",,5915365296,,14,,,,,$2900,power, (North Palm beach),flats boat,https://treasure.craigslist.org/boa/5915365296.html,
4,excellent,"['26.115800', '-80.368100']",2016-12-11 17:28,"This is an Ocean Kayak Scrambler XL angler edition.  Along with the two rod holders built into the kayak, is a crate and custom made rod holders attached to it. Great kayak for the ocean, river or average lake. Also includes Attwood carbon fiber oar",,5915335678,26.115800,12,-80.368100,Ocean Kayak,"https://maps.google.com/maps/preview/@26.115800,-80.368100,16z",Scrambler XL Angler edition,$375,human, (Weston),Ocean kayak Scrambler XL,https://treasure.craigslist.org/boa/5915335678.html,
5,,"['27.449943', '-80.324821']",2016-12-11 17:17,1982 Pearson 36 Cutter also known as a Pearson 367.  Hull number 25 of 49. New Force 10 propane stove and oven never used New air conditioner Deep freezer Sails in great condition Roller Furling Full shower Double sink in galley All new bronze thru hulls installed last year Professional epoxy bottom job applied one year ago Needs some TLC - primarily the fuel tank needs cleaned and v-drive needs looking into.  Engine is a universal 44hp with 3100 hours. Turns over but has not been started in 8 years.  Probably needs rebuilt or replaced. Priced to sell fast.  Sailing season is now. Call or text show contact info,,5915321957,27.449943,36,-80.324821,,"https://maps.google.com/maps/preview/@27.449943,-80.324821,16z",,$12000,sail,,Bluewater Pearson 36 Sailboat,https://treasure.craigslist.org/boa/5915321957.html,
6,excellent,"['26.639600', '-80.082700']",2016-12-11 17:06,"This jet boat was featured in August 1996 Penthouse Edition. This is a rare one of a kind boat for sale. Please only bid if you are serious and intend to buy. This is a show winning boat. Over $30,000 has been invested into this boat. Due to owners failing health this is a quick sale so the first $20,000 firm takes it. This boat has clean title. It has been in  garage for some years but motor turns over. For all details on this boat just see picture showing specifications. Boat does come with trailer shown. Location is West palm Beach, Fl.",,5903613395,26.639600,19,-80.082700,Tahiti,"https://maps.google.com/maps/preview/@26.639600,-80.082700,16z",,$20000,power, (West Palm Beach),1975 19' Tahiti Blower Jet Boat,https://treasure.craigslist.org/boa/5903613395.html,1975
7,excellent,"['27.165600', '-80.291600']",2016-12-11 17:04,2004 twin Honda Jet Ski's with tandem trailer and custom covers. Low hours.  Make an offer!,,5915305401,27.165600,10,-80.291600,Honda,"https://maps.google.com/maps/preview/@27.165600,-80.291600,16z",,$6000,power, (Palm City),Jet ski's for sale with tandem trailer.,https://treasure.craigslist.org/boa/5915305401.html,2004
8,good,,2016-12-11 17:02,Classic Bow rider w/ 150 Mercury. Re-fit 2009 looks and runs great. Needs floor. was replaced in '09 with marine ply but is soft again. includes shoreline 2 axle trailer needs TLC.,600,5915303324,,18,,Wellcraft,,Classic 180,$2700,power, (Palm City),'87 Wellcraft 180 Classic,https://treasure.craigslist.org/boa/5915303324.html,1987
9,,,2016-12-11 16:51,Boat runs great come take a look also boat has title looking to sell bc I need the money so I'm asking 800 obo call me show contact info,,5874396482,,10,,,,,$800,power,,10ft jon boat with 9.9 evinrude,https://treasure.craigslist.org/boa/5874396482.html,
