,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 20:37,"Free service to you, huge blessing to me! In and around douglasville area: Please read entire post. Do you have any non running, or even running for that matter, lawn mowers, push or pull, that you just need out of the way? Perhaps you have weedeaters, blowers, or maybe a chainsaw that no longer works and they are taking up space? While I'm there, I'd also love to pick up those old wheelbarrows, working electric blowers, working electric weedeaters and those working electric edgers that you just no longer use. I would also be love to pick up any of those broken down Go karts, scooters, atvs's, anything that has a small engine on in it that is taking up space and you want someone to get it out of your way, all while knowing you are truly blessing a family by allowing me to help you get back that space? Well here is a chance for us to help each other!! Honestly, I know in most cases it will be helping me much more than it is you and for that, I will be and I am very grateful and appreciative for that blessing. Condition of the items is of no importance because I am constantly in need of parts. Having parts is what's most important so it doesn't matter if motor is locked up, still a blessing to me, right now parts is my biggest need to make this keep working. Pm me if you have something you would like me to pick up and we can set up a convenient time. I will note, during the hours of 11am-2:30pm is my most convenient time due to the kids, bus and all, but that doesn't mean I can never pick up outside those hours. Also as a side note, if I'm there picking up a mower or something, it would be my pleasure to haul off any non working flat panel tvs, laptops, desktop computer towers, old cell phones, anything mostly copper, aluminum, or brass items, even that collection of old keys, which are brass, old car and truck batteries. NOW, If you want to know more about me, and why I ask am doing this,  please read on. What's going on in my family's life, A little over 2 years ago I injured my shoulder and had to have surgery, during my recovery and rehab I began picking up scrap metal and any small engines I was blessed with, I honed my skills as a small engine mechanic and sold them. I did this so that I could still do my part to help provide for my family. Fast forward 2 years, I have recovered and am ready to start the career that I graduated from college for right before my surgery. However, as I readied for my job search, we were blessed with the opportunity to take guardianship  of my 4 nephews for an undetermined amount of time.That makes 7 kids in our home since January of 2016. Well, with daycare expenses and everything else, it just makes sense for me to continue to repair small engines such as mowers and weedeaters etc for resell to do my part because it allows me to be at home most of the time. I'm not afraid to say that God has blessed us and we are not going hungry, we have clothes on all our backs, and a roof over our head, and much of the blessing has come from the kindness of others that have allowed me to pick up from them in the past! If you are someone who has blessed me, thank you so much for being a blessing to us. So This is where I am, what I've been doing and that's why it is a blessing to have you allow me to get them out of your way. Sorry for the lengthy post, but thank you for reading this far and have a truly wonderful and blessed day. Keywords: junk removal haul off scrap mower mowers pick up trash moving mover old lawn equipment",,5927518605,,12,,,,,,human,,Need to make space for that new boat ? Please take a moment to read,https://atlanta.craigslist.org/wat/boa/5927518605.html,
1,,"['34.159403', '-83.932457']",2016-12-20 20:36,"Water ski slalom course for sale. This is a portable slalom course with a nylon mainline on a reel, all the pvc stabilizer tubing and all of the buoys to lay out a 4 buoy practice course. Install in lake in 20 minutes.  Give me a text. $550.00 david 7703six15952",,5927609406,34.159403,01,-83.932457,,"https://maps.google.com/maps/preview/@34.159403,-83.932457,16z",,$550,human, (lake lanier),slalom course - water ski,https://atlanta.craigslist.org/nat/boa/5927609406.html,
2,,,2016-12-20 20:31,"RVs Campers Boats Pontoon Boats Outboard motors Jet skies If your not using it turn it into cash you can use! Please send pics and include a description of what you want to sell, be specific and include your asking price. J.R.",,5927536948,,1,,,,,,power,,Cash for Campers travel trailers and boats,https://atlanta.craigslist.org/atl/boa/5927536948.html,
3,excellent,"['30.394900', '-86.469200']",2016-12-20 20:23,Mercruiser 330hp Most of its life spent in fresh water (spent 2 months in Florida) DRY STORED CURRENTLY Trailer with spare GPS CD Stereo Stainless Steel 3-blade prop New cockpit vinyl just like original Awesome boat! Call 850-31six-6162 for more info,,5887418890,30.394900,22,-86.469200,Sea Ray,"https://maps.google.com/maps/preview/@30.394900,-86.469200,16z",22 Pachanga,$12970,power,,1988 Sea Ray 22 Pachanga,https://atlanta.craigslist.org/atl/boa/5887418890.html,1988
4,,"['33.769900', '-84.295000']",2016-12-20 20:20,"Weather enclosure(also called camping enclosure, bimini enclosure) from 2003 SeaRay 220 Sundeck. Eisenglass surround, with black Sunbrella trim. Attaches to existing zippers on your original bimini. This is original Sea Ray enclosure from Great Lakes Boat Top Company. Very nice condition. Includes visor set, side curtains, aft curtain. It is not on boat. Enclosure only, no boat. Looks like the attached photo, but black, not green. Actual front and side curtain shown.Original cost $1800.00",,5920753151,33.769900,22,-84.295000,,"https://maps.google.com/maps/preview/@33.769900,-84.295000,16z",,$500,power, (Decatur),Bimini enclosure for 220 SeaRay Sundeck,https://atlanta.craigslist.org/atl/boa/5920753151.html,
5,,,2016-12-20 20:10,Two experienced painters with tools available for day rate. We can 3 to 4 rooms in a day. If you would like to see pictures of our work please go to ....... https://www.facebook.com/joshthepainter/ $300 a day for 2 painters. Or price by the job.,,5927554479,,1,,,,,$300,power,,2 PAINTERS- DAY RATE,https://atlanta.craigslist.org/wat/boa/5927554479.html,
6,,,2016-12-20 19:58,"We are Mco Trailers. Our business is pontoon boat trailers. Listed here is our 18 to 22ft HD pontoon trailer. Features include: *Powder Coat Finish. If you have ever spray painted something then you know spray paint just does not last. Powder coat is a more expensive process but is much more resistant to rust. It also keeps your trailer looking new for years to come. *One piece out side frames made from 4 inch box steel. Our trailers are unique in this manufacturing process. Most trailers use several welded pieces to achieve their shape. Ours are cut to length, then shaped creating a much stronger, cleaner looking trailer. The trailer listed here has a ""weight carrying capacity of 3920 lbs. *3 front stairs leading to a platform with a curved hand rail for safety. *9 lights with LED lights in the fenders. Lights make an object much more visible than reflective tape. *New, 13 inch, 6 ply trailer tires. *Acculube brand hubs featuring rubber unbreakable caps. *1500lb tongue jack with 2 wheels. *4 heavy duty drive on guides. *Rear heavy duty welded tie down eyelets. *Wide frame. This insures that no matter how wide your pontoon boat is, it will ride in the middle of the trailer for a much safer ride. Our wider frame also greatly reduces the risk of roll over while towing. *Written one year warranty. This gives our customers piece of mind in the purchase of their trailer. *Fully adjustable bunks, and stairs. We will even adjust the trailer to your boats specs to take the headache out of sizing. Compare our trailers and see why we earn such high praises from our customers. We would appreciate the opportunity to earn your business as well. If there are any questions we could answer for you please let us know. We can also be seen on our web site mcotrailers.com Special limited time pricing. Thank you, Lee M-co Trailers",,5927573064,,27,,,,,$1695,power, (West GA),18 / 22 ft HD Pontoon Boat Trailer,https://atlanta.craigslist.org/wat/bod/5927573064.html,
7,,"['33.679100', '-83.683500']",2016-12-20 19:49,"I have a 16 foot Jon boat. Very stable, decked half way back. I just don't use it anymore and want it gone. It needs nothing   Great duck/reservoir boat. $2500 Obo. Please call or text if you have questions. show contact info my name is Mitch.....No trades. I will remove the ad when sold.",,5927563873,33.679100,16,-83.683500,,"https://maps.google.com/maps/preview/@33.679100,-83.683500,16z",,$2500,human, (Monroe),16 FOOT JON BOAT!!!!,https://atlanta.craigslist.org/eat/boa/5927563873.html,
8,fair,"['33.391500', '-84.563500']",2016-12-20 19:15,"Boat, motor, and trailer. Boat late 80s Renken 17ft Motor late 80s Evinrude 88hp, engine spins, good compression, BUT NOT RUNNING Trailer nice galvanized w good tires",,5927528979,33.391500,17,-84.563500,Johnson,"https://maps.google.com/maps/preview/@33.391500,-84.563500,16z",Evinrude,$750,power, (Peachtree City),17' Renken 88Hp Evinrude,https://atlanta.craigslist.org/sat/boa/5927528979.html,1988
9,excellent,[],2016-12-20 19:10,"Selling my 2011 Crestliner Sportsman 14.5' all aluminum deep-V boat. Comes with a 2008 15 HP Mercury 4 stroke outboard and an EZ-Loader galvanized trailer with a folding tongue. Everything is in like-new condition, stored in carport always and also covered. This Crestliner boat is welded aluminum, no rivets, no dents, no leaks. It has the optional factory rubberized coated interior and floor. Boat engine has less than 15 hours on it and runs great.  This is a tiller model, manual start, with a 20"" long shaft. Motor and carburetor have been serviced recently. It comes with a 6 gallon tank and hose and a large Bimini top (not shown). The trailer is an EZ-Loader, galvanized, with 12"" tires, has spare tire and oiled hubs. This boat is ready for the lakes! Never been in salt water, always used in the Northeast GA lakes. It is in EXCELLENT CONDITION. Price is firm. Sorry, no joy rides. I can start the engine for you.  CASH ONLY. Thanks for looking. Angelo",15,5889773510,,14,,Crestliner,https://maps.google.com/?q=loc%3A+Loving+Rd%2E+at+Beavers+Rd%2E+Morganton+GA+US,Sportsman 14.5',$4599,power, (Morganton/Blue Ridge GA),Crestliner Sportsman 14.5' Aluminum Boat with 15 HP 4 Stroke Mercury,https://atlanta.craigslist.org/nat/boa/5889773510.html,2011
