,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['30.394900', '-86.469200']",2016-12-20 20:23,Volvo 4.3 custom fitted trailer bimini top boarding ladder ski tow eye ski locker call 850-58six-145six for more info,,5927596970,30.394900,18,-86.469200,Reinell,"https://maps.google.com/maps/preview/@30.394900,-86.469200,16z",18,$16970,power,,2007 Reinell 18,https://columbusga.craigslist.org/boa/5927596970.html,2007
1,,"['32.561600', '-84.855900']",2016-12-20 19:42,New pair of Connelly skis sell for $75.00.  Cost ($159.99)a lot more than I am selling for.,,5886592506,32.561600,120,-84.855900,,"https://maps.google.com/maps/preview/@32.561600,-84.855900,16z",,$75,human, (midland),Skis made by Connelly,https://columbusga.craigslist.org/boa/5886592506.html,
2,,"['32.548694', '-84.968948']",2016-12-20 17:27,"THEY COST  2499, NEVER  USED, AIREATES  7 GALS FOR  33 HRS  W/ 2 DOUBLE D BATTERIES,  HANG ON  THE SIDE  APPLICATION, show contact info",,5927403892,32.548694,12,-84.968948,,"https://maps.google.com/maps/preview/@32.548694,-84.968948,16z",,$20,power, (COLUMBUS  GEORGIA),BRAND NEW  BUBBLE BOX FOR MINNOWS//LIVE WELL,https://columbusga.craigslist.org/boa/5927403892.html,
3,new,"['32.478100', '-85.124000']",2016-12-20 14:06,I have a brand new 15x48 aluminum boat with a nice trailer and a 7.5 mercury outboard motor. Asking 2000 or trade for a 4x4 hunting truck or samurai show contact info,,5927111781,32.478100,15,-85.124000,,"https://maps.google.com/maps/preview/@32.478100,-85.124000,16z",,$2000,power, (Phenix city al),15ft boat with trailer,https://columbusga.craigslist.org/boa/5927111781.html,
4,excellent,"['33.282000', '-83.978400']",2016-12-20 10:24,"this trailer is 16 ft long from tip to tip , the frame is 48 in wide, a good winch w/steel cable . this had a 16 ft boat on it. this should carry a 12 to16 jon ft boat with no trouble . this has 12 in tires w/bearing buddies on the axle. lights are almost new and do work. this is also a tilt trailer. every thing is adjustable, bunks, winch, axle. the tires hold air. this is a well built trailer with only surface rust. no serious rust. tow it home , only 250 cash NO TEXTS calls only 678--572--7 4 3 6,,,,,, NO TEXTS 9 am to 9 pm only please ONLY $ 250 CASH",,5926753068,33.282000,16,-83.978400,,"https://maps.google.com/maps/preview/@33.282000,-83.978400,16z",,$250,power, (GRIFFIN),JON BOAT  TRAILER,https://columbusga.craigslist.org/boa/5926753068.html,
5,,,2016-12-20 08:36,this boat needs interior and some flooring but we used it all summer and you can still use it it runs good and everything works except the fuel gauge has a new boss radio with Bluetooth it's a fixer up if you want or use it...has the 5.0 inboard with thunderbolt ignition 2000 cash,,5926627132,,19,,bayliner,,carpi,$2000,power, (phenix city),bayliner,https://columbusga.craigslist.org/boa/5926627132.html,1990
6,new,[],2016-12-20 08:22,I built this. It is a hand made 16 ft river runner canoe The only time I put it in the water after I got it built was to water test it. Everything you see in these pictures is hand made other than the hardware.,,5923736032,,16,,,https://maps.google.com/?q=loc%3A+%32%37%30%37+%31%32+th+st+phenix+city+GA+US,don wells,$3000,human, (Phenix City),16 ft Cedar Strip Canoe,https://columbusga.craigslist.org/boa/5923736032.html,2016
7,,"['33.396700', '-86.834600']",2016-12-19 22:33,"2000 CHAMPION 191 WITH 2005 YAMAHA 200 HPDI WITH ONLY 260 HOURS!! LOWRANCE HDS 7 GEN 3 AT CONSOLE MOTOR GUIDE TROLLING MOTOR ON BOARD CHARGER HOT FOOT BLINKER TRIM RANGER, SKEETER, TRITON, STRATOS, PHOENIX, BASS BOAT",,5902332435,33.396700,19,-86.834600,,"https://maps.google.com/maps/preview/@33.396700,-86.834600,16z",,$14700,power, (Hoover),** CHAMPION 191 **,https://columbusga.craigslist.org/boa/5902332435.html,
8,good,,2016-12-19 19:04,"2000 Sylvan Deck Boat 19 ft with trailer $10,000 OBO - Seats redone this summer - 120 Nissan (only non-ethanol fuel used) - New Radio - New Battery - New Lower Unit - Tires 6 months old - All seat bases, backs etc. are made from plastic/composite type material not wood so no worry for rot Boat runs great and is a good boat for family use. Seats 8-10 comfortably. Does have some damage/wear on the metal sheeting but for its age it's in awesome condition!! Make an offer. May be willing to trade for a nice toy hauler (plus cash).",,5926153547,,19,,Sylvan,,,$10000,power, (Dothan),2000 Sylvan Deck boat 19ft,https://columbusga.craigslist.org/boa/5926153547.html,2000
9,,,2016-12-19 18:18,Offering a vintage great condition 3.9 hp Mercury air cooled boat motor. 150.00 Obo.,,5926100983,,36,,,,,,power,,3.9 hp Mercury boat motor. Vintage and great condition,https://columbusga.craigslist.org/boa/5926100983.html,
10,,"['32.536900', '-84.927400']",2016-12-19 17:44,"Nice 2010 Mako 18 LTS  /2010 90 Mercury Optimax (low hours) Excellent condition ,garage kept, Aluminum Trailer Garmin 741 XS, Stereo w 4 WP Speakers,Motor Guide wireless TM 24v,3 bank batter charger,ss 4 blade prop.Call or text 706 681 363one",,5926057640,32.536900,18,-84.927400,,"https://maps.google.com/maps/preview/@32.536900,-84.927400,16z",,$17500,power, (Columbus Ga),Mako 18 LTS,https://columbusga.craigslist.org/boa/5926057640.html,
11,,"['32.536900', '-84.927400']",2016-12-19 17:43,"2010 Mako 18 LTS  /2010 90 Mercury Optimax (low hours) Excellent condition ,garage kept, Aluminum Trailer Garmin 741 XS, Stereo w 4 WP Speakers,Motor Guide wireless TM 24v,3 bank batter charger,ss 4 blade prop.Call or text 706 681 363one",,5926056740,32.536900,18,-84.927400,,"https://maps.google.com/maps/preview/@32.536900,-84.927400,16z",,$17500,power, (Columbus Ga),Mako 18 LTS,https://columbusga.craigslist.org/boa/5926056740.html,
12,,"['32.536900', '-84.927400']",2016-12-19 17:43,"Nice 2010 Mako 18 LTS  /2010 90 Mercury Optimax (low hours) Excellent condition ,garage kept, Aluminum Trailer Garmin 741 XS, Stereo w 4 WP Speakers,Motor Guide wireless TM 24v,3 bank batter charger,ss 4 blade prop.Call or text 706 681 363one",,5926056080,32.536900,18,-84.927400,,"https://maps.google.com/maps/preview/@32.536900,-84.927400,16z",,$17500,power, (Columbus Ga),Mako 18 LTS,https://columbusga.craigslist.org/boa/5926056080.html,
13,,"['33.369600', '-84.819400']",2016-12-19 17:36,"Lake ready Fish and Ski with matching trailer,115 HP Mercury,livewells,lights,new seats,solid boat, and no leaks,ready to take to lake!!",,5903604768,33.369600,17,-84.819400,Astro,"https://maps.google.com/maps/preview/@33.369600,-84.819400,16z",Fish and Ski,$3500,power,,17'Fish and Ski with 115HP Mercury,https://columbusga.craigslist.org/boa/5903604768.html,1991
14,,"['31.981856', '-85.110092']",2016-12-19 17:18,"This houseboat is TurnKey ready,fullsize frigerator, two AC units, Master Birth has full size bed, two bunk beds, plus a pull out sofa, sleeps 6 comfortable. It's a 12 by 42ft with plenty of room for family and friends. Enjoy three decks to play on, this bad boy is powered by a single engine Volvo Penta 305 Chevy with a Volvo Penta outdrive it also has a 8.5 KW westerbeke generator. Boat motor and Generator run perfect. Whole Lotta other extras too many to mention call for more information.",692,5890544291,31.981856,42,-85.110092,Gibson,"https://maps.google.com/maps/preview/@31.981856,-85.110092,16z",Lazy cruise with flybridge,$32500,power,,1984 Gibson lazy Cruz houseboat with flybridge,https://columbusga.craigslist.org/boa/5890544291.html,1984
15,,"['32.536900', '-84.927400']",2016-12-19 17:18,"Super nice boat. runs grea,new seat covers will come with the boat",,5890545087,32.536900,14,-84.927400,,"https://maps.google.com/maps/preview/@32.536900,-84.927400,16z",,$3500,power,,97 Seadoo Challenger jet boat,https://columbusga.craigslist.org/boa/5890545087.html,
16,,"['32.743970', '-85.778503']",2016-12-19 13:17,2008 SunChaser Classic Cruise 8522 Cruise Sunchaser's 8522 Cruise is a pontoon that offers space and comfort for all of your family and friends to have fun on the water. 22ft Bimini top Mercury 115 4stroke w/ only 203 hours Seating capacity:14 Tandem axle Tennessee trailer included Rear boarding ladder Docking lights Stereo Mark 770-7I5-638O,,5908226266,32.743970,22,-85.778503,,"https://maps.google.com/maps/preview/@32.743970,-85.778503,16z",,$15999,power, (Lake Martin),2008 Smokercraft Sunchaser 115 Mercury w/ trailer,https://columbusga.craigslist.org/boa/5908226266.html,
17,,"['32.741371', '-85.778847']",2016-12-19 13:17,"1997 Harris 240 Classic 24ft Mercrusier 3.0 Upholstery has been redone Hard top Trailer not included but available for purchase Sale price of: $9,000 Mark 77O-7I5-638O Cell",,5902616575,32.741371,24,-85.778847,,"https://maps.google.com/maps/preview/@32.741371,-85.778847,16z",,$9000,power, (Lake Martin),1997 HARRIS 240 CLASSIC NEW UPHOLSTERY,https://columbusga.craigslist.org/boa/5902616575.html,
18,,"['32.743104', '-85.779190']",2016-12-19 13:16,"One owner 1995 Sea Ray 220 Signature serious 727 fresh water hours Amazing Condition Great sounding aftermarket stereo system ( new speakers, tweeter, amps, sub under helm) Always kept on covered boat lift when not in use Dual batteries with selector switch Bimini top Bow filler cushion **Price does not include a trailer but one can be added if needed. If you feel like this could be the right boat for you please call for more information or to schedule a showing. Thanks for your interest! Sale price of: $12,999 Mark 77O-7I5-638O Cell show contact info Office",,5917492327,32.743104,22,-85.779190,,"https://maps.google.com/maps/preview/@32.743104,-85.779190,16z",,$12999,power, (Lake Martin),Super Clean all origional 1995 Sea Ray 220 Signature Series,https://columbusga.craigslist.org/boa/5917492327.html,
19,excellent,"['33.282000', '-83.978400']",2016-12-19 11:50,"this trailer is 16 ft long from tip to tip , the frame is 48 in wide, a good winch w/steel cable . this had a 16 ft boat on it. this should carry a 12 to16 jon ft boat with no trouble . this has 12 in tires w/bearing buddies on the axle. lights are almost new and do work. this is also a tilt trailer. every thing is adjustable, bunks, winch, axle. the tires hold air. this is a well built trailer with only surface rust. no serious rust. tow it home , only 250 cash NO TEXTS calls only 678--572--7 4 3 6,,,,,, NO TEXTS 9 am to 9 pm only please ONLY $ 250 CASH",,5925422251,33.282000,16,-83.978400,,"https://maps.google.com/maps/preview/@33.282000,-83.978400,16z",,$250,power, (GRIFFIN),JON BOAT  TRAILER,https://columbusga.craigslist.org/boa/5925422251.html,
20,,"['32.536900', '-84.927400']",2016-12-19 10:44,"just call  come  by, over  25  years  exp in boat reapirs,takes  10  min,  to  find  the  worst  place on ur  boat, then  make  it  shine, show contact info im  north  col",,5904830640,32.536900,17,-84.927400,,"https://maps.google.com/maps/preview/@32.536900,-84.927400,16z",,$1,power, (COLUMBUS  GEORGIA),faded gelcoat/metalflake? free  demo,https://columbusga.craigslist.org/boa/5904830640.html,
21,,,2016-12-18 22:45,"1985 fully ski Nautique 2001 7-oh-syx-3-thuree-2-too-nyne-3-4 New Marine ford 351w motor  70 hrs,  acme wake board prop, winterization kit, new gauges, new dual batteries, new alternator, new starter, serviced trailer, monster mtk tower w board racks, custom ballast system, custom interior, new bilge pump, new floor, new carpet, led navaral lights, rebuilt holler Marine carb, holley blue electric fuel pump, runs like a dream",70,5884579184,,21,,Correct craft,,Nautique 2001,$9950,power, (Columbus),1985 Ski Nautique 2001,https://columbusga.craigslist.org/boa/5884579184.html,1985
22,good,"['30.200700', '-85.813600']",2016-12-18 21:21,"1991 Pro Line 230 Walkaround Sold As IS 225 evinrude in good shape and running. - New sea star steering -All new tires with new spare as well -Aluminum trailer -New buddy bearings -Electronics included (Furuno GPS, Apelco Depth Finder, Uniden Ship to Shore, Transducers, Antennas.) -All controls in place -New cuddy cabin cushions -Anchor -Baitwell with pump -All batteries -Bimini top -Swim ladder -Bait station with 2 non aerated bait wells -Misc storage compartments Various items in need of repair but nothing major -Minimal spiderwebbing with no soft spots in hull -Front hatch plexiglass has crack in it but can be replaced at a minimal cost -Misc brackets, buttons and knobs may need replacing -Trailer needs new runners and rollers eventually but are usable as is -Boat was previously set up for stereo system but has not been used in year. New stereo may be desired if not can be left as is. -New battery cables may be preferred but they work as is -Baitwell was installed aftermarket. Will need to be hooked back up. Takes less than an hour. Perfect for fishing or offshore cruising. Wish I didn't have to sell and will be sad to see it go! Additional info and pictures upon request. Pick-up preferred but delivery can be arranged for fee. $5500 OBO ALL OFFERS CONSIDERED!!!!",,5924918978,30.200700,24,-85.813600,Pro Line,"https://maps.google.com/maps/preview/@30.200700,-85.813600,16z",230,$5500,power, (Panama City Beach),Pro Line 230 Walk Around 1991,https://columbusga.craigslist.org/boa/5924918978.html,
23,good,[],2016-12-18 11:42,"Comfortable for all day paddling. Gives good performance to advanced paddlers and still maintains a forgiving nature for the less experienced. Great surf boat, works really well in big water with sharp lines,  helps with carving. Really great all around river runner/surf boat with some play potential. Suitable for medium to small kayakers. There are some scratches on the hull from use. I love this boat and I hate to see her go but I'm trying to pay for an album. Available for pickup in Columbus, Ga. Length: 236cm Width: 63cm Weight: 16kg Max Load: 85kg Type: River Running Freeride User Guide: Beginner-Advanced Features include: Proline 500 Outfitting Superlinear Polyethylene Shell Adjustable Seat System Adjustable Ratchet Backrest Adjustable Thigh Braces Adjustable Bulkhead Footrest with Two Plate Sizes Microcel Foam Walls Two Security Bars Drain Plug",,5924254243,,236,,Pereption,https://maps.google.com/?q=loc%3A+%31%30%30%30+Bay+Ave%2E+Columbus+GA+US,Method Air,$400,human," (Columbus, Ga)",Perception Method Air Kayak For Sale,https://columbusga.craigslist.org/boa/5924254243.html,
24,excellent,,2016-12-18 09:06,"Good running boat Fish Finder Wireless Motor Guide Trolling Motor Kept Covered Maintained Winterized 8,500 OBO",,5924097190,,20,,Tahoe,,Tahoe Q4 Ski Fish,$8500,power," (Columbus, ga)",2006 Tahoe Q4 Ski Fish,https://columbusga.craigslist.org/boa/5924097190.html,2006
