,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['33.312700', '-83.362800']",2016-12-20 19:46,1989 pontoon. Tracker marine. 24 ft. 90 hp Force engine. Runs good. Trailer not included.,,5899045222,33.312700,24,-83.362800,Tracker Marine,"https://maps.google.com/maps/preview/@33.312700,-83.362800,16z",24 dl,$3000,power, (Eatonton),Tracker 24 dl pontoon,https://macon.craigslist.org/boa/5899045222.html,1989
1,,,2016-12-20 18:08,"16' Scandy White with Stick Steer and tunnel hull, also has pontoon stabilizers on back of the boat. This is not your average job boat! Motor on the back is a 60hp Merc (Non-Ethanol Only) with an electric CMC Jack Plate and new interior lights with Fish Finder and Trolling Motor. Garage kept and never ran on the river. $7000 or trade for a newer model Side-x-Side like a Polaris Ranger. Call or Text 253-459-four4three8.",,5905664218,,16,,,,,$7000,power, (Macon),16' Scandy White Tunnel Hull w/ Stick Steer,https://macon.craigslist.org/boa/5905664218.html,
2,good,"['32.811800', '-83.565000']",2016-12-20 17:41,I have a nice 16ft bass tracker with a 40hp evinrude outbord runs good also has a foot control trolling motor. It is a stick steer with a built-in live well and power bills pump,0,5927421115,32.811800,16,-83.565000,Bass tracker,"https://maps.google.com/maps/preview/@32.811800,-83.565000,16z",,$5000,power,,Bass tracker,https://macon.craigslist.org/boa/5927421115.html,1989
3,like new,,2016-12-20 14:15,"I bought this Waverunner brand new August 2015.  It is scary fast and only has 21 hours on it.  Don't have time to ride it and it's too much machine for an old man.  Top of the line supercharged 3 seater.  Garage kept and doesn't have a single scratch on it.  Comes with cover, trailer, ski vests, ropes and a full tank of gas.  Don't call trying to get it for a cheaper price.  I'm not hurting for money and the price is firm.  If you don't have the money don't call.  I'm busy...  Don't call with offers to help me to sell it.  You'll only get cussed out and hung up on.  (4SEVEN8-THREE9ONE-7ONE6EIGHT)  Ask for Dana",21,5927094237,,10,,Yamaha,,FZS,$10000,power, (Macon),2014 Yamaha Waverunner FZS  21 hours,https://macon.craigslist.org/boa/5927094237.html,2014
4,good,"['32.460500', '-83.728300']",2016-12-20 11:52,17'starcraft has 60 hp tilt an trim runs great has lowrance depth finder 45lb thrust motor guide trolling motor had new power pack put on carbs went through ..sale or  trade for stick steer.. obo,,5926889188,32.460500,17,-83.728300,,"https://maps.google.com/maps/preview/@32.460500,-83.728300,16z",,$3700,power,,17'starcraft,https://macon.craigslist.org/boa/5926889188.html,
5,,"['33.141000', '-84.175900']",2016-12-20 10:28,"this trailer is 16 ft long from tip to tip , the frame is 48 in wide, a good winch w/steel cable . this had a 16 ft boat on it. this should carry a 12 to16 jon ft boat with no trouble . this has 12 in tires w/bearing buddies on the axle. lights are almost new and do work. this is also a tilt trailer. every thing is adjustable, bunks, winch, axle. the tires hold air. this is a well built trailer with only surface rust. no serious rust. tow it home , only 250 cash NO TEXTS calls only 678--572--7 4 3 6,,,,,, NO TEXTS 9 am to 9 pm only please ONLY $ 250 CASH",,5926759058,33.141000,16,-84.175900,,"https://maps.google.com/maps/preview/@33.141000,-84.175900,16z",,$250,power, (BARNESVILLE),16 FT JON BOAT  TRAILER,https://macon.craigslist.org/boa/5926759058.html,
6,,"['33.080000', '-83.237900']",2016-12-20 08:59,"2003 Skeeter ZX225, 225HP Yamaha HPDI. Power pole 8' blade with wireless foot switches, ethernet-linked Lowrance HDS 10 gen 2's at console and bow, structure scan at console, hotfoot, pro trim at console, hydraulic steering, lock r bar, 3 bank onboard charger, recessed trolling motor tray, 80lb Minn Kota trolling motor, lighted compartments, livewell pump-out, swing away tongue on trailer, trailer brakes, red canvas cover for boat and motor, 2 skeeter life jackets. New power head with less than 20 hours on it; outboard has around 280 hours in total. $20000 Ranger, stratos, triton, basscat, tracker, nitro, charger, mercury, evinrude, motorguide, lowrance, humminbird",,5923199198,33.080000,20,-83.237900,,"https://maps.google.com/maps/preview/@33.080000,-83.237900,16z",,$19995,power, (Milledgeville),SKEETER BASS BOAT,https://macon.craigslist.org/boa/5923199198.html,
7,,,2016-12-20 07:52,"1996 stratos 219F 175 fast strike Johnson has 315 hours since new Extra clean, new seats,HDS 5 lowrance gen 2 (new) 80ib minn Kota terovva auto pilot(new) 2 lowrance (front and rear) fish finders 16 new rod holders assy 3 new batterys Replaced seals and changed dope in rear foot of engine have new seats for rear for 3 people to troll with extra stainless steel prop also has 3 bank charger on board Everything works on boat and trailer asking 16,500 OBO Call Tommy at show contact info DO NOT EMAIL! WILL NOT REPLY!!",,5926593577,,19,,,,,$16500,power,,1996 stratos,https://macon.craigslist.org/boa/5926593577.html,
8,excellent,"['33.119400', '-83.823500']",2016-12-20 07:27,"i just got through building this boat,i put it in the water once to make sure there were no leaks.i need a bigger boat so my grand baby can go fishing with her dad and i so this really nice boat must go.ill start with the trailer,it has new tires and wheels,new lights and wiring harness,new chains and a new winch strap.the boats a 1436 lowe boat and everything on it is brand new,i installed new casting decks made of 3/4 adventec 50 yr plywood,new outdoor carpet,new minn kota 45 lb thrust trolling motor with a big foot switch so it only runs when you have your foot on the switch.new trolling motor battery,new hummingbird piranha depth finder,new front and rear running lights,new custom deluxe camo high back seats,new seat mount bases and pedestals,new fuel tank and fuel line.the motor is a 98 johnson 15 horse with a new carb,fuel pump and output shaft.after i bought it i took it to the boat shop to make sure it was what the guy said it was and the guy at the boat shop said it was a nice motor and everything was fine.i just registered the boat and its good till 2019.so if your looking for a nice boat that everything works on,this would make you a nice one.will trade for a side by side,thanks for looking",,5915716474,33.119400,14,-83.823500,lowe,"https://maps.google.com/maps/preview/@33.119400,-83.823500,16z",,$3700,power, (juliette),like new 14' lowe boat,https://macon.craigslist.org/boa/5915716474.html,
9,like new,,2016-12-20 07:02,"2014 Triton 18XS dual console tournament ready bass boat. Mercury 175 Pro XS engine with SS prop. Boat has just been serviced, confirming 78 engine hrs. Jackplate. Hotfoot. Blinker trim. Just added new this year: Motor Guide Xi5 80lb  24v trolling motor with remote. Absolutely awesome control of the boat! TWO new HDS 9 gen3 lowrance units. Both flush mounted and linked operating the New Structure Scan 3-D system. Three new blue top optima batteries. One cranking, 2 trolling. This boat has been garage kept, as well as, covered since i purchased it new. Single axle trailer with disc brakes and road armor protective finish. Custom Aluminum wheels and Radial Tires. Vault Hubs w/ 10  yr warranty. Fitted Triton canvas travel cover. Removable second console not currently installed. triton, ranger, skeeter, nitro",78,5912493453,,18,,Triton,,18XS Tournament,$33805,power, (Gray),2014 Triton Bass Boat,https://macon.craigslist.org/boa/5912493453.html,2014
10,good,"['32.892600', '-83.745500']",2016-12-19 22:45,"1970 Ryan Craft Bass Boat, Motorguide 12 volt 45lb. with extended handle. New running lights, New Cranking Battery,New Trolling motor Battery, New 3gal. gas tank, new anchor mate, New Stick Steering, 1968 Evinrude 33 Ski-Twin, Has new Gears in foot, New Prop. Drive on tilt trailer, New tires. Boat is solid does not leak a drop.Runs great at low speed, Boggs  when full throttle, Registered till 2019.Need a bigger Bass boat to take the family along. 2350.00 OBO would possibly trade for bigger Bass boat.",,5885354128,32.892600,14,-83.745500,Ryan Craft,"https://maps.google.com/maps/preview/@32.892600,-83.745500,16z",Bass Boat,$2350,power, (Macon),Ryan Craft Bass Boat,https://macon.craigslist.org/boa/5885354128.html,1970
11,,,2016-12-19 21:48,1982 17.5 ft astroglass fish and ski boat,,5926315436,,175,,astroglass,,,$1800,power, (Warner robins),1982 astroglass 17.5 150 Mercury,https://macon.craigslist.org/boa/5926315436.html,1982
12,,,2016-12-19 21:48,12 foot jon boat no leaks. 300 obo,,5926314994,,12,,,,,$300,human, (Warner robins),12 foot jon boat,https://macon.craigslist.org/boa/5926314994.html,
13,like new,[],2016-12-19 19:07,"2013 Encore By Bentley 20' Exceptionally clean boat, 2014 60 HP Mercury with less than 10 hrs, $17,800. Extras Include24V Trolling Motor, electric Anchor, Bimini top, changing room, Porta-Potty, Rod holders, Fishing seats, Large Live-well, AM/FM/CD, 4 Speakers, and many more extras are included. Trailer is a 24' single axle. No rust. Call me for more info. can provide pictures if requested. SERIOUS BUYERS ONLY.",9,5926143432,,20,,Encore/Bentley,https://maps.google.com/?q=loc%3A+%34%32%38+Courtney+Ln+Perry+GA+US,200 Fish SE,$17800,power, (Perry),2013 Encore By Bentley 20',https://macon.craigslist.org/boa/5926143432.html,2013
14,good,"['32.636800', '-83.639500']",2016-12-19 18:32,I have for sale a 17 foot V-hull alumacraft with new decking and carpet. Has a 60hp engine that runs like a scalded dog!!! Will fly to where ever you need to go. Great for tournaments or just dragging the kids on their tubes. For the right price will even throw some tubes in. The trailer is in great shape. New tires and bearings were all replaced at the same time. I'm not interested in trades I have too many toys as it is. If you have any questions just ask. Can call or text anytime. show contact info,,5903408734,32.636800,17,-83.639500,Alumacraft,"https://maps.google.com/maps/preview/@32.636800,-83.639500,16z",,$2000,power, (Warner Robins),17ft alumacraft,https://macon.craigslist.org/boa/5903408734.html,
