,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['34.051635', '-85.578175']",2016-12-20 20:45,Used Perception sport angler edition with Paddle.  Cash only and pick up only.,,5918446559,34.051635,11,-85.578175,Perception,"https://maps.google.com/maps/preview/@34.051635,-85.578175,16z",Sport,$250,human," (Centre, AL)",Perception Sport-angler edition SOT Kayak-Used,https://nwga.craigslist.org/boa/5918446559.html,2014
1,,"['34.111600', '-85.609200']",2016-12-20 20:45,Jackson Riveria kayaking excellent condition.  Paddle included.  Pick up only and cash only.,,5916386014,34.111600,11,-85.609200,Jackson,"https://maps.google.com/maps/preview/@34.111600,-85.609200,16z",Riveria,$350,human," (Centre, AL)",Jackson Riveria SOT kayak-used,https://nwga.craigslist.org/boa/5916386014.html,2014
2,new,,2016-12-20 19:56,"We are Mco Trailers. Our business is pontoon boat trailers. Listed here is our 22 to 24ft pontoon trailer. Features include: *Powder Coat Finish. If you have ever spray painted something then you know spray paint just does not last. Powder coat is a more expensive process but is much more resistant to rust. It also keeps your trailer looking new for years to come. *One piece out side frames made from 4 inch box steel. Our trailers are unique in this manufacturing process. Most trailers use several welded pieces to achieve their shape. Ours are cut to length, then shaped creating a much stronger, cleaner looking trailer. This one has a weight carrying capacity of 3,920 lbs. *3 front stairs leading to a platform with a curved hand rail for safety. *9 lights with LED lights in the fenders. Lights make an object much more visible than reflective tape. *New, 13 inch, 6 ply trailer tires. *Acculube brand hubs featuring rubber unbreakable caps. *1500lb tongue jack with 2 wheels. *4 heavy duty drive on guides. *Rear heavy duty welded tie down eyelets. *Wide frame. This insures that no matter how wide your pontoon boat is, it will ride in the middle of the trailer for a much safer ride. Our wider frame also greatly reduces the risk of roll over while towing. *Written one year warranty. This gives our customers piece of mind in the purchase of their trailer. *Fully adjustable bunks, and stairs. We will even adjust the trailer to your boats specs to take the headache out of sizing. Compare our trailers and see why we earn such high praises from our customers. We would appreciate the opportunity to earn your business as well. If there are any questions we could answer for you please let us know. mcotrailers.com Thank you, Lee M-co Trailers",,5927570895,,28,,,,,$1995,power, (West Ga),22 / 24ft pontoon boat trailers,https://nwga.craigslist.org/bod/5927570895.html,
3,,"['34.283700', '-85.223100']",2016-12-20 18:30,"Trolling motor works good just got a remote one , motor guide 71 pound thrust $400 OBO",,5892797632,34.283700,45,-85.223100,,"https://maps.google.com/maps/preview/@34.283700,-85.223100,16z",,$400,power, (Rome),Trolling motor,https://nwga.craigslist.org/boa/5892797632.html,
4,,"['34.283700', '-85.223100']",2016-12-20 18:30,"Trolling motor works good just got a remote one , motor guide 71 pound thrust $400 OBO",,5888556771,34.283700,45,-85.223100,,"https://maps.google.com/maps/preview/@34.283700,-85.223100,16z",,$400,power, (Rome),Trolling motor,https://nwga.craigslist.org/boa/5888556771.html,
5,,"['34.283700', '-85.223100']",2016-12-20 18:30,"Trolling motor works good just got a remote one , motor guide 71 pound thrust $400 OBO",,5892791530,34.283700,45,-85.223100,,"https://maps.google.com/maps/preview/@34.283700,-85.223100,16z",,$400,power, (Rome),Trolling motor,https://nwga.craigslist.org/boa/5892791530.html,
6,excellent,"['34.758900', '-84.794300']",2016-12-20 16:55,"Excellent condition remodeled with compete exterior paint / new tinted windows / all new flooring / interior updating / new upholstery /  Nissan/Chrysler Diesel engine!!! New carpet / Has bow thrusters! A/C is new / New fridge and stove / New countertop and sink / Has big swim platform on rear with easy water entry & exit also has flybridge. Hard to find houseboat on beautiful ocoee, tn. ""Parksville lake"" or Ocoee lake... Mouth of ocoee river rafting /kayaking area. Docked at lake Ocoee  under covered dock with power and sewer / water hookup. MAKE US A RESPECTFUL OFFER! WE LOVE THE BOAT BUT HAVE STARTED NEW BUSINESS!!! TINY HOUSE THAT FLOATS! Open to good trades! Land trade / RV / Dump truck / Service truck / Dump truck /Bulldozer / Excavator/ Equipment / Heavy machinery / Dodge diesel / Heavy duty truck / Service truck We can accept credit cards! Camping / boat / pontoon / rafting / cabin / mountain getaway / floating home / lake house / waterfront / fishing cabin / motorhome / ski / tube / wakeboard / runabout",1500,5913330372,34.758900,36,-84.794300,GIBSON,"https://maps.google.com/maps/preview/@34.758900,-84.794300,16z",36ft diesel,$18700,power, (LAKE OCOEE),"GIBSON 36 ft HOUSEBOAT ""winter price""",https://nwga.craigslist.org/boa/5913330372.html,1976
7,,[],2016-12-20 12:44,"NEW 2017 PLEASURE ISLAND 20 SUNDECK POWERED BY TOHATSU 50HP 4-STROKE OUTBOARD WITH 5 YEAR FACTORY WARRANTY. 25 INCH TUBES WITH BOTTOM KEEL STANDARD ON ALL MODELS. FACTORY DIRECT PRICING INCLUDES POWER TRIM/TILT, STEREO, REAR ENTRY WITH SWIM LADDER, VINYL FLOOR, BIMINI TOP. CALL BIG MIKE FOR MORE DETAILS. REEL DEAL SPORTS OF MURPHY NC LET US BUILD YOUR NEW PONTOON TODAY !!!! BEST PRICE !!! FACTORY DIRECT !!!! NO MIDDLE MAN !!!! web address pleasureislandboats.com",0,5926862176,,20,,PLEASURE ISLAND,https://maps.google.com/?q=loc%3A+%37%30%34+HIGHWAY+%32%39%34+Murphy+GA+US,2086 Sun Deck,$19995,power, (Murphy),NEW 2016 PLEASURE ISLAND 2086 PONTOON 50HP 4-STROKE OUTBOARD,https://nwga.craigslist.org/boa/5926862176.html,2017
8,,"['34.078241', '-84.643568']",2016-12-20 08:42,"1987 Baja Boat Force 200. 21' LOA powered by Mercruiser 305 with over 250hp Alpha One Outdrive , right now winterized   interior need redone has a cuddy cabin ,floors are good  $1600    text show contact info will consider any trade  just shoot me offer Boat is located in douglasville  ...... 4380 Newton cir douglasville 30134",120,5926615247,34.078241,21,-84.643568,Baja,"https://maps.google.com/maps/preview/@34.078241,-84.643568,16z",Force 200,$1600,power, (Douglasville),1987 Baja force 200 Trade or sale,https://nwga.craigslist.org/boa/5926615247.html,
9,excellent,"['34.075600', '-84.647700']",2016-12-19 22:57,"look look look 1st. $4000 firm best boat on the list after xmas back to $6500 this boat will go up after new years was just used in lil yachty video ""loso boat"" https://www.youtube.com/watch?v=1jkz9bSrnxU This is the BIG SHOW! It gets no better than this. Be the big dawg on the lake and watch all your friends waning to be on your boat not theirs. This is the best 4th of July special on the list! Light up the 4th of July in this awesome Ebbtide Dyna-Trak Fish n Ski Features include: Two working live wells Air filtration system 55lb thrust Motorguide Wireless Trolling Motor Powered with 150 Horses Mercury Black Max Lots of storage Tilt and Trim All gauges working Bilge pump and aerators Special Amenities included as follows: 1200 underwater green leds Three 7in Tvs Tv1 features touchscreen, dvd player, navigation system, usb/sd card reader, tv tuner giving you local broadcast channels Tv2 and Tv3 Mounted in head rest (This strong 150 will always keep someone behind you, give them something to see!) 1500 watt amp powering a massive 12in Bazooka Tube (Knocks like a nightclub!) 900 Remote control LED Lights with 24 different colors and 10 different progressions A convenience table with 300 remote control lights Valid Registration until July 2019, I am the second owner Making this the ultimate boat for recreation and fishing! Pictures taken on Lake Allatoona 12/12/2016 $6750 obo 678-437-50six four show up & show out on the lake. with this one",,5926346878,34.075600,18,-84.647700,ebbtide,"https://maps.google.com/maps/preview/@34.075600,-84.647700,16z",180ss dyna-trak fish & ski,$4000,power, (acworth),light up xmas only 1st.$4000 wow wow$4000,https://nwga.craigslist.org/boa/5926346878.html,
