,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,,2016-12-20 17:42,"Maveric tunnel hull flats boat Yamaha 50hp 2 STROKE. Engine runs well and is very clean and had a recent foot oil change and check up. Boat has hydraulic jack plate and trimtabs as well as auxiliary input stereo. Trailer is in descent shape and has some rust, has new tires. I have a lowrance hds7 gps ready to install and plan on installing new Nav lights in the coming weeks. If you buy before I install price is $6000 or if I install $6500 OBO. I have titles for everything. Due to a lost title conflict between 1st and second owner hull title says homemade, I am certain it's not homemade! I am 3rd owner with clean titles in hand. This is not your $20,000 flats boat with all the goodies. This is a working mans boat. This boat has some scratches and minor defects from use if you are a perfectionist. Boat does not have livewell",,5912597186,,15,,,,,$6500,power, (Bluffton SC),Maverick flats boat,https://savannah.craigslist.org/boa/5912597186.html,
1,good,"['32.017500', '-80.997000']",2016-12-20 15:40,1986 17 Boston Whaler Montauk with Suzuki 4-stroke 2006 90 horse extremely low hours on the motor with a brand-new looking aluminum trailer comes with Fish And depth finder stainless steel prop and Bimini top the boat starts right up and runs great no problems at all excellent on gas,,5927255809,32.017500,17,-80.997000,,"https://maps.google.com/maps/preview/@32.017500,-80.997000,16z",,$8500,power, (SAVANNAH),Boston Whaler 17 Montauk,https://savannah.craigslist.org/boa/5927255809.html,
2,good,"['31.995900', '-81.235800']",2016-12-20 14:53,"Power drive v2 used last year, used part off of it for my other motor, needs either a new foot pedal or could upgrade to a wireless motor with a copilot kit, also needs a prop text only show contact info savannah ga",0,5927185150,31.995900,0,-81.235800,0,"https://maps.google.com/maps/preview/@31.995900,-81.235800,16z",0,$150,power, (Savannah),minn kota power drive v2,https://savannah.craigslist.org/boa/5927185150.html,0
3,like new,,2016-12-20 14:51,"Selling my Seadoo Utopia 205 Jet Boat, Twin 155 Rotax motors totaling 310HP with low hours, boat will do 57mph, non-supercharged (no rebuilding superchargers) very hard to find. Stored covered in warehouse, Great condition, Bimini top is built into boat and folds away, mostly Lake Gaston use, very little brackish water use, always cleaned, GPS fixed mounted, Stereo with new speakers, AUX, CD, amp, etc. Dual batteries with aftermarket switch, Table for picnics, boat cover, ropes, life jackets, wake-board, dock bumpers. 2010 Tandem axle trailer instead of the little one it comes with it, completely rebuilt axles all new, fold away tongue. Trailer was 4k alone, this boat and package is worth 25K plus. $19,900. All titles are free and clear, I will take serious buyers out for water trial, please be considerate of everyone's time, thank you. Lots of extras. 3 person tube, 2 person tube, several ski jackets, lines, anchor, wakeboard and more! Video Available Any and all inspections welcome. Just detailed, performs to factory specs and turnkey! Reasonable offers considered. Valuations available... Will consider delivering in FL and up and down east coast close to 95.",100,5897956212,,20,,Sea-Doo,,205 Utopia,$19900,power, (Palm Coast),Immaculate 2007 Sea-Doo 205 Utopia with 2010 Dual Axle Trailer,https://savannah.craigslist.org/boa/5897956212.html,2007
4,new,"['28.778025', '-81.254146']",2016-12-20 14:51,"2017 Bare Hulls with 5 year Warranty Starting at $3200, Add inside Gunnels $400, Add Center or Side Consoles $395, 2017 Aluminum Trailers $950, From Bare hulls to fully rigged turn key. Quality stands a loan. Call us today you will be glad you did.",,5927181727,28.778025,15,-81.254146,skimmerskiff.com,"https://maps.google.com/maps/preview/@28.778025,-81.254146,16z",skimmer14,$3200,power, (Sanford),Flats Boat/Skiff,https://savannah.craigslist.org/boa/5927181727.html,2017
5,,"['32.314000', '-81.389600']",2016-12-20 13:26,"I have a stainless stiletto  prop 11.75"" 19 pitch 13 tooth  standard rotation for small hub Johnson, Evinrude, and OMC New used one time it was to much for my boat paided $283 New asking $100 obo. Contact Nick call or text anytime 912-704-75fourzero",,5906171414,32.314000,0,-81.389600,,"https://maps.google.com/maps/preview/@32.314000,-81.389600,16z",,$100,power, (Guyton),stainless prop,https://savannah.craigslist.org/boa/5906171414.html,
6,excellent,"['32.108200', '-81.174600']",2016-12-20 13:09,2001 Action Craft Flats boat. 2003 50 Hp Mercury 2-stroke. 16' Aluminum trailer with torsion axle. Hydraulic Trim tabs. 18' Push pole. Contact Emmett for details. show contact info,,5923089088,32.108200,16,-81.174600,Action Craft,"https://maps.google.com/maps/preview/@32.108200,-81.174600,16z",1600 Tournament Edition,$7900,power, (Garden City),Action Craft 1600 TE,https://savannah.craigslist.org/boa/5923089088.html,2001
7,good,"['35.867300', '-78.538100']",2016-12-20 12:56,"GREAT DEAL !!SEARAY 190 SIGNATURE powered by Mercruiser 5.0L 230HP Runs great !New starter ,new battery.  plenty of room for friends for cruising, ski-ing and wake boarding. Trailer in good condition with dual axle , good tires. Please call show contact info NO TRADE,",248,5903298816,35.867300,19,-78.538100,SEA RAY,"https://maps.google.com/maps/preview/@35.867300,-78.538100,16z",SIGNATURE 190,$7500,power, (RALEIGH),GREAT DEAL!!2001 SEA RAY 190 MERCRUISER 5.0L,https://savannah.craigslist.org/boa/5903298816.html,2001
8,like new,"['32.054300', '-81.049200']",2016-12-20 12:06,"18 ft BOSSMAN TORTUGA LOADED!!!!!,  F70 FOURSTROKE YAMAHA7INCH TOUCH GARMIN,ENGINE READOUT ON GARMIN,FUEL CONSUMPTION,RPMS,HOURS VOLTS, REMAINING FUEL IN TANK,HYDRAULIC STEERING/UFLEX,MICRO ANCHOR BY POWERPOLE,FUSION STEREO W/BLUETOOTH 4 SPEAKERS,MINKOTA TROLIING MOTOR WITH I-PILOT 80LB THRUST 24V WIYH 2 BANK CHARGER BOAT HAS DUAL BATTERY SYSTEM UNDER CONSOLE 18FT STIFFY PUSH POLE ALUMINUM TRAILER FLOAT ON",40,5922274496,32.054300,18,-81.049200,BOSSMAN,"https://maps.google.com/maps/preview/@32.054300,-81.049200,16z",TORTUGA,$22900,power, (thunderbolt),18 ft flats,https://savannah.craigslist.org/boa/5922274496.html,2014
9,excellent,"['31.896200', '-81.294000']",2016-12-20 11:53,"2012 Bass Tracker Pro Team 175TF with trailer, fish Finder, trolling motor, and 60 HP motor. No more than 30 hours on motor. Will have hours documented by Bass Pro Shop upon purchase agreement.  $2000+ worth of extra accessories:  two (2) Mantis Original Pro Plus umbrellas with two swivel seat mounts; Orthopedic Seats front and rear for easy fishing, two (2) mounted rod holders, Bose AM/FM Stereo system with speakers; four (4) life vest; all safety gear; 50lb drop anchor with 50 feet of rope; spare tire with bracket,trolling motor.Too much to list.  This boat is ready for the water.  Always Garage Kept, excellent condition except minor dings from normal use.  $13,00. Firm..",25,5904393710,31.896200,18,-81.294000,Pro Team 175 TF,"https://maps.google.com/maps/preview/@31.896200,-81.294000,16z",,$13000,power, (Richmond Hill),Bass Tracker Pro Team 175 TF,https://savannah.craigslist.org/boa/5904393710.html,2012
