,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,new,"['32.440800', '-81.774000']",2016-12-20 19:13,"Comes with yakattack rod holder, native fish bag, torpedo bait tube and tackle boxes, used twice and in  perfect condition, 650.00, open to trades",,5927526591,32.440800,13,-81.774000,Vibe,"https://maps.google.com/maps/preview/@32.440800,-81.774000,16z",Seaghost 130,$650,human,,2016 Vibe seaghost,https://statesboro.craigslist.org/boa/5927526591.html,2016
1,,,2016-12-20 10:45,14ft boat with trailer ...No motor or Title show contact info,,5911661541,,14,,,,,$600,human, (Bluffton),Boat,https://statesboro.craigslist.org/boa/5911661541.html,
2,,,2016-12-19 21:52,"1998 15ft Maverick tunnel hull flats boat 2002 Yamaha 50hp 2 STROKE. Engine runs well and is very clean and had a recent foot oil change and check up. Boat has hydraulic jack plate and trimtabs as well as auxiliary input stereo. Trailer is in descent shape and has some rust, has new tires. I have a lowrance hds7 gps ready to install and plan on installing new Nav lights in the coming weeks. If you buy before I install price is $6000 or if I install $6500 OBO. I have titles for everything. Due to a lost title conflict between 1st and second owner hull title says homemade, I am certain it's not homemade! I am 3rd owner with clean titles in hand. This is not your $20,000 flats boat with all the goodies. This is a working mans boat. This boat has some scratches and minor defects from use if you are a perfectionist. Boat does not have livewell",,5926281323,,15,,,,,$6500,power, (Bluffton SC),Maverick Flats Boat,https://statesboro.craigslist.org/boa/5926281323.html,
3,excellent,"['32.386900', '-82.587100']",2016-12-19 14:46,"2005 G3 165 Eagle with matching G3 Trailer and Yamaha outboard. This boat is an all welded aluminum one piece hull. 60hp 4 stroke EFI Yamaha with only 110 hours on it. (Original motor that came with the boat). Boat is in excellent condition with no rips or tears in the seats or interior. Comes with: -Minn Kota foot controlled trolling motor. -13 gallon on board fuel tank. -20ft. Matching trailer with detachable locking tongue. -2 adjustable pedestal seats front and rear. -7' lockable rod box and three other lockable compartments for safekeeping of supplies, gas tank, and batteries. -15 gallon aerated livewell. -800 GPS self priming livewell. -On board charging system. Boat is shelter kept with a cover when not in use and serviced religiously. Wanting to trade for something with more seating space due to having more kids. Possibly a Tahoe or Bayliner style boat. Something with a walk through windshield. Really just looking to trade but open to offers. Have tubes, kneeboard, and accessories for the right trade. 912-two4five-8five4two",110,5925797517,32.386900,17,-82.587100,G3 165 Eagle,"https://maps.google.com/maps/preview/@32.386900,-82.587100,16z",,$12000,power," (Soperton, Ga.)",G3 Eagle w/ Yamaha Outboard,https://statesboro.craigslist.org/boa/5925797517.html,2005
4,excellent,"['32.181200', '-81.665600']",2016-12-19 14:25,I have a 6 hp evenrude that I've had for two years on a 15' fiberglass boat. It has a new fuel pump and the water pump was replaced before I purchased it. This is a great motor that's never let me down. It pushed my heavy boat and 4 people up river faster then you could jog plenty of times. Shallow shaft for the shallow areas and it does safely come up if you hit a log or somthing. I'm only wanting to sell it because I just got a 9.9hp and I rather not have an extra motor doing nothing in the yard. I'm wanting $375 this is a great deal for this motor only going that low to be fair since I bought it for that price. Give me a call an come take a look show contact info,,5895785059,32.181200,3,-81.665600,Evenrude,"https://maps.google.com/maps/preview/@32.181200,-81.665600,16z",,$375,power, (Pembroke),6hp evenrude runs great,https://statesboro.craigslist.org/boa/5895785059.html,1989
5,,"['32.440800', '-81.774000']",2016-12-19 09:21,1993 Sea Doo XP w/ ShoreLand'r Trailer for sale Jet ski is in great shape. Good compression at 150psi in both calendars. Fires right up and runs strong. Needs absolutely nothing. Ready to run and will be a long lasting very reliable jet ski for many seasons to come. Trailer is also in great shape w/ good tires and buddy bearings. Call or text Ryan with any questions @ Nine One Two - Five Three Six - Nine Zero Five Five,,5925255228,32.440800,8,-81.774000,,"https://maps.google.com/maps/preview/@32.440800,-81.774000,16z",,$2250,power,,Sea Doo XP Jet Ski w/ ShoreLand'r Trailer - Seadoo Jetski PWC,https://statesboro.craigslist.org/boa/5925255228.html,
6,,,2016-12-18 12:44,"Mastercraft Maristar Sport. 22.5 feet in excellent condition. This boat has only 218 operating hours. It has the LT1 Corvette motor. 340 hp. It also comes with a new prop. $550. In addition to this boat you will have all the accessories that are shown within the photo, and three sets of water skis. These are all quality O'Brien water skis in new condition. The trailer is in excellent condition, all the lights are working properly, the tires are in great shape, and it pulls nicely. This boat has plenty of power to do anything you need. It tops out at almost 60 mph. It has mammoth torque. It sounds great as well. I am the second owner. The first owner was a doctor. I took possession of this boat about one month ago. I'm selling it, because I am disabled, and it is for me more of a task to enjoy than I first anticipated. You won't be disappointed. It also comes with a snap-on bow cover, a snap-on mid-cover, and a very thick all weather full-length cover. This boat has been garage kept its entire life. It has only been used in freshwater.",,5924312375,,225,,,,,$21000,power, (Brooklet),1998 Mastercraft Ski boat,https://statesboro.craigslist.org/boa/5924312375.html,
7,,,2016-12-17 11:06,"RXT has 35 hours and GTX has 31 hours.  I am also including Sea Doo covers for both, four life vests, Tatoo wakeboard, extra keys, including instructional keys, and all manuals. These skis have never been tied to docks, so they do not have scratches. We only put 6 hours on both last year and need the storage space in my garage.",,5918342742,,10,,,,,$3000,power,,🏠🏢🏠🏢Mint Condition RXT GTX Sea Doos and Trailer,https://statesboro.craigslist.org/boa/5918342742.html,
8,good,"['32.743900', '-81.628700']",2016-12-15 09:12,"2001 Kawasaki STS 900 Jet Ski with trailer 3 Seater, will pull a tube or knee board Runs good and has only been in fresh water Adult ridden 120 hours",,5920219408,32.743900,122,-81.628700,Kawasaki,"https://maps.google.com/maps/preview/@32.743900,-81.628700,16z",STS 900,$1800,power, (Sylvania. GA),2001 Kawasaki STS 900 Jet Ski,https://statesboro.craigslist.org/boa/5920219408.html,2001
9,good,"['32.459300', '-82.938100']",2016-12-14 11:20,"For sale 1995 Carolina Skiff J14 with a 25 Mercury (trailer included also). Boat is a stick steer has a Eagle fish-easy fish finder and anchor mates. I purchased the boat in early 2016 and used it twice on the river. Boat is in good shape and ready to be used. NADA value is just under $3,000. Price is negotiable. Please contact by text show contact info",,5909296901,32.459300,14,-82.938100,Carolina Skiff,"https://maps.google.com/maps/preview/@32.459300,-82.938100,16z",J14,$2400,power, (Dublin),Carolina Skiff J14,https://statesboro.craigslist.org/boa/5909296901.html,1995
