,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['19.940534', '-155.799501']",2016-12-20 15:53,KAI'S PERSONAL BOAT. BROUGHT IT FROM MAUI 4 MONTHS AGO AND IT SITS NEVER SEEING WATER. KAI STATES IT WAS BUILT IN MID 2013. COMES WITH KAI'S NEW COVER AND 2 RACKS. NO LEAKS. NEVER ANY MAJOR OR MINOR DAMAGE. COME TAKE A LOOK. SEARCH WORDS: TIGER KAI OUTRIGGER STINGRAY OSPREY HURRICANE ZEPHYR  KAMANU EHUKAI HUKI JOHN+MARTIN OCPADDLER SCORPIUS PEGASUS PUEO AMA LAKO XM BOAT CANOE,,5911513255,19.940534,21,-155.799501,,"https://maps.google.com/maps/preview/@19.940534,-155.799501,16z",,$3500,human, (WAIKOLOA VILLAGE),OC OC1 OC-1 ANTARES LIGHTWEIGHT,https://honolulu.craigslist.org/big/boa/5911513255.html,
1,fair,"['21.422800', '-157.811500']",2016-12-20 15:23,2 boat trailers for sale hundred dollars. 20ft and 22ft Double axle trailers Needs work,,5927597817,21.422800,22,-157.811500,,"https://maps.google.com/maps/preview/@21.422800,-157.811500,16z",,,human,,2 boat trailers,https://honolulu.craigslist.org/oah/boa/5927597817.html,
2,good,"['21.292800', '-157.755200']",2016-12-20 15:22,"Remember, nothing less then $18k. That's what we have into it. Selling points on trailer- 1. Kodiak stainless steel brakes and hardware. 2. Kodiak Trailer Surge Brake Actuator. 3. Reverse lockout solenoid. (Deactivates the brakes and allows you to back up trailer) 4. Trailer has 3 coats of rust-inhibitor primer and 3 coats of rust oleum marine grade oil based paint. 5.Â Â All new LED Trailer lights. Side markers, turn signals and brakes. Engines- 1. Twin Merc 200's 1982-84 2 Stroke. Custom built. 2.Â Â Hours on engine unknown. 3.Â Â Compression on all 6 cylinders for both engines are at 130psi. This compression check was done about 2 months ago. 4. Port engine rotates opposite of starboard. 5.Â Â Port side engine carbs rebuilt 2 months ago. Random items- 1. New RPM gauges 2. New Battery Voltage gauges. 3.Â Â New fuel gauge and fuel sender located in tank. 4. New fuel filters with water separator. 5. New fuel lines from tank to engine 6. New fuel primer bulbs. 7. New steering hydraulic lines between pump and engines. 8. Flushed steering lines added new steering fluid. 9. New fuel primer solenoids. (When u hold key in, it allows fuel to flow into cylinders) 10.Â Â Flywheel stator electrical lines replaced. On both engines. 11.Â Â Forward Cabin hatch replaced with Starboard and new hinges and hardware. ($200. Starboard is expensive) FYI- that fish finder/nav is mine. It was never billed into the boat expenses.",,5927539677,21.292800,30,-157.755200,,"https://maps.google.com/maps/preview/@21.292800,-157.755200,16z",,$19000,power,,_ SCARAB JET Twin 200 outboard mo,https://honolulu.craigslist.org/oah/boa/5927539677.html,
3,,"['21.408400', '-157.965200']",2016-12-20 15:16,"Wilderness pamlico 135 st tandem kayak , hardly used , $600 Obo  291-8734 nopaypal",,5918125774,21.408400,135,-157.965200,,"https://maps.google.com/maps/preview/@21.408400,-157.965200,16z",,$600,human,,Wilderness pamlico 135st tandem,https://honolulu.craigslist.org/oah/boa/5918125774.html,
4,,,2016-12-20 15:12,1984 Livingston LV14 hull with brand new 20HP Yamaha 4-stroke motor and new EZ Loader trailer. 3-year warranty on the motor (extendable for 6 years) and 2-year on trailer. Call/text/or email for details. 14' Livingston official specs from World Cat: http://worldcat.com/models/lv14-livingston/,,5901300966,,14,,Livingston,,LV14,$6500,power, (Honolulu),14' Livingston boat with brand new Yamaha 20HP and EZ Loader Trailer,https://honolulu.craigslist.org/oah/boa/5901300966.html,
5,fair,[],2016-12-20 14:52,"Three Hobie-14 Catamarans, all need work.  Repairs to soft hulls started, but not completed. I believe there are sails, masts, trampolines and most parts for these boats.  The plan had been to convert them all to Turbo 14's with jibs, but we lost our energy to complete.",,5927567636,,14,,Hobie,https://maps.google.com/?q=loc%3A+Puainiko+at+Kileaua+Hilo+HI+US,Hobie-14,$750,sail, (Hilo),Three Hobie-14 Catamarans,https://honolulu.craigslist.org/big/boa/5927567636.html,
6,good,,2016-12-20 13:46,Two penn 130st on bent butt 130 class poles and two penn 14/0's on straight butt 130's. give me your best offer. show contact info,100,5927498558,,6,,Penn,,130st,$3000,human, (Kailua Kona),Penn 130 st,https://honolulu.craigslist.org/big/boa/5927498558.html,2008
7,,,2016-12-20 13:40,Penn 130h Just reel No line,1,5917908945,,10,,Penn,,1,,power,,Penn 130h reel,https://honolulu.craigslist.org/big/boa/5917908945.html,2002
8,like new,"['21.299800', '-157.843900']",2016-12-20 13:39,"Beautiful boat, all wood construction. . Length 11'6"". Beam 45"". Weight is 150lbs. Passengers,3. can take a  motor 2-10hp. Speed 8-25mph. Does not include a motor.",,5893990924,21.299800,12,-157.843900,,"https://maps.google.com/maps/preview/@21.299800,-157.843900,16z",,$1500,human, (Piikoi),"11' 6"" foot mahogany runabout boat",https://honolulu.craigslist.org/oah/boa/5893990924.html,
9,new,"['21.406300', '-157.744800']",2016-12-20 13:34,"2017 Glasspros 18' Flatbottom Center console with Yamaha 25hp and Trailer- $15,895 Molokai and Kaneohe Bay Special. Super Shallow draft. Great Boat for the Flats and Inside Reefs. Super Efficient hull that requires minimum power and gives great fuel economy. Also Available with Yamaha, Honda and Mercury 20, 25 and 40hp 4 stroke motors. Financing available with as little as 10% down and $155/mo. Hawaii's Only 5 Star Certified Service Center with the only current Factory Certified Technicians in Hawaii, extensive Service Management Training and completion of Extensive Training Courses by Technicians Hawaii's and the West Coast's only Master Tech, The Highest Technician Certification only achieved by an Elite Few that have passed the Industry's Most Advanced Training Programs Windward Boats Inc. ENTRANCE TO KAILUA TOWN 808-263-6030 789 KAILUA Rd. KAILUA, HI 96734 BOAT AND MOTORS DEPARTMENT SALES HOURS: MONDAY - SATURDAY 9:00 a.m.  -5:30 p.m. BBB A+ Rating",,5927484674,21.406300,18,-157.744800,,"https://maps.google.com/maps/preview/@21.406300,-157.744800,16z",,$15895,power, (Windward Boats),2017 Glasspros 18' Flatbottom Center console w/ Yamaha 25hp & Trailer,https://honolulu.craigslist.org/oah/bod/5927484674.html,
