,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,"['41.324232', '-87.819557']",2016-12-20 15:54,14' Jon with a 2006 Mercury 9.9 four stroke. Galvanized trailer with galvanized rims and spare. Also includes power drive trolling motor and Eagle locator. Boat does not leak a drop. Title for boat and trailer in hand.,50,5924491730,41.324232,14,-87.819557,,"https://maps.google.com/maps/preview/@41.324232,-87.819557,16z",,$2350,power, (Peotone),14' Jon Mercury and trailer.,https://bn.craigslist.org/boa/5924491730.html,
1,excellent,,2016-12-19 15:21,"1985 16' polar kraft semi V. 1984 mercury 50hp, power tilt and trim, runs great. completely re- done, new paint and carpet. titles for both boat and trailer. $3500 OBO. cash only. call or text show contact info",1,5925941435,,16,,polar kraft,,16,$3500,power, (MANITO),1985 16' Polar Kraft,https://bn.craigslist.org/boa/5925941435.html,1985
2,,"['40.470500', '-88.943300']",2016-12-19 11:20,"Must sell, so make me an offer.  Now's your chance to get a great deal, cause I could use some Christmas cash.  Spotless, loaded, and always stored indoors, I'm selling the boat and every accessory you need to go boating. This boat is mechanically perfect.  The motor was just rebuilt, with maintenance records and receipts (literally has zero hours on the motor), new impeller, spark plugs, and fluids.  Get a great deal on my GT 185 with the XL package, an extended swim platform, Satellite/CD/AM/FM four speaker sound system, Faria gauges, depth finder, full snap in carpet, pilot seat bolster, tilt steering, stainless steel upgrades, and more. This boat looks like it did the day it came from the factory. Powered by a 135hp 3.0L Volvo Penta engine with a Volvo Penta outdrive, it tops out at 50mph, but sips gas while cruising. Tows easily on a single axle EZ Loader trailer, factory painted to match - with surge brakes, bearing buddies, and a swing away tongue. Comes with everything you need to start boating today, including: -bimini top -two tubes -two sets of skis -slalom ski -knee board -tow ropes -life jackets -fenders -dock lines -full snap in canvas travel covers -waterproof storage cover -winterizing kit -anchor Call or text me with any questions. This boat is priced below the NADA average retail of $15,090 (which doesn't include any of the water sports equipment). Only selling because the kids prefer the pool these days, so its taking up space in the garage and not getting the time on the water that it deserves. Title in hand.",,5916161970,40.470500,19,-88.943300,Glastron,"https://maps.google.com/maps/preview/@40.470500,-88.943300,16z",GT 185,$12900,power,,*Glastron GT 185* - Price Reduced,https://bn.craigslist.org/boa/5916161970.html,2007
3,,,2016-12-18 18:57,14' aluminum Jon boat with Evinrude 9.9 front trolling motor battery lites and fuel tank and depth finder runs good no leaks asking 1100obo,,5924845883,,14,,Jon boat,,14&amp;#39; Jon boat,$1100,power, (Chenoa),14 flat bottom,https://bn.craigslist.org/boa/5924845883.html,
4,excellent,,2016-12-18 16:54,"Offering up for sale is our well kept, one owner San Juan 23 sailboat. Purchased new in 1979 with a matching Calkins trailer. It's spent it's life in and with our family, seen many vacations in Puget Sound, Wa., B.C. Canada, San Francisco, Monterey and Oakland Bays, as well as plenty of time on the water in the lakes in an around California, Wisconsin and now Illinois. It has always fared well no matter the weather, never left us stranded and always brought us home safe and sound. She's a great boat, and has been part of many  happy memories. It is with sadness, but happiness that it's time to pass her on to another family to enjoy. She's a smooth sailer, swing keel, rigged for single-handed sailing. I've solo'd this boat at 14 years of age and was very comfortable doing so. Both the hull and deck are rock solid, with ZERO deflection in either. The teak could use refinishing, hull and deck could use a good buffing/waxing but she cleans up good and is perfectly usable right now, as is. There are at least four sails, including the main sail, working jib, genoa and spinnaker. All are in great condition with no rips, tears, holes or patches. There is possibly a spare main sail, but I'd have to make sure. All hardware and gear is in proper working order, and everything needed to run the spinnaker is there. It will need batteries and a new selector switch. As far as I know all of the lights work, but again, needs batteries. There is more interior cabin space thn many boats her size. Perfect for either day, weekend or weeklong getaways. She's set up to sleep 4. There's a forward berth and two cabin-length bench seats that are suitable for sleeping on. Portable head in the forward berth. LOTS of storage room, ad by LOTS I mean A TON of storage room. Fold down table for dining, sink, and portable stove (if I can find it). All running rigging is in good shape and she'll come with everything I have for her including anchors, seat cushions and swim ladders. Comes with the outboard motor she's had with her for years. It's a Honda 7.5 that's been entirely converted to a 10.0, only still has the 7.5 cover. It's a great, dependable outboard that usually starts on the first pull, every time. 5 gallon gas can included. Don't let her age fool you. She's a great boat with plenty of life left, just needs a little face lift and a good cleaning. I have no fears or apprehensions in running this boat anywhere and would be completely comfortable with dropping her in the water tomorrow for a weekend trip somewhere. The trailer is in great shape and is also ready to run. It does need the lights fixed up but I have it ready to go with temporary (magnetic) lights. It's got ""Bearing Buddies"" installed and greased up about 600 miles ago. We just pulled boat and  trailer down from Central Wisconsin and had zero issues. Pulls straight and true. It's equipped with ""surge brakes"" and as far as I know or can tell, they work. Replacement parts are still readily available for both boat and trailer. Titles are in hand for both. Come make her yours and start up some photo albums of your own great happy family memories. She'll be there for you, ready to go at  moment's notice. I'd love to get $3,500 for her, but am completely open to offers and am not unreasonable or unrealistic and would consider any offer you may present. Please do come take a look at her, she likes visitors and doesn't bite. I don't appreciate spammer/scammers, and I don't need help selling it unless you have a friend or family member that could be interested. Thanks. Sail, boat, trailer, Honda, engine, outboard, hull, vacation, live aboard, Catalina, O'day, Mariner, sloop, ship, etc.",,5911708280,,23,,Clark,,San Juan 23,$3200,sail,,San Juan 23 with trailer - One Owner,https://bn.craigslist.org/boa/5911708280.html,1978
5,excellent,"['39.950200', '-88.445100']",2016-12-17 21:09,"© craigslist - Map data © OpenStreetMap (google map) length overall (LOA): 18 make / manufacturer: Ranger model name / number: 354XT propulsion type: power year manufactured: 1994 1994 Ranger 354XT Mercury XR6 150HP 2 Owner boat, I bought from the original owner in 2010. New carpet New seats Optional 3rd gas tank under seats Humminbird 998C SI on console. Minn Kota trolling motor Motor Mate motor transom saver 24P Predator 4 blade (reworked by Mark Croxton in 2013) 1994 Ranger Trail trailer Newer tires Complete new brake actuator New bearings New calipers and pads Completely rewired and LED lights installed New Fulton winch New Bow and Stern rollers Extras: 2 Spare props ( PowerTech TRO4 24P 4 blade and a 25P Tempest Plus 3 blade) Flow-torq hub kit Humminbird 798C (update to down imaging software version) Several bottles of Mercury Quickclean and Mercury Quickstor Several gallons of Mercury Premium Plus 2 stroke oil One of first 354XTs, built in late 1993. No Paypal or checks, cash deal.",,5920620134,39.950200,18,-88.445100,Ranger,"https://maps.google.com/maps/preview/@39.950200,-88.445100,16z",350XT,$7500,power," (Ivesdale,IL)",1994 Ranger 354 XT,https://bn.craigslist.org/boa/5920620134.html,1994
6,like new,"['40.620500', '-88.975900']",2016-12-17 12:29,I've got a like new mud buddy has barely been used great condition have original paperwork for it also and extra prop,,5898858226,40.620500,12,-88.975900,Mud buddy,"https://maps.google.com/maps/preview/@40.620500,-88.975900,16z",,$1500,power, (Hudson il),23hp Kohler mud buddy,https://bn.craigslist.org/boa/5898858226.html,
7,good,"['40.512400', '-88.988300']",2016-12-17 08:14,1992 16 foot Lowe w/ 45hp Mariner motor,,5922874113,40.512400,16,-88.988300,,"https://maps.google.com/maps/preview/@40.512400,-88.988300,16z",,$3400,power, (Bloomington/Normal),16 Foot Lowe,https://bn.craigslist.org/boa/5922874113.html,
8,,"['40.512400', '-88.988300']",2016-12-15 18:33,2013 party barge ..24ft ..cover .very nice ..hardly used ..40hp mercury ....like new trailer,,5888778061,40.512400,24,-88.988300,,"https://maps.google.com/maps/preview/@40.512400,-88.988300,16z",,$15000,power, (normal),2013 party barge,https://bn.craigslist.org/boa/5888778061.html,
9,new,,2016-12-15 14:46,"Have two humminbird fishfinders for sale. Don't have a boat anymore so I do not need them. They were both bought in July of this year(2016). Mounted them on the boat. Took it out twice and they both worked great. The fishfinders were never out in the elements to get rained on or sunbaked. Always were inside. Sold the boat. One of them is the Helix 5 with down imaging and Gps. The other one is a 197c pirhanna. Both work great. Have transducers, power wires and mounts for both. Helix 5 -------$300obo 197C---------$80obo. Contact me at 217- eight seven one-8135. Thanks",,5916679579,,1,,,,,$1,power, (Lincoln),Humminbird Fishfinders,https://bn.craigslist.org/boa/5916679579.html,
