,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-19 16:56,Got a 1992 15' Alumacraft Fisherman 150. Has  28 hp Evinrude. Ran last year but didnt make It to water this year. Needs some cleaning up but In good condition.  Title in hand.  $1200 or possible partial trade.,,5926074044,,15,,,,,$1200,power, (Clinton Lake),1992 15'  Alumacraft boat,https://chambana.craigslist.org/boa/5926074044.html,
1,,,2016-12-19 10:58,"Two SeaDoo Jetskis a GTX & GTI w/trailer, All in excellent condition! Just picked up from World Of Power Sports- completely gone through, tuneups and winterized! Both have custom covers included! $4500 OBO show contact info Ridgefarm, IL.",,5916799982,,10,,,,,$4500,power," (Ridgefarm, IL.)",Two SeaDoo Jetskis & Trailer,https://chambana.craigslist.org/boa/5916799982.html,
2,,,2016-12-18 18:27,14' aluminum Jon boat with Evinrude 9.9 front trolling motor battery lites and fuel tank and depth finder runs good no leaks asking 1100obo,,5924818186,,14,,Jon boat,,14&amp;#39; Jon boat,$1100,power, (Chenoa),14 flat bottom,https://chambana.craigslist.org/boa/5924818186.html,
3,,"['39.680637', '-88.135757']",2016-12-13 17:58,"I have this older herter's Alaska boat.   I hunted out of it for a few years, no longer need.   Nice older boat- much nicer than many of the smaller v bottom boats on CL.   Heavy & stable.   I did some fiberglass repairs about 5 years ago.   Have leftover matching paint from painting it 5 years ago.  Can handle up to a 25 hp outboard.   I pushed it around slowly with a 5hp.  It has a tilt up shor-lander trailer for unloading in ponds and other areas without a ramp.  $450",,5918324754,39.680637,16,-88.135757,,"https://maps.google.com/maps/preview/@39.680637,-88.135757,16z",,,human,,Herter's Alaska boat,https://chambana.craigslist.org/boa/5918324754.html,
4,,"['40.074600', '-88.169100']",2016-12-13 14:29,"Hello, Here I have an 88 Bayliner 5.3 everything works but the engine, the previous owner failed to winterize the engine and it got messed up.  So now is for sale. I'm helping a friend to sell this boat but if you have any questions please send an email with phone number and we will reply ASAP. He is asking $1k obo what you see in the pictures is what you would get. Thanks for looking.",,5875885372,40.074600,12,-88.169100,,"https://maps.google.com/maps/preview/@40.074600,-88.169100,16z",,$900,power, (Champaign),88 Bayliner 5.3,https://chambana.craigslist.org/boa/5875885372.html,
5,,"['39.950200', '-88.445100']",2016-12-12 20:35,"1994 Ranger 354XT Mercury XR6 150HP 2 Owner boat, I bought from the original owner in 2010. New carpet New seats Optional 3rd gas tank under seats Humminbird 998C SI on console. Minn Kota trolling motor Motor Mate motor transom saver 24P Predator 4 blade (reworked by Mark Croxton in 2013) 1994 Ranger Trail trailer Newer tires Complete new brake actuator New bearings New calipers and pads Completely rewired and LED lights installed New Fulton winch New Bow and Stern rollers Extras: 2 Spare props ( PowerTech TRO4 24P 4 blade and a 25P Tempest Plus 3 blade) Flow-torq hub kit Humminbird 798C (update to down imaging software version) Several bottles of Mercury Quickclean and Mercury Quickstor Several gallons of Mercury Premium Plus 2 stroke oil One of first 354XTs, built in late 1993. No Paypal or checks, cash deal.",,5905668434,39.950200,18,-88.445100,Ranger,"https://maps.google.com/maps/preview/@39.950200,-88.445100,16z",354XT,$7500,power," (Ivedale, IL)",1994 Ranger 354XT,https://chambana.craigslist.org/boa/5905668434.html,1994
6,excellent,"['38.989800', '-76.550100']",2016-12-12 18:43,"13' BOSTON WHALER with TRAILER. Boat was completely restored in 2012 by Lily Sports Boats in Annapolis, including a new Mercury 25 HP Four Stroke Motor. Lightly used. In great condition. On a boat lift during the summer months and stored in a garage during the off-season. Boat has been recently winterized, washed, waxed, and is stored in our garage. Cash, Cashiers Check, or Certified Check, only.",,5916934983,38.989800,13,-76.550100,BOSTON WHALER,"https://maps.google.com/maps/preview/@38.989800,-76.550100,16z",BWCC2346M761,$9000,power, (ANNAPOLIS),13' BOSTON WHALER 1976/2012 w/ TRAILER,https://chambana.craigslist.org/boa/5916934983.html,1976
7,excellent,"['40.111000', '-88.240700']",2016-12-09 11:49,"Intex Mariner 4, 4-Person Inflatable Boat Set with Aluminum Oars and High Output Air Pump - I have used it maybe 5 time, everything is in excellent condition. Just one rotating oar lock is broken. Features: • Four-person raft measures 57 by 19 by 129 inches (W x H x D) • 880-pound maximum weight limit • Made of Super-Tough laminated vinyl that resists abrasion, impact, and UV ray damage • Heavy-duty extruded plastic flooring for comfort and rigidity • Inflatable keel for improved control and handling • Quick-fill, fast-deflate Boston valves • Rotating oar locks and oar holders • Two fishing rod holders • Three inflatable seat cushions for comfort and support • All-around grab line and rock guard • Grab handle on each end of the boat for easy carrying • Battery and gear pouches • Motor mount fitting • Certified by the National Marine Manufacturer's Association (NMMA) and U.S. Coast Guard I.D. • Includes inflatable seats, repair patch kit, 54-inch deluxe aluminum oars, and high-output manual hand pump Price: $180 Minn Kota Endura  30-lb. Thrust Trolling Motor with 30"" Shaft. In good condition. Used with the boat above. Price: $50 EverStart Maxx Lead Acid Marine Battery, Group Size 24DC. Used 5 times. Specifications Volts:	12 V Cold Crank Amp:	690 Recommended Use:	Marine Vehicle Type:	Boat Reserve Capacity:	85 Size:	24 Manufacturer Part Number:	MAXX-24DC Contained Battery Type:	Lead Acid Price:$70 Intex Motor Mount Kit for Intex inflatable Boats. Motor mount kit designed for Intex inflatable boats. Lets you attach up to 3.5-horsepower motors. Made of marine plywood with aluminum support arms. Attaches and detaches quickly; disassembles for storage. Compatible with most newer model Intex boats Price:$15 Stanley FatMax 8A Battery Charger Price:$20",5,5912317079,40.111000,10,-88.240700,Intex,"https://maps.google.com/maps/preview/@40.111000,-88.240700,16z",Mariner 4,$180,human,,"Intex Mariner 4 Boat, Minn Kota Endura 30-lb, EverStart Maxx Battery.",https://chambana.craigslist.org/boa/5912317079.html,2016
8,good,,2016-12-05 22:12,2005 Sea Doo Sportster 155hp. Seats 4. Good condition. Call or text show contact info,,5907328278,,15,,Sea Doo,,Sportster,$8500,power,,Sea Doo sportster,https://chambana.craigslist.org/boa/5907328278.html,2005
9,,"['40.299100', '-88.356000']",2016-12-05 11:55,14' john flat bottom & trailer  3hp evenrude motor + brand new 50# trolling motor never been in water. Set up for night fishing with all lights. carparted with 3 swivel seats depth finder front & rear anchers.  Owned for 2ys had in water 1 time.,,5906371854,40.299100,14,-88.356000,,"https://maps.google.com/maps/preview/@40.299100,-88.356000,16z",,$1800,power,,john boat,https://chambana.craigslist.org/boa/5906371854.html,
