,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,like new,"['42.197600', '-87.926100']",2016-12-20 19:47,Right Console 2011 Alumacraft Trophy 185 + left glass console included Both parts $100,,5904046759,42.197600,18,-87.926100,Alumacraft,"https://maps.google.com/maps/preview/@42.197600,-87.926100,16z",,$150,power, (Northwest Suburbs),Right Console 2011 Alumacraft Trophy 185,https://chicago.craigslist.org/nwc/boa/5904046759.html,
1,excellent,,2016-12-20 19:13,"33' Wellcraft, ready for fishing.  Dual 454 motors (rblt.),  Furuno Radar, Furuno GP 1810, GPS Blotter and Fish Finder, Uniden Oceanus Ship to Shore, Raytheon Loran, Robertson Auto Pilot AP200, Icon VHF, Marine KM45.  5 Big Jon downriggers, fishing equipment - too much to list.  Located at New Buffalo Harbor.  Will also consider trade for vehicle, smaller boat, jet ski, etc.  For more information, call show contact info",,5927587936,,33,,,,,$14999,power," (New Buffalo, MI)",33 Foot Wellcraft,https://chicago.craigslist.org/sox/boa/5927587936.html,
2,,"['41.828000', '-88.192100']",2016-12-20 19:09,"This motor is in great condition. It works great, as it should. You will not be disappointed. Call/NO TEXT show contact info",,5903638262,41.828000,1,-88.192100,,"https://maps.google.com/maps/preview/@41.828000,-88.192100,16z",,$95,power, (Warrenville),MINNKOTA TROLLING MOTOR,https://chicago.craigslist.org/wcl/boa/5903638262.html,
3,good,"['41.545400', '-88.129900']",2016-12-20 19:04,"up for sale is a seadoo xp with a 717cc rotax swapped into it. has roughly 85 hrs on engine. has custom baffled water box, blueprinted pump system, and bilge pump. run great needs a drain plug. comes with shorelander trailer no titles for either will include bills of sale. and previoua owners info to get titles. im open to trade of any kind and cash offers best way to reach me is by text at show contact info",85,5920018997,41.545400,7,-88.129900,seadoo,"https://maps.google.com/maps/preview/@41.545400,-88.129900,16z",xp,$900,power, (joliet),seadoo xp 717 rotax NEED GONE ASAP,https://chicago.craigslist.org/sox/boa/5920018997.html,1994
4,like new,"['41.871300', '-87.627700']",2016-12-20 18:47,"One of the safest and maneuverable Hovercrafts around. Can go over 50 mph. This near new machine has only 6 hours total. I,ve come down in price from $27,000. Incl. trailer, navigation lights,summer and winter covers. two electric bilge pumps, gauges,  50 hp. Fuji engine, electric and pull start, etc.  Offers.",6,5906860169,41.871300,13,-87.627700,Neoteric,"https://maps.google.com/maps/preview/@41.871300,-87.627700,16z",Hovertrek,$24000,power,,Neoteric Hovercraft with reverse thrust,https://chicago.craigslist.org/chc/boa/5906860169.html,
5,,"['43.755349', '-89.067707']",2016-12-20 18:34,Century Resorter year 1960 17 ft. Has Interceptor motor 170 hp.  Great project boat. All original. Hull in good condition. Needs to be refinished and seating redone. Motor turns over (Only 339 hours on motor). and bottom is good!. Comes with double axle trailer.  If your looking for a project boat this is it!  No money orders or checks.   Price is cash on pick up,0339,5918355824,43.755349,17,-89.067707,Century,"https://maps.google.com/maps/preview/@43.755349,-89.067707,16z",Resorter,$4500,power," (Markesan,Wi)",Century Resorter 17 ft,https://chicago.craigslist.org/wcl/boa/5918355824.html,1960
6,excellent,"['41.545400', '-88.129900']",2016-12-20 17:48,"1988 19' arrow carisma ; deep v hull , open bow , healthy 305 mercruise v8 , always ran mobil 1 ,mercruise outdrive with new bearings and pump impeller. boat has complete new floor and carpeting . all custom upholstery is new and just completed with new seats  in fall of 2015.been in water a total of about 10 hrs since.floor and interior cost 3000.00 .trailer has all new bearings and tires including spare. boat and trailer need NOTHING! solid , nice, piece!  mega bucks invested. first 5500 takes it .SERIOUS INQUIRIES , no trades or insulting lowball offers please",,5927500249,41.545400,19,-88.129900,arrow,"https://maps.google.com/maps/preview/@41.545400,-88.129900,16z",carisma,$5500,power, (joliet),1988 arrow carisma 19' ski boat,https://chicago.craigslist.org/sox/boa/5927500249.html,1988
7,good,,2016-12-20 17:47,"Nicely maintained 2000 Seadoo GTI 3 seater with Karavan Trailer. Ready for the water. $2,400 OBO",,5927498930,,10,,Seadoo GTI 3 seater,,,$2400,power,,"SeaDoo GTI and Trailer, PWC",https://chicago.craigslist.org/wcl/boa/5927498930.html,2000
8,salvage,,2016-12-20 17:29,The boat would need to be cleaned out not sure if motor is running. You get the trolling motor and trailer as well. I can send pic upon request they wouldn't load here,,5927479441,,18,,arrowhead,,meteor,$500,power, (mchenry),Arrowhead Meteor SS,https://chicago.craigslist.org/nwc/boa/5927479441.html,
9,new,[],2016-12-20 17:27,"counter rotate lower unit 25"" shaft CLE Case, Nose cone low water pick up,very good condition $1,950.00 PLS call show contact info",,5927476662,,25,,,https://maps.google.com/?q=loc%3A+%34%34%31%38+n%2Eriverdale+dr%2E+Mchenry+IL+US,,$1950,power, (McHenry IL),Counter rotate Lower unit 25'' shaft,https://chicago.craigslist.org/nwc/boa/5927476662.html,
