,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,good,,2016-12-20 18:56,"16' flatbottom boat 6' wide with 4' bottom. Has motor, trolling motor, oars , batteries,  life jackets, anchors , tailer with a flip stand, etc.. make a reasonable offer and it is yours. Must go child is sick and the money is needed.",,5927570731,,16,,,,,,power,,Lost Title Great Deal,https://decatur.craigslist.org/boa/5927570731.html,
1,good,"['39.770500', '-88.865900']",2016-12-19 23:38,24' pontoonboat with 75HP out board motor.  New seats and console. nice boat.  NO trailer call show contact info for info,,5926436258,39.770500,24,-88.865900,,"https://maps.google.com/maps/preview/@39.770500,-88.865900,16z",suntracker,$1800,power, (mt. Zion),pontoon boat,https://decatur.craigslist.org/boa/5926436258.html,
2,like new,,2016-12-18 11:16,"I bought this in 2008 brand new with a 25 hp merc, but upgraded to the max HP for the hull which is a 2 stroke 75 HP merc. it has 2 brand new batteries, a brand new butt seat, and will come with a motorguide trolling motor. Everything works great, and has no problems. I want a family boat because the aluminum is very hot for a 3 year old. I have barely used this boat since I bought it (maybe 3 trips to the lake a year) prop is great, no dings, and the hull is the same. NO TRADES, I DON'T NEED HELP SELLING, NO SPAM/SCAMS, NO TEXTS WITH YOUR E MAIL! IF YOU DON'T HAVE THE BALLS TO DEAL WITH ME BY A PHONE CALL, DO NOT BOTHER! My boat is not a cheap piece of shit, so no lowball offers! if you don't have the cash, simple DO NOT REPLY! GO BUY YOUR BROKE ASS A CANOE! NO JOYRIDES! The only way I will take this to the lake is you have a stack of $100 bills with you! NO CHECKS, NO BANK DRAFTS, NO BULLSHIT! If you are financing great! I will only take 95 $100 bills 217-four 33- five 1 zero 6",,5924297199,,17,,,,,$9500,power, (Bethany),"2007, 1754 Fisher blind duck edition",https://decatur.craigslist.org/boa/5924297199.html,
3,excellent,"['39.950200', '-88.445100']",2016-12-17 21:09,"© craigslist - Map data © OpenStreetMap (google map) length overall (LOA): 18 make / manufacturer: Ranger model name / number: 354XT propulsion type: power year manufactured: 1994 1994 Ranger 354XT Mercury XR6 150HP 2 Owner boat, I bought from the original owner in 2010. New carpet New seats Optional 3rd gas tank under seats Humminbird 998C SI on console. Minn Kota trolling motor Motor Mate motor transom saver 24P Predator 4 blade (reworked by Mark Croxton in 2013) 1994 Ranger Trail trailer Newer tires Complete new brake actuator New bearings New calipers and pads Completely rewired and LED lights installed New Fulton winch New Bow and Stern rollers Extras: 2 Spare props ( PowerTech TRO4 24P 4 blade and a 25P Tempest Plus 3 blade) Flow-torq hub kit Humminbird 798C (update to down imaging software version) Several bottles of Mercury Quickclean and Mercury Quickstor Several gallons of Mercury Premium Plus 2 stroke oil One of first 354XTs, built in late 1993. No Paypal or checks, cash deal.",,5920635869,39.950200,18,-88.445100,Ranger,"https://maps.google.com/maps/preview/@39.950200,-88.445100,16z",354 XT,$7500,power," (Ivesdale, IL)",1994 Ranger 354 XT,https://decatur.craigslist.org/boa/5920635869.html,
4,excellent,"['39.839500', '-88.946500']",2016-12-17 10:21,THIS IS A VERY NICE 17' BASS BOAT. HAS 2 LIVE WELLS AND BAIT WELLS. HAS TWO DEPTH FINDERS. ALL CARPET IS IN VERY GOOD SHAPE..HAS 150 HP JOHNSON MOTOR WITH STAINLESS STEEL PROP AND ALSO POWER TRIM.. RUNS LIKE A SEWING MACHINE AND IS SCARY FAST = 75 MPH + TO GET YOU TO YOUR FAVORITE FISHING SPOT BEFORE SOME ONE GETS THERE.. HAS A VERY STRONG DECK MOUNTED FOOT CONTROLLED TROLLING MOTOR.. BOUGHT THIS BOAT A COUPLE OF YRS AGO. USED IT FIVE TIMES WINTERIZED IT LAST YR AND NOT USED IT THIS YEAR YET..SO HEAR YOU ARE ANGLERS A VERY NICE BOAT FOR THE RIGHT PERSON TO OWN..DONT MISS OUT ON THIS ONE..ASKING $8500 BUT EVERYTHING IS NEGOTIABLE...THANK YOU AND HAVE A NICE DAY...,,5923031220,39.839500,17,-88.946500,HYDRO-SPORTS,"https://maps.google.com/maps/preview/@39.839500,-88.946500,16z",,$6000,power, (Mt. Zion),1997 17' 150hp HYDRO-SPORTS BASS BOAT,https://decatur.craigslist.org/boa/5923031220.html,1997
5,good,[],2016-12-16 02:26,"1991 Sea Doo gt Jet Ski and 1993 Galvanized Karavan Trailer Does Not Run, it stopped running while going down the lake. It has Not been checked out. 3 Seater, seat is in good condition. Garaged until 3 mos ago. Very nice Galvanized trailer. Just needed room in the garage. Both titles in hand. I think it is a 650cc Asking $550 obo within reason.  Cash only Please call if interested. No room in the garage. Shelbyville",,5900357307,,10,,Sea Doo gt,https://maps.google.com/?q=loc%3A+%34%32%32+W+South+%34th+St+Shelbyville+IL+US,Bombadier 5811,$550,power, (Shelbyville),3 Seater Sea Doo gt Jet Ski and Trailer,https://decatur.craigslist.org/boa/5900357307.html,1991
6,good,"['39.934000', '-88.805200']",2016-12-15 14:54,For sale is a 1980 sunbird sail boat in great condition. at clinton lake so you can see it. 1800.00 obo Comes with lots of goodies Solar battery charger electric trolling motor and more Only selling because we are going to get a motor boat next season..just wanted to try sailing..great starter boat. Includes boat trailer. TITLE IN HAND 1800. OR BEST OFFER. Had been covered for winter ..,,5914667644,39.934000,17,-88.805200,,"https://maps.google.com/maps/preview/@39.934000,-88.805200,16z",,$1800,sail, (argenta),1980 sunbird sail boat,https://decatur.craigslist.org/boa/5914667644.html,
7,,"['39.390000', '-88.959700']",2016-12-13 09:08,"1975 Mercury 65HP Motor, I bought this new in 1975 on a Sea Star Boat, Transom on the boat went bad two years ago, so I took it off. Was planning to put it on another boat but have decided to sell it. Throttle/Shifter control comes with it. I don't have the steering wheel or cable. These are just pics of the motor cover, the motor is laying inside.",,5917492971,39.390000,0,-88.959700,Mercury,"https://maps.google.com/maps/preview/@39.390000,-88.959700,16z",,$125,power, (Tower Hill),Mercury 65HP Motor,https://decatur.craigslist.org/boa/5917492971.html,1975
8,good,,2016-12-12 12:58,1978 venture bass boat!!comes with the below listed- evinrude 60 hp(runs perfect) 2 retractable anchors 3 life vests 2 fish finders(pictures provided) 2 oars bilge pump(works great) aireydor(works great) all lights work lockable rod storage 4 rod holders for drifting minn kota trolling motor 2 360 degree bass seats 2 deep cycle marine batteries 1500$ obo 217-820-914 eight winterized but will atart for serious buyer,,5916420198,,16,,venture,,bass,$1500,power, (moweaqua),1978 venture bassboat,https://decatur.craigslist.org/boa/5916420198.html,1978
9,good,,2016-12-11 13:11,"I have pictures on my phone if interested in rig I have a 16 foot Fisher marine 45# thrust minakota trolling motor and a 9,9 kitted to 15 hp johnson has 2 Iive wells 5 gallon gas tank storage in front with heavy duty larger wheel trailer.$ 1,850 the bad is  the tittles are lost on the boat and trailer I have all the paper work to get it legal in your name.make a good hunting or fishing rig. show contact info text is better for pics or questions.might consider trades for trucks or motorcycles.or other boats rigs.",,5893021531,,16,,Fisher marine silver,,,$1850,power, (Johnston city il),16'Fisher marine boat motor trailer,https://decatur.craigslist.org/boa/5893021531.html,
