,condition,coord_pair,date,description,engine hours (total),id,lat,length overall (LOA),long,make / manufacturer,map_URL,model name / number,price,propulsion type,region,title,url,year manufactured
0,,"['41.352600', '-88.841600']",2016-12-19 22:08,"I am selling my 1979 Mantra Jet Boat. V-bottom hull jet drive with a droop snoot. Comes with a 2016 2 axle trailer and a custom cover for the entire boat. Engine- 450hp Chevy Big Block 454 bore over .30. High torque starter. MSD full ignition. Tunnel ram with 2 Holley 750cfm carbs. Howard's radical cam 596 lift with hydraulic flat tappet lifters. Roller rocker arms Ski tow Rewarder headers -mufflers included Alternator-new 2 batteries with perko switch-new JBL Bluetooth stereo-new 2 6.5 kicker speakers -new 2300w Power Acoustic amp-new Newer Line-X flooring Autometer gauges-new Catch can with braided hoses-new Berkeley pump has pre impeller, speed loader, and a ride plate! Matching anodized bezels and switches 800gph bilge pump automatic-new Comes with couple life jackets, anchors, ropes, screw down anchor for shore, few other things I'm sure I'm forgetting. Now the bad. Needs new upholstery and a paint job otherwise she's a heathy running boat with some fun power and shoots a nasty 50 foot rooster tail. $5k. Text any time. show contact info Russ. (Posted on other sites)",,5926361787,41.352600,19,-88.841600,,"https://maps.google.com/maps/preview/@41.352600,-88.841600,16z",,$5000,power, (Ottawa),1979 Mantra Jet Boat *REDUCED PRICE*,https://lasalle.craigslist.org/boa/5926361787.html,
1,,[],2016-12-19 10:58,I HAVE MANY USED OUTBOARDS FOR SALE! ALL HAVE 60 DAY WARRANTY! ALL OUTBOARDS HAVE BEEN FULLY SERVICED AND CHECK TO BE IN GOOD RUNNING CONDITION.  PLEASE CALL FOR YOUR OUTBOARD NEEDS.,,5921589978,,30,,,https://maps.google.com/?q=loc%3A+%31%30%31+E%2E+%38TH+ST%2E+at+HWY+%31+SOLON+IL+US,,,power,,USED OUBOARDS FOR SALE,https://lasalle.craigslist.org/boa/5921589978.html,
2,,"['41.403600', '-89.820100']",2016-12-19 08:25,Garage is 24x30 with 2 overhead doors. One is 9 feet wide the other is 8 foot. The garage has electric. All on a 132x132 lot. Plenty of room for your toys in a small secure farm town. $99 per month with a one year lease plus security deposit. Call AL at show contact info Sorry no texting.,,5925285526,41.403600,1,-89.820100,,"https://maps.google.com/maps/preview/@41.403600,-89.820100,16z",,$99,human, (Mineral IL),Large Garage & Property for Rent,https://lasalle.craigslist.org/boa/5925285526.html,
3,,,2016-12-18 18:26,14' aluminum Jon boat with Evinrude 9.9 front trolling motor battery lites and fuel tank and depth finder runs good no leaks asking 1100obo,,5924817377,,14,,Jon boat,,14&amp;#39; Jon boat,$1100,power, (Chenoa),14 flat bottom,https://lasalle.craigslist.org/boa/5924817377.html,
4,,,2016-12-18 18:26,14' aluminum Jon boat with Evinrude 9.9 front trolling motor battery lites and fuel tank and depth finder runs good no leaks asking 1100obo,,5924817098,,14,,Jon boat,,14&amp;#39; Jon boat,$1100,power, (Chenoa),14 flat bottom,https://lasalle.craigslist.org/boa/5924817098.html,
5,,,2016-12-18 18:26,14' aluminum Jon boat with Evinrude 9.9 front trolling motor battery lites and fuel tank and depth finder runs good no leaks asking 1100obo,,5924816839,,14,,Jon boat,,14&amp;#39; Jon boat,$1100,power, (Chenoa),14 flat bottom,https://lasalle.craigslist.org/boa/5924816839.html,
6,excellent,,2016-12-16 15:04,"Up for sale is my 1985 Lowe Husky extra wide and extra deep Jon boat.  Boat has recently been painted and is in excellent condition.  It has a 50hp Evinrude with steering console and power trim and tilt.  Boat is equipped with 2 electric anchor hoists (one is remote controlled), an onboard 2 bank battery charger with 2 new batteries, 1 eagle fish finder, 1 Hummingbird fish finder, a remote controlled Minn Kota 55 # thrust co pilot trolling motor, a 6 inch led headlight, plenty of storage, and sits on a heavy duty Ranger Trail trailer.  This is an awesome boat.  Please don't ask to trade, because I only want to sell it.  I'm asking $7200.  Please call or text with any questions.  Thanks for looking. Camo, duckboat, Express, Bass Pro, Cabelas, Mossy Oak, duck blind",,5881426329,,18,,Lowe,,Husky,$7300,power, (Streator),18 ft Lowe Jon boat,https://lasalle.craigslist.org/boa/5881426329.html,1985
7,fair,"['41.333000', '-89.126500']",2016-12-15 09:04,"TOO MANY PROJECTS GOING ON AT THE GARAGE   ALOT OF  SKI FOR THE MONEY. PRICE IS FIRM.     PRICE SLASHED. SAVE SOME GREEN!!!  SALE PRICE FIRM. CLASSIC KAWASAKI TS 650 , 2 PERSON JET SKI. SOLD AS-IS,   REBUILD , RESTORE,  OR USE FOR PARTS THIS LISTING DOES NOT INCLUDE A TRAILER. PUT A NEW BATTERY IN , STARTER IS WORKING,  MOTOR TURNS OVER, BUT WILL NOT FIRE UP.  NO TRIM    NO GAUGES  THIS YEAR DID NOT HAVE TRIM OR GAUGES. LOW COMPRESSION ON ENGINE.  I WOULD SUGGEST REBUILDING THE TOP END,  RINGS AND GASKETS. SOLID HULL, STEERING  TURNING LEFT AND RIGHT. SWITCHES, LEVERS, PULLING, PUSHING, SPINNING AS SHOULD. LOCAL  FREE PICK UP,  NO TEXT  OR EMAILS.  YOUR INTERESTED, CALL SOLD WHERE IS AS IS...CASH ONLY.. DON'T ASK ABOUT BANK CHECKS, OR WIRE TRANSFERS",,5920229499,41.333000,10,-89.126500,KAWASAKI,"https://maps.google.com/maps/preview/@41.333000,-89.126500,16z",TS 650,$400,power," (PERU, IL)",1989 KAWASAKI TS 650,https://lasalle.craigslist.org/boa/5920229499.html,
8,,,2016-12-15 09:02,Very clean pwc.  Carbs just rebuilt. New ignition coil.  Oil pump block off plate installed. Cover included. No trailer but can deliver and give you a pwc stand.  $1000 or best offer.,,5889191899,,8,,Seadoo,,Spx,$1000,power, (61373),1994 sea doo spx,https://lasalle.craigslist.org/boa/5889191899.html,1994
9,good,,2016-12-10 08:11,1989 Celebrity Boat 19ft Has 4.3 v6 motor good running boat rear seats starting to wear a little bit looking to trade for snowmobile or $4000 cash any questions call or text 815 9nine2 8581,,5913393601,,19,,Celebrity,,,$4000,power, (Streator),1989 Celebrity,https://lasalle.craigslist.org/boa/5913393601.html,1989
